Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
acura ilx,18531,0.037918674,Positive,0,,,,,,,,2015,,,,,
acura mdx,58208,-0.112723503,Negative,acura mdx,Trainwreck,2001 acura mdx,1,acura mdx,27,"$110,212,700 ",Universal Pictures,2015,0,2,2,27,1
acura rdx,51026,0.13732308,Positive,acura rdx,Pixels,2007 acura rdx,1,acura rdx,36,"$78,747,585 ",Sony Pictures Entertainment (SPE),2015,0,2,2,36,1
acura rlx,2195,-0.356870788,Negative,0,,,,,,,,2015,,,,,
acura tl,88,-0.991710625,Negative,acura tl,The Gift,2004 acura tl,1,acura tl,66,"$43,787,265 ",STX Entertainment,2015,0,1,1,66,1
acura tlx,47080,1.461441941,Positive,acura tl,,,,,,,,2015,,,,,
acura tsx,35,-0.994432957,Negative,acura tsx,Sicario,2004 acura tsx,1,acura tsx,62,"$46,770,373 ",Lionsgate,2015,0,1,1,62,1
acura zdx,2,-0.974358974,Negative,0,,,,,,,,2015,,,,,
alfa romeo 4c,663,6.285714286,Positive,alfa romeo 4c,Get Hard,2015 alfa romeo 4c,1,alfa romeo 4c,30,"$90,411,453 ",Warner Bros.,2015,0,1,1,30,1
audi a3,35984,0.617258427,Positive,audi a3,Avengers: Age of Ultron,2014 audi a3 cabriolet,2,audi a3,3,"$459,005,868 ",Walt Disney Studios Motion Pictures,2015,0,8,8,3,2
audi a4,31831,-0.177046976,Negative,audi a4,Pixels,2002 audi a4 b6,2,audi a4,36,"$78,747,585 ",Sony Pictures Entertainment (SPE),2015,0,10,10,36,2
audi a4 allroad,2818,-0.39863423,Negative,audi a4,,,,,,,,2015,,,,,
audi a4 sedan,29013,-0.14650075,Negative,audi a4,,,,,,,,2015,,,,,
audi a5,12934,-0.221780987,Negative,audi a5,Kingsman: The Secret Service,2007 audi a5 b8,1,audi a5,23,"$128,261,724 ",Twentieth Century Fox,2015,0,1,1,23,1
audi a6,22850,-0.04557036,Negative,audi a6,Avengers: Age of Ultron,2012 audi a6 hybrid c7,2,audi a6,3,"$459,005,868 ",Walt Disney Studios Motion Pictures,2015,0,6,6,3,2
audi a7,7721,-0.050657814,Negative,audi a7,Spectre,2011 audi a7 sportback c7,1,audi a7,11,"$197,102,585 ",Sony Pictures Entertainment (SPE),2015,0,3,3,11,1
audi a8,4990,-0.154810298,Negative,audi a8,Fantastic Four,2011 audi a8 d4,2,audi a8,52,"$56,117,548 ",Twentieth Century Fox,2015,0,8,8,52,2
audi q3,13229,2.620415982,Positive,0,,,,,,,,2015,,,,,
audi q5,52006,0.225978312,Positive,audi q5,The Big Short,2013 audi q5,1,audi q5,97,"$23,995,178 ",Paramount Pictures,2015,0,1,1,97,1
audi q7,18995,0.025814117,Positive,audi q7,The Intern,2014 audi q7,4,audi q7,38,"$75,574,886 ",Warner Bros.,2015,1,5,6,38,4
audi r8,495,-0.326530612,Negative,audi r8,Taken 3,2014 audi r8 spyder,3,audi r8,32,"$89,256,424 ",Twentieth Century Fox,2015,1,4,5,32,3
audi tt,1167,0.007772021,Positive,audi tt,Avengers: Age of Ultron,2015 audi tts,2,audi tt,3,"$459,005,868 ",Walt Disney Studios Motion Pictures,2015,0,1,1,3,2
bmw 2-series,13020,0.772634445,Positive,0,,,,,,,,2015,,,,,
bmw 3-series,94540,-0.063682282,Negative,bmw 3-series,War Room,2006 bmw 3 [e90],2,bmw 3,42,"$67,790,117 ",TriStar Pictures,2015,0,20,20,42,2
bmw 5-series,44162,-0.162074985,Negative,bmw 5-series,Fantastic Four,2011 bmw 550i [f10],3,bmw 5,52,"$56,117,548 ",Twentieth Century Fox,2015,1,9,10,52,3
bmw 6-series,8146,-0.05793917,Negative,bmw 6-series,Mission: Impossible - Rogue Nation,2013 bmw 6 gran coupé [f06],2,bmw 6,12,"$195,042,377 ",Paramount Pictures,2015,0,5,5,12,2
bmw 7-series,9292,-0.046387521,Negative,bmw 7-series,Mission: Impossible - Rogue Nation,2016 bmw 7 [g12],3,bmw 7,12,"$195,042,377 ",Paramount Pictures,2015,2,16,18,12,3
bmw x1,14420,-0.367765696,Negative,bmw x1,Paper Towns,2013 bmw x1 [e84],1,bmw x1,81,"$32,000,304 ",Twentieth Century Fox,2015,0,1,1,81,1
bmw x3,31924,-0.056173132,Negative,bmw x3,Pixels,2011 bmw x3 [f25],3,bmw x3,36,"$78,747,585 ",Sony Pictures Entertainment (SPE),2015,1,0,1,36,3
bmw x4,6429,1.373200443,Positive,0,,,,,,,,2015,,,,,
bmw x5,54997,0.169377645,Positive,bmw x5,Mission: Impossible - Rogue Nation,2007 bmw x5 [e70],2,bmw x5,12,"$195,042,377 ",Paramount Pictures,2015,0,6,6,12,2
bmw x6,7906,1.02926078,Positive,bmw x6,Pixels,bmw x6 [e71],1,bmw x6,36,"$78,747,585 ",Sony Pictures Entertainment (SPE),2015,0,1,1,36,1
bmw z4,1829,-0.149697815,Negative,bmw z4,Chappie,2010 bmw z4 [e89],2,bmw z4,82,"$31,569,268 ",Sony Pictures Entertainment (SPE),2015,0,1,1,82,2
bmw i3,11024,0.809586343,Positive,0,,,,,,,,2015,,,,,
bmw i8,2265,3.081081081,Positive,bmw i8,Alvin and the Chipmunks: The Road Chip,2015 bmw i8 [i12],2,bmw i8,53,"$55,575,427 ",Twentieth Century Fox,2015,0,1,1,53,2
buick enclave,62081,-0.003515249,Negative,0,,,,,,,,2015,,,,,
buick encore,67549,0.381596171,Positive,0,,,,,,,,2015,,,,,
buick lacrosse,42035,-0.183278931,Negative,buick lacrosse,Ted 2,2014 buick lacrosse,1,buick lacrosse,34,"$81,476,385 ",Universal Pictures,2015,0,2,2,34,1
buick regal,19504,-0.135460993,Negative,buick regal,Tomorrowland,1993 buick regal,1,buick regal,29,"$93,436,322 ",Walt Disney Studios Motion Pictures,2015,0,3,3,29,1
buick verano,31886,-0.271060513,Negative,buick verano,Furious 7,2012 buick verano,1,buick verano,5,"$353,007,020 ",Universal Pictures,2015,0,2,2,5,1
cadillac ats,26873,-0.100936768,Negative,0,,,,,,,,2015,,,,,
cadillac cts,19485,-0.373774707,Negative,cadillac cts,The Boy Next Door,2010 cadillac cts sport wagon,3,cadillac cts,73,"$35,423,380 ",Universal Pictures,2015,1,3,4,73,3
cadillac elr,1024,-0.218320611,Negative,cadillac elr,Entourage,2014 cadillac elr,1,cadillac elr,80,"$32,363,404 ",Warner Bros.,2015,0,1,1,80,1
cadillac escalade,35923,0.176954328,Positive,cadillac escalade,Magic Mike XXL,2007 cadillac escalade,3,cadillac escalade,43,"$66,013,057 ",Warner Bros.,2015,4,12,16,43,3
