Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
acura ilx,17854,-0.126089085,Negative,0,,,,,,,,2014,,,,,
acura mdx,65603,0.236858974,Positive,acura mdx,Teenage Mutant Ninja Turtles,2001 acura mdx,1,acura mdx,13,"$191,204,754 ",Paramount Pictures,2014,0,1,1,13,1
acura rdx,44865,0.002569832,Positive,0,,,,,,,,2014,,,,,
acura rlx,3413,-0.319305943,Negative,acura rl,,,,,,,,2014,,,,,
acura tl,10616,-0.563450942,Negative,acura tl,The Amazing Spider-Man 2,1999 acura tl,1,acura tl,10,"$202,853,933 ",Sony Pictures Entertainment (SPE),2014,0,2,2,10,1
acura tsx,6287,-0.640414093,Negative,acura tsx,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2006 acura tsx,1,acura tsx,47,"$65,641,801 ",Walt Disney Studios Motion Pictures,2014,0,1,1,47,1
acura zdx,78,-0.783933518,Negative,0,,,,,,,,2014,,,,,
audi a3,22250,24.96266044,Positive,audi a3,Lucy,1996 audi a3,2,audi a3,23,"$126,663,600 ",Universal Pictures,2014,0,4,4,23,2
audi a4,38679,-0.081913126,Negative,audi a4,The Amazing Spider-Man 2,2003 audi a4 cabriolet b6,1,audi a4,10,"$202,853,933 ",Sony Pictures Entertainment (SPE),2014,0,5,5,10,1
audi a4 allroad,4686,-0.12996658,Negative,audi a4,,,,,,,,2014,,,,,
audi a4 sedan,33993,-0.074869366,Negative,audi a4,,,,,,,,2014,,,,,
audi a5,16620,-0.109515645,Negative,audi a5,Transformers: Age of Extinction,2010 audi a5 cabriolet b8,2,audi a5,5,"$245,439,076 ",Paramount Pictures,2014,0,1,1,5,2
audi a6,23941,0.067460317,Positive,audi a6,Transformers: Age of Extinction,2005 audi a6 c6,1,audi a6,5,"$245,439,076 ",Paramount Pictures,2014,0,6,6,5,1
audi a7,8133,-0.041258989,Negative,0,,,,,,,,2014,,,,,
audi a8,5904,-0.062857143,Negative,audi a8,3 Days to Kill,2005 audi a8 d3,4,audi a8,93,"$30,697,999 ",Relativity Media,2014,1,0,1,93,4
audi q5,42420,0.051170859,Positive,audi q5,The Fault in Our Stars,2009 audi q5,1,audi q5,25,"$124,872,350 ",Twentieth Century Fox,2014,0,2,2,25,1
audi q7,18517,0.158905996,Positive,audi q7,The Expendables 3,2006 audi q7,2,audi q7,81,"$39,322,544 ",Lionsgate,2014,0,3,3,81,2
audi r8,735,-0.095940959,Negative,audi r8,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014 audi r8 spyder,1,audi r8,47,"$65,641,801 ",Walt Disney Studios Motion Pictures,2014,0,4,4,47,1
audi tt,1158,-0.435947394,Negative,0,,,,,,,,2014,,,,,
bmw 3-series,100970,-0.155211218,Negative,bmw 3-series,Ride Along,2003 bmw 330ci [e46],3,bmw 3,21,"$134,938,200 ",Universal Pictures,2014,2,17,19,21,3
bmw 5-series,52704,-0.073140707,Negative,bmw 5-series,God's Not Dead,2010 bmw 5 [f10],2,bmw 5,52,"$60,755,732 ",Freestyle Releasing,2014,0,13,13,52,2
bmw 6-series,8647,-0.114218398,Negative,bmw 6-series,God's Not Dead,bmw 6 [e64],2,bmw 6,52,"$60,755,732 ",Freestyle Releasing,2014,0,5,5,52,2
bmw 7-series,9744,-0.108671789,Negative,bmw 7-series,John Wick,2013 bmw 750li [f02],2,bmw 7,79,"$42,820,432 ",Lionsgate,2014,0,5,5,79,2
bmw x1,22808,-0.13971032,Negative,bmw x1,Think Like a Man Too,2013 bmw x1 [e84],1,bmw x1,48,"$65,182,182 ",Screen Gems,2014,0,1,1,48,1
bmw x3,33824,0.104529275,Positive,bmw x3,Chef,2011 bmw x3 [f25],1,bmw x3,91,"$31,424,003 ",Open Road Films (II),2014,0,1,1,91,1
bmw x5,47031,0.181149229,Positive,bmw x5,Jack Ryan: Shadow Recruit,2010 bmw x5 [e70],2,bmw x5,66,"$50,577,412 ",Paramount Pictures,2014,0,1,1,66,2
bmw x6,3896,-0.297891512,Negative,0,,,,,,,,2014,,,,,
bmw z4,2151,-0.13266129,Negative,bmw z4,RoboCop,bmw z4 [e89],1,bmw z4,56,"$58,607,007 ",Sony Pictures Entertainment (SPE),2014,0,1,1,56,1
buick enclave,62300,0.029173688,Positive,buick enclave,God's Not Dead,2008 buick enclave,1,buick enclave,52,"$60,755,732 ",Freestyle Releasing,2014,0,1,1,52,1
buick encore,48892,0.529978721,Positive,0,,,,,,,,2014,,,,,
buick lacrosse,51468,0.054715357,Positive,0,,,,,,,,2014,,,,,
buick regal,22560,0.207385603,Positive,buick regal,Transformers: Age of Extinction,2011 buick regal,1,buick regal,5,"$245,439,076 ",Paramount Pictures,2014,0,4,4,5,1
buick verano,43743,-0.039185538,Negative,0,,,,,,,,2014,,,,,
cadillac ats,29890,-0.219969206,Negative,0,,,,,,,,2014,,,,,
cadillac cts,31115,-0.03796803,Negative,cadillac cts,Transformers: Age of Extinction,2014 cadillac cts,3,cadillac cts,5,"$245,439,076 ",Paramount Pictures,2014,1,2,3,5,3
cadillac elr,1310,217.3333333,Positive,0,,,,,,,,2014,,,,,
cadillac escalade,30522,0.355689793,Positive,cadillac escalade,Transformers: Age of Extinction,2007 cadillac escalade esv,3,cadillac escalade,5,"$245,439,076 ",Paramount Pictures,2014,4,2,6,5,3
cadillac srx,53578,-0.056326617,Negative,cadillac srx,Transformers: Age of Extinction,2010 cadillac srx,3,cadillac srx,5,"$245,439,076 ",Paramount Pictures,2014,1,2,3,5,3
cadillac xts,24335,-0.25258761,Negative,cadillac xts,Transformers: Age of Extinction,2013 cadillac xts,2,cadillac xts,5,"$245,439,076 ",Paramount Pictures,2014,0,3,3,5,2
chevrolet avalanche,92,-0.994433015,Negative,chevrolet avalanche,Need for Speed,2002 chevrolet avalanche,2,chevrolet avalanche,76,"$43,577,636 ",Walt Disney Studios Motion Pictures,2014,0,2,2,76,2
chevrolet camaro,86297,0.07112093,Positive,chevrolet camaro,Transformers: Age of Extinction,2014 chevrolet camaro concept,5,chevrolet camaro,5,"$245,439,076 ",Paramount Pictures,2014,6,9,15,5,5
chevrolet caprice ppv,3727,-0.044113875,Negative,0,,,,,,,,2014,,,,,
chevrolet captiva sport,35368,-0.25697479,Negative,chevrolet captiva sport,Transformers: Age of Extinction,2013 chevrolet captiva sport,1,chevrolet captiva sport,5,"$245,439,076 ",Paramount Pictures,2014,0,1,1,5,1
chevrolet colorado,8003,1.345545135,Positive,0,,,,,,,,2014,,,,,
chevrolet corvette,34839,1.014863224,Positive,chevrolet corvette,Transformers: Age of Extinction,2014 chevrolet corvette stingray c7,4,chevrolet corvette,5,"$245,439,076 ",Paramount Pictures,2014,3,6,9,5,4
chevrolet cruze,273060,0.100054789,Positive,chevrolet cruze,Transformers: Age of Extinction,2011 chevrolet cruze,2,chevrolet cruze,5,"$245,439,076 ",Paramount Pictures,2014,0,9,9,5,2
chevrolet equinox,242242,0.01700309,Positive,chevrolet equinox,God's Not Dead,2005 chevrolet equinox,1,chevrolet equinox,52,"$60,755,732 ",Freestyle Releasing,2014,0,2,2,52,1
chevrolet express,79352,0.00335074,Positive,chevrolet express,Nightcrawler,2000 chevrolet express,2,chevrolet express,90,"$31,825,147 ",Open Road Films (II),2014,0,7,7,90,2
chevrolet impala,140280,-0.105340026,Negative,chevrolet impala,Captain America: The Winter Soldier,2006 chevrolet impala,3,chevrolet impala,3,"$259,766,572 ",Walt Disney Studios Motion Pictures,2014,3,22,25,3,3
chevrolet malibu,188519,-0.060196217,Negative,chevrolet malibu,Transformers: Age of Extinction,2013 chevrolet malibu,2,chevrolet malibu,5,"$245,439,076 ",Paramount Pictures,2014,0,18,18,5,2
chevrolet ss,2479,4.93062201,Positive,0,,,,,,,,2014,,,,,
chevrolet silverado,529755,0.102705167,Positive,chevrolet silverado,Captain America: The Winter Soldier,2014 chevrolet silverado,2,chevrolet silverado,3,"$259,766,572 ",Walt Disney Studios Motion Pictures,2014,0,10,10,3,2
chevrolet sonic,93518,0.091913224,Positive,chevrolet sonic,Transformers: Age of Extinction,2013 chevrolet sonic rs,3,chevrolet sonic,5,"$245,439,076 ",Paramount Pictures,2014,1,0,1,5,3
chevrolet spark,39159,0.147348374,Positive,chevrolet spark,Godzilla,2013 chevrolet spark,1,chevrolet spark,11,"$200,676,069 ",Warner Bros.,2014,0,2,2,11,1
chevrolet suburban,55009,0.073136949,Positive,chevrolet suburban,Gone Girl,2010 chevrolet suburban,4,chevrolet suburban,17,"$166,197,583 ",Twentieth Century Fox,2014,2,11,13,17,4
chevrolet tahoe,97726,0.170343225,Positive,chevrolet tahoe,Captain America: The Winter Soldier,2007 chevrolet tahoe,3,chevrolet tahoe,3,"$259,766,572 ",Walt Disney Studios Motion Pictures,2014,3,5,8,3,3
chevrolet traverse,103943,0.077498004,Positive,chevrolet traverse,Captain America: The Winter Soldier,2013 chevrolet traverse,1,chevrolet traverse,3,"$259,766,572 ",Walt Disney Studios Motion Pictures,2014,0,2,2,3,1
chevrolet volt,18805,-0.185719234,Negative,chevrolet volt,Transformers: Age of Extinction,2013 chevrolet volt,2,chevrolet volt,5,"$245,439,076 ",Paramount Pictures,2014,0,3,3,5,2
chrysler 200,117363,-0.04177825,Negative,chrysler 200,Jack Ryan: Shadow Recruit,2011 chrysler 200,1,chrysler 200,66,"$50,577,412 ",Paramount Pictures,2014,0,1,1,66,1
chrysler 300,53382,-0.075220012,Negative,chrysler 300,Think Like a Man Too,2012 chrysler 300 stretched limousine,2,chrysler 300,48,"$65,182,182 ",Screen Gems,2014,0,6,6,48,2
chrysler town & country,138040,0.128810676,Positive,chrysler town & country,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2011 chrysler town & country,4,chrysler town & country,47,"$65,641,801 ",Walt Disney Studios Motion Pictures,2014,2,2,4,47,4
dodge avenger,51705,-0.449020694,Negative,dodge avenger,Godzilla,2011 dodge avenger,1,dodge avenger,11,"$200,676,069 ",Warner Bros.,2014,0,4,4,11,1
dodge challenger,51611,0.00289534,Positive,dodge challenger,Nightcrawler,2012 dodge challenger srt 392,4,dodge challenger,90,"$31,825,147 ",Open Road Films (II),2014,1,2,3,90,4
dodge charger,94099,-0.043086967,Negative,dodge charger,Ride Along,2012 dodge charger,4,dodge charger,21,"$134,938,200 ",Universal Pictures,2014,4,9,13,21,4
dodge dart,83858,0.005636303,Positive,dodge dart,Ride Along,2013 dodge dart,1,dodge dart,21,"$134,938,200 ",Universal Pictures,2014,0,2,2,21,1
dodge durango,64398,0.06045087,Positive,dodge durango,Captain America: The Winter Soldier,2002 dodge durango,1,dodge durango,3,"$259,766,572 ",Walt Disney Studios Motion Pictures,2014,0,4,4,3,1
dodge grand caravan,134152,0.081705223,Positive,dodge grand caravan,Heaven Is for Real,2005 dodge grand caravan,3,dodge grand caravan,33,"$91,443,253 ",TriStar Pictures,2014,1,5,6,33,3
dodge journey,93572,0.1148416,Positive,dodge journey,Dolphin Tale 2,2011 dodge journey,3,dodge journey,80,"$42,024,533 ",Warner Bros.,2014,1,0,1,80,3
dodge viper,760,0.285956007,Positive,0,,,,,,,,2014,,,,,
fiat 500,33708,-0.059329129,Negative,fiat 500,Gone Girl,2012 fiat 500,2,fiat 500,17,"$166,197,583 ",Twentieth Century Fox,2014,0,3,3,17,2
fiat 500l,12413,0.676979195,Positive,fiat 500,,,,,,,,2014,,,,,
ford c-max,27595,-0.216273786,Negative,ford c-max,Night at the Museum: Secret of the Tomb,2013 ford c-max hybrid,2,ford c-max,46,"$69,354,582 ",Twentieth Century Fox,2014,0,1,1,46,2
ford e-series,103263,-0.176242063,Negative,ford e-series,Godzilla,2003 ford e-series,3,ford e-,11,"$200,676,069 ",Warner Bros.,2014,2,17,19,11,3
ford edge,108864,-0.15680549,Negative,ford edge,Ouija,2011 ford edge,1,ford edge,65,"$50,856,010 ",Universal Pictures,2014,0,1,1,65,1
ford escape,306212,0.034524465,Positive,ford escape,Captain America: The Winter Soldier,2008 ford escape,1,ford escape,3,"$259,766,572 ",Walt Disney Studios Motion Pictures,2014,0,9,9,3,1
ford expedition,44632,0.16380704,Positive,ford expedition,John Wick,1997 ford expedition gen.1,2,ford expedition,79,"$42,820,432 ",Lionsgate,2014,0,8,8,79,2
ford explorer,209994,0.091461925,Positive,ford explorer,The Judge,2011 ford explorer,4,ford explorer,73,"$47,003,241 ",Warner Bros.,2014,1,12,13,73,4
ford explorer police interceptor ,20655,0.466349567,Positive,ford explorer,,,,,,,,2014,,,,,
ford f-series,753851,-0.012511102,Negative,ford f-series,Need for Speed,2011 ford f-series super duty,4,ford f-,76,"$43,577,636 ",Walt Disney Studios Motion Pictures,2014,7,32,39,76,4
ford fiesta,63192,-0.11088599,Negative,ford fiesta,Heaven Is for Real,2011 ford fiesta mkvi,1,ford fiesta,33,"$91,443,253 ",TriStar Pictures,2014,0,3,3,33,1
ford flex,23822,-0.082109968,Negative,0,,,,,,,,2014,,,,,
ford focus,219634,-0.063673957,Negative,ford focus,The Purge: Anarchy,2012 ford focus,3,ford focus,45,"$71,962,800 ",Universal Pictures,2014,1,16,17,45,3
ford fusion,306860,0.039217014,Positive,ford fusion,The Amazing Spider-Man 2,2010 ford fusion,1,ford fusion,10,"$202,853,933 ",Sony Pictures Entertainment (SPE),2014,0,6,6,10,1
ford mustang,82635,0.070595704,Positive,ford mustang,Need for Speed,2014 ford mustang,5,ford mustang,76,"$43,577,636 ",Walt Disney Studios Motion Pictures,2014,2,15,17,76,5
ford taurus,62629,-0.216745873,Negative,ford taurus,Ride Along,2008 ford taurus,3,ford taurus,21,"$134,938,200 ",Universal Pictures,2014,2,11,13,21,3
ford taurus police interceptor,10234,-0.060842434,Negative,ford taurus,,,,,,,,2014,,,,,
ford transit connect,43210,0.088330857,Positive,ford transit connect,Jack Ryan: Shadow Recruit,2011 ford transit connect,1,ford transit connect,66,"$50,577,412 ",Paramount Pictures,2014,0,1,1,66,1
gmc acadia,83972,-0.06482688,Negative,gmc acadia,Into the Storm,2010 gmc acadia,3,gmc acadia,71,"$47,602,194 ",Warner Bros.,2014,1,2,3,71,3
gmc canyon,3070,2.304628633,Positive,0,,,,,,,,2014,,,,,
gmc savana,26641,0.594791978,Positive,gmc savana,Earth to Echo,2007 gmc savana,3,gmc savana,83,"$38,934,842 ",Relativity Media,2014,1,1,2,83,3
gmc sierra,211833,0.148837512,Positive,gmc sierra,Draft Day,2012 gmc sierra,4,gmc sierra,97,"$28,842,237 ",Lionsgate,2014,1,0,1,97,4
gmc terrain,105016,0.055172067,Positive,gmc terrain,Dumb and Dumber To,2010 gmc terrain,1,gmc terrain,35,"$84,966,865 ",Universal Pictures,2014,0,3,3,35,1
gmc yukon,41569,0.468765458,Positive,gmc yukon,Sex Tape,2010 gmc yukon,4,gmc yukon,84,"$38,543,473 ",Sony Pictures Entertainment (SPE),2014,1,4,5,84,4
gmc yukon xl,29752,-0.048179666,Negative,gmc yukon xl,The Equalizer,2010 gmc yukon xl denali,3,gmc yukon xl,30,"$100,915,604 ",Sony Pictures Entertainment (SPE),2014,1,3,4,30,3
honda accord,388374,0.05916908,Positive,honda accord,The Fault in Our Stars,2008 honda accord,4,honda accord,25,"$124,872,350 ",Twentieth Century Fox,2014,2,18,20,25,4
honda cr-v,335019,0.102384306,Positive,honda cr-v,No Good Deed,2007 honda cr-v,3,honda cr-v,62,"$52,651,326 ",Screen Gems,2014,1,6,7,62,3
honda cr-z,3562,-0.217142857,Negative,honda cr-z,RoboCop,2011 honda cr-z,1,honda cr-z,56,"$58,607,007 ",Sony Pictures Entertainment (SPE),2014,0,1,1,56,1
honda civic,325981,-0.030337914,Negative,honda civic,August: Osage County,1996 honda civic,3,honda civic,85,"$37,484,719 ",The Weinstein Company,2014,1,17,18,85,3
honda crosstour,11802,-0.299459844,Negative,0,,,,,,,,2014,,,,,
honda element,0,-1,Negative,0,,,,,,,,2014,,,,,
honda fcx,2,-0.8,Negative,0,,,,,,,,2014,,,,,
honda fit,59340,0.108889429,Positive,honda fit,Lucy,2011 honda fit,1,honda fit,23,"$126,663,600 ",Universal Pictures,2014,0,3,3,23,1
honda insight,3965,-0.174302374,Negative,0,,,,,,,,2014,,,,,
honda odyssey,122738,-0.048446743,Negative,honda odyssey,Let's Be Cops,2011 honda odyssey,2,honda odyssey,40,"$82,390,774 ",Twentieth Century Fox,2014,0,5,5,40,2
honda pilot,108857,-0.140679518,Negative,honda pilot,Transformers: Age of Extinction,2006 honda pilot,1,honda pilot,5,"$245,439,076 ",Paramount Pictures,2014,0,2,2,5,1
honda ridgeline,13389,-0.244540992,Negative,0,,,,,,,,2014,,,,,
hyundai accent,63309,0.047156704,Positive,hyundai accent,Captain America: The Winter Soldier,hyundai accent,1,hyundai accent,3,"$259,766,572 ",Walt Disney Studios Motion Pictures,2014,0,4,4,3,1
hyundai azera,7232,-0.355494163,Negative,0,,,,,,,,2014,,,,,
hyundai elantra,222023,-0.104428184,Negative,hyundai elantra,About Last Night,2011 hyundai elantra,2,hyundai elantra,70,"$48,637,684 ",Screen Gems,2014,0,9,9,70,2
hyundai equus,3415,-0.045556177,Negative,0,,,,,,,,2014,,,,,
hyundai genesis,29992,-0.072316734,Negative,0,,,,,,,,2014,,,,,
hyundai santa fe,107906,0.214555851,Positive,hyundai santa fe,Captain America: The Winter Soldier,2001 hyundai santa fe,1,hyundai santa fe,3,"$259,766,572 ",Walt Disney Studios Motion Pictures,2014,0,4,4,3,1
hyundai sonata,216936,0.065249843,Positive,hyundai sonata,Transformers: Age of Extinction,2002 hyundai sonata,1,hyundai sonata,5,"$245,439,076 ",Paramount Pictures,2014,0,6,6,5,1
hyundai tucson,47306,0.128859829,Positive,hyundai tucson,Dolphin Tale 2,hyundai tucson,1,hyundai tucson,80,"$42,024,533 ",Warner Bros.,2014,0,1,1,80,1
hyundai veloster,27598,-0.101364332,Negative,0,,,,,,,,2014,,,,,
hyundai veracruz,1,-0.994285714,Negative,0,,,,,,,,2014,,,,,
infiniti q50,36899,1.071115851,Positive,infiniti q50,Horrible Bosses 2,2014 infiniti q50,2,infiniti q50,63,"$51,745,425 ",Warner Bros.,2014,0,1,1,63,2
infiniti q60,7740,-0.210687334,Negative,0,,,,,,,,2014,,,,,
infiniti q70/m,5034,-0.047132311,Negative,infiniti q70/m,Transformers: Age of Extinction,2006 infiniti m,1,infiniti m,5,"$245,439,076 ",Paramount Pictures,2014,0,1,1,5,1
infiniti ex/qx50,2727,0.260166359,Positive,0,,,,,,,,2014,,,,,
infiniti qx60/jx,31192,-0.012973862,Negative,0,,,,,,,,2014,,,,,
infiniti qx70/fx,5213,-0.182915361,Negative,0,,,,,,,,2014,,,,,
infiniti qx80/qx56,12935,-0.016200183,Negative,infiniti qx80/qx56,RoboCop,2008 infiniti qx56,2,infiniti qx56,56,"$58,607,007 ",Sony Pictures Entertainment (SPE),2014,0,1,1,56,2
jaguar f-type,4112,0.827555556,Positive,0,,,,,,,,2014,,,,,
jaguar xf,5880,-0.257763191,Negative,jaguar xf,Gone Girl,2012 jaguar xf [x250],3,jaguar xf,17,"$166,197,583 ",Twentieth Century Fox,2014,2,3,5,17,3
jaguar xj,4329,-0.203349282,Negative,jaguar xj,The Equalizer,1986 jaguar xj6 [series iii],2,jaguar xj,30,"$100,915,604 ",Sony Pictures Entertainment (SPE),2014,0,4,4,30,2
jaguar xk,1452,0.078751857,Positive,jaguar xk,This Is Where I Leave You,1971 jaguar xk-e,3,jaguar xk,88,"$34,296,320 ",Warner Bros.,2014,1,1,2,88,3
jeep cherokee,178508,5.922671217,Positive,jeep cherokee,22 Jump Street,1997 jeep cherokee,1,jeep cherokee,12,"$191,719,337 ",Sony Pictures Entertainment (SPE),2014,0,4,4,12,1
jeep compass,61264,0.156077218,Positive,jeep compass,Annie,2011 jeep compass,1,jeep compass,57,"$56,951,920 ",Sony Pictures Entertainment (SPE),2014,0,1,1,57,1
jeep grand cherokee,183786,0.054574666,Positive,jeep grand cherokee,This Is Where I Leave You,2011 jeep grand cherokee,3,jeep grand cherokee,88,"$34,296,320 ",Warner Bros.,2014,1,7,8,88,3
jeep patriot,93462,0.233056717,Positive,0,,,,,,,,2014,,,,,
jeep wrangler,175328,0.127496752,Positive,jeep wrangler,Interstellar,2013 jeep wrangler unlimited,4,jeep wrangler,15,"$179,387,895 ",Paramount Pictures,2014,3,3,6,15,4
kia cadenza,9267,0.074310225,Positive,0,,,,,,,,2014,,,,,
kia forte,69336,0.04822665,Positive,kia forte,Dumb and Dumber To,2010 kia forte,1,kia forte,35,"$84,966,865 ",Universal Pictures,2014,0,1,1,35,1
kia optima,159020,0.02005863,Positive,kia optima,RoboCop,2011 kia optima,3,kia optima,56,"$58,607,007 ",Sony Pictures Entertainment (SPE),2014,1,3,4,56,3
kia rio,35933,-0.118035443,Negative,kia rio,22 Jump Street,2012 kia rio,1,kia rio,12,"$191,719,337 ",Sony Pictures Entertainment (SPE),2014,0,2,2,12,1
kia sedona,14567,1.057776522,Positive,0,,,,,,,,2014,,,,,
kia sorento,102520,-0.029616939,Negative,kia sorento,Transformers: Age of Extinction,2003 kia sorento,1,kia sorento,5,"$245,439,076 ",Paramount Pictures,2014,0,1,1,5,1
kia soul,145316,0.230667604,Positive,kia soul,22 Jump Street,2010 kia soul,1,kia soul,12,"$191,719,337 ",Sony Pictures Entertainment (SPE),2014,0,2,2,12,1
kia sportage,42945,0.302745336,Positive,kia sportage,Need for Speed,2011 kia sportage,1,kia sportage,76,"$43,577,636 ",Walt Disney Studios Motion Pictures,2014,0,1,1,76,1
land rover discovery / lr4,4679,-0.340335542,Negative,land rover discovery ,,,,,,,,2014,,,,,
land rover lr2,3619,0.091704374,Positive,land rover lr2,Horrible Bosses 2,land-rover lr2,1,land-rover lr2,63,"$51,745,425 ",Warner Bros.,2014,0,1,1,63,1
land rover range rover,12830,0.049832256,Positive,land rover range rover,The Wolf of Wall Street,1989 land-rover range rover series i,2,land-rover range rover,42,"$75,451,759 ",Paramount Pictures,2014,0,7,7,42,2
land rover range rover evoque,12440,0.090749671,Positive,land rover range rover,,,,,,,,2014,,,,,
land rover range rover sport,17897,0.120242864,Positive,land rover range rover sport,The Equalizer,2010 land-rover range rover sport,1,land-rover range rover sport,30,"$100,915,604 ",Sony Pictures Entertainment (SPE),2014,0,4,4,30,1
lexus ct200h,17673,0.172649459,Positive,lexus ct,,,,,,,,2014,,,,,
lexus es/es350,72508,-0.001005773,Negative,lexus es/es350,Captain America: The Winter Soldier,2000 lexus es 300,1,lexus es,3,"$259,766,572 ",Walt Disney Studios Motion Pictures,2014,0,3,3,3,1
lexus gs,22198,0.124404822,Positive,lexus gs,Captain America: The Winter Soldier,2006 lexus gs,1,lexus gs,3,"$259,766,572 ",Walt Disney Studios Motion Pictures,2014,0,2,2,3,1
lexus gx/gx460,22685,0.869232037,Positive,0,,,,,,,,2014,,,,,
lexus is,51358,0.466659051,Positive,lexus is,John Wick,2009 lexus is,1,lexus is,79,"$42,820,432 ",Lionsgate,2014,0,1,1,79,1
lexus lfa,17,-0.260869565,Negative,0,,,,,,,,2014,,,,,
lexus ls,8559,-0.202106833,Negative,lexus ls,Jack Ryan: Shadow Recruit,2001 lexus ls 430,2,lexus ls,66,"$50,577,412 ",Paramount Pictures,2014,0,3,3,66,2
lexus lx/lx570,4052,-0.123891892,Negative,0,,,,,,,,2014,,,,,
