Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
bmw 3-series,94371,-0.064800317,Negative,bmw 3-series,The Hangover Part II,1996 bmw 3 [e36],2,bmw 3,4,"$254,464,305 ",Warner Bros.,2011,0,19,19,4,2
bmw 5-series,51491,0.303965762,Positive,bmw 5-series,No Strings Attached,1986 bmw 528e [e28],3,bmw 5,48,"$70,662,220 ",Paramount Pictures,2011,1,11,12,48,3
bmw 6-series,3903,0.614143921,Positive,bmw 6-series,Mission: Impossible - Ghost Protocol,2011 bmw 6 [f12],3,bmw 6,21,"$122,347,325 ",Paramount Pictures,2011,1,0,1,21,3
bmw 7-series,11299,-0.077858484,Negative,bmw 7-series,The Twilight Saga: Breaking Dawn - Part 1,2011 bmw 750li [f02],2,bmw 7,3,"$274,841,954 ",Summit Entertainment,2011,0,4,4,3,2
bmw x3,27793,3.574979424,Positive,bmw x3,Mission: Impossible - Ghost Protocol,2011 bmw x3 [f25],3,bmw x3,21,"$122,347,325 ",Paramount Pictures,2011,1,2,3,21,3
bmw x5,40547,0.133357558,Positive,bmw x5,The Descendants,2007 bmw x5 [e70],1,bmw x5,82,"$38,295,831 ",Fox Searchlight Pictures,2011,0,1,1,82,1
bmw x6,6192,-0.010388365,Negative,0,,,,,,,,,,,,,
bmw z4,3479,-0.085436383,Negative,bmw z4,Horrible Bosses,2010 bmw z4 [e89],2,bmw z4,23,"$117,538,559 ",Warner Bros.,2011,0,1,1,23,2
buick enclave,58392,0.053512792,Positive,buick enclave,Green Lantern,2008 buick enclave,1,buick enclave,24,"$116,601,172 ",Warner Bros.,2011,0,1,1,24,1
buick lacrosse,58474,-0.044198895,Negative,buick lacrosse,New Year's Eve,2010 buick lacrosse,3,buick lacrosse,72,"$44,205,254 ",Warner Bros.,2011,1,1,2,72,3
buick lucerne,20358,-0.230583166,Negative,buick lucerne,Tower Heist,2010 buick lucerne,3,buick lucerne,42,"$76,650,420 ",Universal Pictures,2011,1,1,2,42,3
buick regal,40144,2.256855428,Positive,buick regal,The Green Hornet,1983 buick regal,2,buick regal,32,"$98,780,042 ",Sony Pictures Entertainment (SPE),2011,0,3,3,32,2
cadillac cts,55042,0.205580866,Positive,cadillac cts,Horrible Bosses,2008 cadillac cts,2,cadillac cts,23,"$117,538,559 ",Warner Bros.,2011,0,4,4,23,2
cadillac dts,11589,-0.378272532,Negative,cadillac dts,We Bought a Zoo,2006 cadillac dts,3,cadillac dts,88,"$37,297,939 ",Twentieth Century Fox,2011,1,4,5,88,3
cadillac escalade,25503,-0.051015852,Negative,cadillac escalade,Horrible Bosses,2007 cadillac escalade,3,cadillac escalade,23,"$117,538,559 ",Warner Bros.,2011,3,4,7,23,3
cadillac srx,56905,0.113731554,Positive,0,,,,,,,,,,,,,
cadillac sts,3338,-0.25374469,Negative,0,,,,,,,,,,,,,
cadillac xlr,12,-0.936170213,Negative,cadillac xlr,Transformers: Dark of the Moon,2004 cadillac xlr,1,cadillac xlr,2,"$352,390,543 ",DreamWorks,2011,0,2,2,2,1
chevrolet avalanche,20088,-0.020814039,Negative,chevrolet avalanche,Paul,2003 chevrolet avalanche,2,chevrolet avalanche,86,"$37,412,945 ",Universal Pictures,2011,0,3,3,86,2
chevrolet aveo,28601,-0.411780433,Negative,chevrolet aveo,Bad Teacher,2005 chevrolet aveo,2,chevrolet aveo,29,"$100,292,856 ",Sony Pictures Entertainment (SPE),2011,0,3,3,29,2
chevrolet camaro,88249,0.085486906,Positive,chevrolet camaro,Transformers: Dark of the Moon,2011 chevrolet camaro,5,chevrolet camaro,2,"$352,390,543 ",DreamWorks,2011,1,3,4,2,5
chevrolet cobalt,856,-0.991209333,Negative,chevrolet cobalt,The Green Hornet,2005 chevrolet cobalt,1,chevrolet cobalt,32,"$98,780,042 ",Sony Pictures Entertainment (SPE),2011,0,3,3,32,1
chevrolet colorado,31026,0.259069881,Positive,chevrolet colorado,We Bought a Zoo,2009 chevrolet colorado,2,chevrolet colorado,88,"$37,297,939 ",Twentieth Century Fox,2011,0,3,3,88,2
chevrolet corvette,13164,0.042775665,Positive,chevrolet corvette,Transformers: Dark of the Moon,2010 chevrolet corvette stingray speedster concept,3,chevrolet corvette,2,"$352,390,543 ",DreamWorks,2011,3,4,7,2,3
chevrolet cruze,231732,8.460379669,Positive,chevrolet cruze,Transformers: Dark of the Moon,2011 chevrolet cruze,3,chevrolet cruze,2,"$352,390,543 ",DreamWorks,2011,1,1,2,2,3
chevrolet equinox,193274,0.288673748,Positive,chevrolet equinox,The Green Hornet,2010 chevrolet equinox,1,chevrolet equinox,32,"$98,780,042 ",Sony Pictures Entertainment (SPE),2011,0,1,1,32,1
chevrolet hhr,37012,-0.509131179,Negative,chevrolet hhr,Rise of the Planet of the Apes,2006 chevrolet hhr,1,chevrolet hhr,9,"$176,760,185 ",Twentieth Century Fox,2011,0,7,7,9,1
chevrolet impala,171434,-0.003742489,Negative,chevrolet impala,Transformers: Dark of the Moon,2010 chevrolet impala ss nascar,4,chevrolet impala,2,"$352,390,543 ",DreamWorks,2011,5,11,16,2,4
chevrolet malibu,204808,0.030376817,Positive,chevrolet malibu,Little Fockers,2010 chevrolet malibu,3,chevrolet malibu,51,"$63,881,175 ",Universal Pictures,2011,2,9,11,51,3
chevrolet silverado,415130,0.121563754,Positive,chevrolet silverado,Thor,2007 chevrolet silverado,2,chevrolet silverado,8,"$181,030,624 ",Paramount Pictures,2011,0,8,8,8,2
chevrolet suburban,49427,0.094680191,Positive,chevrolet suburban,Transformers: Dark of the Moon,2007 chevrolet suburban,3,chevrolet suburban,2,"$352,390,543 ",DreamWorks,2011,4,11,15,2,3
chevrolet tahoe,80527,0.064116287,Positive,chevrolet tahoe,Yogi Bear,1997 chevrolet tahoe,3,chevrolet tahoe,75,"$42,827,461 ",Warner Bros.,2011,2,7,9,75,3
chevrolet trailblazer,33,-0.848623853,Negative,chevrolet trailblazer,Transformers: Dark of the Moon,2006 chevrolet trailblazer,1,chevrolet trailblazer,2,"$352,390,543 ",DreamWorks,2011,0,2,2,2,1
chevrolet traverse,107131,0.003625497,Positive,0,,,,,,,,,,,,,
chevrolet volt,7671,22.53067485,Positive,0,,,,,,,,,,,,,
chrysler 200,87033,340.3058824,Positive,0,,,,,,,,,,,,,
chrysler 300,36285,-0.022389266,Negative,chrysler 300,Contagion,2008 chrysler 300,3,chrysler 300,43,"$75,658,097 ",Warner Bros.,2011,2,9,11,43,3
chrysler pt cruiser,1328,-0.859322034,Negative,chrysler pt cruiser,Thor,2003 chrysler pt cruiser,1,chrysler pt cruiser,8,"$181,030,624 ",Paramount Pictures,2011,0,7,7,8,1
chrysler sebring,2380,-0.933117887,Negative,chrysler sebring,Zookeeper,2009 chrysler sebring,1,chrysler sebring,40,"$80,360,843 ",Sony Pictures Entertainment (SPE),2011,0,8,8,40,1
chrysler town & country,94320,-0.15991984,Negative,chrysler town & country,Dolphin Tale,2005 chrysler town & country,2,chrysler town & country,46,"$71,922,716 ",Warner Bros.,2011,0,4,4,46,2
dodge avenger,64023,0.257251144,Positive,dodge avenger,Colombiana,2008 dodge avenger,2,dodge avenger,93,"$36,665,854 ",TriStar Pictures,2011,0,4,4,93,2
dodge caliber,35049,-0.22255002,Negative,dodge caliber,Rise of the Planet of the Apes,2007 dodge caliber,1,dodge caliber,9,"$176,760,185 ",Twentieth Century Fox,2011,0,3,3,9,1
dodge challenger,39534,0.074556277,Positive,dodge challenger,In Time,1970 dodge challenger,4,dodge challenger,92,"$37,012,131 ",Twentieth Century Fox,2011,4,5,9,92,4
dodge charger,70089,-0.070400679,Negative,dodge charger,Fast Five,2011 dodge charger,4,dodge charger,6,"$209,837,675 ",Universal Pictures,2011,6,15,21,6,4
dodge dakota,12156,-0.068291561,Negative,0,,,,,,,,,,,,,
dodge durango,51697,89.37937063,Positive,dodge durango,Scream 4,2007 dodge durango,4,dodge durango,83,"$38,180,928 ",-,2011,1,3,4,83,4
dodge grand caravan,110862,0.072965361,Positive,dodge grand caravan,Hall Pass,2002 dodge grand caravan,3,dodge grand caravan,71,"$45,060,734 ",Warner Bros.,2011,1,8,9,71,3
dodge journey,55155,0.135413879,Positive,0,,,,,,,,,,,,,
dodge nitro,24434,0.080290034,Positive,dodge nitro,Just Go with It,2007 dodge nitro,1,dodge nitro,27,"$103,028,109 ",Sony Pictures Entertainment (SPE),2011,0,1,1,27,1
dodge ram,244763,0.22594815,Positive,dodge ram,Moneyball,1998 dodge ram,3,dodge ram,44,"$74,896,695 ",Sony Pictures Entertainment (SPE),2011,1,11,12,44,3
dodge viper,197,-0.49744898,Negative,dodge viper,Zookeeper,2008 dodge viper srt-10,1,dodge viper,40,"$80,360,843 ",Sony Pictures Entertainment (SPE),2011,0,2,2,40,1
ford crown victoria,46725,0.385593974,Positive,ford crown victoria,Rise of the Planet of the Apes,2001 ford crown victoria,3,ford crown victoria,9,"$176,760,185 ",Twentieth Century Fox,2011,6,65,71,9,3
ford edge,121702,0.02583511,Positive,ford edge,Battle Los Angeles,2007 ford edge,1,ford edge,37,"$83,552,429 ",Sony Pictures Entertainment (SPE),2011,0,3,3,37,1
ford escape,254293,0.331195753,Positive,ford escape,Fast Five,2009 ford escape,1,ford escape,6,"$209,837,675 ",Universal Pictures,2011,0,9,9,6,1
ford expedition,40499,0.084717163,Positive,ford expedition,"Big Mommas: Like Father, Like Son",2009 ford expedition el gen.3,4,ford expedition,84,"$37,915,414 ",Twentieth Century Fox,2011,1,3,4,84,4
ford explorer,135704,1.236129649,Positive,ford explorer,Diary of a Wimpy Kid: Rodrick Rules,2003 ford explorer,4,ford explorer,65,"$52,698,535 ",Twentieth Century Fox,2011,2,15,17,65,4
ford f-series,584917,0.107065595,Positive,ford f-series,I Am Number Four,1965 ford f-250,3,ford f-,59,"$55,100,437 ",Walt Disney Studios Motion Pictures,2011,2,28,30,59,3
ford fiesta,68574,1.946504533,Positive,ford fiesta,Larry Crowne,2011 ford fiesta mkvi,2,ford fiesta,97,"$35,608,245 ",Universal Pictures,2011,0,3,3,97,2
ford flex,27428,-0.198644345,Negative,ford flex,We Bought a Zoo,2009 ford flex,3,ford flex,88,"$37,297,939 ",Twentieth Century Fox,2011,1,2,3,88,3
ford focus,175717,0.019116001,Positive,ford focus,Fast Five,2000 ford focus,2,ford focus,6,"$209,837,675 ",Universal Pictures,2011,0,16,16,6,2
ford fusion,248067,0.131594433,Positive,ford fusion,The Ides of March,2010 ford fusion,2,ford fusion,77,"$40,796,111 ",Sony Pictures Entertainment (SPE),2011,0,7,7,77,2
ford mustang,70438,-0.044467958,Negative,ford mustang,30 Minutes or Less,1991 ford mustang,4,ford mustang,91,"$37,053,924 ",Sony Pictures Entertainment (SPE),2011,3,15,18,91,4
ford ranger,70832,0.279387328,Positive,ford ranger,Fast Five,2006 ford ranger,1,ford ranger,6,"$209,837,675 ",Universal Pictures,2011,0,4,4,6,1
ford taurus,63526,-0.077448119,Negative,ford taurus,Dolphin Tale,2002 ford taurus,3,ford taurus,46,"$71,922,716 ",Warner Bros.,2011,2,14,16,46,3
gmc acadia,79288,0.160963467,Positive,gmc acadia,Transformers: Dark of the Moon,2007 gmc acadia,2,gmc acadia,2,"$352,390,543 ",DreamWorks,2011,0,1,1,2,2
gmc canyon,9590,0.19994995,Positive,0,,,,,,,,,,,,,
gmc envoy,5,-0.94047619,Negative,gmc envoy,Thor,2004 gmc envoy xl,1,gmc envoy,8,"$181,030,624 ",Paramount Pictures,2011,0,2,2,8,1
gmc sierra,149170,0.14928271,Positive,gmc sierra,Transformers: Dark of the Moon,2003 gmc sierra,2,gmc sierra,2,"$352,390,543 ",DreamWorks,2011,0,10,10,2,2
gmc terrain,83179,0.374427866,Positive,0,,,,,,,,,,,,,
gmc yukon,34250,0.190021195,Positive,gmc yukon,The Green Hornet,2007 gmc yukon,3,gmc yukon,32,"$98,780,042 ",Sony Pictures Entertainment (SPE),2011,1,1,2,32,3
gmc yukon xl,25223,0.05992352,Positive,gmc yukon xl,Tower Heist,2011 gmc yukon xl denali,1,gmc yukon xl,42,"$76,650,420 ",Universal Pictures,2011,0,2,2,42,1
honda accord,235625,-0.243290374,Negative,honda accord,The Descendants,2006 honda accord,4,honda accord,82,"$38,295,831 ",Fox Searchlight Pictures,2011,1,19,20,82,4
honda cr-v,218373,0.071958726,Positive,honda cr-v,Dolphin Tale,2000 honda cr-v,1,honda cr-v,46,"$71,922,716 ",Warner Bros.,2011,0,5,5,46,1
honda cr-z,11330,1.158506382,Positive,0,,,,,,,,,,,,,
honda civic,221235,-0.149809006,Negative,honda civic,Cars 2,2009 honda civic,2,honda civic,7,"$191,452,396 ",Walt Disney Studios Motion Pictures,2011,0,18,18,7,2
honda element,11534,-0.190426055,Negative,honda element,The Muppets,2009 honda element,1,honda element,39,"$81,795,283 ",Walt Disney Studios Motion Pictures,2011,0,1,1,39,1
honda fcx,2,-0.882352941,Negative,0,,,,,,,,,,,,,
honda fit,59235,0.089800199,Positive,honda fit,Source Code,2009 honda fit,1,honda fit,60,"$54,712,227 ",Summit Entertainment,2011,0,1,1,60,1
honda insight,15549,-0.258229177,Negative,honda insight,Hop,2010 honda insight,2,honda insight,25,"$108,085,305 ",Universal Pictures,2011,0,1,1,25,2
honda odyssey,107068,-0.010297462,Negative,honda odyssey,Hall Pass,2008 honda odyssey,4,honda odyssey,71,"$45,060,734 ",Warner Bros.,2011,1,4,5,71,4
honda pilot,116297,0.136567536,Positive,honda pilot,Dolphin Tale,2003 honda pilot,1,honda pilot,46,"$71,922,716 ",Warner Bros.,2011,0,1,1,46,1
honda ridgeline,9759,-0.395428076,Negative,0,,,,,,,,,,,,,
honda s2000,5,-0.941176471,Negative,honda s2000,The Green Hornet,2000 honda s2000,1,honda s2000,32,"$98,780,042 ",Sony Pictures Entertainment (SPE),2011,0,1,1,32,1
hyundai accent,55601,0.06976431,Positive,hyundai accent,Paul,2008 hyundai accent,2,hyundai accent,86,"$37,412,945 ",Universal Pictures,2011,0,7,7,86,2
hyundai azera,1524,-0.500491642,Negative,0,,,,,,,,,,,,,
hyundai elantra,186361,0.409199522,Positive,hyundai elantra,Fast Five,2009 hyundai elantra touring,1,hyundai elantra,6,"$209,837,675 ",Universal Pictures,2011,0,4,4,6,1
hyundai equus,3193,15.29081633,Positive,0,,,,,,,,,,,,,
hyundai genesis,32998,0.133095254,Positive,0,,,,,,,,,,,,,
hyundai santa fe,74391,-0.02985133,Negative,hyundai santa fe,Thor,2010 hyundai santa fe,2,hyundai santa fe,8,"$181,030,624 ",Paramount Pictures,2011,0,3,3,8,2
hyundai sonata,225961,0.149209401,Positive,hyundai sonata,Transformers: Dark of the Moon,1999 hyundai sonata,1,hyundai sonata,2,"$352,390,543 ",DreamWorks,2011,0,6,6,2,1
hyundai tucson,47232,0.192908016,Positive,0,,,,,,,,,,,,,
hyundai veracruz,9146,0.046333371,Positive,0,,,,,,,,,,,,,
infiniti g,58246,0.001771494,Positive,infiniti g,The Green Hornet,infiniti g37,1,infiniti g,32,"$98,780,042 ",Sony Pictures Entertainment (SPE),2011,0,2,2,32,1
infiniti q70/m,10818,-0.259953482,Negative,0,,,,,,,,,,,,,
infiniti ex/qx50,6030,-0.27454283,Negative,0,,,,,,,,,,,,,
infiniti qx70/fx,9939,-0.046161228,Negative,0,,,,,,,,,,,,,
infiniti qx80/qx56,13428,0.126699111,Positive,0,,,,,,,,,,,,,
jaguar xf,5303,-0.234223827,Negative,jaguar xf,Rise of the Planet of the Apes,2009 jaguar xf [x250],2,jaguar xf,9,"$176,760,185 ",Twentieth Century Fox,2011,0,2,2,9,2
jaguar xj,5235,0.223702665,Positive,jaguar xj,The Green Hornet,1996 jaguar xj6 [x300],2,jaguar xj,32,"$98,780,042 ",Sony Pictures Entertainment (SPE),2011,0,2,2,32,2
jaguar xk,1738,-0.186710342,Negative,jaguar xk,In Time,1969 jaguar xk-e  [1r8763],3,jaguar xk,92,"$37,012,131 ",Twentieth Century Fox,2011,1,3,4,92,3
jeep commander,105,-0.987060998,Negative,jeep commander,Real Steel,2006 jeep commander,1,jeep commander,35,"$84,367,160 ",Walt Disney Studios Motion Pictures,2011,0,2,2,35,1
jeep compass,47709,2.001698754,Positive,0,,,,,,,,,,,,,
jeep grand cherokee,127744,0.509351923,Positive,jeep grand cherokee,Transformers: Dark of the Moon,1993 jeep grand cherokee,1,jeep grand cherokee,2,"$352,390,543 ",DreamWorks,2011,0,10,10,2,1
jeep liberty,66684,0.345411993,Positive,jeep liberty,Battle Los Angeles,2005 jeep liberty,1,jeep liberty,37,"$83,552,429 ",Sony Pictures Entertainment (SPE),2011,0,2,2,37,1
jeep patriot,54647,0.414992232,Positive,0,,,,,,,,,,,,,
jeep wrangler,122460,0.298483724,Positive,jeep wrangler,Green Lantern,2010 jeep wrangler unlimited,3,jeep wrangler,24,"$116,601,172 ",Warner Bros.,2011,2,6,8,24,3
kia amanti,8,-0.971530249,Negative,0,,,,,,,,,,,,,
kia borrego,429,-0.956380275,Negative,0,,,,,,,,,,,,,
kia forte,76295,0.11379562,Positive,0,,,,,,,,,,,,,
kia optima,84590,2.089255715,Positive,kia optima,Zookeeper,2006 kia optima,1,kia optima,40,"$80,360,843 ",Sony Pictures Entertainment (SPE),2011,0,2,2,40,1
kia rio,20111,-0.183110606,Negative,kia rio,Fast Five,2010 kia rio,1,kia rio,6,"$209,837,675 ",Universal Pictures,2011,0,2,2,6,1
kia rondo,47,-0.98690078,Negative,0,,,,,,,,,,,,,
kia sedona,24047,0.101910828,Positive,kia sedona,Transformers: Dark of the Moon,2006 kia sedona,1,kia sedona,2,"$352,390,543 ",DreamWorks,2011,0,1,1,2,1
kia sorento,130235,0.194980961,Positive,0,,,,,,,,,,,,,
kia soul,102267,0.523871256,Positive,kia soul,Thor,2010 kia soul,1,kia soul,8,"$181,030,624 ",Paramount Pictures,2011,0,2,2,8,1
kia sportage,47463,0.988145604,Positive,kia sportage,Rise of the Planet of the Apes,2000 kia sportage,1,kia sportage,9,"$176,760,185 ",Twentieth Century Fox,2011,0,1,1,9,1
land rover discovery / lr4,7984,0.121033418,Positive,land rover discovery ,,,,,,,,,,,,,
land rover lr2,2777,-0.238969581,Negative,0,,,,,,,,,,,,,
land rover range rover,9761,0.116053053,Positive,land rover range rover,Hanna,1995 land-rover range rover series ii,4,land-rover range rover,78,"$40,259,119 ",Focus Features,2011,1,4,5,78,4
land rover range rover sport,15333,0.241840123,Positive,land rover range rover sport,The Girl with the Dragon Tattoo,land-rover range rover sport,3,land-rover range rover sport,67,"$50,338,690 ",Sony Pictures Entertainment (SPE),2011,1,1,2,67,3
lexus es/es350,40873,-0.159890652,Negative,lexus es/es350,Rise of the Planet of the Apes,1995 lexus es 300,1,lexus es,9,"$176,760,185 ",Twentieth Century Fox,2011,0,3,3,9,1
lexus gs,3746,-0.469329933,Negative,lexus gs,Mission: Impossible - Ghost Protocol,1993 lexus gs 300,1,lexus gs,21,"$122,347,325 ",Paramount Pictures,2011,0,2,2,21,1
lexus gx/gx460,11609,-0.294285714,Negative,lexus gx/gx460,Zookeeper,2003 lexus gx,1,lexus gx,40,"$80,360,843 ",Sony Pictures Entertainment (SPE),2011,0,1,1,40,1
lexus hs/hs250h,2864,-0.731407671,Negative,0,,,,,,,,,,,,,
lexus is,29669,-0.130680653,Negative,lexus is,Battle Los Angeles,2006 lexus is,1,lexus is,37,"$83,552,429 ",Sony Pictures Entertainment (SPE),2011,0,1,1,37,1
lexus ls,9568,-0.220529532,Negative,lexus ls,Mission: Impossible - Ghost Protocol,2004 lexus ls 430,1,lexus ls,21,"$122,347,325 ",Paramount Pictures,2011,0,4,4,21,1
lexus lx/lx570,3167,-0.2048707,Negative,0,,,,,,,,,,,,,
lexus rx,82595,-0.137749243,Negative,lexus rx,Limitless,2006 lexus rx 400h,1,lexus rx,41,"$79,249,455 ",Relativity Media,2011,0,2,2,41,1
lexus sc430,18,-0.945121951,Negative,0,,,,,,,,,,,,,
lincoln mks,12217,-0.152597628,Negative,0,,,,,,,,,,,,,
lincoln mkt,5024,-0.324277068,Negative,lincoln mkt,Larry Crowne,2010 lincoln mkt,1,lincoln mkt,97,"$35,608,245 ",Universal Pictures,2011,0,1,1,97,1
lincoln mkx/nautilus,23395,0.066706183,Positive,lincoln mkx/nautilus,The Ides of March,2011 lincoln mkx,1,lincoln mkx,77,"$40,796,111 ",Sony Pictures Entertainment (SPE),2011,0,1,1,77,1
lincoln mkz,27529,0.221610828,Positive,lincoln mkz,Something Borrowed,2010 lincoln mkz,1,lincoln mkz,80,"$39,046,489 ",Warner Bros.,2011,0,1,1,80,1
lincoln navigator,8018,-0.027531837,Negative,lincoln navigator,Battle Los Angeles,1998 lincoln navigator,1,lincoln navigator,37,"$83,552,429 ",Sony Pictures Entertainment (SPE),2011,0,1,1,37,1
lincoln town car,9460,-0.16015625,Negative,lincoln town car,The Lincoln Lawyer,1986 lincoln town car,5,lincoln town car,56,"$58,009,200 ",Lionsgate,2011,4,21,25,56,5
mazda 2,13952,3.618338299,Positive,0,,,,,,,,,,,,,
mazda 3,102417,-0.037008829,Negative,mazda 3,Contagion,2010 mazda 3,2,mazda 3,43,"$75,658,097 ",Warner Bros.,2011,0,4,4,43,2
mazda 5,19155,0.221386214,Positive,mazda 5,Final Destination 5,2006 mazda 5,1,mazda 5,76,"$42,587,643 ",Warner Bros.,2011,0,1,1,76,1
mazda 6,35711,0.001374012,Positive,mazda 6,Fast Five,2000 mazda 626,3,mazda 6,6,"$209,837,675 ",Universal Pictures,2011,1,4,5,6,3
mazda cx-7,35641,0.238050577,Positive,mazda cx-7,Contagion,2010 mazda cx-7,3,mazda cx-7,43,"$75,658,097 ",Warner Bros.,2011,1,0,1,43,3
mazda cx-9,34421,0.190708454,Positive,mazda cx-9,Contagion,2010 mazda cx-9,1,mazda cx-9,43,"$75,658,097 ",Warner Bros.,2011,0,1,1,43,1
mazda mx-5 miata,5674,-0.109262166,Negative,0,,,,,,,,,,,,,
mazda rx-8,759,-0.330687831,Negative,mazda rx-8,Fast Five,2005 mazda rx-8,1,mazda rx-8,6,"$209,837,675 ",Universal Pictures,2011,0,1,1,6,1
mazda tribute,2696,-0.258729722,Negative,0,,,,,,,,,,,,,
mercedes-benz b-class,19,18,Positive,mercedes-benz b-class,Unknown,2005 mercedes-benz b-klasse [w245],2,mercedes-benz b,52,"$63,686,397 ",Warner Bros.,2011,0,2,2,52,2
mercedes-benz c-class,69314,0.179110317,Positive,mercedes-benz c-class,Cars 2,2007 mercedes-benz c-klasse dtm [w204],2,mercedes-benz c,7,"$191,452,396 ",Walt Disney Studios Motion Pictures,2011,0,15,15,7,2
mercedes-benz cl-class,943,-0.088888889,Negative,0,,,,,,,,,,,,,
mercedes-benz clk-class,6,-0.98974359,Negative,mercedes-benz clk-class,Limitless,1998 mercedes-benz clk 320 [c208],1,mercedes-benz clk,41,"$79,249,455 ",Relativity Media,2011,0,2,2,41,1
mercedes-benz cls-class,5665,1.653395785,Positive,mercedes-benz cls-class,Horrible Bosses,2006 mercedes-benz cls 55 amg [c219],2,mercedes-benz cls,23,"$117,538,559 ",Warner Bros.,2011,0,1,1,23,2
mercedes-benz e-class,62736,0.029775779,Positive,mercedes-benz e-class,Unknown,1994 mercedes-benz e-klasse [w124],3,mercedes-benz e,52,"$63,686,397 ",Warner Bros.,2011,4,13,17,52,3
mercedes-benz g-class,1191,0.295973885,Positive,mercedes-benz g-class,The Dilemma,2002 mercedes-benz g 55 amg [w463],2,mercedes-benz g,69,"$48,475,290 ",Universal Pictures,2011,0,1,1,69,2
mercedes-benz gl-class/gls-class,25139,0.260542546,Positive,mercedes-benz gl-class,,,,,,,,,,,,,
mercedes-benz gle-class/m-class,35835,0.206646912,Positive,0,,,,,,,,,,,,,
mercedes-benz glk-class,24310,0.160603457,Positive,0,,,,,,,,,,,,,
mercedes-benz r-class,2385,-0.187946885,Negative,mercedes-benz r-class,The Girl with the Dragon Tattoo,2006 mercedes-benz r-klasse [w251],2,mercedes-benz r,67,"$50,338,690 ",Sony Pictures Entertainment (SPE),2011,0,2,2,67,2
mercedes-benz s-class,12258,-0.099206349,Negative,mercedes-benz s-class,"Big Mommas: Like Father, Like Son",2003 mercedes-benz s 500 [w220],4,mercedes-benz s,84,"$37,915,414 ",Twentieth Century Fox,2011,1,14,15,84,4
mercedes-benz sl-class,1449,-0.39245283,Negative,mercedes-benz sl-class,Rise of the Planet of the Apes,mercedes-benz sl 63 amg [r230],1,mercedes-benz sl,9,"$176,760,185 ",Twentieth Century Fox,2011,0,9,9,9,1
mercedes-benz slk-class/slc-class,3220,0.626262626,Positive,mercedes-benz slk-class,,,,,,,,,,,,,
mercedes-benz sls amg,722,0.446893788,Positive,mercedes-benz sls amg,Transformers: Dark of the Moon,2011 mercedes-benz sls amg [c197],3,mercedes-benz sls amg,2,"$352,390,543 ",DreamWorks,2011,1,1,2,2,3
mercedes-benz sprinter,16577,0.936791681,Positive,mercedes-benz sprinter,Unknown,2009 mercedes-benz sprinter [w906],2,mercedes-benz sprinter,52,"$63,686,397 ",Warner Bros.,2011,0,3,3,52,2
mercury grand marquis,248,-0.991311355,Negative,mercury grand marquis,Transformers: Dark of the Moon,2006 mercury grand marquis,2,mercury grand marquis,2,"$352,390,543 ",DreamWorks,2011,0,9,9,2,2
