Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
acura mdx,43271,-0.083435713,Negative,acura mdx,Thor,2010 acura mdx,2,acura mdx,8,"$181,030,624 ",Paramount Pictures,2011,0,2,2,8,2
acura rdx,15196,0.01475793,Positive,0,,,,,,,,,,,,,
acura rl,1096,-0.461953854,Negative,0,,,,,,,,,,,,,
acura tl,31237,-0.08258686,Negative,acura tl,The Smurfs,2009 acura tl,1,acura tl,17,"$142,614,158 ",Sony Pictures Entertainment (SPE),2011,0,4,4,17,1
acura tsx,30935,-0.035571767,Negative,0,,,,,,,,,,,,,
acura zdx,1564,-0.52009819,Negative,acura zdx,Thor,2010 acura zdx,2,acura zdx,8,"$181,030,624 ",Paramount Pictures,2011,0,1,1,8,2
audi a3,6561,0.000457457,Positive,audi a3,No Strings Attached,2010 audi a3,3,audi a3,48,"$70,662,220 ",Paramount Pictures,2011,1,2,3,48,3
audi a4,35234,0.016209045,Positive,audi a4,Jumping the Broom,2006 audi a4 b7,3,audi a4,89,"$37,295,394 ",TriStar Pictures,2011,1,8,9,89,3
audi a5,15385,-0.060687466,Negative,0,,,,,,,,,,,,,
audi a6,11124,0.282305476,Positive,audi a6,Contagion,2005 audi a6 c6,2,audi a6,43,"$75,658,097 ",Warner Bros.,2011,0,2,2,43,2
audi a8,5700,2.747534517,Positive,audi a8,The Girl with the Dragon Tattoo,2010 audi a8 d4,2,audi a8,67,"$50,338,690 ",Sony Pictures Entertainment (SPE),2011,0,1,1,67,2
audi q5,24908,0.059103665,Positive,0,,,,,,,,,,,,,
audi q7,8998,0.128134403,Positive,0,,,,,,,,,,,,,
audi r8,1145,0.433041302,Positive,audi r8,Bad Teacher,2008 audi r8,2,audi r8,29,"$100,292,856 ",Sony Pictures Entertainment (SPE),2011,0,2,2,29,2
audi tt,2236,0.460483344,Positive,audi tt,Cars 2,1999 audi tt,1,audi tt,7,"$191,452,396 ",Walt Disney Studios Motion Pictures,2011,0,2,2,7,1
bmw 1-series,8832,-0.327444411,Negative,bmw 1-series,Mission: Impossible - Ghost Protocol,2011 bmw 118i [f20],2,bmw 1,21,"$122,347,325 ",Paramount Pictures,2011,0,2,2,21,2
