Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
acura ilx,14685,0.302670097,Positive,0,,,,,,,,2019,,,,,
acura mdx,52019,0.009842367,Positive,acura mdx,Glass,2014 acura mdx,1,acura mdx,24,"$111,048,468 ",Universal Pictures,2019,0,3,3,24,1
acura nsx,238,0.4,Positive,0,,,,,,,,2019,,,,,
acura rdx,62876,-0.011072664,Negative,acura rdx,Uncut Gems,2016 acura rdx,1,acura rdx,91,"$25,253,119 ",A24,2019,0,1,1,91,1
acura rlx,1019,-0.472294148,Negative,0,,,,,,,,2019,,,,,
acura tlx,26548,-0.128659577,Negative,acura tl,,,,,,,,2019,,,,,
alfa romeo 4c,145,-0.390756303,Negative,alfa romeo 4c,The Hustle,2015 alfa romeo 4c spider,2,alfa romeo 4c,74,"$35,417,038 ",United Artists Releasing,2019,0,1,1,74,2
alfa romeo giulia,8705,-0.244292039,Negative,alfa romeo giulia,The Upside,2017 alfa romeo giulia quadrifoglio,3,alfa romeo giulia,26,"$108,252,517 ",STX Entertainment,2019,1,0,1,26,3
alfa romeo stelvio,9444,-0.215810014,Negative,0,,,,,,,,2019,,,,,
audi a3,10418,-0.430865884,Negative,audi a3,Men in Black: International,2003 audi a3,1,audi a3,36,"$80,001,807 ",Sony Pictures Entertainment (SPE),2019,0,1,1,36,1
audi a4,26435,-0.229547375,Negative,audi a4,Glass,2017 audi a4 b9,2,audi a4,24,"$111,048,468 ",Universal Pictures,2019,0,6,6,24,2
audi a5,23023,-0.113545357,Negative,0,,,,,,,,2019,,,,,
audi a6,17807,0.68610927,Positive,audi a6,Pokémon Detective Pikachu,2015 audi a6 avant c7,1,audi a6,17,"$144,105,346 ",Warner Bros.,2019,0,2,2,17,1
audi a7,4955,0.286344756,Positive,audi a7,Spider-Man: Far from Home,2018 audi a7 sportback c8,2,audi a7,7,"$390,532,085 ",Sony Pictures Entertainment (SPE),2019,0,1,1,7,2
audi a8,2963,0.853033146,Positive,audi a8,Yesterday,2016 audi a8 l d4,2,audi a8,38,"$73,286,650 ",Universal Pictures,2019,0,2,2,38,2
audi q3,14822,-0.119206085,Negative,audi q3,Pet Sematary,2016 audi q3,1,audi q3,53,"$54,724,696 ",Paramount Pictures,2019,0,1,1,53,1
audi q5,67516,-0.035182486,Negative,audi q5,Spider-Man: Far from Home,2017 audi q5,2,audi q5,7,"$390,532,085 ",Sony Pictures Entertainment (SPE),2019,0,2,2,7,2
audi q7,34649,-0.073977069,Negative,audi q7,Terminator: Dark Fate,2006 audi q7,2,audi q7,45,"$62,253,077 ",Paramount Pictures,2019,0,2,2,45,2
