Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
buick enclave,56703,-0.028925195,Negative,0,,,,,,,,2012,,,,,
buick lacrosse,57076,-0.023908062,Negative,buick lacrosse,Flight,2006 buick lacrosse,4,buick lacrosse,27,"$91,978,551 ",Paramount Pictures,2012,1,3,4,27,4
buick lucerne,971,-0.952303763,Negative,buick lucerne,The Amazing Spider-Man,2006 buick lucerne,1,buick lucerne,6,"$262,030,663 ",Sony Pictures Entertainment (SPE),2012,0,2,2,6,1
buick regal,24616,-0.386807493,Negative,buick regal,Skyfall,2002 buick regal,1,buick regal,4,"$290,904,271 ",Sony Pictures Entertainment (SPE),2012,0,5,5,4,1
buick verano,41042,153.8754717,Positive,0,,,,,,,,2012,,,,,
cadillac cts,46979,-0.146488136,Negative,cadillac cts,That's My Boy,2010 cadillac cts,3,cadillac cts,92,"$36,931,089 ",Sony Pictures Entertainment (SPE),2012,1,5,6,92,3
cadillac dts,465,-0.959875744,Negative,cadillac dts,We Bought a Zoo,2006 cadillac dts,3,cadillac dts,88,"$38,785,097 ",Twentieth Century Fox,2012,1,0,1,88,3
cadillac escalade,22632,-0.112574991,Negative,cadillac escalade,Mission: Impossible - Ghost Protocol,2007 cadillac escalade esv,2,cadillac escalade,30,"$87,050,578 ",Paramount Pictures,2012,0,5,5,30,2
cadillac srx,57485,0.010192426,Positive,cadillac srx,The Amazing Spider-Man,2010 cadillac srx,1,cadillac srx,6,"$262,030,663 ",Sony Pictures Entertainment (SPE),2012,0,1,1,6,1
cadillac sts,164,-0.950868784,Negative,0,,,,,,,,2012,,,,,
chevrolet avalanche,23995,0.194494225,Positive,chevrolet avalanche,Magic Mike,2010 chevrolet avalanche,1,chevrolet avalanche,23,"$113,721,571 ",Warner Bros.,2012,0,3,3,23,1
chevrolet aveo,67,-0.997657425,Negative,chevrolet aveo,Looper,2005 chevrolet aveo,1,chevrolet aveo,41,"$66,475,042 ",TriStar Pictures,2012,0,3,3,41,1
chevrolet camaro,84391,-0.043717209,Negative,chevrolet camaro,21 Jump Street,1970 chevrolet camaro,3,chevrolet camaro,18,"$138,447,667 ",Sony Pictures Entertainment (SPE),2012,2,4,6,18,3
chevrolet caprice ppv,3734,3.243181818,Positive,0,,,,,,,,2012,,,,,
chevrolet captiva sport,36935,4.247939756,Positive,0,,,,,,,,2012,,,,,
chevrolet cobalt,11,-0.987149533,Negative,chevrolet cobalt,Madea's Witness Protection,2005 chevrolet cobalt,2,chevrolet cobalt,42,"$65,653,242 ",Lionsgate,2012,0,7,7,42,2
chevrolet colorado,36840,0.18739122,Positive,chevrolet colorado,We Bought a Zoo,2009 chevrolet colorado,2,chevrolet colorado,88,"$38,785,097 ",Twentieth Century Fox,2012,0,1,1,88,2
chevrolet corvette,14132,0.07353388,Positive,chevrolet corvette,The Campaign,chevrolet corvette c6,2,chevrolet corvette,31,"$86,907,746 ",Warner Bros.,2012,0,5,5,31,2
chevrolet cruze,237758,0.026004177,Positive,chevrolet cruze,Chronicle,2011 chevrolet cruze,1,chevrolet cruze,45,"$64,575,175 ",Twentieth Century Fox,2012,0,1,1,45,1
chevrolet equinox,218621,0.13114542,Positive,chevrolet equinox,American Reunion,2010 chevrolet equinox,3,chevrolet equinox,54,"$57,011,521 ",Universal Pictures,2012,1,0,1,54,3
chevrolet hhr,21,-0.999432616,Negative,chevrolet hhr,Ted,2006 chevrolet hhr,1,chevrolet hhr,9,"$218,815,487 ",Universal Pictures,2012,0,3,3,9,1
chevrolet impala,169351,-0.012150449,Negative,chevrolet impala,Hope Springs,2010 chevrolet impala,3,chevrolet impala,47,"$63,536,011 ",Sony Pictures Entertainment (SPE),2012,2,26,28,47,3
chevrolet malibu,210951,0.029993946,Positive,chevrolet malibu,Ted,2008 chevrolet malibu,2,chevrolet malibu,9,"$218,815,487 ",Universal Pictures,2012,0,6,6,9,2
chevrolet silverado,418312,0.007665069,Positive,chevrolet silverado,Looper,2010 chevrolet silverado,3,chevrolet silverado,41,"$66,475,042 ",TriStar Pictures,2012,1,6,7,41,3
chevrolet sonic,81247,4.14938522,Positive,0,,,,,,,,2012,,,,,
chevrolet suburban,48116,-0.026523965,Negative,chevrolet suburban,This Means War,2000 chevrolet suburban,3,chevrolet suburban,56,"$54,760,791 ",Twentieth Century Fox,2012,1,11,12,56,3
chevrolet tahoe,68904,-0.144336682,Negative,chevrolet tahoe,21 Jump Street,2000 chevrolet tahoe,2,chevrolet tahoe,18,"$138,447,667 ",Sony Pictures Entertainment (SPE),2012,0,7,7,18,2
chevrolet traverse,85606,-0.200922235,Negative,chevrolet traverse,The Watch,2010 chevrolet traverse,4,chevrolet traverse,94,"$35,353,000 ",Twentieth Century Fox,2012,1,1,2,94,4
chevrolet volt,23461,2.058401773,Positive,chevrolet volt,Think Like a Man,2011 chevrolet volt,1,chevrolet volt,28,"$91,547,205 ",Screen Gems,2012,0,1,1,28,1
chrysler 200,125476,0.44170602,Positive,chrysler 200,Total Recall,2012 chrysler 200,1,chrysler 200,52,"$58,877,969 ",Sony Pictures Entertainment (SPE),2012,0,4,4,52,1
chrysler 300,70747,0.949758854,Positive,chrysler 300,The Amazing Spider-Man,2005 chrysler 300,1,chrysler 300,6,"$262,030,663 ",Sony Pictures Entertainment (SPE),2012,0,4,4,6,1
chrysler town & country,111744,0.184732824,Positive,chrysler town & country,Madea's Witness Protection,2009 chrysler town & country,3,chrysler town & country,42,"$65,653,242 ",Lionsgate,2012,2,7,9,42,3
dodge avenger,96890,0.513362385,Positive,0,,,,,,,,2012,,,,,
dodge caliber,10176,-0.709663614,Negative,dodge caliber,That's My Boy,2007 dodge caliber,1,dodge caliber,92,"$36,931,089 ",Sony Pictures Entertainment (SPE),2012,0,1,1,92,1
dodge challenger,43119,0.090681439,Positive,dodge challenger,The Lucky One,2009 dodge challenger,3,dodge challenger,50,"$60,457,138 ",Warner Bros.,2012,1,1,2,50,3
dodge charger,82592,0.178387479,Positive,dodge charger,Journey 2: The Mysterious Island,2006 dodge charger,3,dodge charger,26,"$103,860,290 ",Warner Bros.,2012,2,6,8,26,3
dodge dakota,490,-0.959690688,Negative,dodge dakota,Underworld: Awakening,2005 dodge dakota,2,dodge dakota,49,"$62,321,039 ",Screen Gems,2012,0,5,5,49,2
dodge durango,42589,-0.176180436,Negative,dodge durango,The Bourne Legacy,2011 dodge durango,2,dodge durango,24,"$113,203,870 ",Universal Pictures,2012,0,1,1,24,2
dodge grand caravan,141468,0.276072956,Positive,dodge grand caravan,Project X,2005 dodge grand caravan,3,dodge grand caravan,57,"$54,731,865 ",Warner Bros.,2012,1,5,6,57,3
dodge journey,79563,0.442534675,Positive,dodge journey,Pitch Perfect,2009 dodge journey,1,dodge journey,46,"$64,427,368 ",Universal Pictures,2012,0,1,1,46,1
dodge nitro,3269,-0.866211017,Negative,dodge nitro,American Reunion,2009 dodge nitro,2,dodge nitro,54,"$57,011,521 ",Universal Pictures,2012,0,1,1,54,2
dodge ram,293363,0.198559423,Positive,dodge ram,Red Dawn,1991 dodge ram,4,dodge ram,79,"$43,468,052 ",FilmDistrict,2012,5,7,12,79,4
dodge viper,20,-0.898477157,Negative,0,,,,,,,,2012,,,,,
fiat 500,43772,1.214173706,Positive,fiat 500,Parental Guidance,2012 fiat 500,2,fiat 500,98,"$33,993,350 ",Twentieth Century Fox,2012,0,3,3,98,2
ford crown victoria,4429,-0.905211343,Negative,ford crown victoria,End of Watch,1999 ford crown victoria,4,ford crown victoria,85,"$40,766,734 ",Open Road Films (II),2012,7,46,53,85,4
ford edge,127969,0.051494634,Positive,ford edge,The Lucky One,2007 ford edge,2,ford edge,50,"$60,457,138 ",Warner Bros.,2012,0,2,2,50,2
ford escape,261008,0.026406547,Positive,ford escape,Journey 2: The Mysterious Island,2009 ford escape,2,ford escape,26,"$103,860,290 ",Warner Bros.,2012,0,10,10,26,2
ford expedition,38062,-0.060174325,Negative,ford expedition,The Dark Knight Rises,2008 ford expedition gen.3,2,ford expedition,2,"$448,139,099 ",Warner Bros.,2012,0,3,3,2,2
ford explorer,164207,0.210038024,Positive,ford explorer,Diary of a Wimpy Kid: Dog Days,2002 ford explorer,3,ford explorer,67,"$49,008,662 ",Twentieth Century Fox,2012,1,12,13,67,3
ford f-series,645316,0.103260805,Positive,ford f-series,Magic Mike,2012 ford f-150,4,ford f-,23,"$113,721,571 ",Warner Bros.,2012,9,29,38,23,4
ford fiesta,56775,-0.172062298,Negative,ford fiesta,Skyfall,2001 ford fiesta mkiv,1,ford fiesta,4,"$290,904,271 ",Sony Pictures Entertainment (SPE),2012,0,3,3,4,1
ford flex,28224,0.029021438,Positive,ford flex,We Bought a Zoo,2009 ford flex,3,ford flex,88,"$38,785,097 ",Twentieth Century Fox,2012,1,1,2,88,3
ford focus,245922,0.399534479,Positive,ford focus,This Means War,2000 ford focus,2,ford focus,56,"$54,760,791 ",Twentieth Century Fox,2012,0,12,12,56,2
ford fusion,241263,-0.027428074,Negative,ford fusion,Skyfall,2006 ford fusion,1,ford fusion,4,"$290,904,271 ",Sony Pictures Entertainment (SPE),2012,0,3,3,4,1
ford mustang,82995,0.178270252,Positive,ford mustang,21 Jump Street,1991 ford mustang,3,ford mustang,18,"$138,447,667 ",Sony Pictures Entertainment (SPE),2012,4,23,27,18,3
ford ranger,19366,-0.726592501,Negative,ford ranger,The Odd Life of Timothy Green,1998 ford ranger,2,ford ranger,62,"$51,816,367 ",Walt Disney Studios Motion Pictures,2012,0,7,7,62,2
ford taurus,74375,0.170780468,Positive,ford taurus,Men in Black 3,2010 ford taurus sho,3,ford taurus,12,"$179,020,854 ",Sony Pictures Entertainment (SPE),2012,2,15,17,12,3
gmc acadia,78280,-0.012713147,Negative,gmc acadia,This Is 40,2007 gmc acadia,1,gmc acadia,87,"$38,951,960 ",Universal Pictures,2012,0,1,1,87,1
gmc canyon,8735,-0.08915537,Negative,0,,,,,,,,2012,,,,,
gmc sierra,157185,0.053730643,Positive,gmc sierra,Act of Valor,1997 gmc sierra,3,gmc sierra,38,"$70,012,847 ",Relativity Media,2012,1,3,4,38,3
gmc terrain,97786,0.175609228,Positive,0,,,,,,,,2012,,,,,
gmc yukon,27818,-0.18779562,Negative,gmc yukon,This Means War,2000 gmc yukon,3,gmc yukon,56,"$54,760,791 ",Twentieth Century Fox,2012,2,2,4,56,3
gmc yukon xl,23427,-0.071204853,Negative,gmc yukon,,,,,,,,2012,,,,,
honda accord,331872,0.408475332,Positive,honda accord,The Descendants,2006 honda accord,4,honda accord,76,"$44,209,129 ",Fox Searchlight Pictures,2012,1,17,18,76,4
honda cr-v,281652,0.289774835,Positive,honda cr-v,21 Jump Street,2002 honda cr-v,1,honda cr-v,18,"$138,447,667 ",Sony Pictures Entertainment (SPE),2012,0,8,8,18,1
honda cr-z,4192,-0.630008826,Negative,0,,,,,,,,2012,,,,,
honda civic,317909,0.436974258,Positive,honda civic,Think Like a Man,1996 honda civic coupé,3,honda civic,28,"$91,547,205 ",Screen Gems,2012,1,22,23,28,3
honda crosstour,20848,0.15989763,Positive,0,,,,,,,,2012,,,,,
honda element,3,-0.999739899,Negative,honda element,This Is 40,2007 honda element,1,honda element,87,"$38,951,960 ",Universal Pictures,2012,0,1,1,87,1
honda fcx,5,1.5,Positive,0,,,,,,,,2012,,,,,
honda fit,49346,-0.166945218,Negative,honda fit,Looper,2007 honda fit,2,honda fit,41,"$66,475,042 ",TriStar Pictures,2012,0,2,2,41,2
honda insight,5846,-0.624027269,Negative,0,,,,,,,,2012,,,,,
honda odyssey,125980,0.176635409,Positive,honda odyssey,21 Jump Street,2008 honda odyssey,1,honda odyssey,18,"$138,447,667 ",Sony Pictures Entertainment (SPE),2012,0,2,2,18,1
honda pilot,114848,-0.012459479,Negative,honda pilot,Project X,2003 honda pilot,1,honda pilot,57,"$54,731,865 ",Warner Bros.,2012,0,2,2,57,1
honda ridgeline,14068,0.441541142,Positive,0,,,,,,,,2012,,,,,
honda s2000,0,-1,Negative,honda s2000,The Watch,2001 honda s2000,1,honda s2000,94,"$35,353,000 ",Twentieth Century Fox,2012,0,1,1,94,1
hyundai accent,61004,0.097174511,Positive,hyundai accent,21 Jump Street,2003 hyundai accent,3,hyundai accent,18,"$138,447,667 ",Sony Pictures Entertainment (SPE),2012,1,6,7,18,3
hyundai azera,8431,4.532152231,Positive,hyundai azera,Ted,2006 hyundai azera,1,hyundai azera,9,"$218,815,487 ",Universal Pictures,2012,0,1,1,9,1
hyundai elantra,202034,0.084100214,Positive,hyundai elantra,Safe House,1996 hyundai elantra,2,hyundai elantra,21,"$126,373,434 ",Universal Pictures,2012,0,6,6,21,2
hyundai equus,3972,0.243971187,Positive,0,,,,,,,,2012,,,,,
hyundai genesis,33973,0.029547245,Positive,hyundai genesis,Ted,2009 hyundai genesis,1,hyundai genesis,9,"$218,815,487 ",Universal Pictures,2012,0,1,1,9,1
hyundai santa fe,71016,-0.045368391,Negative,hyundai santa fe,The Bourne Legacy,2007 hyundai santa fe,1,hyundai santa fe,24,"$113,203,870 ",Universal Pictures,2012,0,5,5,24,1
hyundai sonata,230605,0.020552219,Positive,hyundai sonata,Underworld: Awakening,1989 hyundai sonata,2,hyundai sonata,49,"$62,321,039 ",Screen Gems,2012,0,5,5,49,2
hyundai tucson,48878,0.034849255,Positive,hyundai tucson,The Dark Knight Rises,hyundai tucson,2,hyundai tucson,2,"$448,139,099 ",Warner Bros.,2012,0,2,2,2,2
hyundai veloster,34862,2.755062473,Positive,0,,,,,,,,2012,,,,,
hyundai veracruz,8232,-0.099934398,Negative,0,,,,,,,,2012,,,,,
infiniti g,59844,0.02743536,Positive,infiniti g,This Is 40,2008 infiniti g37,2,infiniti g,87,"$38,951,960 ",Universal Pictures,2012,0,6,6,87,2
infiniti q70/m,9130,-0.156036236,Negative,0,,,,,,,,2012,,,,,
infiniti ex/qx50,3495,-0.42039801,Negative,0,,,,,,,,2012,,,,,
infiniti qx70/fx,10424,0.048797666,Positive,0,,,,,,,,2012,,,,,
infiniti qx80/qx56,15310,0.1401549,Positive,0,,,,,,,,2012,,,,,
jaguar xf,5526,0.042051669,Positive,jaguar xf,Madea's Witness Protection,2008 jaguar xf [x250],3,jaguar xf,42,"$65,653,242 ",Lionsgate,2012,1,1,2,42,3
jaguar xj,4852,-0.073161414,Negative,jaguar xj,Skyfall,2011 jaguar xj l [x351],3,jaguar xj,4,"$290,904,271 ",Sony Pictures Entertainment (SPE),2012,1,3,4,4,3
jaguar xk,1633,-0.060414269,Negative,jaguar xk,Looper,2007 jaguar xkr [x150],2,jaguar xk,41,"$66,475,042 ",TriStar Pictures,2012,0,2,2,41,2
jeep compass,40235,-0.156658073,Negative,0,,,,,,,,2012,,,,,
jeep grand cherokee,154734,0.211281939,Positive,jeep grand cherokee,Safe House,1996 jeep grand cherokee,3,jeep grand cherokee,21,"$126,373,434 ",Universal Pictures,2012,3,10,13,21,3
jeep liberty,75483,0.131950693,Positive,jeep liberty,Underworld: Awakening,2008 jeep liberty,1,jeep liberty,49,"$62,321,039 ",Screen Gems,2012,0,2,2,49,1
jeep patriot,62010,0.134737497,Positive,0,,,,,,,,2012,,,,,
jeep wrangler,141669,0.156859383,Positive,jeep wrangler,Battleship,jeep wrangler unlimited,3,jeep wrangler,43,"$65,422,625 ",Universal Pictures,2012,4,4,8,43,3
kia forte,75681,-0.00804771,Negative,0,,,,,,,,2012,,,,,
kia optima,152399,0.801619577,Positive,kia optima,Skyfall,2012 kia optima,1,kia optima,4,"$290,904,271 ",Sony Pictures Entertainment (SPE),2012,0,2,2,4,1
kia rio,40275,1.002635374,Positive,kia rio,Underworld: Awakening,2010 kia rio,2,kia rio,49,"$62,321,039 ",Screen Gems,2012,0,4,4,49,2
kia sedona,17512,-0.271759471,Negative,kia sedona,Battleship,2002 kia sedona,2,kia sedona,43,"$65,422,625 ",Universal Pictures,2012,0,4,4,43,2
kia sorento,119597,-0.081683111,Negative,kia sorento,Skyfall,2010 kia sorento,2,kia sorento,4,"$290,904,271 ",Sony Pictures Entertainment (SPE),2012,0,2,2,4,2
kia soul,115778,0.132114954,Positive,kia soul,21 Jump Street,2010 kia soul,1,kia soul,18,"$138,447,667 ",Sony Pictures Entertainment (SPE),2012,0,1,1,18,1
kia sportage,36357,-0.233992794,Negative,kia sportage,Skyfall,2007 kia sportage,1,kia sportage,4,"$290,904,271 ",Sony Pictures Entertainment (SPE),2012,0,4,4,4,1
land rover discovery / lr4,7316,-0.083667335,Negative,land rover discovery ,,,,,,,,2012,,,,,
land rover lr2,3113,0.120993878,Positive,0,,,,,,,,2012,,,,,
land rover range rover,7843,-0.196496261,Negative,land rover range rover,The Expendables 2,2010 land-rover range rover series iii,3,land-rover range rover,33,"$85,028,192 ",Lionsgate,2012,1,5,6,33,3
land rover range rover evoque,8901,2.96657754,Positive,land rover range rover evoque,Skyfall,2011 land-rover range rover evoque,1,land-rover range rover evoque,4,"$290,904,271 ",Sony Pictures Entertainment (SPE),2012,0,1,1,4,1
land rover range rover sport,16491,0.075523381,Positive,land rover range rover sport,Safe House,2006 land-rover range rover sport,3,land-rover range rover sport,21,"$126,373,434 ",Universal Pictures,2012,2,4,6,21,3
lexus ct200h,17673,0.228913149,Positive,0,,,,,,,,2012,,,,,
lexus es/es350,56158,0.373963252,Positive,lexus es/es350,The Bourne Legacy,1997 lexus es 300,1,lexus es,24,"$113,203,870 ",Universal Pictures,2012,0,1,1,24,1
lexus gs,22160,4.915643353,Positive,lexus gs,Flight,lexus gs 300,1,lexus gs,27,"$91,978,551 ",Paramount Pictures,2012,0,2,2,27,1
lexus gx/gx460,11039,-0.049099836,Negative,0,,,,,,,,2012,,,,,
lexus hs/hs250h,649,-0.773393855,Negative,0,,,,,,,,2012,,,,,
lexus is,27708,-0.066095925,Negative,lexus is,This Is 40,lexus is,1,lexus is,87,"$38,951,960 ",Universal Pictures,2012,0,2,2,87,1
lexus lfa,46,-0.258064516,Negative,0,,,,,,,,2012,,,,,
lexus ls,8345,-0.127821906,Negative,lexus ls,The Avengers,1990 lexus ls 400,1,lexus ls,1,"$623,357,910 ",Walt Disney Studios Motion Pictures,2012,0,5,5,1,1
lexus lx/lx570,5005,0.580359962,Positive,0,,,,,,,,2012,,,,,
lexus rx,95381,0.15480356,Positive,lexus rx,This Is 40,2008 lexus rx 350,3,lexus rx,87,"$38,951,960 ",Universal Pictures,2012,1,2,3,87,3
lexus sc430,2,-0.888888889,Negative,0,,,,,,,,2012,,,,,
lincoln mks,12524,0.025128919,Positive,0,,,,,,,,2012,,,,,
lincoln mkt,7094,0.412022293,Positive,0,,,,,,,,2012,,,,,
lincoln mkx/nautilus,25107,0.073178029,Positive,0,,,,,,,,2012,,,,,
lincoln mkz,28053,0.019034473,Positive,0,,,,,,,,2012,,,,,
lincoln navigator,8371,0.044025942,Positive,lincoln navigator,Savages,2007 lincoln navigator l,3,lincoln navigator,71,"$47,382,068 ",Universal Pictures,2012,1,0,1,71,3
lincoln town car,1001,-0.894186047,Negative,lincoln town car,21 Jump Street,1998 lincoln town car stretched limousine,3,lincoln town car,18,"$138,447,667 ",Sony Pictures Entertainment (SPE),2012,4,17,21,18,3
mazda 2,19315,0.384389335,Positive,0,,,,,,,,2012,,,,,
mazda 3,123361,0.2044973,Positive,mazda 3,The Bourne Legacy,1993 mazda 323,1,mazda 3,24,"$113,203,870 ",Universal Pictures,2012,0,3,3,24,1
mazda 5,14640,-0.235708692,Negative,mazda 5,Pitch Perfect,2006 mazda 5,1,mazda 5,46,"$64,427,368 ",Universal Pictures,2012,0,1,1,46,1
mazda 6,33756,-0.054745037,Negative,mazda 6,The Avengers,2000 mazda 626,1,mazda 6,1,"$623,357,910 ",Walt Disney Studios Motion Pictures,2012,0,3,3,1,1
mazda cx-7,11326,-0.682219915,Negative,0,,,,,,,,2012,,,,,
mazda cx-9,24442,-0.289910229,Negative,0,,,,,,,,2012,,,,,
mazda mx-5 miata,6305,0.111209024,Positive,mazda mx-5 miata,Looper,1993 mazda mx-5 miata,3,mazda mx-5 miata,41,"$66,475,042 ",TriStar Pictures,2012,1,0,1,41,3
mazda rx-8,80,-0.894598155,Negative,0,,,,,,,,2012,,,,,
mazda tribute,502,-0.81379822,Negative,mazda tribute,Red Dawn,2003 mazda tribute,1,mazda tribute,79,"$43,468,052 ",FilmDistrict,2012,0,1,1,79,1
mercedes-benz b-class,29,0.526315789,Positive,0,,,,,,,,2012,,,,,
mercedes-benz c-class,81697,0.178650778,Positive,mercedes-benz c-class,Jack Reacher,2011 mercedes-benz c 250 cdi [c204],3,mercedes-benz c,70,"$47,550,642 ",Paramount Pictures,2012,1,8,9,70,3
mercedes-benz cl-class,723,-0.233297985,Negative,0,,,,,,,,2012,,,,,
mercedes-benz clk-class,1,-0.833333333,Negative,mercedes-benz clk-class,The Girl with the Dragon Tattoo,1997 mercedes-benz clk [c208],1,mercedes-benz clk,61,"$52,177,103 ",Sony Pictures Entertainment (SPE),2012,0,2,2,61,1
mercedes-benz cls-class,8065,0.423654016,Positive,mercedes-benz cls-class,The Campaign,2006 mercedes-benz cls 500 [c219],2,mercedes-benz cls,31,"$86,907,746 ",Warner Bros.,2012,0,3,3,31,2
mercedes-benz e-class,65171,0.03881344,Positive,mercedes-benz e-class,The Girl with the Dragon Tattoo,2003 mercedes-benz e 320 [w211],3,mercedes-benz e,61,"$52,177,103 ",Sony Pictures Entertainment (SPE),2012,1,15,16,61,3
mercedes-benz g-class,1330,0.116708648,Positive,mercedes-benz g-class,The Twilight Saga: Breaking Dawn - Part 2,2003 mercedes-benz g-klasse [w463],1,mercedes-benz g,5,"$286,422,893 ",Lionsgate,2012,0,2,2,5,1
mercedes-benz gl-class/gls-class,26042,0.035920283,Positive,mercedes-benz gl-class,,,,,,,,2012,,,,,
mercedes-benz gle-class/m-class,38101,0.063234268,Positive,0,,,,,,,,2012,,,,,
mercedes-benz glk-class,29364,0.207897984,Positive,0,,,,,,,,2012,,,,,
mercedes-benz r-class,1473,-0.382389937,Negative,mercedes-benz r-class,The Girl with the Dragon Tattoo,2006 mercedes-benz r-klasse [w251],2,mercedes-benz r,61,"$52,177,103 ",Sony Pictures Entertainment (SPE),2012,0,1,1,61,2
mercedes-benz s-class,11794,-0.037852831,Negative,mercedes-benz s-class,21 Jump Street,1975 mercedes-benz s-klasse [w116],3,mercedes-benz s,18,"$138,447,667 ",Sony Pictures Entertainment (SPE),2012,3,17,20,18,3
mercedes-benz sl-class,4899,2.380952381,Positive,mercedes-benz sl-class,Mission: Impossible - Ghost Protocol,2009 mercedes-benz sl 65 amg [r230],1,mercedes-benz sl,30,"$87,050,578 ",Paramount Pictures,2012,0,6,6,30,1
mercedes-benz slk-class/slc-class,4595,0.427018634,Positive,mercedes-benz slk-class,,,,,,,,2012,,,,,
mercedes-benz sls amg,800,0.108033241,Positive,mercedes-benz sls amg,Think Like a Man,2011 mercedes-benz sls amg [c197],2,mercedes-benz sls amg,28,"$91,547,205 ",Screen Gems,2012,0,1,1,28,2
