Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
acura mdx,50854,0.17524439,Positive,acura mdx,The Avengers,2012 acura mdx,1,acura mdx,1,"$623,357,910 ",Walt Disney Studios Motion Pictures,2012,0,1,1,1,1
acura rdx,29520,0.942616478,Positive,acura rdx,The Avengers,2013 acura rdx,1,acura rdx,1,"$623,357,910 ",Walt Disney Studios Motion Pictures,2012,0,1,1,1,1
acura rl,379,-0.65419708,Negative,acura rl,American Reunion,1999 acura rl,1,acura rl,54,"$57,011,521 ",Universal Pictures,2012,0,1,1,54,1
acura tl,33572,0.074751096,Positive,acura tl,The Avengers,2012 acura tl,2,acura tl,1,"$623,357,910 ",Walt Disney Studios Motion Pictures,2012,0,3,3,1,2
acura tsx,28865,-0.066914498,Negative,acura tsx,Jack Reacher,2004 acura tsx,1,acura tsx,70,"$47,550,642 ",Paramount Pictures,2012,0,1,1,70,1
acura zdx,775,-0.504475703,Negative,0,,,,,,,,2012,,,,,
audi a3,7205,0.098155769,Positive,audi a3,Safe House,1998 audi a3,1,audi a3,21,"$126,373,434 ",Universal Pictures,2012,0,3,3,21,1
audi a4,38530,0.093546007,Positive,audi a4,Safe House,1999 audi a4 b5,2,audi a4,21,"$126,373,434 ",Universal Pictures,2012,0,6,6,21,2
audi a4 avant,1252,-0.642796006,Negative,audi a4 avant,Skyfall,2005 audi a4 avant b7,1,audi a4 avant,4,"$290,904,271 ",Sony Pictures Entertainment (SPE),2012,0,2,2,4,1
audi a4 sedan,34163,0.076712156,Positive,audi a4,,,,,,,,2012,,,,,
audi a5,17270,0.122521937,Positive,audi a5,Skyfall,2007 audi a5 b8,3,audi a5,4,"$290,904,271 ",Sony Pictures Entertainment (SPE),2012,1,0,1,4,3
audi a6,18998,0.707838907,Positive,audi a6,Jack Reacher,2005 audi a6 c6,3,audi a6,70,"$47,550,642 ",Paramount Pictures,2012,1,0,1,70,3
audi a7,8598,0.371291866,Positive,0,,,,,,,,2012,,,,,
audi a8,6002,0.052982456,Positive,audi a8,The Girl with the Dragon Tattoo,2010 audi a8 d4,2,audi a8,61,"$52,177,103 ",Sony Pictures Entertainment (SPE),2012,0,1,1,61,2
audi q5,28671,0.15107596,Positive,0,,,,,,,,2012,,,,,
audi q7,11008,0.223382974,Positive,audi q7,Jack Reacher,2007 audi q7,1,audi q7,70,"$47,550,642 ",Paramount Pictures,2012,0,1,1,70,1
audi r8,802,-0.299563319,Negative,audi r8,This Means War,2011 audi r8 spyder,3,audi r8,56,"$54,760,791 ",Twentieth Century Fox,2012,1,0,1,56,3
audi tt,2226,-0.004472272,Negative,audi tt,Diary of a Wimpy Kid: Dog Days,2001 audi tt roadster,1,audi tt,67,"$49,008,662 ",Twentieth Century Fox,2012,0,1,1,67,1
bmw 1-series,7689,-0.129415761,Negative,bmw 1-series,Mission: Impossible - Ghost Protocol,2011 bmw 118i [f20],2,bmw 1,30,"$87,050,578 ",Paramount Pictures,2012,0,1,1,30,2
bmw 3-series,99602,0.055430164,Positive,bmw 3-series,The Bourne Legacy,2001 bmw 3 coupé [e46],2,bmw 3,24,"$113,203,870 ",Universal Pictures,2012,0,18,18,24,2
bmw 5-series,56798,0.103066555,Positive,bmw 5-series,The Possession,1998 bmw 540i [e39],4,bmw 5,66,"$49,130,154 ",Lionsgate,2012,2,22,24,66,4
bmw 6-series,8208,1.102997694,Positive,bmw 6-series,Mission: Impossible - Ghost Protocol,2011 bmw 6 [f12],3,bmw 6,30,"$87,050,578 ",Paramount Pictures,2012,1,1,2,30,3
bmw 7-series,11098,-0.017789185,Negative,bmw 7-series,Taken 2,2009 bmw 7 [f02],3,bmw 7,17,"$138,936,379 ",Twentieth Century Fox,2012,2,9,11,17,3
bmw x3,35173,0.265534487,Positive,bmw x3,Mission: Impossible - Ghost Protocol,2011 bmw x3 [f25],3,bmw x3,30,"$87,050,578 ",Paramount Pictures,2012,1,0,1,30,3
bmw x5,44445,0.096135349,Positive,bmw x5,Safe House,2007 bmw x5 [e70],2,bmw x5,21,"$126,373,434 ",Universal Pictures,2012,0,6,6,21,2
bmw x6,6749,0.08995478,Positive,0,,,,,,,,2012,,,,,
bmw z4,2751,-0.209255533,Negative,bmw z4,The Campaign,2003 bmw z4 [e85],1,bmw z4,31,"$86,907,746 ",Warner Bros.,2012,0,1,1,31,1
