Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
smart fortwo,9264,-0.07443301,Negative,smart fortwo,This Is the End,smart fortwo,1,smart fortwo,31,"$101,470,202 ",Sony Pictures Entertainment (SPE),2013,0,2,2,31,1
subaru brz,8587,1.07215251,Positive,subaru brz,Fast & Furious 6,2013 subaru brz,1,subaru brz,8,"$238,679,850 ",Universal Pictures,2013,0,1,1,8,1
subaru forester,123592,0.618819338,Positive,subaru forester,The Wolverine,2010 subaru forester,2,subaru forester,21,"$132,556,852 ",Twentieth Century Fox,2013,0,1,1,21,2
subaru impreza/wrx/wrx sti,76825,-0.060807589,Negative,subaru impreza/wrx/wrx sti,Fast & Furious 6,2009 subaru impreza wrx sti,1,subaru impreza,8,"$238,679,850 ",Universal Pictures,2013,0,5,5,8,1
subaru legacy,42291,-0.102616335,Negative,subaru legacy,Zero Dark Thirty,1990 subaru legacy,3,subaru legacy,35,"$94,277,984 ",Sony Pictures Entertainment (SPE),2013,1,7,8,35,3
subaru outback,118049,0.004219373,Positive,subaru outback,Identity Thief,2000 subaru outback,3,subaru outback,19,"$134,506,920 ",Universal Pictures,2013,1,2,3,19,3
subaru tribeca,1598,-0.229879518,Negative,0,,,,,,,,2013,,,,,
subaru xv crosstrek/crosstrek,53741,6.266224986,Positive,0,,,,,,,,2013,,,,,
suzuki equator,448,-0.772126144,Negative,0,,,,,,,,2013,,,,,
suzuki grand vitara,1037,-0.790674203,Negative,suzuki grand vitara,A Good Day to Die Hard,2006 suzuki grand vitara,1,suzuki grand vitara,54,"$67,349,198 ",Twentieth Century Fox,2013,0,1,1,54,1
suzuki kizashi,1602,-0.7121811,Negative,0,,,,,,,,2013,,,,,
suzuki sx4/aerio,2859,-0.777682737,Negative,0,,,,,,,,2013,,,,,
toyota 4runner,51625,0.058865757,Positive,toyota 4runner,We're the Millers,1999 toyota 4runner,1,toyota 4runner,16,"$150,394,119 ",Warner Bros.,2013,0,5,5,16,1
toyota 86/scion fr-s,18327,0.605237803,Positive,0,,,,,,,,2013,,,,,
toyota avalon,70990,1.401881175,Positive,0,,,,,,,,2013,,,,,
toyota camry,408484,0.008886452,Positive,toyota camry,The Call,2005 toyota camry,4,toyota camry,68,"$51,872,378 ",TriStar Pictures,2013,1,24,25,68,4
toyota corolla/matrix,302180,0.038608406,Positive,toyota corolla/matrix,Zero Dark Thirty,2002 toyota corolla,3,toyota corolla,35,"$94,277,984 ",Sony Pictures Entertainment (SPE),2013,2,19,21,35,3
toyota fj cruiser,13131,-0.03844464,Negative,toyota fj cruiser,RED 2,2007 toyota fj cruiser,1,toyota fj cruiser,66,"$53,262,560 ",Lionsgate,2013,0,2,2,66,1
toyota highlander,127572,0.053835034,Positive,toyota highlander,Mama,2001 toyota highlander,3,toyota highlander,48,"$71,628,180 ",Universal Pictures,2013,1,5,6,48,3
toyota land cruiser,3082,0.064594128,Positive,toyota land cruiser,Anchorman 2: The Legend Continues,toyota land cruiser,1,toyota land cruiser,38,"$90,579,768 ",Paramount Pictures,2013,0,1,1,38,1
toyota prius,234228,-0.010255435,Negative,toyota prius,This Is the End,2012 toyota prius iii,3,toyota prius,31,"$101,470,202 ",Sony Pictures Entertainment (SPE),2013,1,14,15,31,3
toyota rav4,218249,0.269797588,Positive,toyota rav4,The Heat,2006 toyota rav4,1,toyota rav4,15,"$159,582,188 ",Twentieth Century Fox,2013,0,5,5,15,1
toyota sequoia,13811,0.050186298,Positive,0,,,,,,,,2013,,,,,
toyota sienna,121117,0.055715842,Positive,toyota sienna,Captain Phillips,1998 toyota sienna,2,toyota sienna,28,"$104,638,057 ",Sony Pictures Entertainment (SPE),2013,0,4,4,28,2
toyota tacoma,159485,0.128178828,Positive,toyota tacoma,Now You See Me,2005 toyota tacoma,1,toyota tacoma,23,"$117,723,989 ",Lionsgate,2013,0,4,4,23,1
toyota tundra,112732,0.109337637,Positive,0,,,,,,,,2013,,,,,
toyota venza,35846,-0.168209769,Negative,0,,,,,,,,2013,,,,,
toyota yaris hatchback,21342,-0.30232102,Negative,0,,,,,,,,2013,,,,,
volkswagen beetle,43134,0.478508261,Positive,volkswagen beetle,Identity Thief,2012 volkswagen beetle [typ 5c],1,volkswagen beetle,19,"$134,506,920 ",Universal Pictures,2013,0,1,1,19,1
volkswagen cc,15672,-0.275986325,Negative,0,,,,,,,,2013,,,,,
volkswagen eos,4178,-0.327647248,Negative,0,,,,,,,,2013,,,,,
volkswagen golf/gti/r/sportwagen alltrack,30931,-0.243463373,Negative,volkswagen golf/gti/r/sportwagen alltrack,Fast & Furious 6,volkswagen golf gti iii [typ 1h],1,volkswagen golf,8,"$238,679,850 ",Universal Pictures,2013,0,7,7,8,1
volkswagen jetta,163793,-0.038908839,Negative,volkswagen jetta,Jack Reacher,1999 volkswagen jetta a4 [typ 1j],2,volkswagen jetta,89,"$32,520,094 ",Paramount Pictures,2013,0,6,6,89,2
volkswagen passat,109652,-0.062987618,Negative,volkswagen passat,Insidious: Chapter 2,2013 volkswagen passat [nms],2,volkswagen passat,42,"$83,586,447 ",FilmDistrict,2013,0,9,9,42,2
volkswagen routan,2109,-0.798817133,Negative,0,,,,,,,,2013,,,,,
volkswagen tiguan,30002,-0.054489301,Negative,volkswagen tiguan,Insidious: Chapter 2,2012 volkswagen tiguan i [typ 5n],3,volkswagen tiguan,42,"$83,586,447 ",FilmDistrict,2013,1,0,1,42,3
volkswagen touareg,8233,-0.219842699,Negative,volkswagen touareg,The Purge,2010 volkswagen touareg ii [typ 7p5],2,volkswagen touareg,57,"$64,473,115 ",Universal Pictures,2013,0,1,1,57,2
volvo c30,1361,-0.518570923,Negative,0,,,,,,,,2013,,,,,
volvo c70,3234,-0.271785634,Negative,0,,,,,,,,2013,,,,,
volvo s60/v60,23210,-0.00625107,Negative,volvo s60/v60,The Best Man Holiday,2001 volvo s60,2,volvo s60,51,"$70,313,550 ",Universal Pictures,2013,0,2,2,51,2
volvo s80,1935,-0.409520903,Negative,volvo s80,Grown Ups 2,1999 volvo s80,1,volvo s80,20,"$133,668,525 ",Sony Pictures Entertainment (SPE),2013,0,4,4,20,1
volvo xc60,19766,0.032760332,Positive,0,,,,,,,,2013,,,,,
volvo xc70,4882,-0.114456739,Negative,volvo xc70,The Heat,2010 volvo xc70,2,volvo xc70,15,"$159,582,188 ",Twentieth Century Fox,2013,0,4,4,15,2
volvo xc90,6845,-0.28045832,Negative,volvo xc90,The Hangover Part III,2008 volvo xc90,2,volvo xc90,26,"$112,200,072 ",Warner Bros.,2013,0,4,4,26,2
