Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
acura ilx,13414,-0.086550902,Negative,0,,,,,,,,2020,,,,,
acura mdx,47816,-0.080797401,Negative,0,,,,,,,,2020,,,,,
acura nsx,128,-0.462184874,Negative,0,,,,,,,,2020,,,,,
acura rdx,52785,-0.160490489,Negative,acura rdx,Uncut Gems,2016 acura rdx,1,acura rdx,21,"$25,789,956 ",A24,2020,0,2,2,21,1
acura rlx,1054,0.034347399,Positive,0,,,,,,,,2020,,,,,
acura tlx,21785,-0.179410878,Negative,0,,,,,,,,2020,,,,,
alfa romeo 4c,99,-0.317241379,Negative,0,,,,,,,,2020,,,,,
alfa romeo giulia,8204,-0.05755313,Negative,alfa romeo giulia,The Gentlemen,2016 alfa romeo giulia quadrifoglio,1,alfa romeo giulia,16,"$36,471,397 ",STX Entertainment,2020,0,1,1,16,1
alfa romeo stelvio,10282,0.088733587,Positive,0,,,,,,,,2020,,,,,
audi a3,9938,-0.046074103,Negative,audi a3,The Lodge,2006 audi a3,3,audi a3,75,"$1,724,781 ",Neon,2020,1,1,2,75,3
audi a4,18342,-0.306147153,Negative,audi a4,Knives Out,2006 audi a4 b7,1,audi a4,12,"$49,651,655 ",Lionsgate,2020,0,1,1,12,1
audi a5,18827,-0.18225253,Negative,0,,,,,,,,2020,,,,,
audi a6,10536,-0.40832257,Negative,0,,,,,,,,2020,,,,,
audi a7,2859,-0.423007064,Negative,audi a7,Like a Boss,2012 audi a7 c7,1,audi a7,23,"$22,169,514 ",Paramount Pictures,2020,0,1,1,23,1
audi a8,2375,-0.198447519,Negative,audi a8,Parasite,2014 audi a8 d4,1,audi a8,19,"$30,736,060 ",Neon,2020,0,1,1,19,1
audi q3,27252,0.83861827,Positive,0,,,,,,,,2020,,,,,
audi q5,50435,-0.252991883,Negative,audi q5,Knives Out,2018 audi q5,1,audi q5,12,"$49,651,655 ",Lionsgate,2020,0,4,4,12,1
audi q7,25372,-0.267742215,Negative,audi q7,Tenet,2010 audi q7,3,audi q7,14,"$46,299,000 ",Warner Bros.,2020,1,1,2,14,3
audi q8,12072,-0.153198653,Negative,0,,,,,,,,2020,,,,,
