Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
acura ilx,11757,-0.194560526,Negative,0,,,,,,,,2017,,,,,
acura mdx,54886,-0.010973962,Negative,acura mdx,The Fate of the Furious,2007 acura mdx,1,acura mdx,10,"$226,008,385 ",Universal Pictures,2017,0,2,2,10,1
acura nsx,581,1.159851301,Positive,0,,,,,,,,2017,,,,,
acura rdx,51295,-0.020358664,Negative,acura rdx,Spider-Man: Homecoming,2007 acura rdx,1,acura rdx,5,"$334,201,140 ",Sony Pictures Entertainment (SPE),2017,0,1,1,5,1
acura rlx,1237,-0.163058187,Negative,acura rl,,,,,,,,2017,,,,,
acura tlx,34846,-0.062170309,Negative,acura tl,,,,,,,,2017,,,,,
alfa romeo 4c,407,-0.152083333,Negative,0,,,,,,,,2017,,,,,
alfa romeo giulia,8903,246.3055556,Positive,0,,,,,,,,2017,,,,,
audi a3,20733,-0.342602575,Negative,audi a3,Fifty Shades Darker,2015 audi a3,2,audi a3,30,"$114,581,250 ",Universal Pictures,2017,0,3,3,30,2
audi a3 e-tron,2877,-0.327803738,Negative,audi a3,,,,,,,,2017,,,,,
audi a4,37674,0.018574094,Positive,audi a4,La La Land,2009 audi a4 b8,1,audi a4,27,"$120,121,532 ",Lionsgate,2017,0,4,4,27,1
audi a4 allroad,3240,0.408695652,Positive,audi a4,,,,,,,,2017,,,,,
audi a5,21301,1.549796505,Positive,audi a5,How to Be a Latin Lover,2013 audi a5 b8,1,audi a5,80,"$32,149,404 ",Pantelion Films,2017,0,1,1,80,1
audi a6,16304,-0.127475115,Negative,audi a6,The Hitman's Bodyguard,2005 audi a6 c6,2,audi a6,41,"$75,468,583 ",Lionsgate,2017,0,5,5,41,2
audi a7,4810,-0.266544678,Negative,0,,,,,,,,2017,,,,,
audi a8,3127,-0.246324416,Negative,audi a8,Spider-Man: Homecoming,2017 audi a8 d5,2,audi a8,5,"$334,201,140 ",Sony Pictures Entertainment (SPE),2017,0,1,1,5,2
audi q3,20633,0.029179968,Positive,audi q3,John Wick: Chapter 2,2013 audi q3,1,audi q3,36,"$92,029,184 ",Lionsgate,2017,0,1,1,36,1
audi q5,57640,0.163269425,Positive,audi q5,The Foreigner,2013 audi q5,1,audi q5,74,"$34,393,507 ",STX Entertainment,2017,0,1,1,74,1
audi q7,38346,0.254654321,Positive,audi q7,Fifty Shades Darker,2017 audi q7,4,audi q7,30,"$114,581,250 ",Universal Pictures,2017,1,1,2,30,4
audi r8,772,0.048913043,Positive,audi r8,Spider-Man: Homecoming,2016 audi r8 spyder,2,audi r8,5,"$334,201,140 ",Sony Pictures Entertainment (SPE),2017,0,2,2,5,2
audi tt,2294,-0.246386334,Negative,audi tt,Spider-Man: Homecoming,2017 audi tts roadster,3,audi tt,5,"$334,201,140 ",Sony Pictures Entertainment (SPE),2017,1,2,3,5,3
bmw 2-series,11737,-0.243701269,Negative,bmw 2-series,Cars 3,1966 bmw 2000 cs,3,bmw 2,21,"$152,901,115 ",Walt Disney Studios Motion Pictures,2017,2,0,2,21,3
bmw 3-series,59449,-0.156249113,Negative,bmw 3-series,The Fate of the Furious,bmw 3 [e90],2,bmw 3,10,"$226,008,385 ",Universal Pictures,2017,0,23,23,10,2
bmw 4-series,39634,0.10824036,Positive,bmw 4-series,How to Be a Latin Lover,2014 bmw 4 [f33],1,bmw 4,80,"$32,149,404 ",Pantelion Films,2017,0,1,1,80,1
bmw 5-series,40658,0.254566774,Positive,bmw 5-series,Transformers: The Last Knight,bmw 5 [e60],3,bmw 5,24,"$130,168,683 ",Paramount Pictures,2017,1,14,15,24,3
bmw 6-series,3355,-0.149987332,Negative,0,,,,,,,,2017,,,,,
bmw 7-series,9276,-0.281932188,Negative,bmw 7-series,All Eyez on Me,1995 bmw 7 [e38],3,bmw 7,62,"$44,922,302 ",Lionsgate,2017,1,5,6,62,3
bmw x1,30826,0.108370488,Positive,bmw x1,The Foreigner,2010 bmw x1 [e84],1,bmw x1,74,"$34,393,507 ",STX Entertainment,2017,0,1,1,74,1
bmw x3,40691,-0.07930582,Negative,bmw x3,The Foreigner,2004 bmw x3 [e83],1,bmw x3,74,"$34,393,507 ",STX Entertainment,2017,0,1,1,74,1
bmw x4,5198,0.041892163,Positive,0,,,,,,,,2017,,,,,
bmw x5,50815,0.066623287,Positive,bmw x5,The Hitman's Bodyguard,2005 bmw x5 [e53],3,bmw x5,41,"$75,468,583 ",Lionsgate,2017,1,5,6,41,3
bmw x6,6780,-0.047351412,Negative,bmw x6,Spider-Man: Homecoming,bmw x6 [e71],1,bmw x6,5,"$334,201,140 ",Sony Pictures Entertainment (SPE),2017,0,1,1,5,1
bmw z4,502,-0.577085088,Negative,bmw z4,How to Be a Latin Lover,bmw z4 [e85],1,bmw z4,80,"$32,149,404 ",Pantelion Films,2017,0,1,1,80,1
bmw i3,6276,-0.176918033,Negative,0,,,,,,,,2017,,,,,
bmw i8,488,-0.693851945,Negative,0,,,,,,,,2017,,,,,
bentley bentayga,1152,0.303167421,Positive,0,,,,,,,,2017,,,,,
bentley continental gt,898,-0.215034965,Negative,bentley continental gt,The Fate of the Furious,2010 bentley continental gt,3,bentley continental gt,10,"$226,008,385 ",Universal Pictures,2017,1,3,4,10,3
bentley flying spur,257,-0.3575,Negative,bentley flying spur,How to Be a Latin Lover,2014 bentley flying spur,2,bentley flying spur,80,"$32,149,404 ",Pantelion Films,2017,0,1,1,80,2
bentley mulsanne,98,-0.359477124,Negative,bentley mulsanne,Spider-Man: Homecoming,2011 bentley mulsanne,2,bentley mulsanne,5,"$334,201,140 ",Sony Pictures Entertainment (SPE),2017,0,2,2,5,2
buick cascada,5595,-0.217810709,Negative,0,,,,,,,,2017,,,,,
buick enclave,48564,-0.066579534,Negative,0,,,,,,,,2017,,,,,
buick encore,88035,0.120537135,Positive,0,,,,,,,,2017,,,,,
buick envision,41040,1.891566265,Positive,0,,,,,,,,2017,,,,,
buick lacrosse,20161,-0.26905228,Negative,0,,,,,,,,2017,,,,,
buick regal,11559,-0.417183482,Negative,buick regal,Cars 3,1986 buick regal,3,buick regal,21,"$152,901,115 ",Walt Disney Studios Motion Pictures,2017,1,2,3,21,3
buick verano,4277,-0.858737656,Negative,0,,,,,,,,2017,,,,,
cadillac ats,13100,-0.39083934,Negative,cadillac ats,"Everything, Everything",2015 cadillac ats,2,cadillac ats,75,"$34,121,140 ",Warner Bros.,2017,0,2,2,75,2
cadillac ct6,10542,0.149743702,Positive,0,,,,,,,,2017,,,,,
cadillac cts,10344,-0.349883728,Negative,cadillac cts,The Fate of the Furious,cadillac cts,1,cadillac cts,10,"$226,008,385 ",Universal Pictures,2017,0,2,2,10,1
cadillac elr,17,-0.968164794,Negative,0,,,,,,,,2017,,,,,
cadillac escalade,37694,-0.035761793,Negative,cadillac escalade,Transformers: The Last Knight,2007 cadillac escalade esv,3,cadillac escalade,24,"$130,168,683 ",Paramount Pictures,2017,2,5,7,24,3
cadillac srx,156,-0.992953611,Negative,cadillac srx,Logan,2010 cadillac srx,1,cadillac srx,9,"$226,277,068 ",Twentieth Century Fox,2017,0,1,1,9,1
cadillac xt5,68312,0.730074712,Positive,0,,,,,,,,2017,,,,,
cadillac xts,16275,-0.265932976,Negative,cadillac xts,Logan,2013 cadillac xts funeral coach,1,cadillac xts,9,"$226,277,068 ",Twentieth Century Fox,2017,0,1,1,9,1
chevrolet bolt,23297,39.23661485,Positive,chevrolet bolt,Geostorm,2017 chevrolet bolt,1,chevrolet bolt,77,"$33,578,782 ",Warner Bros.,2017,0,1,1,77,1
chevrolet camaro,67940,-0.065538821,Negative,chevrolet camaro,Transformers: The Last Knight,2016 chevrolet camaro,5,chevrolet camaro,24,"$130,168,683 ",Paramount Pictures,2017,2,13,15,24,5
chevrolet caprice ppv,693,-0.321253673,Negative,chevrolet caprice ppv,Transformers: The Last Knight,2011 chevrolet caprice ppv,2,chevrolet caprice ppv,24,"$130,168,683 ",Paramount Pictures,2017,0,2,2,24,2
chevrolet city express,8348,0.189343211,Positive,0,,,,,,,,2017,,,,,
chevrolet colorado,112996,0.039282594,Positive,0,,,,,,,,2017,,,,,
chevrolet corvette,25079,-0.163893982,Negative,chevrolet corvette,The Fate of the Furious,1966 chevrolet corvette sting ray c2,3,chevrolet corvette,10,"$226,008,385 ",Universal Pictures,2017,2,5,7,10,3
chevrolet cruze,184751,-0.021839726,Negative,chevrolet cruze,Baby Driver,2015 chevrolet cruze,2,chevrolet cruze,31,"$107,825,862 ",TriStar Pictures,2017,0,8,8,31,2
chevrolet equinox,290458,0.199273313,Positive,chevrolet equinox,Transformers: The Last Knight,2005 chevrolet equinox,1,chevrolet equinox,24,"$130,168,683 ",Paramount Pictures,2017,0,4,4,24,1
chevrolet express,69164,0.017012955,Positive,chevrolet express,Power Rangers,2003 chevrolet express,2,chevrolet express,39,"$85,364,450 ",Lionsgate,2017,0,5,5,39,2
chevrolet impala,75877,-0.217811269,Negative,chevrolet impala,The Fate of the Furious,1961 chevrolet impala,3,chevrolet impala,10,"$226,008,385 ",Universal Pictures,2017,3,16,19,10,3
chevrolet malibu,185857,-0.18441204,Negative,chevrolet malibu,Spider-Man: Homecoming,2006 chevrolet malibu,2,chevrolet malibu,5,"$334,201,140 ",Sony Pictures Entertainment (SPE),2017,0,9,9,5,2
chevrolet ss,4055,0.345834716,Positive,chevrolet ss,Logan Lucky,2016 chevrolet ss nascar,2,chevrolet ss,91,"$27,780,977 ",Bleecker Street Media,2017,0,1,1,91,2
chevrolet silverado,585864,0.019113687,Positive,chevrolet silverado,Transformers: The Last Knight,2014 chevrolet silverado,3,chevrolet silverado,24,"$130,168,683 ",Paramount Pictures,2017,2,15,17,24,3
chevrolet sonic,30290,-0.451814315,Negative,chevrolet sonic,The Fate of the Furious,2012 chevrolet sonic,1,chevrolet sonic,10,"$226,008,385 ",Universal Pictures,2017,0,2,2,10,1
chevrolet spark,22589,-0.363887246,Negative,chevrolet spark,Logan,2013 chevrolet spark,1,chevrolet spark,9,"$226,277,068 ",Twentieth Century Fox,2017,0,1,1,9,1
chevrolet suburban,56516,-0.059352219,Negative,chevrolet suburban,Logan,1985 chevrolet suburban,3,chevrolet suburban,9,"$226,277,068 ",Twentieth Century Fox,2017,2,13,15,9,3
chevrolet tahoe,98961,-0.042059513,Negative,chevrolet tahoe,Going in Style,2009 chevrolet tahoe,3,chevrolet tahoe,61,"$45,018,541 ",Warner Bros.,2017,2,9,11,61,3
chevrolet traverse,123506,0.058311411,Positive,chevrolet traverse,A Bad Moms Christmas,2013 chevrolet traverse,1,chevrolet traverse,44,"$71,891,988 ",STX Entertainment,2017,0,2,2,44,1
chevrolet trax,79289,0.003454996,Positive,chevrolet trax,Transformers: The Last Knight,2015 chevrolet trax,1,chevrolet trax,24,"$130,168,683 ",Paramount Pictures,2017,0,1,1,24,1
chevrolet volt,20349,-0.177452605,Negative,0,,,,,,,,2017,,,,,
chrysler 200,18457,-0.677854575,Negative,chrysler 200,Girls Trip,2011 chrysler 200,1,chrysler 200,29,"$115,171,585 ",Universal Pictures,2017,0,4,4,29,1
chrysler 300,51237,-0.037640165,Negative,chrysler 300,The Fate of the Furious,2011 chrysler 300,2,chrysler 300,10,"$226,008,385 ",Universal Pictures,2017,0,7,7,10,2
chrysler pacifica,118274,0.896449989,Positive,chrysler pacifica,A Bad Moms Christmas,2017 chrysler pacifica,3,chrysler pacifica,44,"$71,891,988 ",STX Entertainment,2017,1,1,2,44,3
