Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
acura ilx,14597,-0.212292915,Negative,0,,,,,,,,2016,,,,,
acura mdx,55495,-0.046608714,Negative,0,,,,,,,,2016,,,,,
acura rdx,52361,0.026163133,Positive,0,,,,,,,,2016,,,,,
acura rlx,1478,-0.326651481,Negative,0,,,,,,,,2016,,,,,
acura tlx,37156,-0.210790144,Negative,0,,,,,,,,2016,,,,,
acura tsx,4,-0.885714286,Negative,acura tsx,La La Land,2008 acura tsx,1,acura tsx,87,"$30,980,271 ",Lionsgate,2016,0,1,1,87,1
alfa romeo 4c,480,-0.2760181,Negative,alfa romeo 4c,Batman v Superman: Dawn of Justice,2015 alfa romeo 4c,2,alfa romeo 4c,8,"$330,360,194 ",Warner Bros.,2016,0,2,2,8,2
audi a3,31538,-0.123554913,Negative,audi a3,My Big Fat Greek Wedding 2,2009 audi a3,1,audi a3,54,"$59,689,605 ",Universal Pictures,2016,0,2,2,54,1
audi a4,36987,0.161980459,Positive,audi a4,Captain America: Civil War,2001 audi a4 b6,2,audi a4,3,"$408,084,349 ",Walt Disney Studios Motion Pictures,2016,0,8,8,3,2
audi a4 allroad,2300,-0.183818311,Negative,audi a4,,,,,,,,2016,,,,,
audi a4 sedan,34867,0.20177162,Positive,audi a4,,,,,,,,2016,,,,,
audi a5,8354,-0.354105458,Negative,0,,,,,,,,2016,,,,,
audi a6,18686,-0.182231947,Negative,audi a6,13 Hours,1997 audi a6 c5,2,audi a6,62,"$52,853,219 ",Paramount Pictures,2016,0,3,3,62,2
audi a7,6558,-0.150628157,Negative,audi a7,Captain America: Civil War,2015 audi a7 sportback c7,1,audi a7,3,"$408,084,349 ",Walt Disney Studios Motion Pictures,2016,0,1,1,3,1
audi a8,4149,-0.168537074,Negative,audi a8,Office Christmas Party,2016 audi a8 l d4,2,audi a8,63,"$49,815,176 ",Paramount Pictures,2016,0,3,3,63,2
audi q3,20048,0.515458462,Positive,0,,,,,,,,2016,,,,,
audi q5,49550,-0.04722532,Negative,audi q5,Dirty Grandpa,2009 audi q5,2,audi q5,81,"$35,593,113 ",Lionsgate,2016,0,3,3,81,2
audi q7,30563,0.609002369,Positive,audi q7,Captain America: Civil War,2006 audi q7,2,audi q7,3,"$408,084,349 ",Walt Disney Studios Motion Pictures,2016,0,2,2,3,2
audi r8,736,0.486868687,Positive,audi r8,Captain America: Civil War,2015 audi r8,2,audi r8,3,"$408,084,349 ",Walt Disney Studios Motion Pictures,2016,0,1,1,3,2
audi tt,3044,1.608397601,Positive,audi tt,The Boss,2013 audi tt,1,audi tt,50,"$63,285,885 ",Universal Pictures,2016,0,2,2,50,1
bmw 2-series,15519,0.191935484,Positive,0,,,,,,,,2016,,,,,
bmw 3-series,70458,-0.254728157,Negative,bmw 3-series,Ride Along 2,2007 bmw 335i [e92],3,bmw 3,32,"$91,221,830 ",Universal Pictures,2016,2,21,23,32,3
bmw 4-series,35763,-0.223707916,Negative,bmw 4-series,The Girl on the Train,2014 bmw 4 [f33],1,bmw 4,41,"$75,395,035 ",Universal Pictures,2016,0,2,2,41,1
bmw 5-series,32408,-0.266156424,Negative,bmw 5-series,Captain America: Civil War,1996 bmw 5 [e39],2,bmw 5,3,"$408,084,349 ",Walt Disney Studios Motion Pictures,2016,0,14,14,3,2
bmw 6-series,3947,-0.515467714,Negative,0,,,,,,,,2016,,,,,
bmw 7-series,12918,0.390228153,Positive,bmw 7-series,Now You See Me 2,2006 bmw 750li [e66],2,bmw 7,47,"$65,075,540 ",Lionsgate,2016,0,4,4,47,2
