Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
acura ilx,11273,-0.041166964,Negative,acura ilx,Deadpool 2,2016 acura ilx,1,acura ilx,5,"$318,491,426 ",Twentieth Century Fox,2018,0,1,1,5,1
acura mdx,51512,-0.061472871,Negative,acura mdx,Nobody's Fool,2010 acura mdx,1,acura mdx,90,"$31,713,110 ",Paramount Pictures,2018,0,1,1,90,1
acura nsx,170,-0.707401033,Negative,0,,,,,,,,2018,,,,,
acura rdx,63580,0.239497027,Positive,acura rdx,A Simple Favor,2007 acura rdx,1,acura rdx,56,"$53,548,586 ",Lionsgate,2018,0,1,1,56,1
acura rlx,1931,0.561034762,Positive,0,,,,,,,,2018,,,,,
acura tlx,30468,-0.125638524,Negative,0,,,,,,,,2018,,,,,
alfa romeo 4c,238,-0.415233415,Negative,0,,,,,,,,2018,,,,,
alfa romeo giulia,11519,0.293833539,Positive,0,,,,,,,,2018,,,,,
alfa romeo stelvio,12043,3.425946343,Positive,0,,,,,,,,2018,,,,,
audi a3,18305,-0.117107992,Negative,audi a3,Peter Rabbit,2004 audi a3 sportback,2,audi a3,27,"$115,253,424 ",Sony Pictures Entertainment (SPE),2018,0,9,9,27,2
audi a4,34311,-0.089265807,Negative,audi a4,Mile 22,1995 audi a4 b5,2,audi a4,82,"$36,108,758 ",STX Entertainment,2018,0,8,8,82,2
audi a4 allroad,255,-0.921296296,Negative,audi a4,,,,,,,,2018,,,,,
audi a5,25972,0.21928548,Positive,0,,,,,,,,2018,,,,,
audi a6,10561,-0.352244848,Negative,audi a6,Peter Rabbit,2005 audi a6 avant c6,1,audi a6,27,"$115,253,424 ",Sony Pictures Entertainment (SPE),2018,0,4,4,27,1
audi a7,3852,-0.199168399,Negative,audi a7,Avengers: Infinity War,2016 audi a7 c7,1,audi a7,2,"$678,815,482 ",Walt Disney Studios Motion Pictures,2018,0,1,1,2,1
audi a8,1599,-0.488647266,Negative,audi a8,I Feel Pretty,2015 audi a8 d4,1,audi a8,61,"$48,795,601 ",STX Entertainment,2018,0,1,1,61,1
audi q3,16828,-0.184413318,Negative,0,,,,,,,,2018,,,,,
audi q5,69978,0.214052741,Positive,audi q5,Fifty Shades Freed,2009 audi q5,1,audi q5,35,"$100,407,760 ",Universal Pictures,2018,0,1,1,35,1
audi q7,37417,-0.024226777,Negative,audi q7,Fifty Shades Freed,2017 audi q7,3,audi q7,35,"$100,407,760 ",Universal Pictures,2018,1,2,3,35,3
audi r8,927,0.200777202,Positive,audi r8,Crazy Rich Asians,2009 audi r8,3,audi r8,17,"$174,039,071 ",Warner Bros.,2018,2,0,2,17,3
audi tt,1289,-0.43809939,Negative,audi tt,Sicario: Day of the Soldado,2008 audi tt,1,audi tt,60,"$50,072,235 ",Sony Pictures Entertainment (SPE),2018,0,1,1,60,1
bmw 2-series,9208,-0.215472438,Negative,bmw 2-series,Bumblebee,1974 bmw 2002,1,bmw 2,41,"$71,426,119 ",Paramount Pictures,2018,0,2,2,41,1
bmw 3-series,44578,-0.250147185,Negative,bmw 3-series,Truth or Dare,bmw 3 [e30],3,bmw 3,76,"$41,411,015 ",Universal Pictures,2018,1,18,19,76,3
bmw 4-series,31379,-0.208280769,Negative,bmw 4-series,Instant Family,2014 bmw 4 [f32],2,bmw 4,48,"$64,845,006 ",Paramount Pictures,2018,0,1,1,48,2
bmw 5-series,43937,0.080648335,Positive,bmw 5-series,Mission: Impossible - Fallout,1986 bmw 528i [e28],3,bmw 5,8,"$220,159,104 ",Paramount Pictures,2018,3,12,15,8,3
bmw 6-series,3762,0.121311475,Positive,bmw 6-series,Red Sparrow,2004 bmw 6 [e64],1,bmw 6,64,"$46,874,505 ",Twentieth Century Fox,2018,0,1,1,64,1
bmw 7-series,8271,-0.108344114,Negative,bmw 7-series,Mission: Impossible - Fallout,2017 bmw 740le [g12],3,bmw 7,8,"$220,159,104 ",Paramount Pictures,2018,5,4,9,8,3
bmw x1,29057,-0.057386622,Negative,0,,,,,,,,2018,,,,,
bmw x3,61351,0.507728982,Positive,0,,,,,,,,2018,,,,,
bmw x4,4323,-0.168333975,Negative,0,,,,,,,,2018,,,,,
bmw x5,45013,-0.114178884,Negative,bmw x5,The Commuter,2014 bmw x5 [f15],3,bmw x5,80,"$36,343,858 ",Lionsgate,2018,1,6,7,80,3
bmw x6,6862,0.012094395,Positive,0,,,,,,,,2018,,,,,
bmw z4,4,-0.992031873,Negative,0,,,,,,,,2018,,,,,
bmw i3,6120,-0.024856597,Negative,0,,,,,,,,2018,,,,,
bmw i8,772,0.581967213,Positive,bmw i8,Crazy Rich Asians,2014 bmw i8 [i12],1,bmw i8,17,"$174,039,071 ",Warner Bros.,2018,0,1,1,17,1
buick cascada,4628,-0.172832887,Negative,0,,,,,,,,2018,,,,,
buick enclave,49648,0.022321061,Positive,0,,,,,,,,2018,,,,,
buick encore,93071,0.057204521,Positive,0,,,,,,,,2018,,,,,
buick envision,30153,-0.265277778,Negative,0,,,,,,,,2018,,,,,
buick lacrosse,15527,-0.22984971,Negative,buick lacrosse,Deadpool 2,2006 buick lacrosse,2,buick lacrosse,5,"$318,491,426 ",Twentieth Century Fox,2018,0,6,6,5,2
buick regal,14117,0.22129942,Positive,buick regal,Truth or Dare,1976 buick regal,1,buick regal,76,"$41,411,015 ",Universal Pictures,2018,0,2,2,76,1
buick verano,210,-0.950900164,Negative,buick verano,Uncle Drew,2012 buick verano,2,buick verano,73,"$42,469,946 ",Lionsgate,2018,0,2,2,73,2
cadillac ats,10860,-0.170992366,Negative,0,,,,,,,,2018,,,,,
cadillac ct6,9669,-0.082811611,Negative,0,,,,,,,,2018,,,,,
cadillac cts,11220,0.084686775,Positive,cadillac cts,Ralph Breaks the Internet,cadillac cts coupe,3,cadillac cts,16,"$177,616,854 ",Walt Disney Studios Motion Pictures,2018,1,2,3,16,3
cadillac escalade,36032,-0.044091898,Negative,cadillac escalade,Ant-Man and the Wasp,2007 cadillac escalade,3,cadillac escalade,9,"$216,648,740 ",Walt Disney Studios Motion Pictures,2018,4,10,14,9,3
cadillac srx,6,-0.961538462,Negative,0,,,,,,,,2018,,,,,
cadillac xt5,60566,-0.113391498,Negative,cadillac xt5,Ocean's Eight,2017 cadillac xt5,1,cadillac xt5,22,"$140,218,711 ",Warner Bros.,2018,0,1,1,22,1
cadillac xts,17729,0.089339478,Positive,cadillac xts,Den of Thieves,2013 cadillac xts,1,cadillac xts,68,"$44,947,622 ",STX Entertainment,2018,0,1,1,68,1
chevrolet bolt,18020,-0.226509851,Negative,chevrolet bolt,Ocean's Eight,2017 chevrolet bolt,1,chevrolet bolt,22,"$140,218,711 ",Warner Bros.,2018,0,1,1,22,1
chevrolet camaro,50963,-0.249882249,Negative,chevrolet camaro,Sicario: Day of the Soldado,1978 chevrolet camaro,4,chevrolet camaro,60,"$50,072,235 ",Sony Pictures Entertainment (SPE),2018,2,7,9,60,4
chevrolet caprice ppv,75,-0.891774892,Negative,0,,,,,,,,2018,,,,,
chevrolet city express,6341,-0.240416866,Negative,0,,,,,,,,2018,,,,,
chevrolet colorado,134842,0.193334277,Positive,chevrolet colorado,Venom,2015 chevrolet colorado,1,chevrolet colorado,11,"$213,312,395 ",Sony Pictures Entertainment (SPE),2018,0,2,2,11,1
chevrolet corvette,18789,-0.250807448,Negative,chevrolet corvette,Game Night,1977 chevrolet corvette c3,3,chevrolet corvette,43,"$69,179,066 ",Warner Bros.,2018,1,5,6,43,3
chevrolet cruze,142618,-0.228052893,Negative,chevrolet cruze,Venom,2016 chevrolet cruze,1,chevrolet cruze,11,"$213,312,395 ",Sony Pictures Entertainment (SPE),2018,0,8,8,11,1
chevrolet equinox,332621,0.145160402,Positive,chevrolet equinox,Ant-Man and the Wasp,2018 chevrolet equinox,1,chevrolet equinox,9,"$216,648,740 ",Walt Disney Studios Motion Pictures,2018,0,2,2,9,1
chevrolet express,66963,-0.031822914,Negative,chevrolet express,Game Night,1996 chevrolet express,3,chevrolet express,43,"$69,179,066 ",Warner Bros.,2018,3,2,5,43,3
chevrolet impala,56557,-0.254622613,Negative,chevrolet impala,First Man,1962 chevrolet impala,3,chevrolet impala,69,"$44,923,035 ",Universal Pictures,2018,1,21,22,69,3
chevrolet malibu,144542,-0.22229456,Negative,chevrolet malibu,The Equalizer 2,2017 chevrolet malibu,4,chevrolet malibu,32,"$102,084,362 ",Sony Pictures Entertainment (SPE),2018,1,15,16,32,4
chevrolet silverado,585582,-0.00048134,Negative,chevrolet silverado,Rampage,2005 chevrolet silverado,2,chevrolet silverado,33,"$101,028,233 ",Warner Bros.,2018,0,6,6,33,2
chevrolet sonic,20613,-0.319478376,Negative,chevrolet sonic,Super Troopers 2,2012 chevrolet sonic,1,chevrolet sonic,94,"$30,617,396 ",Twentieth Century Fox,2018,0,1,1,94,1
chevrolet spark,23603,0.044889105,Positive,chevrolet spark,Black Panther,2011 chevrolet spark,1,chevrolet spark,1,"$700,059,566 ",Walt Disney Studios Motion Pictures,2018,0,2,2,1,1
chevrolet suburban,60633,0.072846628,Positive,chevrolet suburban,Den of Thieves,2000 chevrolet suburban,4,chevrolet suburban,68,"$44,947,622 ",STX Entertainment,2018,2,21,23,68,4
chevrolet tahoe,104152,0.052455008,Positive,chevrolet tahoe,Rampage,2015 chevrolet tahoe,2,chevrolet tahoe,33,"$101,028,233 ",Warner Bros.,2018,0,21,21,33,2
chevrolet traverse,146264,0.184266351,Positive,chevrolet traverse,Mile 22,2013 chevrolet traverse,2,chevrolet traverse,82,"$36,108,758 ",STX Entertainment,2018,0,2,2,82,2
chevrolet trax,89917,0.134041292,Positive,chevrolet trax,Venom,2017 chevrolet trax,1,chevrolet trax,11,"$213,312,395 ",Sony Pictures Entertainment (SPE),2018,0,1,1,11,1
chevrolet volt,18306,-0.100398054,Negative,0,,,,,,,,2018,,,,,
chrysler 200,1043,-0.943490275,Negative,chrysler 200,Fifty Shades Freed,2015 chrysler 200,2,chrysler 200,35,"$100,407,760 ",Universal Pictures,2018,0,3,3,35,2
chrysler 300,46593,-0.090637625,Negative,chrysler 300,The Hate U Give,2015 chrysler 300,3,chrysler 300,100,"$29,666,375 ",Twentieth Century Fox,2018,1,9,10,100,3
chrysler pacifica,118322,0.000405837,Positive,chrysler pacifica,Tag,2017 chrysler pacifica,4,chrysler pacifica,54,"$54,730,625 ",Warner Bros.,2018,2,4,6,54,4
chrysler town & country,6,-0.989601386,Negative,chrysler town & country,Jurassic World: Fallen Kingdom,2009 chrysler town & country,2,chrysler town & country,4,"$417,719,760 ",Universal Pictures,2018,0,4,4,4,2
dodge challenger,66716,0.033763577,Positive,dodge challenger,Ant-Man and the Wasp,2015 dodge challenger,2,dodge challenger,9,"$216,648,740 ",Walt Disney Studios Motion Pictures,2018,0,8,8,9,2
dodge charger,80226,-0.09196274,Negative,dodge charger,Ant-Man and the Wasp,2017 dodge charger,3,dodge charger,9,"$216,648,740 ",Walt Disney Studios Motion Pictures,2018,1,28,29,9,3
dodge dart,389,-0.961416386,Negative,dodge dart,The Shape of Water,1962 dodge dart,3,dodge dart,63,"$48,189,258 ",Fox Searchlight Pictures,2018,1,3,4,63,3
dodge durango,65947,-0.040924361,Negative,dodge durango,Truth or Dare,2005 dodge durango,4,dodge durango,76,"$41,411,015 ",Universal Pictures,2018,2,5,7,76,4
dodge grand caravan,151927,0.213513211,Positive,dodge grand caravan,Deadpool 2,2011 dodge grand caravan,2,dodge grand caravan,5,"$318,491,426 ",Twentieth Century Fox,2018,0,9,9,5,2
dodge journey,94096,0.051704482,Positive,dodge journey,Ocean's Eight,2011 dodge journey,1,dodge journey,22,"$140,218,711 ",Warner Bros.,2018,0,4,4,22,1
dodge viper,19,-0.967521368,Negative,0,,,,,,,,2018,,,,,
fiat 124 spider,3515,-0.215051362,Negative,0,,,,,,,,2018,,,,,
fiat 500,5370,-0.576665353,Negative,fiat 500,Mission: Impossible - Fallout,2015 fiat 500,1,fiat 500,8,"$220,159,104 ",Paramount Pictures,2018,0,3,3,8,1
fiat 500l,1413,-0.150841346,Negative,fiat 500l,Ant-Man and the Wasp,2014 fiat 500l,2,fiat 500l,9,"$216,648,740 ",Walt Disney Studios Motion Pictures,2018,0,1,1,9,2
fiat 500x,5223,-0.318590998,Negative,fiat 500,,,,,,,,2018,,,,,
ford c-max,6683,-0.636595976,Negative,ford c-max,Mission: Impossible - Fallout,2015 ford c-max mkii,1,ford c-max,8,"$220,159,104 ",Paramount Pictures,2018,0,2,2,8,1
ford e-series,47936,-0.100705388,Negative,ford e-series,A Simple Favor,2008 ford e-450,2,ford e-,56,"$53,548,586 ",Lionsgate,2018,0,13,13,56,2
ford edge,134122,-0.059472802,Negative,ford edge,Life of the Party,2015 ford edge,3,ford edge,57,"$53,059,911 ",Warner Bros.,2018,1,6,7,57,3
ford escape,272228,-0.116991463,Negative,ford escape,Goosebumps 2: Haunted Halloween,2003 ford escape,3,ford escape,66,"$46,700,633 ",Sony Pictures Entertainment (SPE),2018,1,8,9,66,3
ford expedition,54661,0.05354355,Positive,ford expedition,Sicario: Day of the Soldado,1997 ford expedition gen.1,3,ford expedition,60,"$50,072,235 ",Sony Pictures Entertainment (SPE),2018,2,7,9,60,3
ford explorer,261571,-0.035259708,Negative,ford explorer,"Three Billboards Outside Ebbing, Missouri",2003 ford explorer,3,ford explorer,96,"$30,349,111 ",Fox Searchlight Pictures,2018,1,12,13,96,3
ford explorer police interceptor ,33839,0.023099017,Positive,ford explorer,,,,,,,,2018,,,,,
ford f-series,909330,0.014012605,Positive,ford f-series,Instant Family,1973 ford f-100,4,ford f-,48,"$64,845,006 ",Paramount Pictures,2018,5,49,54,48,4
ford fiesta,51730,0.118510671,Positive,ford fiesta,Jurassic World: Fallen Kingdom,2014 ford fiesta mkvi,2,ford fiesta,4,"$417,719,760 ",Universal Pictures,2018,0,5,5,4,2
ford flex,20308,-0.09294743,Negative,ford flex,Den of Thieves,2009 ford flex,1,ford flex,68,"$44,947,622 ",STX Entertainment,2018,0,2,2,68,1
ford focus,114045,-0.279950753,Negative,ford focus,Game Night,2000 ford focus,2,ford focus,43,"$69,179,066 ",Warner Bros.,2018,0,25,25,43,2
ford fusion,173600,-0.171846601,Negative,ford fusion,Halloween,2017 ford fusion hybrid,2,ford fusion,19,"$159,336,510 ",Universal Pictures,2018,0,9,9,19,2
ford gt,126,0.415730337,Positive,ford gt,Crazy Rich Asians,ford gt 40 replica,1,ford gt,17,"$174,039,071 ",Warner Bros.,2018,0,1,1,17,1
ford mustang,75842,-0.073583661,Negative,ford mustang,Creed II,1967 ford mustang,3,ford mustang,28,"$112,448,520 ",Metro-Goldwyn-Mayer (MGM),2018,2,3,5,28,3
ford taurus,40341,-0.021704336,Negative,ford taurus,The Equalizer 2,2017 ford taurus,3,ford taurus,32,"$102,084,362 ",Sony Pictures Entertainment (SPE),2018,1,9,10,32,3
ford transit,137794,0.081925251,Positive,ford transit,Avengers: Infinity War,2007 ford transit mkv,2,ford transit,2,"$678,815,482 ",Walt Disney Studios Motion Pictures,2018,0,7,7,2,2
ford transit connect,31923,-0.073970934,Negative,ford transit,,,,,,,,2018,,,,,
gmc acadia,88622,-0.203583882,Negative,gmc acadia,Den of Thieves,2017 gmc acadia,1,gmc acadia,68,"$44,947,622 ",STX Entertainment,2018,0,2,2,68,1
gmc canyon,33493,0.043200648,Positive,0,,,,,,,,2018,,,,,
gmc savana,19685,-0.336736413,Negative,0,,,,,,,,2018,,,,,
gmc sierra,219554,0.007391841,Positive,gmc sierra,Death Wish,2010 gmc sierra,2,gmc sierra,85,"$34,017,028 ",Metro-Goldwyn-Mayer (MGM),2018,0,4,4,85,2
gmc terrain,114311,0.337893985,Positive,gmc terrain,The Equalizer 2,2017 gmc terrain,1,gmc terrain,32,"$102,084,362 ",Sony Pictures Entertainment (SPE),2018,0,4,4,32,1
