Rank,Vehicle,2013,2012,% Change,December 2013,December 2012,% Change.1
#79,Subaru XV Crosstrek,53741,7396,627%,5525,3409,62.1%
#80,Honda Fit,53513,49346,8.4%,4617,3680,25.5%
#81,Acura MDX,53040,50854,4.3%,6538,5069,29.0%
#82,Jeep Compass,52993,40235,31.7%,3534,3131,12.9%
#83,Toyota 4Runner,51625,48755,5.9%,5100,5224,-2.4%
#84,Dodge Challenger,51462,43119,19.3%,2872,3942,-27.1%
#85,Chevrolet Suburban,51260,48116,6.5%,5820,5956,-2.3%
#86,Buick LaCrosse,48798,57076,-14.5%,3123,4074,-23.3%
#87,Chevrolet Captiva Sport,47600,36935,28.9%,2634,2707,-2.7%
#88,Buick Verano,45527,41042,10.9%,2929,4820,-39.2%
#89,Acura RDX,44750,29520,51.6%,4215,4024,4.7%
#90,Nissan Murano,44684,51675,-13.5%,4684,3999,17.1%
#91,Mazda 6,43638,33756,29.3%,4365,1384,215%
#92,Volkswagen Beetle,43134,29174,47.9%,2819,3182,-11.4%
#92.1,Volkswagen Beetle Coupe *,25084,28654,-12.5%,1856,2666,-30.4%
#92.2,Volkswagen Beetle Convertible *,18050,520,3371%,963,516,86.6%
#93,Subaru Legacy,42291,47127,-10.3%,2939,4217,-30.3%
#94,Audi A4,42130,38530,9.3%,3979,3806,4.5%
#94.1,Audi A4 Sedan/Avant *,36744,34163,7.6%,3543,3369,5.2%
#94.2,Audi A4 Allroad *,5386,4367,23.3%,436,437,-0.2%
#95,Toyota Prius C ²,41979,35733,17.5%,2810,3151,-10.8%
#96,Mini Cooper,41915,45111,-7.1%,3887,4232,-8.2%
#96.1,Mini Hardtop *,26954,29278,-7.9%,2995,3011,-0.5%
#96.2,Mini Clubman *,5155,5769,-10.6%,379,445,-14.8%
#96.3,Mini Convertible *,4460,4813,-7.3%,262,325,-19.4%
#96.4,Mini Roadster *,2806,2371,18.3%,134,273,-50.9%
#96.5,Mini Coupe *,2540,2880,-11.8%,117,178,-34.3%
#97,Hyundai Tucson,41906,48878,-14.3%,3714,3745,-0.8%
#98,Mercedes-Benz M-Class,41326,38101,8.5%,4485,4241,5.8%
#99,Kia Rio,40742,40275,1.2%,2156,2343,-8.0%
#100,Audi Q5,40355,28671,40.8%,4794,3626,32.2%
#101,Infiniti G37/Q60 †,40062,59844,-33.1%,1922,5516,-65.2%
#101.1,Infiniti G Sedan *,30256,46828,-35.4%,1460,4482,-67.4%
#101.2,Infiniti G Coupe/Convertible & Q60 *,9806,13016,-24.7%,462,1034,-55.3%
#102,BMW X5,39818,44445,-10.4%,1953,5722,-65.9%
#103,Ford Expedition,38350,38062,0.8%,4325,4061,6.5%
#104,Cadillac ATS,38319,7008,447%,3887,2979,30.5%
#105,Nissan Juke,38157,36358,4.9%,3076,2739,12.3%
#106,Toyota Venza,35846,43095,-16.8%,2148,4423,-51.4%
#107,Fiat 500,35834,43772,-18.1%,2324,3707,-37.3%
#108,Ford C-Max,35210,13309,165%,2028,4310,-52.9%
#109,Lexus IS,35017,27708,26.4%,5414,2497,117%
#110,Toyota Prius V ²,34989,40669,-14.0%,2110,2992,-29.5%
#111,Chevrolet Spark,34130,12385,176%,1712,2229,-23.2%
#112,Kia Sportage,32965,36357,-9.3%,2527,1696,49.0%
#113,Cadillac XTS,32559,15049,116%,2670,2939,-9.2%
#114,Mercedes-Benz GLK-Class,32553,29364,10.9%,3229,3004,7.5%
#115,Lincoln MKZ,32361,28053,15.4%,2823,1630,73.2%
#116,Cadillac CTS,32343,46979,-31.2%,3217,3372,-4.6%
#117,Hyundai Genesis,32330,33973,-4.8%,3280,2397,36.8%
#118,Buick Encore,31956,—,—,2761,—,—
#119,Infiniti JX/QX60,31602,21674,45.8%,3744,2708,38.3%
#120,GMC Yukon XL,31258,23427,33.4%,3158,2929,7.8%
#121,Volkswagen Golf,30931,40885,-24.3%,1852,2854,-35.1%
#121.1,Volkswagen Golf *,16023,20677,-22.5%,854,1477,-42.2%
#121.2,Volkswagen GTI *,13310,16314,-18.4%,976,1085,-10.0%
#121.3,Volkswagen Golf R *,1598,3894,-59.0%,22,292,-92.5%
