Vehicle,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Jaguar XJ,1161,4278,5235,4852,5434,4329,3611,3834,2721,1579,0,1118
Jaguar XK,2274,2137,1738,1633,1346,1452,293,3,,,,
Jeep Cherokee,,,,,25786,178508,220260,199736,169882,239437,191397,135854
Jeep Commander,12655,8115,105,,,,,,,,,
Jeep Compass,11739,15894,47709,40235,52993,61264,66698,94061,83253,171167,143933,107968
Jeep Gladiator,,,,,,,,,,,40038,77541
Jeep Grand Cherokee,50328,84635,127744,154734,174275,183786,195958,212273,240696,224908,242969,209786
Jeep Liberty,43503,49564,66684,75483,6101,,,,,,,
Jeep Patriot,31432,38620,54647,62010,75797,93462,118464,121926,10735,621,27,
Jeep Renegade,,,,,,,60946,106606,103434,97062,76886,62847
Jeep Wrangler,82044,94310,122460,141669,155502,175328,202702,191774,190522,240032,228042,201310
Kia Amanti,3704,281,8,,,,,,,,,
Kia Borrego,10530,9835,429,,,,,,,,,
Kia Cadenza,,,,,8626,9267,7343,4738,7249,4507,1577,1265
Kia Forte,26328,68500,76295,75681,66146,69336,78919,103292,117596,101890,95683,84997
Kia K5,,,,,,,,,,,,31656
Kia K900,,,,,,1330,2524,834,455,354,392,305
Kia Niro,,,,,,,,,27237,28232,24421,17434
Kia Optima,37527,27382,84590,152399,155893,159020,159414,124203,107493,101603,96050,48484
Kia Rio,34666,24619,20111,40275,40742,35933,23742,28700,16760,22975,24509,23927
Kia Rondo,14206,3588,47,,,,,,,,,
Kia Sedona,27398,21823,24047,17512,7079,14567,36755,44264,23815,17928,15843,13190
Kia Seltos,,,,,,,,,,,,46280
Kia Sorento,24460,108985,130235,119597,105649,102520,116249,114733,99684,107846,96531,74677
Kia Soul,31621,67110,102267,115778,118079,145316,147133,145768,115712,104709,97814,71772
Kia Spectra,47114,272,,,,,,,,,,
Kia Sportage,42509,23873,47463,36357,32965,42945,53739,81066,72824,82823,88977,84343
Kia Stinger,,,,,,,,,843,16806,13884,12556
Kia Telluride,,,,,,,,,,,58932,75119
Land Rover Defender,,,,,,,,,,,,9100
Land Rover Discovery / LR4,3197,7122,7984,7316,7093,4679,9031,10772,6398,9842,9184,5811
Land Rover Discovery Sport,,,,,,,7611,14243,14187,12035,12337,7760
Land Rover LR2,4433,3649,2777,3113,3315,3619,77,3,,,,
Land Rover Range Rover,7312,8746,9761,7843,12221,12830,17821,16155,16869,19030,18831,13982
Land Rover Range Rover Evoque,,,2244,8901,11405,12440,14583,11076,11979,9917,11529,10510
Land Rover Range Rover Sport,11364,12347,15333,16491,15976,17897,21459,21612,19153,24282,25768,20053
Land Rover Range Rover Velar,,,,,,,,,6153,17037,17087,12817
Lexus CT,,,,,,,14657,8903,4690,,,
Lexus CT200h,,,14381,17673,15071,17673,14657,,,,,
Lexus ES/ES350,48485,48652,40873,56158,72581,72508,64969,58299,51398,48482,51336,43292
Lexus GS,7430,7059,3746,22160,19742,22198,23117,14878,7773,6604,3378,2560
Lexus GX/GX460,6235,16450,11609,11039,12136,22685,25212,25148,27190,26724,25945,28519
Lexus HS/HS250h,6699,10663,2864,649,5,,,,,,,
Lexus IS,38077,34129,29669,27708,35017,51358,46430,37289,26482,22927,14920,13600
Lexus LC,,,,,,,,,2487,1979,1219,1293
Lexus LFA,,,62,46,23,17,9,6,3,2,3,3
Lexus LS,11334,12275,9568,8345,10727,8559,7165,5514,4094,9301,5528,3650
Lexus LX/LX570,3616,3983,3167,5005,4625,4052,3884,5707,6004,4753,4718,4512
Lexus NX,,,,,,2927,43764,54884,59341,62079,58715,55784
Lexus RC,,,,,,1922,14784,11165,7363,3358,4591,3808
Lexus RX,93379,95790,82595,95381,103920,107490,100610,109435,108307,111636,111036,101059
Lexus SC430,720,328,18,2,,,,,,,,
Lexus UX,,,,,,,,,,453,16723,16962
Lincoln Aviator,,,,,,,,,,,8324,23080
Lincoln Continental,,,,,,,,5261,12012,8758,6587,5256
Lincoln MKC,,,,,,13077,24590,25562,27048,26241,25816,26226
Lincoln MKS,17174,14417,12217,12524,10793,8160,6877,4951,153,,,
Lincoln MKT,2580,7435,5024,7094,6014,4800,4696,4028,3005,2324,3388,329
Lincoln MKX/Nautilus,21433,21932,23395,25107,23913,23995,22199,30967,31031,28573,31610,22743
Lincoln MKZ,22081,22535,27529,28053,32361,34009,30901,30534,27387,19852,17726,12518
Lincoln Navigator,8057,8245,8018,8371,8613,10433,11964,10421,10523,17839,18656,15253
Lincoln Town Car,11375,11264,9460,1001,,,,,,,,
Maserati Ghibli,,,,,,,7922,7100,5531,,,
Maserati GranTurismo,,,,,,,1373,1249,1018,,,
Maserati Levante,,,,,,,,1917,5448,,,
Maserati Quattroporte,,,,,,,2398,2268,1700,,,
Mazda 2,,3021,13952,19315,11757,13615,297,3,,,,3256
Mazda 3,94466,106353,102417,123361,104713,104985,107885,95567,75018,64638,50741,30352
Mazda 5,18488,15683,19155,14640,13884,11613,8609,375,10,,,
Mazda 6,34866,35662,35711,33756,43638,53224,57897,45520,33402,30938,21524,16204
Mazda B-Series,573,10,,,,,,,,,,
Mazda CX-3,,,,,,,6406,18557,16355,16899,16229,8335
Mazda CX-30,,,,,,,,,,,899,38064
Mazda CX-5,,,,43319,79544,99122,111450,112235,127563,150622,154543,146420
Mazda CX-7,20583,28788,35641,11326,1,,,,,,,
Mazda CX-9,21132,28908,34421,24442,24628,18496,18048,16051,25828,28257,26861,27638
Mazda MX-5 Miata,7917,6370,5674,6305,5780,4745,8591,9465,11294,8971,7753,8807
Mazda RX-8,2217,1134,759,80,1,1,,,,,,
Mazda Tribute,5525,3637,2696,502,1,1,,,,,,
Mercedes-Benz A-Class,,,,,,,,,,,15944,15333
Mercedes-Benz AMG GT,,,,,,,1277,1227,1609,1525,4048,3303
Mercedes-Benz B-Class,,1,19,29,20,776,1906,632,744,135,8,1
Mercedes-Benz C-Class,52427,58785,69314,81697,88251,75065,86080,77167,77447,54829,48875,25119
Mercedes-Benz CL-Class,1220,1035,943,723,476,221,54,,,,,
Mercedes-Benz CLA-Class,,,,,14113,27365,29643,25792,20669,26269,13212,11644
Mercedes-Benz CLK-Class,7150,585,6,1,0,3,,,,,,
Mercedes-Benz CLS-Class,2527,2135,5665,8065,8032,6981,6152,4156,1839,943,941,1206
Mercedes-Benz E-Class,43072,60922,62736,65171,69803,66400,55888,50896,51312,46424,39858,27102
Mercedes-Benz G-Class,662,919,1191,1330,2494,3090,3616,3950,4188,3593,6092,7723
Mercedes-Benz GL-Class/GLS-Class,15012,19943,25139,26042,29912,26597,27707,30442,32248,21973,22615,22172
Mercedes-Benz GLA-Class,,,,,,6884,25593,24545,24104,24136,21514,25348
Mercedes-Benz GLB,,,,,,,,,,,1173,23185
Mercedes-Benz GLC-Class,,,,,,,4569,47872,48643,69729,72439,52626
Mercedes-Benz GLE-Class/M-Class,25799,29698,35835,38101,41326,46726,53217,51791,54595,46010,48664,48153
Mercedes-Benz GLK-Class,21944,20946,24310,29364,32553,35000,23333,84,,,,
Mercedes-Benz Metris/Vito,,,,,,,,5984,7579,7800,11718,12994
Mercedes-Benz R-Class,2825,2937,2385,1473,30,8,4,,,,,
Mercedes-Benz S-Class,11199,13608,12258,11794,13303,25276,21934,18803,15888,14978,12503,8589
Mercedes-Benz SL-Class,4025,2385,1449,4899,7007,5030,4060,3722,2940,2126,1791,1783
Mercedes-Benz SLK-Class/SLC-Class,2566,1980,3220,4595,4757,4737,4182,3397,2860,1993,1916,2121
Mercedes-Benz SLS AMG,,499,722,800,451,232,29,1,,,,
Mercedes-Benz Sprinter,,8559,16577,20929,21816,25745,28519,28320,27415,27564,29757,37513
Mercury Grand Marquis,24783,28543,248,,,,,,,,,
Mercury Mariner,28688,29912,,,,,,,,,,
Mercury Milan,27403,28912,,,,,,,,,,
Mercury Mountaineer,5169,5791,,,,,,,,,,
Mercury Sable,6256,37,,,,,,,,,,
Mini Cooper,45225,45644,40828,45111,41915,31385,40120,39239,32232,26119,22123,18684
Mini Cooper Clubman,,,6844,5769,5155,2613,492,12204,,,,
Mini Cooper Convertible,,,4964,4813,4460,3536,3098,4584,,,,
Mini Cooper Coupe,,,953,2880,2540,956,460,8,,,,
Mini Cooper Hardtop 2-Door,,29658,28067,29278,26954,21495,19783,11264,11256,9950,8462,8119
Mini Cooper Hardtop 4-Door,,,,,,1348,15189,11174,7723,6450,6065,4932
Mini Cooper Roadster,,,,2371,2806,1437,1103,5,,,,
Mini Countryman,,575,16683,21012,21325,22645,16686,12706,14864,17565,14042,9363
Mini Paceman,,,,,3262,2082,1708,85,9,,,
Mitsubishi Eclipse/Spyder,6672,4282,7546,1173,109,,,,,,,
Mitsubishi Eclipse Cross,,,,,,,,,,9485,19661,10319
Mitsubishi Endeavor,3228,4294,9658,501,24,,,,,,,
Mitsubishi Galant,11740,11492,15631,13261,1441,122,,,,,,
Mitsubishi Lancer,20117,21416,19874,16426,19451,16495,17691,14304,12725,,,
Mitsubishi Mirage,,,,,2935,16708,21515,22226,22386,24316,26966,19135
Mitsubishi Outlander,10283,12500,9788,7750,12287,13068,19055,26576,35310,37952,37965,27133
Mitsubishi Outlander PHEV,,,,,,,,,99,3866,2810,1964
Mitsubishi Outlander Sport,,1690,16443,18091,24951,31054,36966,33067,33160,36867,26144,28835
Mitsubishi Raider,1944,9,,,,,,,,,,
Mitsubishi i-MiEV,,,80,588,1029,196,115,94,6,,,
Nissan 370Z/350Z,13117,10215,7328,7338,6561,7199,7391,5913,4614,3468,2384,1955
Nissan Altima,203568,229263,268981,302934,320723,335644,333398,307380,254996,209146,209183,137988
Nissan Armada,9903,19344,18331,18072,14383,12593,12737,14035,35667,32650,32044,19638
Nissan Cube,21471,22968,14459,7667,5461,3785,943,15,,,,
Nissan Frontier,28415,40427,51700,55435,62837,74323,62817,86926,74360,79646,72369,54817
Nissan GT-R,1534,877,1294,1188,1236,1436,1105,698,578,538,331,303
Nissan Juke,,8639,35886,36358,38157,38184,27121,19577,10157,731,11,
Nissan Kicks,,,,,,,,,,23312,58193,58858
Nissan Leaf,,19,9674,9819,22610,30200,17269,14006,11230,14715,12365,9559
Nissan Maxima,53351,60569,58737,59349,53896,50401,40359,62670,67627,42337,35076,18141
Nissan Murano,52546,53999,53626,51675,44684,47301,62907,86953,76732,83547,68361,58256
Nissan NV,,,6444,10179,13177,14890,16958,17873,17858,16902,20022,15248
Nissan NV200,,,,,4619,13385,17317,18523,18602,18628,18768,17126
Nissan Pathfinder,18341,21438,25935,42621,88632,79111,82041,81701,81065,67550,65691,48579
Nissan Quest,8437,177,12199,18275,12874,9833,11018,11115,4950,3,,
Nissan Rogue,77222,99515,124543,142349,162751,199199,287190,329904,403465,412110,350447,227936
Nissan Sentra,82706,94065,114991,106395,129143,183268,203509,214709,218451,213046,184618,94645
Nissan Titan,19042,23416,21994,21576,15691,12527,12140,21880,52924,50459,31514,26441
Nissan Versa,82906,99705,99730,113327,117352,139781,144528,132214,106772,75809,66596,48272
Nissan Xterra,16455,20523,18221,17222,17766,16505,10672,38,1,,,
Pontiac G3,6223,14,,,,,,,,,,
Pontiac G5,12362,87,,,,,,,,,,
Pontiac G6,87171,479,,,,,,,,,,
Pontiac G8,23157,274,,,,,,,,,,
Pontiac Grand Prix,265,7,,,,,,,,,,
Pontiac Solstice,5642,157,,,,,,,,,,
Pontiac Vibe,33842,97,,,,,,,,,,
Porsche 718,,,,,,,,6260,5087,5276,3880,3447
Porsche 911,6839,5737,6016,8528,10442,10433,9898,8901,8970,9783,9265,8839
Porsche 918 Spyder,,,,,,96,203,1,,,,
Porsche Boxster,1909,2177,1773,2894,4570,3875,3102,2670,2287,2097,,
Porsche Cayenne,7735,8343,12978,15545,18507,16205,16474,15383,13203,11106,19001,18092
Porsche Cayman,1966,1322,1377,462,3383,3417,3561,3590,2800,3179,,
Porsche Macan,,,,,,7241,13533,19332,21429,22954,22667,18633
Porsche Panamera,1247,7741,6879,7614,5421,5740,4985,4403,6431,8114,6625,3871
Porsche Taycan,,,,,,,,,,,130,4404
Ram Cargo Van,,,692,7075,8900,11311,3222,21,,,,
Ram Pickup,177268,199652,244763,293363,355673,439789,451116,489418,500723,536980,633694,563676
Ram ProMaster,,,,,3270,18039,28345,40440,40483,46600,56410,50553
Ram ProMaster City,,,,,,,11124,15972,15584,13788,12919,10408
Saab 9-3,5428,4533,3847,,,,,,,,,
Saab 9-4X,,,267,,,,,,,,,
Saab 9-5,1034,811,1496,,,,,,,,,
