Rank,Vehicle,Dec. 2014 YTD,Dec. 2013 YTD,% Change,Dec. 2014,Dec. 2013,% Change.1
#79,Buick Enclave,62300,60534,2.9%,7393,4819,53.4%
#80,Jeep Compass,61264,52993,15.6%,4946,3534,40.0%
#81,Honda Fit,59340,53513,10.9%,6450,4617,39.7%
#82,Chevrolet Suburban,55009,51260,7.3%,6761,5820,16.2%
#83,Cadillac SRX,53578,56776,-5.6%,4899,6074,-19.3%
#84,Chrysler 300,53382,57724,-7.5%,3992,4881,-18.2%
#85,Mazda 6,53224,43637,22.0%,4323,4365,-1.0%
#86,BMW 5-Series,52704,56863,-7.3%,5517,8102,-31.9%
#87,Subaru Legacy,52270,42291,23.6%,5457,2939,85.7%
#88,Dodge Avenger,51705,93842,-44.9%,455,4950,-90.8%
#89,Dodge Challenger,51611,51462,0.3%,4938,2872,71.9%
#90,Buick LaCrosse,51468,48798,5.5%,5034,3123,61.2%
#91,Lexus IS,51358,35017,46.7%,5939,5414,9.7%
#92,Nissan Maxima,50401,53896,-6.5%,3180,6509,-51.1%
#93,Buick Encore,48892,31956,53.0%,3102,2761,12.4%
#94,Hyundai Tucson,47306,41906,12.9%,3114,3714,-16.2%
#95,Nissan Murano,47301,44684,5.9%,4367,4684,-6.8%
#96,BMW X5,47031,39818,18.1%,6098,1953,212%
#97,Mercedes-Benz M-Class,46726,41326,13.1%,5625,4485,25.4%
#98,Acura RDX,44865,44750,0.3%,5156,4215,22.3%
#99,Ford Expedition,44632,38350,16.4%,4239,4325,-2.0%
#100,Buick Verano,43743,45527,-3.9%,3017,2929,3.0%
#101,Ford Transit Connect,43210,39703,8.8%,5012,3787,32.3%
#102,Kia Sportage,42945,32965,30.3%,3298,2527,30.5%
#103,Audi Q5,42420,40355,5.1%,4551,4794,-5.1%
#104,GMC Yukon,41569,28302,46.9%,4729,3597,31.5%
#105,Toyota Prius C ²,40570,41979,-3.4%,2839,2810,1.0%
#106,Chevrolet Spark,39159,34130,14.7%,3007,1712,75.6%
#107,Audi A4,38679,42130,-8.2%,3599,3979,-9.6%
#107.1,Audi A4 Sedan/Avant *,33993,36744,-7.5%,3197,3543,-9.8%
#107.2,Audi A4 Allroad *,4686,5386,-13.0%,402,436,-7.8%
#108,Nissan Juke,38184,38157,0.1%,2155,3076,-29.9%
#109,Infiniti Q50,36899,17816,107%,3855,4568,-15.6%
#110,Kia Rio,35933,40742,-11.8%,1924,2156,-10.8%
#111,Chevrolet Captiva Sport,35368,47600,-25.7%,15,2634,-99.4%
#112,Mercedes-Benz GLK-Class,35000,32553,7.5%,1857,3229,-42.5%
#113,Chevrolet Corvette,34839,17291,101%,3552,3005,18.2%
#114,Lincoln MKZ,34009,32361,5.1%,2636,2823,-6.6%
#115,BMW X3,33824,30623,10.5%,2795,3707,-24.6%
#116,Fiat 500,33708,35834,-5.9%,2302,2324,-0.9%
#117,Volkswagen Golf,33675,30931,8.9%,4405,1852,138%
#117.1,Volkswagen Golf GTI *,17362,13310,30.4%,1789,976,83.3%
#117.2,Volkswagen Golf *,15941,16023,-0.5%,2379,854,179%
#117.3,Volkswagen e-Golf *,357,—,—,237,—,—
#117.4,Volkswagen Golf R *,15,1598,-99.1%,—,22,-100%
#118,Mini Cooper,31385,41915,-25.2%,4545,3887,16.9%
#118.1,Mini Cooper Hardtop *,22843,26954,-15.3%,4176,2995,39.4%
#118.2,Mini Cooper Convertible,3536,4460,-20.7%,219,262,-16.4%
#118.3,Mini Cooper Clubman *,2613,5155,-49.3%,4,379,-98.9%
#118.4,Mini Cooper Roadster *,1437,2806,-48.8%,95,134,-29.1%
#118.5,Mini Cooper Coupe *,956,2540,-62.4%,51,117,-56.4%
#119,Infiniti QX60/JX,31192,31602,-1.3%,3367,3744,-10.1%
#120,Cadillac CTS,31115,32343,-3.8%,2652,3217,-17.6%
#121,Mitsubishi Outlander Sport,31054,24951,24.5%,2755,2358,16.8%
#122,Toyota Prius V ²,30762,34989,-12.1%,2284,2110,8.2%
#123,Cadillac Escalade,30522,22514,35.6%,3740,2311,61.8%
#123.1,Cadillac Escalade *,19482,12592,54.7%,2281,1470,55.2%
