Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Kia Forte,7709,7709,0.0,95683,101890,-6.09
Nissan Frontier,4720,7492,-37.0,72369,79646,-9.14
Ford Fusion,10582,16052,-34.08,166045,173600,-4.35
Mercedes-Benz G-Class,816,445,83.37,6092,3593,69.55
Genesis G70,1222,229,433.62,11903,358,3224.86
Genesis G80,787,305,158.03,7095,7446,-4.71
Genesis G90,216,80,170.0,2239,2136,4.82
Alfa Romeo Giulia,767,873,-12.14,8705,11519,-24.43
Mercedes-Benz GL/GLS-Class,2902,2664,8.93,22615,21973,2.92
Mercedes-Benz GLA-Class,2096,2397,-12.56,21514,24136,-10.86
Jeep Gladiator,5487,0,0.0,40038,0,0.0
Mercedes-Benz GLB,1173,0,0.0,1173,0,0.0
Mercedes-Benz GLC/GLK-Class,6436,7294,-11.76,72439,69729,3.89
Mercedes-Benz GLE-Class,5787,3734,54.98,48664,46010,5.77
Volkswagen Golf,2664,2425,9.86,37393,42271,-11.54
Dodge Grand Caravan,7654,9694,-21.04,122648,151927,-19.27
Jeep Grand Cherokee,19074,20429,-6.63,242969,224908,8.03
Lexus GS,265,587,-54.86,3378,6604,-48.85
Ford GT,14,1,1300.0,698,126,453.97
Nissan GT-R,17,25,-32.0,331,538,-38.48
Lexus GX,3220,3322,-3.07,25945,26724,-2.91
Toyota Highlander,20449,23125,-11.57,239437,244511,-2.08
Honda HR-V,9199,6313,45.72,99104,85494,15.92
Jaguar I-Pace,176,223,-21.08,2594,393,560.05
BMW i3,214,356,-39.89,4853,6120,-20.7
BMW i8,51,97,-47.42,1102,772,42.75
Acura ILX,1305,924,41.23,14685,11273,30.27
Chevrolet Impala,3143,4256,-26.15,44978,56557,-20.47
Subaru Impreza,5740,5880,-2.38,66415,76400,-13.07
Subaru Impreza WRX,1561,2417,-35.42,21838,28730,-23.99
Honda Insight,1709,2235,-23.53,23686,12513,89.29
Hyundai Ioniq,1164,1275,-8.71,19574,15076,29.84
Lexus IS,1171,2193,-46.6,14920,22927,-34.92
Volkswagen Jetta,8164,10261,-20.44,100453,90794,10.64
