Year,Vehicle Original,Vehicle,Sales,% Change,Change,Car,Stars,Highest Star,Strong Appearance,Weak Appearance,Total Appearance,Release,Rank,Best Rank,Gross,Distributor
2015,toyota camry,toyota camry,429355,0.0017475260000000001,Positive,2010 toyota camry hybrid,4.0,4.0,4.0,37.0,41.0,War Room,42.0,42.0,"$67,790,117 ",TriStar Pictures
2015,toyota corolla/matrix,toyota corolla,363332,0.070203654,Positive,1977 toyota corolla,2.0,2.0,0.0,23.0,23.0,Taken 3,32.0,32.0,"$89,256,424 ",Twentieth Century Fox
2015,toyota fj cruiser,toyota fj cruiser,229,-0.984440821,Negative,2007 toyota fj cruiser,1.0,1.0,0.0,1.0,1.0,San Andreas,20.0,20.0,"$155,190,832 ",Warner Bros.
2015,toyota highlander,toyota highlander,158915,0.087512917,Positive,2015 toyota highlander,2.0,2.0,0.0,7.0,7.0,The Intern,38.0,38.0,"$75,574,886 ",Warner Bros.
2015,toyota land cruiser,toyota land cruiser,2687,-0.149145028,Negative,1990 toyota land cruiser,3.0,3.0,2.0,3.0,5.0,American Sniper,6.0,6.0,"$348,797,073 ",Warner Bros.
2015,toyota prius,toyota prius,184779,-0.108949135,Negative,2001 toyota prius i,4.0,4.0,2.0,19.0,21.0,Home,15.0,15.0,"$177,397,510 ",Twentieth Century Fox
2015,toyota rav4,toyota rav4,315412,0.17823816399999998,Positive,2009 toyota rav4,1.0,1.0,0.0,7.0,7.0,Furious 7,5.0,5.0,"$353,007,020 ",Universal Pictures
2015,toyota sequoia,,12583,0.065813993,Positive,,,,,,,,,,,
2015,toyota sienna,toyota sienna,137497,0.104375833,Positive,2004 toyota sienna,2.0,2.0,0.0,4.0,4.0,Trainwreck,27.0,27.0,"$110,212,700 ",Universal Pictures
2015,toyota tacoma,toyota tacoma,179562,0.158158165,Positive,2005 toyota tacoma,1.0,1.0,0.0,3.0,3.0,A Walk in the Woods,84.0,84.0,"$29,474,282 ",Broad Green Pictures
2015,toyota tundra,toyota tundra,118880,0.0032660159999999996,Positive,2007 toyota tundra,1.0,1.0,0.0,1.0,1.0,A Walk in the Woods,84.0,84.0,"$29,474,282 ",Broad Green Pictures
2015,toyota venza,,21351,-0.288086426,Negative,,,,,,,,,,,
2015,toyota yaris hatchback,,16779,0.264050023,Positive,,,,,,,,,,,
2015,volkswagen beetle,volkswagen beetle,22667,-0.223254061,Negative,2012 volkswagen beetle [typ 5c],2.0,2.0,0.0,4.0,4.0,Paper Towns,81.0,81.0,"$32,000,304 ",Twentieth Century Fox
2015,volkswagen cc,,6276,-0.372086043,Negative,,,,,,,,,,,
2015,volkswagen eos,,2993,-0.122544708,Negative,,,,,,,,,,,
2015,volkswagen golf/gti/r/sportwagen alltrack,volkswagen golf,65308,0.939361544,Positive,1998 volkswagen golf iv [typ 1j],3.0,3.0,1.0,9.0,10.0,Paddington,37.0,37.0,"$76,271,832 ",-
2015,volkswagen jetta,volkswagen jetta,131109,-0.185015509,Negative,2011 volkswagen jetta sportwagen a6 [typ 1k],3.0,3.0,3.0,15.0,18.0,Goosebumps,35.0,35.0,"$79,132,868 ",Sony Pictures Entertainment (SPE)
2015,volkswagen passat,volkswagen passat,78207,-0.190814183,Negative,2001 volkswagen passat b5 [typ 3bg],1.0,1.0,0.0,14.0,14.0,Furious 7,5.0,5.0,"$353,007,020 ",Universal Pictures
2015,volkswagen tiguan,volkswagen tiguan,35843,0.426814219,Positive,2012 volkswagen tiguan i [typ 5n],1.0,1.0,0.0,2.0,2.0,Spectre,11.0,11.0,"$197,102,585 ",Sony Pictures Entertainment (SPE)
2015,volkswagen touareg,volkswagen touareg,7037,0.010917972,Positive,2013 volkswagen touareg ii [typ 7p5],1.0,1.0,0.0,2.0,2.0,Entourage,80.0,80.0,"$32,363,404 ",Warner Bros.
2015,volvo c70,volvo c70,7,-0.991014121,Negative,2006 volvo c70,1.0,1.0,0.0,1.0,1.0,Ted 2,34.0,34.0,"$81,476,385 ",Universal Pictures
2015,volvo s60/v60,volvo s60,24128,-0.051833222000000005,Negative,2005 volvo s60,3.0,3.0,1.0,2.0,3.0,A Walk in the Woods,84.0,84.0,"$29,474,282 ",Broad Green Pictures
2015,volvo s80,,1887,0.076440388,Positive,,,,,,,,,,,
