Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Mitsubishi Outlander Sport,2563,3678,-30.32,36867,33160,11.18
Chrysler Pacifica,8936,11144,-19.81,118322,118274,0.04
Porsche Panamera,332,455,-27.03,8114,6731,20.55
Volkswagen Passat,3116,3015,3.35,41401,60722,-31.82
Nissan Pathfinder,6799,6053,12.32,67550,81065,-16.67
Jeep Patriot,9,240,-96.25,621,40735,-98.48
Ram Pickup,60155,44907,33.95,536980,500723,7.24
Honda Pilot,15698,18602,-15.61,159615,127279,25.41
Toyota Prius Family,6351,9482,-33.02,87590,108661,-19.39
Ram ProMaster,5857,3352,74.73,46600,40483,15.11
Ram ProMaster City,2183,1617,35.0,13788,15584,-11.52
Audi Q3,620,2367,-73.81,16828,20633,-18.44
Audi Q5,8143,7531,8.13,69978,57640,21.41
Infiniti Q50,3690,5583,-33.91,34763,40739,-14.67
Infiniti Q60,662,0,0.0,8405,0,0.0
Audi Q7,4030,4838,-16.7,37417,38346,-2.42
Infiniti Q70,329,406,-18.97,4479,5772,-22.4
Audi Q8,925,0,0.0,2029,0,0.0
Infiniti QX30,647,830,-22.05,8101,14093,-42.52
Infiniti QX50,3329,1785,86.5,25389,16857,50.61
Infiniti QX60,7032,4098,71.6,47370,40444,17.12
Infiniti QX70,4,292,-98.63,954,6878,-86.13
Infiniti QX80,2372,2516,-5.72,19207,17881,7.42
Audi R8,79,56,41.07,927,772,20.08
Land Rover Range Rover,2231,1075,107.53,19030,16869,12.81
Land Rover Range Rover Evoque,1594,1255,27.01,9917,11979,-17.21
Land Rover Range Rover Sport,2688,1452,85.12,24282,19153,26.78
Land Rover Range Rover Velar,1555,1694,-8.21,17037,5740,196.81
Toyota RAV4,38669,32542,18.83,427168,407594,4.8
Lexus RC,341,686,-50.29,3358,7363,-54.39
Acura RDX,6838,4808,42.22,63580,51295,23.95
Buick Regal,1050,1005,4.48,14117,11559,22.13
Jeep Renegade,6666,7542,-11.61,97062,103434,-6.16
Honda Ridgeline,2867,2854,0.46,30592,34749,-11.96
Kia Rio,1608,1618,-0.62,22975,16760,37.08
Acura RLX,216,186,16.13,1931,1237,56.1
Nissan Rogue,42523,40172,5.85,412110,403465,2.14
Lexus RX,13222,13951,-5.23,111636,108307,3.07
Mercedes-Benz S-Class,1486,2184,-31.96,14978,15888,-5.73
Hyundai Santa Fe,11347,13146,-13.68,117038,133171,-12.11
GMC Savana,981,1954,-49.8,19685,29679,-33.67
Kia Sedona,1126,1329,-15.27,17928,23815,-24.72
Nissan Sentra,17567,16834,4.35,213046,218451,-2.47
Toyota Sequoia,1131,1152,-1.82,11121,12156,-8.51
Toyota Sienna,6719,8941,-24.85,87672,111489,-21.36
GMC Sierra,22729,26436,-14.02,219554,217943,0.74
Chevrolet Silverado,54424,67676,-19.58,585582,585864,-0.05
Mercedes-Benz SL-Class,158,277,-42.96,2126,2940,-27.69
Mercedes-Benz SLC-Class,152,260,-41.54,1993,2860,-30.31
Hyundai Sonata,8705,8508,2.32,105118,131803,-20.25
Chevrolet Sonic,934,1946,-52.0,20613,30290,-31.95
Kia Sorento,8502,7740,9.84,107846,99684,8.19
Kia Soul,10128,7610,33.09,104709,115712,-9.51
Chevrolet Spark,1747,3079,-43.26,23603,22589,4.49
Kia Sportage,6998,5585,25.3,82823,72824,13.73
Mercedes-Benz Sprinter,3138,3063,2.45,27564,27415,0.54
Alfa Romeo Stelvio,1063,997,6.62,12043,2721,342.59
Kia Stinger,1289,826,56.05,16806,843,1893.59
Chevrolet Suburban,5132,5788,-11.33,60633,56516,7.28
Toyota Tacoma,21531,18705,15.11,245659,198124,23.99
Chevrolet Tahoe,8333,10271,-18.87,104152,98961,5.25
Ford Taurus,3475,3394,2.39,40341,41236,-2.17
GMC Terrain,10668,6500,64.12,114311,85441,33.79
Volkswagen Tiguan,8542,8061,5.97,103022,46983,119.28
Nissan Titan,4661,5582,-16.5,50459,52924,-4.66
Acura TLX,2831,3101,-8.71,30468,34846,-12.56
Volkswagen Touareg,58,484,-88.02,2022,3545,-42.96
Ford Transit,11348,12380,-8.34,137794,127360,8.19
Ford Transit Connect,3188,3973,-19.76,31923,34473,-7.4
Chevrolet Traverse,13350,12313,8.42,146264,123506,18.43
Chevrolet Trax,7556,6563,15.13,89917,79289,13.4
Audi TT,16,237,-93.25,1289,2294,-43.81
Toyota Tundra,11216,10886,3.03,118258,116285,1.7
Hyundai Tuscon,15384,11633,32.24,153792,114735,34.04
Lexus UX,453,0,0.0,453,0,0.0
Hyundai Veloster,1161,755,53.77,10871,12658,-14.12
Toyota Venza,8,0,0.0,9,12,-25.0
Nissan Versa,6735,7125,-5.47,75809,106772,-29.0
Dodge Viper,3,9,-66.67,19,585,-96.75
Chevrolet Volt,1710,1937,-11.72,18306,20349,-10.04
Jeep Wrangler,19800,13700,44.53,240032,190522,25.99
BMW X1,3411,4454,-23.42,29057,30826,-5.74
BMW X2,1454,0,0.0,16154,0,0.0
BMW X3,8511,4283,98.72,61351,40691,50.77
BMW X4,612,538,13.75,4323,5198,-16.83
BMW X5,7323,6847,6.95,45013,50815,-11.42
BMW X6,483,1005,-51.94,6862,6780,1.21
Volvo XC40,1316,0,0.0,12420,0,0.0
Volvo XC60,3387,2421,39.9,32689,22516,45.18
Volvo XC90,3157,4771,-33.83,31609,30996,1.98
Jaguar XE,443,707,-37.34,4704,9278,-49.3
Jaguar XF,153,345,-55.65,2208,4541,-51.38
Jaguar XJ,124,263,-52.85,1579,2721,-41.97
Cadillac XT4,2557,0,0.0,7785,0,0.0
Cadillac XT5,4586,6888,-33.42,60566,68312,-11.34
Cadillac XTS,1710,1224,39.71,17729,16275,8.93
Toyota Yaris,1252,2111,-40.69,27209,44380,-38.69
GMC Yukon,8565,8531,0.4,74678,49183,51.84
Model,Month,Month LY,,YTD,YTD LY,
