Vehicle,2019 Year End,2018 Year End,% Change 2019
Lexus NX,58715,62079,-5.42
Lexus RC,4591,3358,36.72
Lexus RX,111036,111636,-0.54
Lexus UX,16723,453,3591.61
Lincoln Aviator,8324,0,0.0
Lincoln Continental,6587,8758,-24.79
Lincoln MKC,25816,26241,-1.62
Lincoln MKT,3388,2324,45.78
Lincoln MKX/Nautilus,31610,28573,10.63
Lincoln MKZ,17726,19852,-10.71
Lincoln Navigator,18656,17839,4.58
Mazda 3,50741,64638,-21.5
Mazda 6,21524,30938,-30.43
Mazda CX-3,16229,16899,-3.96
Mazda CX-30,899,0,0.0
Mazda CX-5,154543,150622,2.6
Mazda CX-9,26861,28257,-4.94
Mazda MX-5 Miata,7753,8971,-13.58
Mercedes-Benz A-Class,15944,0,0.0
Mercedes-Benz AMG GT,4048,1525,165.44
Mercedes-Benz C-Class,48875,54829,-10.86
Mercedes-Benz CLA-Class,13212,26269,-49.7
Mercedes-Benz E / CLS-Class,39858,46424,-14.14
Mercedes-Benz G-Class,6092,3593,69.55
Mercedes-Benz GL/GLS-Class,22615,21973,2.92
Mercedes-Benz GLA-Class,21514,24136,-10.86
Mercedes-Benz GLB,1173,0,0.0
Mercedes-Benz GLC/GLK-Class,72439,69729,3.89
Mercedes-Benz GLE-Class,48664,46010,5.77
Mercedes-Benz Metris,11718,7800,50.23
Mercedes-Benz S-Class,12503,14978,-16.52
Mercedes-Benz SL-Class,1791,2126,-15.76
Mercedes-Benz SLC-Class,1916,1993,-3.86
Mercedes-Benz Sprinter,29757,27564,7.96
Mini Cooper,22123,26119,-15.3
Mini Countryman,14042,17565,-20.06
Mitsubishi Eclipse Cross,19661,9485,107.29
Mitsubishi Mirage,26966,24316,10.9
Mitsubishi Outlander,37965,37952,0.03
Mitsubishi Outlander PHEV,2810,3866,-27.32
Mitsubishi Outlander Sport,26144,36867,-29.09
Nissan 370Z,2384,3468,-31.26
Nissan Altima,209183,209146,0.02
Nissan Armada,32044,32650,-1.86
Nissan Frontier,72369,79646,-9.14
Nissan GT-R,331,538,-38.48
Nissan Kicks,58193,23312,149.63
Nissan Leaf,12365,14715,-15.97
Nissan Maxima,35076,42337,-17.15
Nissan Murano,68361,83547,-18.18
Nissan NV,20022,16902,18.46
Nissan NV200,18768,18628,0.75
Nissan Pathfinder,65691,67550,-2.75
Nissan Rogue,350447,412110,-14.96
Nissan Sentra,184618,213046,-13.34
Nissan Titan,31514,50459,-37.55
Nissan Versa,66596,75809,-12.15
Porsche 718,3880,5276,-26.46
Porsche 911,9265,9783,-5.29
Porsche Cayenne,19001,11106,71.09
Porsche Macan,22667,22954,-1.25
Porsche Panamera,6625,8114,-18.35
Porsche Taycan,130,0,0.0
Ram Pickup,633694,536980,18.01
Ram ProMaster,56410,46600,21.05
Ram ProMaster City,12919,13788,-6.3
Subaru Ascent,81958,36211,126.33
Subaru BRZ,2334,3834,-39.12
Subaru CrossTrek,131152,144384,-9.16
Subaru Forester,180179,171613,4.99
Subaru Impreza,66415,76400,-13.07
Subaru Impreza WRX,21838,28730,-23.99
Subaru Legacy,35063,40109,-12.58
Subaru Outback,181178,178854,1.3
Tesla Model 3,161100,140317,14.81
Tesla Model S,14425,29950,-51.84
Tesla Model X,19600,27250,-28.07
Toyota 4Runner,131864,139694,-5.61
Toyota 86 / FR-S,3398,4133,-17.78
Toyota Avalon,27767,33580,-17.31
Toyota C-HR,48930,49642,-1.43
Toyota Camry,336978,343439,-1.88
Toyota Corolla,304850,303732,0.37
Toyota Highlander,239437,244511,-2.08
Toyota Land Cruiser,3536,3235,9.3
Toyota Mirai,1502,1689,-11.07
Toyota Prius Family,69718,87590,-20.4
Toyota RAV4,448068,427168,4.89
Toyota Sequoia,10289,11121,-7.48
Toyota Sienna,73585,87672,-16.07
Toyota Supra,2884,0,0.0
Toyota Tacoma,248801,245659,1.28
Toyota Tundra,111673,118258,-5.57
Toyota Yaris,21916,27209,-19.45
Volkswagen Arteon,2449,0,0.0
Volkswagen Atlas,81508,59677,36.58
Volkswagen Beetle,17215,14411,19.46
Volkswagen CC,58,455,-87.25
Volkswagen Golf,37393,42271,-11.54
Volkswagen Jetta,100453,90794,10.64
Volkswagen Passat,14123,41401,-65.89
Volkswagen Tiguan,109963,103022,6.74
Volkswagen Touareg,160,2022,-92.09
Volvo 60-Series,20190,12176,65.82
Volvo 90-Series,4052,9892,-59.04
Volvo XC40,17647,12420,42.09
Volvo XC60,30578,32689,-6.46
Volvo XC90,35760,31609,13.13
