Vehicle,2019 Year End,2018 Year End,% Change 2019
Acura ILX,14685,11273,30.27
Acura MDX,52019,51512,0.98
Acura NSX,238,170,40.0
Acura RDX,62876,63580,-1.11
Acura RLX,1019,1931,-47.23
Acura TLX,26548,30468,-12.87
Alfa Romeo 4C,145,238,-39.08
Alfa Romeo Giulia,8705,11519,-24.43
Alfa Romeo Stelvio,9444,12043,-21.58
Audi A3,10418,18305,-43.09
Audi A4,26435,34311,-22.95
Audi A5,23023,25972,-11.35
Audi A6,17807,10561,68.61
Audi A7,4955,3852,28.63
Audi A8,2963,1599,85.3
Audi Q3,14822,16828,-11.92
Audi Q5,67516,69978,-3.52
Audi Q7,34649,37417,-7.4
Audi Q8,14256,2029,602.61
Audi R8,574,927,-38.08
Audi TT,1324,1289,2.72
Audi eTron,5369,0,0.0
BMW 2-Series,8015,9208,-12.96
BMW 3-Series,47827,44578,7.29
BMW 4-Series,18621,31379,-40.66
BMW 5-Series,38709,43937,-11.9
BMW 6-Series,1139,3762,-69.72
BMW 7-Series,8823,8271,6.67
BMW 8-Series,4410,223,1877.58
BMW X1,17815,29057,-38.69
BMW X2,11293,16154,-30.09
BMW X3,70110,61351,14.28
BMW X4,8758,4323,102.59
BMW X5,54595,45013,21.29
BMW X6,4240,6862,-38.21
BMW X7,21574,0,0.0
BMW Z4,2941,4,73425.0
BMW i3,4853,6120,-20.7
BMW i8,1102,772,42.75
Buick Cascada,2535,4628,-45.22
Buick Enclave,51156,49648,3.04
Buick Encore,102401,93071,10.02
Buick Envision,33230,30153,10.2
Buick LaCrosse,7241,15527,-53.37
Buick Regal,10363,14117,-26.59
Cadillac ATS,1134,10860,-89.56
Cadillac CT5,43,0,0.0
Cadillac CT6,7952,9669,-17.76
Cadillac CTS,6966,11220,-37.91
Cadillac Escalade,35424,36032,-1.69
Cadillac XT4,31987,7785,310.88
Cadillac XT5,49878,60566,-17.65
Cadillac XT6,11560,0,0.0
Cadillac XTS,11306,17729,-36.23
Chevrolet Blazer,58116,27,215144.44
Chevrolet Bolt,16419,18020,-8.88
Chevrolet Camaro,48266,50963,-5.29
Chevrolet Colorado,121703,134842,-9.74
Chevrolet Corvette,17988,18789,-4.26
Chevrolet Cruze,47975,142618,-66.36
Chevrolet Equinox,346049,332621,4.04
Chevrolet Express,77457,66963,15.67
Chevrolet Impala,44978,56557,-20.47
Chevrolet Malibu,120302,144542,-16.77
Chevrolet Silverado,575569,585582,-1.71
Chevrolet Sonic,13970,20613,-32.23
Chevrolet Spark,31280,23603,32.53
Chevrolet Suburban,51928,60633,-14.36
Chevrolet Tahoe,101189,104152,-2.84
Chevrolet Traverse,147122,146264,0.59
Chevrolet Trax,116817,89917,29.92
Chevrolet Volt,4911,18306,-73.17
Chrysler 200,48,1043,-95.4
Chrysler 300,29214,46593,-37.3
Chrysler Pacifica,97706,118322,-17.42
Dodge Challenger,60997,66716,-8.57
Dodge Charger,96936,80226,20.83
Dodge Dart,16,389,-95.89
Dodge Durango,67598,65947,2.5
Dodge Grand Caravan,122648,151927,-19.27
Dodge Journey,74687,94096,-20.63
Fiat 124 Spider,2646,3515,-24.72
Fiat 500,3267,5370,-39.16
Fiat 500L,772,1413,-45.36
Fiat 500X,2519,5223,-51.77
Ford E-Series,45063,47936,-5.99
Ford EcoSport,60599,54348,11.5
Ford Edge,138514,134122,3.27
Ford Escape,241387,272228,-11.33
Ford Expedition,86423,54661,58.11
Ford Explorer,187061,261571,-28.49
Ford F-Series,896526,909330,-1.41
Ford Fiesta,60148,51730,16.27
Ford Flex,24485,20308,20.57
Ford Fusion,166045,173600,-4.35
Ford GT,698,126,453.97
Ford Mustang,72489,75842,-4.42
Ford Ranger,83571,0,0.0
Ford Taurus,13423,40341,-66.73
Ford Transit,153867,137794,11.66
Ford Transit Connect,41597,31923,30.3
GMC Acadia,99430,88622,12.2
GMC Canyon,32826,33493,-1.99
GMC Savana,24227,19685,23.07
GMC Sierra,232325,219554,5.82
GMC Terrain,101470,114311,-11.23
GMC Yukon,74672,74678,-0.01
Genesis G70,11903,358,3224.86
Genesis G80,7095,7446,-4.71
Genesis G90,2239,2136,4.82
Honda Accord,267567,291071,-8.08
Honda CR-V,384168,379021,1.36
Honda Civic,325650,325760,-0.03
Honda Clarity FCV,11654,20174,-42.23
Honda Fit,35414,35030,1.1
Honda HR-V,99104,85494,15.92
Honda Insight,23686,12513,89.29
Honda Odyssey,99113,106327,-6.78
Honda Passport,36285,0,0.0
Honda Pilot,135008,159615,-15.42
Honda Ridgeline,33334,30592,8.96
Hyundai Accent,25628,29090,-11.9
Hyundai Elantra,175094,200415,-12.63
Hyundai Ioniq,19574,15076,29.84
Hyundai Kona,73326,47090,55.71
Hyundai Nexo,267,8,3237.5
Hyundai Palisade,28736,0,0.0
Hyundai Santa Fe,127373,117038,8.83
Hyundai Sonata,87466,105118,-16.79
Hyundai Tuscon,137381,153792,-10.67
Hyundai Veloster,12849,10871,18.2
Hyundai Venue,1077,0,0.0
Infiniti Q50,25987,34763,-25.25
Infiniti Q60,5043,8405,-40.0
Infiniti Q70,2552,4479,-43.02
Infiniti QX30,3229,8101,-60.14
Infiniti QX50,18616,25389,-26.68
Infiniti QX60,43162,47370,-8.88
Infiniti QX80,19113,19207,-0.49
Jaguar E-Pace,4782,5985,-20.1
Jaguar F-Pace,15491,12997,19.19
Jaguar F-Type,2279,2268,0.49
Jaguar I-Pace,2594,393,560.05
Jaguar XE,3551,4704,-24.51
Jaguar XF,1236,2208,-44.02
Jeep Cherokee,191397,239437,-20.06
Jeep Compass,143933,171167,-15.91
Jeep Gladiator,40038,0,0.0
Jeep Grand Cherokee,242969,224908,8.03
Jeep Patriot,27,621,-95.65
Jeep Renegade,76886,97062,-20.79
Jeep Wrangler,228042,240032,-5.0
Kia Cadenza,1577,4507,-65.01
Kia Forte,95683,101890,-6.09
Kia K900,392,354,10.73
Kia Niro,24421,28232,-13.5
Kia Optima,96050,101603,-5.47
Kia Rio,24509,22975,6.68
Kia Sedona,15843,17928,-11.63
Kia Sorento,96531,107846,-10.49
Kia Soul,97814,104709,-6.58
Kia Sportage,88977,82823,7.43
Kia Stinger,13884,16806,-17.39
Kia Telluride,58932,0,0.0
Land Rover Discovery / LR4,9184,9842,-6.69
Land Rover Discovery Sport,12337,12035,2.51
Land Rover Range Rover,18831,19030,-1.05
Land Rover Range Rover Evoque,11529,9917,16.25
Land Rover Range Rover Sport,25768,24282,6.12
Land Rover Range Rover Velar,17087,17037,0.29
Lexus ES,51336,48482,5.89
Lexus GS,3378,6604,-48.85
Lexus GX,25945,26724,-2.91
Lexus IS,14920,22927,-34.92
Lexus LC,1219,1979,-38.4
Lexus LS,5528,9301,-40.57
Lexus LX,4718,4753,-0.74
