Vehicle,2016 Year End,2015 Year End,% Change 2016
Acura ILX,14597,18531,-21.2
Acura MDX,55495,58208,-4.7
Acura NSX,269,0,0.0
Acura RDX,52361,51026,2.6
Acura RLX,1478,2195,-32.7
Acura TL,0,88,-100.0
Acura TLX,37156,47080,-21.1
Acura TSX,4,35,-88.6
Acura ZDX,0,2,-100.0
Alfa Romeo 4C,480,659,-27.2
Alfa Romeo Giulia,36,0,0.0
Audi A3,31538,35984,-12.4
Audi A4,36987,31831,16.2
Audi A4 Allroad *,2300,2818,-18.4
Audi A4 Sedan *,34687,29013,19.6
Audi A5,8354,12934,-35.4
Audi A6,18686,22850,-18.2
Audi A7,6558,7721,-15.1
Audi A8,4149,4990,-16.9
Audi Q3,20048,13229,51.5
Audi Q5,49550,52006,-4.7
Audi Q7,30563,18995,60.9
Audi R8,736,495,48.7
Audi TT,3044,1167,161.0
BMW 2-Series,15519,13020,19.2
BMW 3-Series,70458,94540,-25.5
BMW 4-Series,35763,46069,-22.4
BMW 5-Series,32408,44162,-26.6
BMW 6-Series,3947,8146,-51.5
BMW 7-Series,12918,9292,39.0
BMW X1,27812,14420,92.9
BMW X3,44196,31924,38.4
BMW X4,4989,6429,-22.4
BMW X5,47641,54997,-13.4
BMW X6,7117,7906,-10.0
BMW Z4,1187,1829,-35.1
BMW i3,7625,11024,-30.8
BMW i8,1594,2265,-29.6
Bentley Bentayga,884,0,0.0
Bentley Continental GT,1144,1701,-32.7
Bentley Flying Spur,400,791,-49.4
Bentley Mulsanne,153,194,-21.1
Buick Cascada,7153,0,0.0
Buick Enclave,52028,62081,-16.2
Buick Encore,78565,67549,16.3
Buick Envision,14193,0,0.0
Buick LaCrosse,27582,42035,-34.4
Buick Regal,19833,19504,1.7
Buick Verano,30277,31886,-5.0
Cadillac ATS,21505,26873,-20.0
Cadillac CT6,9169,0,0.0
Cadillac CTS,15911,19485,-18.3
Cadillac ELR,534,1024,-47.9
Cadillac Escalade,39092,35923,8.8
Cadillac Escalade *,23604,21230,11.2
Cadillac Escalade ESV *,15488,14691,5.4
Cadillac Escalade EXT *,0,2,-100.0
Cadillac SRX,22139,68850,-67.8
Cadillac XT5,39485,0,0.0
Cadillac XTS,22171,23112,-4.1
Chevrolet Avalanche,0,8,-100.0
Chevrolet Bolt,579,0,0.0
Chevrolet Camaro,72705,77502,-6.2
Chevrolet Caprice PPV,1021,1845,-44.7
Chevrolet Captiva Sport,2,55,-96.4
Chevrolet City Express,7019,10283,-31.7
Chevrolet Colorado,108725,84430,28.8
Chevrolet Corvette,29995,33329,-10.0
Chevrolet Cruze,188876,226602,-16.6
Chevrolet Equinox,242195,277589,-12.8
Chevrolet Express,68007,63382,7.3
Chevrolet Impala,97006,116825,-17.0
Chevrolet Malibu,227881,194854,17.0
Chevrolet SS,3013,2895,4.1
Chevrolet Silverado,574876,600544,-4.3
Chevrolet Sonic,55255,64775,-14.7
Chevrolet Spark,35511,32853,8.1
Chevrolet Suburban,60082,50866,18.1
Chevrolet Tahoe,103306,88342,16.9
Chevrolet Traverse,116701,119945,-2.7
Chevrolet Trax,79016,63030,25.4
Chevrolet Volt,24739,15393,60.7
Chrysler 200,57294,167368,-65.8
Chrysler 300,53241,53025,0.4
Chrysler Pacifica,62366,0,0.0
Chrysler Town & Country,59071,97530,-39.4
Dodge Avenger,45,1326,-96.6
Dodge Challenger,64433,66377,-2.9
Dodge Charger,95437,96633,-1.2
Dodge Dart,43402,87908,-50.6
Dodge Durango,68474,64723,5.8
Dodge Grand Caravan,127678,101553,25.7
Dodge Journey,106759,108085,-1.2
Dodge Viper,630,690,-8.7
Fiat 124 Spider,2475,0,0.0
Fiat 500,15437,23980,-35.6
Fiat 500L,3118,7585,-58.9
Fiat 500X,11712,11357,3.1
Ford C-Max,19834,21768,-8.9
Ford E-Series,54245,50788,6.8
Ford Edge,134588,124120,8.4
Ford Escape,307069,306492,0.2
Ford Expedition,59835,41443,44.4
Ford Explorer,248507,249251,-0.3
Ford Explorer *,216294,224309,-3.6
Ford Explorer Police Interceptor *,32213,24942,29.2
Ford F-Series,820799,780354,5.2
Ford Fiesta,48807,64458,-24.3
Ford Flex,22668,19570,15.8
Ford Focus,168789,202478,-16.6
Ford Fusion,265840,300170,-11.4
Ford Mustang,105932,122349,-13.4
Ford Taurus,44098,48816,-9.7
Ford Taurus *,34626,39051,-11.3
Ford Taurus Police Interceptor *,9472,9765,-3.0
Ford Transit,143244,117577,21.8
Ford Transit Connect,43232,52221,-17.2
GMC Acadia,88466,96393,-8.2
GMC Canyon,37449,30077,24.5
GMC Savana,20607,21992,-6.3
GMC Sierra,221680,224139,-1.1
GMC Terrain,87925,112030,-21.5
GMC Yukon,53447,42732,25.1
GMC Yukon XL,37054,31334,18.3
Genesis G80,6166,0,0.0
Genesis G90,782,0,0.0
Honda Accord,345225,355557,-2.9
Honda CR-V,357335,345647,3.4
Honda CR-Z,2338,3073,-23.9
Honda Civic,366927,335384,9.4
Honda Crosstour,726,9104,-92.0
Honda FCX,8,2,300.0
Honda Fit,56630,52724,7.4
Honda HR-V,82041,41969,95.5
Honda Insight,67,1458,-95.4
Honda Odyssey,120846,127736,-5.4
Honda Pilot,120772,136212,-11.3
Honda Ridgeline,23667,520,4451.0
Hyundai Accent,79766,61486,29.7
Hyundai Azera,4942,5539,-10.8
Hyundai Elantra,208319,241706,-13.8
Hyundai Equus,1361,2332,-41.6
Hyundai Genesis,23230,31374,-26.0
Hyundai Santa Fe,131257,118134,11.1
Hyundai Sonata,199416,213303,-6.5
Hyundai Tucson,89713,63591,41.1
Hyundai Veloster,30053,24245,24.0
Infiniti Q40,59,8605,-99.3
Infiniti Q50,44007,43874,0.3
Infiniti Q60,3970,3949,0.5
Infiniti Q70,5872,8449,-30.5
Infiniti QX30,2259,0,0.0
Infiniti QX50,16973,5468,210.0
Infiniti QX60,42120,41770,0.8
Infiniti QX70,6261,5737,9.1
Infiniti QX80,16772,15646,7.2
Jaguar F-Pace,10016,0,0.0
Jaguar F-Type,4069,4629,-12.1
Jaguar XE,6656,0,0.0
Jaguar XF,6665,5933,12.3
Jaguar XJ,3834,3611,6.2
Jaguar XK,3,293,-99.0
Jeep Cherokee,199736,220744,-9.5
Jeep Compass,94061,71448,31.7
Jeep Grand Cherokee,212273,196312,8.1
Jeep Patriot,121926,121274,0.5
Jeep Renegade,106606,60864,75.2
Jeep Wrangler,191774,202266,-5.2
Kia Cadenza,4738,7343,-35.5
Kia Forte,103292,78919,30.9
Kia K900,834,2524,-67.0
Kia Optima,124203,159414,-22.1
Kia Rio,28700,23742,20.9
Kia Sedona,44264,36755,20.4
Kia Sorento,114733,116249,-1.3
Kia Soul,145768,147133,-0.9
Kia Sportage,81066,53739,50.9
Land Rover Discovery Sport,14243,7611,87.1
Land Rover LR2,3,77,-96.1
Land Rover LR4,10772,9031,19.3
