Vehicle,2016 Year End,2015 Year End,% Change 2016
Land Rover Range Rover,16155,17821,-9.3
Land Rover Range Rover Evoque,11076,14583,-24.0
Land Rover Range Rover Sport,21612,21459,0.7
Lexus CT,8903,14657,-39.3
Lexus ES,58299,64969,-10.3
Lexus GS,14878,23117,-35.6
Lexus GX,25148,25212,-0.3
Lexus IS,37289,46430,-19.7
Lexus LFA,6,9,-33.3
Lexus LS,5514,7165,-23.0
Lexus LX,5707,3884,46.9
Lexus NX,54884,43764,25.4
Lexus RC,11165,14784,-24.5
Lexus RX,109435,100610,8.8
Lincoln Continental,5261,0,0.0
Lincoln MKC,25562,24590,4.0
Lincoln MKS,4951,6877,-28.0
Lincoln MKT,4028,4696,-14.2
Lincoln MKX,30967,22199,39.5
Lincoln MKZ,30534,30901,-1.2
Lincoln Navigator,10421,11964,-12.9
Maserati Ghibli,7100,7922,-10.4
Maserati GranTurismo,1249,1373,-9.0
Maserati Levante,1917,0,0.0
Maserati Quattroporte,2268,2398,-5.4
Mazda 2,3,297,-99.0
Mazda 3,95567,107884,-11.4
Mazda 5,375,8609,-95.6
Mazda 6,45520,57898,-21.4
Mazda CX-3,18557,6406,190.0
Mazda CX-5,112235,111450,0.7
Mazda CX-9,16051,18048,-11.1
Mazda MX-5 Miata,9465,8591,10.2
Mercedes-AMG GT,1227,1277,-3.9
Mercedes-Benz B-Class,632,1906,-66.8
Mercedes-Benz C-Class,77167,86080,-10.4
Mercedes-Benz CL-Class,0,52,-100.0
Mercedes-Benz CLA-Class,25792,29643,-13.0
Mercedes-Benz E-Class/CLS-Class,50896,55888,-8.9
Mercedes-Benz G-Class,3950,3616,9.2
Mercedes-Benz GLA-Class,24545,25593,-4.1
Mercedes-Benz GLC-Class & GLK-Class,47872,27902,71.6
Mercedes-Benz GLE-Class & M-Class,51791,53217,-2.7
Mercedes-Benz GLS-Class GL-Class,30442,27707,9.9
Mercedes-Benz S-Class,18803,21936,-14.3
Mercedes-Benz SL-Class,3722,4060,-8.3
Mercedes-Benz SLK-Class/SLC-Class,3397,4182,-18.8
Mercedes-Benz SLS AMG,1,29,-96.6
Mercedes-Benz Sprinter/Metris,34304,29889,14.8
Mini Cooper,39239,40120,-2.2
Mini Cooper Clubman *,12204,462,2542.0
Mini Cooper Convertible *,4584,3098,48.0
Mini Cooper Coupe *,8,460,-98.3
Mini Cooper Hardtop 2-Door *,11264,19808,-43.1
Mini Cooper Hardtop 4-Door *,11174,15189,-26.4
Mini Cooper Roadster *,5,1103,-99.5
Mini Countryman,12706,16686,-23.9
Mini Paceman,85,1708,-95.0
Mitsubishi Lancer,14304,17691,-19.1
Mitsubishi Mirage,22226,21515,3.3
Mitsubishi Outlander,26576,19055,39.5
Mitsubishi Outlander Sport,33067,36966,-10.5
Mitsubishi i MiEV,94,115,-18.3
Nissan 370Z,5913,7391,-20.0
Nissan Altima,307380,333398,-7.8
Nissan Armada,14035,12737,10.2
Nissan Cube,15,943,-98.4
Nissan Frontier,86926,62817,38.4
Nissan GT-R,698,1105,-36.8
Nissan Juke,19577,27121,-27.8
Nissan Leaf,14006,17269,-18.9
Nissan Maxima,62670,40359,55.3
Nissan Murano,86953,62907,38.2
Nissan NV,17873,16958,5.4
Nissan NV200,18523,17317,7.0
Nissan Pathfinder,81701,82041,-0.4
Nissan Quest,11115,11018,0.9
Nissan Rogue,329904,287190,14.9
Nissan Sentra,214709,203509,5.5
Nissan Titan,21880,12140,80.2
Nissan Versa,132214,144528,-8.5
Nissan Xterra,38,10672,-99.6
Porsche 911,8901,9898,-10.1
Porsche 918 Spyder,1,203,-99.5
Porsche Boxster,2670,3102,-13.9
Porsche Cayenne,15383,16473,-6.6
Porsche Cayman,3590,3561,0.8
Porsche Macan,19332,13533,42.9
Porsche Panamera,4403,4986,-11.7
Ram Cargo Van,21,2183,-99.0
Ram P/U,489418,450122,8.7
Ram ProMaster,40440,27812,45.4
Ram ProMaster City,15972,11053,44.5
Scion iQ,6,482,-98.8
Scion tC,9336,16459,-43.3
Scion xB,2677,15223,-82.4
Scion xD,9,794,-98.9
Smart Fortwo,6211,7484,-17.0
Subaru BRZ,4141,5296,-21.8
Subaru Crosstrek,95677,88927,7.6
Subaru Forester,178593,175192,1.9
Subaru Impreza,88517,100519,-11.9
Subaru Impreza *,55238,66785,-17.3
Subaru Impreza WRX/STI *,33279,33734,-1.3
Subaru Legacy,65306,60447,8.0
Subaru Outback,182898,152294,20.1
Toyota 4Runner,111970,97034,15.4
Toyota 86/Scion FR-S,7457,10507,-29.0
Toyota Avalon,48080,60065,-20.0
Toyota Camry,388618,429355,-9.5
Toyota Corolla,378210,368431,2.7
Toyota Corolla Sedan *,360483,363332,-0.8
Toyota Corolla iM *,17727,5099,248.0
Toyota FJ Cruiser,9,229,-96.1
Toyota Highlander,191379,158917,20.4
Toyota Land Cruiser,3705,2687,37.9
Toyota Mirai,1034,72,1336.0
Toyota Prius,101340,118020,-14.1
Toyota Prius *,98866,113829,-13.1
Toyota Prius C,20452,38484,-46.9
Toyota Prius Prime *,2474,4191,-41.0
Toyota Prius V,14840,28290,-47.5
Toyota RAV4,352154,315412,11.6
Toyota Sequoia,12771,12583,1.5
Toyota Sienna,127791,137497,-7.1
Toyota Tacoma,191631,179562,6.7
Toyota Tundra,115489,118880,-2.9
Toyota Venza,589,21351,-97.2
Toyota Yaris,38855,24384,59.3
Toyota Yaris Hatchback *,10872,16779,-35.2
Toyota Yaris iA *,27983,7605,268.0
Volkswagen Beetle,15667,22667,-30.9
Volkswagen Beetle Convertible *,5837,9642,-39.5
Volkswagen Beetle Coupe *,9830,13025,-24.5
Volkswagen CC,3237,6276,-48.4
Volkswagen Eos,387,2993,-87.1
Volkswagen Golf,61687,65308,-5.5
Volkswagen Golf *,13764,19257,-28.5
Volkswagen Golf GTI *,23934,23669,1.1
Volkswagen Golf R *,4493,4141,8.5
Volkswagen Golf SportWagen/Alltrack *,15559,14009,11.1
Volkswagen Jetta,121107,131109,-7.6
Volkswagen Jetta Sedan *,121102,128438,-5.7
Volkswagen Jetta SportWagen *,5,2671,-99.8
Volkswagen Passat,73002,78207,-6.7
Volkswagen Tiguan,43638,35843,21.7
Volkswagen Touareg,4223,7037,-40.0
Volkswagen e-Golf *,3937,4232,-7.0
Volvo C70,0,7,-100.0
Volvo S60,14789,16993,-13.0
Volvo S60 *,14218,16706,-14.9
Volvo S60 CC *,571,287,99.0
Volvo S80,644,1887,-65.9
Volvo S90,2756,0,0.0
Volvo V60,6132,7131,-14.0
Volvo V60 *,3407,4362,-21.9
Volvo V60 CC *,2725,2769,-1.6
Volvo XC60,20452,26134,-21.7
Volvo XC70,5425,5118,6.0
Volvo XC90,32526,12777,155.0
