Vehicle,2020 Year End,2019 Year End,% Change 2020
Kia Optima,48484,96050,-49.52
Kia Rio,23927,24509,-2.37
Kia Sedona,13190,15843,-16.75
Kia Seltos,46280,0,0.0
Kia Sorento,74677,96531,-22.64
Kia Soul,71772,97814,-26.62
Kia Sportage,84343,88977,-5.21
Kia Stinger,12556,13884,-9.56
Kia Telluride,75119,58932,27.47
Land Rover Defender,9100,0,0.0
Land Rover Discovery / LR4,5811,9184,-36.73
Land Rover Discovery Sport,7760,12337,-37.1
Land Rover Range Rover,13982,18831,-25.75
Land Rover Range Rover Evoque,10510,11529,-8.84
Land Rover Range Rover Sport,20053,25768,-22.18
Land Rover Range Rover Velar,12817,17087,-24.99
Lexus ES,43292,51336,-15.67
Lexus GS,2560,3378,-24.22
Lexus GX,28519,25945,9.92
Lexus IS,13600,14920,-8.85
Lexus LC,1293,1219,6.07
Lexus LFA,3,0,0.0
Lexus LS,3650,5528,-33.97
Lexus LX,4512,4718,-4.37
Lexus NX,55784,58715,-4.99
Lexus RC,3808,4591,-17.06
Lexus RX,101059,111036,-8.99
Lexus UX,16962,16723,1.43
Lincoln Aviator,23080,8324,177.27
Lincoln Continental,5256,6587,-20.21
Lincoln MKC,26226,25816,1.59
Lincoln MKT,329,3388,-90.29
Lincoln MKX/Nautilus,22743,31610,-28.05
Lincoln MKZ,12518,17726,-29.38
Lincoln Navigator,15253,18656,-18.24
Mazda 2,3256,0,0.0
Mazda 3,30352,50741,-40.18
Mazda 6,16204,21524,-24.72
Mazda CX-3,8335,16229,-48.64
Mazda CX-30,38064,899,4134.04
Mazda CX-5,146420,154543,-5.26
Mazda CX-9,27638,26861,2.89
Mazda MX-5 Miata,8807,7753,13.59
Mercedes-Benz A-Class,15333,15944,-3.83
Mercedes-Benz AMG GT,3303,4048,-18.4
Mercedes-Benz C-Class,25119,48875,-48.61
Mercedes-Benz CLA-Class,11644,13212,-11.87
Mercedes-Benz E / CLS-Class,27102,39858,-32.0
Mercedes-Benz G-Class,7723,6092,26.77
Mercedes-Benz GL/GLS-Class,22172,22615,-1.96
Mercedes-Benz GLA-Class,25348,21514,17.82
Mercedes-Benz GLB,23185,1173,1876.56
Mercedes-Benz GLC/GLK-Class,52626,72439,-27.35
Mercedes-Benz GLE-Class,48153,48664,-1.05
Mercedes-Benz Metris,12994,11718,10.89
Mercedes-Benz S-Class,8589,12503,-31.3
Mercedes-Benz SL-Class,1783,1791,-0.45
Mercedes-Benz SLC-Class,2121,1916,10.7
Mercedes-Benz Sprinter,37513,29757,26.06
Mini Cooper,18684,22123,-15.54
Mini Countryman,9363,14042,-33.32
Mitsubishi Eclipse Cross,10319,19661,-47.52
Mitsubishi Mirage,19135,26966,-29.04
Mitsubishi Outlander,27133,37965,-28.53
Mitsubishi Outlander PHEV,1964,2810,-30.11
Mitsubishi Outlander Sport,28835,26144,10.29
Nissan 370Z,1955,2384,-17.99
Nissan Altima,137988,209183,-34.03
Nissan Armada,19638,32044,-38.72
Nissan Frontier,54817,72369,-24.25
Nissan GT-R,303,331,-8.46
Nissan Kicks,58858,58193,1.14
Nissan Leaf,9559,12365,-22.69
Nissan Maxima,18141,35076,-48.28
Nissan Murano,58256,68361,-14.78
Nissan NV,15248,20022,-23.84
Nissan NV200,17126,18768,-8.75
Nissan Pathfinder,48579,65691,-26.05
Nissan Quest,0,0,0.0
Nissan Rogue,227936,350447,-34.96
Nissan Sentra,94645,184618,-48.73
Nissan Titan,26441,31514,-16.1
Nissan Versa,48272,66596,-27.52
Porsche 718,3447,3880,-11.16
Porsche 911,8839,9265,-4.6
Porsche Cayenne,18092,19001,-4.78
Porsche Macan,18633,22667,-17.8
Porsche Panamera,3871,6625,-41.57
Porsche Taycan,4404,130,3287.69
Ram Pickup,563676,633694,-11.05
Ram ProMaster,50553,56410,-10.38
Ram ProMaster City,10408,12919,-19.44
Subaru Ascent,67623,81958,-17.49
Subaru BRZ,2267,2334,-2.87
Subaru CrossTrek,119716,131152,-8.72
Subaru Forester,176996,180179,-1.77
Subaru Impreza,43628,66415,-34.31
Subaru Impreza WRX,21178,21838,-3.02
Subaru Legacy,27240,35063,-22.31
Subaru Outback,153290,181178,-15.39
Tesla Model 3,206500,161100,28.18
Tesla Model S,20301,14425,40.73
Tesla Model X,26100,19600,33.16
Tesla Model Y,40001,0,0.0
Toyota 4Runner,129052,131864,-2.13
Toyota 86 / FR-S,2476,3398,-27.13
Toyota Avalon,18421,27767,-33.66
Toyota C-HR,42936,48930,-12.25
Toyota Camry,294348,336978,-12.65
Toyota Corolla,237179,304850,-22.2
Toyota Highlander,212276,239437,-11.34
