Rank,Vehicle,2016,2015,% Change,Dec. 2016,Dec. 2015,% Change.1
#80,Nissan Maxima,62670,40359,55.3%,5293,4771,10.9%
#81,Chrysler Pacifica,62366,—,—,10283,—,—
#82,Volkswagen Golf,61687,65308,-5.5%,8968,5715,56.9%
#82.1,Volkswagen Golf GTI *,23934,23669,1.1%,2777,2369,17.2%
#82.2,Volkswagen Golf *,13764,19257,-28.5%,1870,1191,57.0%
#82.3,Volkswagen Golf SportWagen/Alltrack *,15559,14009,11.1%,3332,897,271%
#82.4,Volkswagen Golf R *,4493,4141,8.5%,546,649,-15.9%
#82.5,Volkswagen e-Golf *,3937,4232,-7.0%,443,609,-27.3%
#83,Chevrolet Suburban,60082,50866,18.1%,7573,6350,19.3%
#84,Ford Expedition,59835,41443,44.4%,5259,4056,29.7%
#85,Chrysler Town & Country,59071,97530,-39.4%,266,10622,-97.5%
#86,Lexus ES,58299,64969,-10.3%,6239,7856,-20.6%
#87,Chrysler 200,57294,167368,-65.8%,2643,9663,-72.6%
#88,Honda Fit,56630,52724,7.4%,4425,4197,5.4%
#89,Acura MDX,55495,58208,-4.7%,6243,6254,-0.2%
#90,Chevrolet Sonic,55255,64775,-14.7%,6375,7293,-12.6%
#91,Lexus NX,54884,43764,25.4%,7375,5134,43.7%
#92,Ford E-Series,54245,50788,6.8%,4753,3722,27.7%
#93,GMC Yukon,53447,42732,25.1%,6276,5271,19.1%
#94,Chrysler 300,53241,53025,0.4%,3584,4269,-16.0%
#95,Acura RDX,52361,51026,2.6%,5945,4942,20.3%
#96,Buick Enclave,52028,62081,-16.2%,3800,5936,-36.0%
#97,Mercedes-Benz GLE-Class & M-Class,51791,53217,-2.7%,5574,6640,-16.1%
#98,Mercedes-Benz E-Class/CLS-Class,50896,55888,-8.9%,4851,5580,-13.1%
#99,Audi Q5,49550,52006,-4.7%,6396,6057,5.6%
#100,Ford Fiesta,48807,64458,-24.3%,3772,3550,6.3%
#101,Toyota Avalon,48080,60065,-20.0%,5051,5816,-13.2%
#102,Mercedes-Benz GLC-Class & GLK-Class,47872,27902,71.6%,4018,4366,-8.0%
#103,BMW X5,47641,54997,-13.4%,6245,6250,-0.1%
#104,Mazda 6,45520,57898,-21.4%,3688,4168,-11.5%
#105,Kia Sedona,44264,36755,20.4%,2028,2316,-12.4%
#106,BMW X3,44196,31924,38.4%,4978,3126,59.2%
#107,Ford Taurus,44098,48816,-9.7%,4101,4022,2.0%
#107.1,Ford Taurus *,34626,39051,-11.3%,3435,3250,5.7%
#107.2,Ford Taurus Police Interceptor *,9472,9765,-3.0%,666,772,-13.7%
#108,Infiniti Q50,44007,43874,0.3%,5794,4678,23.9%
#109,Volkswagen Tiguan,43638,35843,21.7%,5575,4900,13.8%
#110,Dodge Dart,43402,87908,-50.6%,1525,5867,-74.0%
#111,Ford Transit Connect,43232,52221,-17.2%,4493,5280,-14.9%
#112,Infiniti QX60,42120,41770,0.8%,4928,4987,-1.2%
#113,Ram ProMaster,40440,27812,45.4%,4694,4154,13.0%
#114,Cadillac XT5,39485,—,—,7436,—,—
#115,Mini Cooper,39239,40120,-2.2%,3804,2823,34.8%
#115.1,Mini Cooper Clubman *,12204,462,"2,542%",1520,460,230%
#115.2,Mini Cooper Hardtop 2-Door *,11264,19808,-43.1%,1029,960,7.2%
#115.3,Mini Cooper Hardtop 4-Door *,11174,15189,-26.4%,813,1247,-34.8%
#115.4,Mini Cooper Convertible *,4584,3098,48.0%,441,147,200%
#115.5,Mini Cooper Coupe *,8,460,-98.3%,1,5,-80.0%
#115.6,Mini Cooper Roadster *,5,1103,-99.5%,—,4,-100%
#116,Cadillac Escalade,39092,35923,8.8%,5472,4659,17.5%
#116.1,Cadillac Escalade *,23604,21230,11.2%,3388,2743,23.5%
#116.2,Cadillac Escalade ESV *,15488,14691,5.4%,2084,1916,8.8%
#116.3,Cadillac Escalade EXT *,—,2,-100%,—,—,—
#117,Toyota Yaris,38855,24384,59.3%,2757,2185,26.2%
#117.1,Toyota Yaris iA *,27983,7605,268%,1997,1808,10.5%
#117.2,Toyota Yaris Hatchback *,10872,16779,-35.2%,760,377,102%
#118,GMC Canyon,37449,30077,24.5%,4048,3000,34.9%
#119,Lexus IS,37289,46430,-19.7%,4432,5028,-11.9%
#120,Acura TLX,37156,47080,-21.1%,3621,3508,3.2%
#121,GMC Yukon XL,37054,31334,18.3%,5856,4536,29.1%
#122,Audi A4,36987,31831,16.2%,4320,3426,26.1%
#122.1,Audi A4 Sedan *,34687,29013,19.6%,4009,3172,26.4%
#122.2,Audi A4 Allroad *,2300,2818,-18.4%,311,254,22.4%
#123,BMW 4-Series,35763,46069,-22.4%,3634,5601,-35.1%
#124,Chevrolet Spark,35511,32853,8.1%,4257,1384,208%
#125,Mercedes-Benz Sprinter/Metris,34304,29889,14.8%,3860,4046,-4.6%
#126,Mitsubishi Outlander Sport,33067,36966,-10.5%,2500,3356,-25.5%
#127,Volvo XC90,32526,12777,155%,3308,3135,5.5%
#128,BMW 5-Series,32408,44162,-26.6%,2115,2985,-29.1%
#129,Audi A3,31538,35984,-12.4%,2904,3252,-10.7%
#130,Lincoln MKX,30967,22199,39.5%,3527,2960,19.2%
#131,Audi Q7,30563,18995,60.9%,3275,1189,175%
#132,Lincoln MKZ,30534,30901,-1.2%,2650,3207,-17.4%
#133,Mercedes-Benz GLS-Class GL-Class,30442,27707,9.9%,3262,2849,14.5%
#134,Buick Verano,30277,31886,-5.0%,1038,2545,-59.2%
#135,Hyundai Veloster,30053,24245,24.0%,2699,2246,20.2%
#136,Chevrolet Corvette,29995,33329,-10.0%,2709,2453,10.4%
#137,Kia Rio,28700,23742,20.9%,1269,997,27.3%
#138,BMW X1,27812,14420,92.9%,4185,1769,137%
#139,Buick LaCrosse,27582,42035,-34.4%,2826,3158,-10.5%
#140,Mitsubishi Outlander,26576,19055,39.5%,2465,1936,27.3%
#141,Mercedes-Benz CLA-Class,25792,29643,-13.0%,1876,1912,-1.9%
#142,Lincoln MKC,25562,24590,4.0%,2795,2566,8.9%
#143,Lexus GX,25148,25212,-0.3%,3474,3118,11.4%
#144,Chevrolet Volt,24739,15393,60.7%,3691,2114,74.6%
#145,Mercedes-Benz GLA-Class,24545,25593,-4.1%,2351,2200,6.9%
#146,Honda Ridgeline,23667,520,"4,451%",4085,2,"204,150%"
#147,Hyundai Genesis,23230,31374,-26.0%,426,3094,-86.2%
#148,Ford Flex,22668,19570,15.8%,3090,1735,78.1%
#149,Mitsubishi Mirage,22226,21515,3.3%,1555,1262,23.2%
#150,Cadillac XTS,22171,23112,-4.1%,3129,3070,1.9%
#151,Cadillac SRX,22139,68850,-67.8%,124,7031,-98.2%
#152,Nissan Titan,21880,12140,80.2%,4396,1018,332%
#153,Land Rover Range Rover Sport,21612,21459,0.7%,2802,2246,24.8%
#154,Cadillac ATS,21505,26873,-20.0%,2292,3451,-33.6%
#155,GMC Savana,20607,21992,-6.3%,4316,2781,55.2%
#156,Toyota Prius C,20452,38484,-46.9%,1644,2861,-42.5%
#157,Volvo XC60,20452,26134,-21.7%,2783,3510,-20.7%
#158,Audi Q3,20048,13229,51.5%,2047,1501,36.4%
#159,Ford C-Max,19834,21768,-8.9%,2184,1416,54.2%
#160,Buick Regal,19833,19504,1.7%,1309,2571,-49.1%
#161,Nissan Juke,19577,27121,-27.8%,1290,1958,-34.1%
#162,Porsche Macan,19332,13533,42.9%,1796,1382,30.0%
#163,Mercedes-Benz S-Class,18803,21936,-14.3%,1494,2163,-30.9%
#164,Audi A6,18686,22850,-18.2%,2016,2456,-17.9%
#165,Mazda CX-3,18557,6406,190%,1646,1663,-1.0%
#166,Nissan NV200,18523,17317,7.0%,1538,1781,-13.6%
