Vehicle,2010 Year End,2009 Year End,% Change 2010
Nissan Xterra,20523,16455,24.7
Pontiac G3,14,6223,99.8
Pontiac G5,87,12362,99.3
Pontiac G6,479,87171,99.5
Pontiac G8,274,23157,98.8
Pontiac Grand Prix,7,265,97.4
Pontiac Solstice,157,5642,97.2
Pontiac Vibe,97,33842,99.7
Porsche 911,5737,6839,16.1
Porsche Boxster,2177,1909,14.0
Porsche Cayenne,8343,7735,7.9
Porsche Cayman,1322,1966,32.8
Porsche Panamera,7741,1247,521.0
Saab 9-3,4533,5428,25.7
Saab 9-5,811,1034,29.7
Saab 9-7X,102,2218,95.4
Saturn Astra,25,6298,99.6
Saturn Aura,644,21395,97.0
Saturn Outlook,2649,13115,79.8
Saturn Sky,179,3399,94.7
Saturn Vue,3201,28429,88.7
Scion tC,15204,17998,15.5
Scion xB,20364,25461,20.0
Scion xD,10110,14499,30.3
Smart Fortwo,5927,14595,59.4
Subaru Forester,85080,77781,9.4
Subaru Impreza,44395,46611,4.8
Subaru Legacy,38725,30974,25.0
Subaru Outback,93148,55356,68.3
Subaru Tribeca,2472,5930,58.3
Suzuki Aerio/SX4,11606,20708,44.0
Suzuki Equator,1447,2221,34.8
Suzuki Forenza/Reno,12,3769,99.7
Suzuki Grand Vitara,4478,7565,40.8
Suzuki Kizashi,6138,71,8545.0
Suzuki XL7,313,4361,92.8
Toyota 4Runner,46531,19675,136.0
Toyota Avalon,28390,26935,5.4
Toyota Camry,327804,356824,8.1
Toyota Corolla/Matrix,266082,296874,10.4
Toyota FJ Cruiser,14959,11941,25.3
Toyota Highlander,92121,83118,10.8
Toyota Land Cruiser,1807,2261,20.1
Toyota Prius,140928,139682,0.9
Toyota RAV4,170877,149088,14.6
Toyota Sequoia,13848,16387,15.5
Toyota Sienna,98337,84064,17.0
Toyota Tacoma,106198,111824,5.0
Toyota Tundra,93309,79385,17.5
Toyota Venza,47321,54410,13.0
Toyota Yaris,40076,63743,37.1
Volkswagen CC,27987,23872,17.2
Volkswagen Eos,6690,7204,7.1
Volkswagen Golf/Rabbit,28286,15752,79.6
Volkswagen Jetta,123213,108427,13.6
Volkswagen New Beetle,16537,14085,17.4
Volkswagen Passat,12497,11138,12.2
Volkswagen Routan,15961,14681,8.7
Volkswagen Tiguan,20946,13903,50.7
Volkswagen Touareg,4713,4392,7.3
Volvo C30,3906,4266,8.4
Volvo C70,4368,5170,15.5
Volvo S40,5623,7956,29.3
Volvo S60,1437,5895,75.6
Volvo S80,7224,8331,13.3
Volvo V50,1720,2155,20.2
Volvo V70,895,1816,50.7
Volvo XC60,12030,9262,2990.0
Volvo XC70,6626,5825,13.8
Volvo XC90,10119,10757,5.9
