Vehicle,2010 Year End,2009 Year End,% Change 2010
Acura MDX,47210,31178,51.4
Acura RDX,14975,10153,47.5
Acura RL,2037,2043,0.3
Acura TL,34049,33620,1.3
Acura TSX,32076,28650,12.0
Acura ZDX,3259,79,4025.0
Audi A3,6558,3874,69.3
Audi A4,34672,37070,6.5
Audi A5,16379,9800,67.1
Audi A6,8675,6786,27.8
Audi A8,1521,1463,4.0
Audi Q5,23518,13790,70.5
Audi Q7,7976,7299,9.3
Audi R8,799,699,14.3
Audi TT,1531,1935,20.9
BMW 1-Series,13132,11182,17.4
BMW 3-Series,100910,90960,10.9
BMW 5-Series,39488,40109,1.5
BMW 6-Series,2418,3549,31.9
BMW 7-Series,12253,9254,32.4
BMW X3,6075,6067,0.1
BMW X5,35776,27071,32.2
BMW X6,6257,4787,30.7
BMW Z4,3804,3523,8.0
Buick Enclave,55426,43150,28.4
Buick LaCrosse,61178,27818,120.0
Buick Lucerne,26459,31292,15.4
Buick Regal,12326,0,0.0
Cadillac CTS,45656,38817,17.6
Cadillac DTS,18640,17330,7.6
Cadillac Escalade,26874,25884,3.8
Cadillac SRX,51094,20237,152.0
Cadillac STS,4473,6037,25.9
Cadillac XLR,188,787,76.1
Chevrolet Avalanche,20515,16432,24.8
Chevrolet Aveo,48623,38516,26.2
Chevrolet Camaro,81299,61648,31.9
Chevrolet Cobalt,97376,104724,7.0
Chevrolet Colorado,24642,32413,24.0
Chevrolet Corvette,12624,13934,9.4
Chevrolet Cruze,24495,0,0.0
Chevrolet Equinox,149979,86148,74.1
Chevrolet HHR,75401,70842,6.4
Chevrolet Impala,172078,165565,3.9
Chevrolet Malibu,198770,161568,23.0
Chevrolet Silverado,370135,316544,16.9
Chevrolet Suburban,45152,41055,10.0
Chevrolet Tahoe,75675,73254,3.3
Chevrolet TrailBlazer,218,8829,97.5
Chevrolet Traverse,106744,91074,17.2
Chevrolet Uplander,76,1758,95.7
Chevrolet Volt,326,0,0.0
Chrysler 200,255,0,0.0
Chrysler 300,37116,38606,3.9
Chrysler Aspen,30,5996,99.5
Chrysler PT Cruiser,9440,17941,47.4
Chrysler Sebring,38330,27460,39.6
Chrysler Sebring/200,38585,27460,40.5
Chrysler Town & Country,112275,84558,32.8
Dodge Avenger,50923,38922,30.8
Dodge Caliber,45082,36098,24.9
Dodge Challenger,36791,25852,42.3
Dodge Charger,75397,60651,24.3
Dodge Dakota,13047,10690,22.0
Dodge Durango,572,3521,83.8
Dodge Grand Caravan,103323,90666,14.0
Dodge Journey,48577,53826,9.8
Dodge Nitro,22618,17443,29.7
Dodge Ram,199652,177268,12.6
Dodge Viper,392,482,18.7
Ford Crown Victoria,33722,33255,1.4
Ford Edge,118637,88548,34.0
Ford Escape,191026,173044,10.4
Ford Expedition,37336,31655,17.9
Ford Explorer,60687,52190,16.3
Ford F-Series,528349,413625,27.7
Ford Fiesta,23273,0,0.0
Ford Flex,34227,38717,11.6
Ford Focus,172421,160433,7.5
Ford Fusion,219219,180671,21.3
Ford Mustang,73716,66623,10.6
Ford Ranger,55364,55600,0.4
Ford Taurus,68859,45617,51.0
Ford Taurus X,12,6106,99.8
GMC Acadia,68295,53820,26.9
GMC Canyon,7992,10107,20.9
GMC Envoy,84,4857,98.3
GMC Sierra,129794,111842,16.1
GMC Terrain,60519,14033,331.0
GMC Torrent,68,9638,99.3
GMC Yukon,28781,29411,2.1
GMC Yukon XL,23797,16819,41.5
Honda Accord,311381,290056,7.4
Honda CR-V,203714,191214,6.5
Honda CR-Z,5249,0,0.0
Honda Civic,260218,259722,0.2
Honda Element,14247,14884,4.3
Honda FCX,17,5,240.0
Honda Fit,54354,67315,19.3
Honda Insight,20962,20572,1.9
Honda Odyssey,108182,100133,8.0
Honda Pilot,102323,83901,22.0
Honda Ridgeline,16142,16464,2.0
Honda S2000,85,795,89.3
Hummer H2,151,1513,90.0
Hummer H3,3661,7533,51.4
Hyundai Accent,51975,68086,23.7
Hyundai Azera,3051,3808,19.9
Hyundai Elantra,132246,103269,28.1
Hyundai Equus,196,0,0.0
Hyundai Genesis,29122,21889,33.0
Hyundai Santa Fe,76680,80343,4.6
Hyundai Sonata,196623,120028,63.8
Hyundai Tucson,39594,15411,157.0
Hyundai Veracruz,8741,10210,14.4
Infiniti EX,8312,7950,4.6
Infiniti FX,10420,11024,5.5
Infiniti G,58143,47174,23.3
Infiniti M,14618,8501,72.0
Infiniti QX56,11918,6440,85.1
Jaguar XF,6925,8488,18.4
Jaguar XJ,4278,1161,268.0
Jaguar XK,2137,2274,6.0
Jeep Commander,8115,12655,35.9
Jeep Compass,15894,11739,35.4
Jeep Grand Cherokee,84635,50328,68.2
Jeep Liberty,49564,43503,13.9
Jeep Patriot,38620,31432,22.9
Jeep Wrangler,94310,82044,15.0
Kia Amanti,281,3704,92.4
Kia Borrego,9835,10530,6.6
Kia Forte,68500,26328,160.0
Kia Optima,27382,37527,27.0
Kia Rio,24619,34666,29.0
Kia Rondo,3588,14206,74.7
Kia Sedona,21823,27398,20.3
Kia Sorento,108985,24460,346.0
Kia Soul,67110,31621,112.0
Kia Spectra,272,47114,99.4
Kia Sportage,23873,42509,43.8
Land Rover LR2,3649,4433,17.7
Land Rover LR4,7122,3197,123.0
Land Rover Range Rover,8746,7312,19.6
Land Rover Range Rover Sport,12347,11364,8.7
Lexus ES,48652,48485,0.3
Lexus GS,7059,7430,5.0
Lexus GX,16450,6235,164.0
Lexus HS250h,10663,6699,59.2
Lexus IS,34129,38077,10.4
Lexus LS,12275,11334,8.3
Lexus LX,3983,3616,10.1
Lexus RX,95790,93379,2.6
Lexus SC430,328,720,54.4
Lincoln MKS,14417,17174,16.1
Lincoln MKT,7435,2580,188.0
Lincoln MKX,21932,21433,2.3
Lincoln MKZ,22535,22081,2.1
Lincoln Navigator,8245,8057,2.3
Lincoln Town Car,11264,11375,1.0
Mazda 2,3021,0,0.0
Mazda 3,106353,94466,10.2
Mazda 5,15683,18488,15.2
Mazda 6,35662,34866,2.3
Mazda B-Series,10,573,98.3
Mazda CX-7,28788,20583,39.9
Mazda CX-9,28908,21132,36.8
Mazda MX-5 Miata,6370,7917,19.5
Mazda RX-8,1134,2217,48.8
Mazda Tribute,3637,5525,34.2
Mercedes-Benz B-Class,1,0,0.0
Mercedes-Benz C-Class,58785,52427,12.1
Mercedes-Benz CL-Class,1035,1220,15.2
Mercedes-Benz CLK,585,7150,91.8
Mercedes-Benz CLS-Class,2135,2527,15.5
Mercedes-Benz E-Class,60922,43072,41.4
Mercedes-Benz G-Class,919,662,38.8
Mercedes-Benz GL-Class,19943,15012,32.8
Mercedes-Benz GLK,20946,21944,4.5
Mercedes-Benz M-Class,29698,25799,15.1
Mercedes-Benz R-Class,2937,2825,4.0
Mercedes-Benz S-Class,13608,11199,21.5
Mercedes-Benz SL-Class,2385,4025,40.7
Mercedes-Benz SLK,1980,2566,22.8
Mercedes-Benz SLS AMG,499,0,0.0
Mercury Grand Marquis,28543,24783,15.2
Mercury Mariner,29912,28688,4.3
Mercury Milan,28912,27403,5.5
Mercury Mountaineer,5791,5169,12.0
Mercury Sable,37,6256,99.4
Mini Cooper,45644,45225,0.9
Mitsubishi Eclipse,4282,6672,35.8
Mitsubishi Endeavor,4294,3228,33.0
Mitsubishi Galant,11492,11740,2.1
Mitsubishi Lancer,21416,20117,6.5
Mitsubishi Outlander,12500,10283,21.6
Mitsubishi Outlander Sport,1690,0,0.0
Mitsubishi Raider,9,1944,99.5
Nissan 350Z/370Z,10215,13117,22.1
Nissan Altima,229263,203568,12.6
Nissan Armada,19344,9903,95.3
Nissan Cube,22968,21471,7.0
Nissan Frontier,40427,28415,42.3
Nissan GT-R,877,1534,42.8
Nissan Juke,8639,0,0.0
Nissan Leaf,19,0,0.0
Nissan Maxima,60569,53351,13.5
Nissan Murano,53999,52546,2.8
Nissan Pathfinder,21438,18341,16.9
Nissan Quest,177,8437,97.9
Nissan Rogue,99515,77222,28.9
Nissan Sentra,94065,82706,13.7
Nissan Titan,23416,19042,23.0
Nissan Versa,99705,82906,20.3
