Vehicle,2017 Year End,2016 Year End,% Change 2017
Honda Pilot,127279,120772,5.4
Honda Ridgeline,34749,23667,46.8
Hyundai Accent,58955,79766,-26.1
Hyundai Azera,3060,4942,-38.1
Hyundai Elantra,198210,208319,-4.9
Hyundai Equus,20,1361,-98.5
Hyundai Genesis,1152,23230,-95.0
Hyundai Ioniq,11197,0,0.0
Hyundai Santa Fe,133171,131265,1.5
Hyundai Sonata,131803,199408,-33.9
Hyundai Tucson,114735,89713,27.9
Hyundai Veloster,12658,30053,-57.9
Infiniti Q50,40739,44007,-7.4
Infiniti Q60,10751,3970,170.8
Infiniti Q70,5772,5872,-1.7
Infiniti QX30,14093,2259,523.9
Infiniti QX50,16857,16973,-0.7
Infiniti QX60,40444,42120,-4.0
Infiniti QX70,6878,6261,9.9
Infiniti QX80,17881,16772,6.6
Jaguar F-Pace,18946,10016,89.2
Jaguar F-Type,4108,4069,1.0
Jaguar XE,9278,6656,39.4
Jaguar XF,4541,6665,-31.9
Jaguar XJ,2721,3834,-29.0
Jeep Cherokee,169882,199736,-14.9
Jeep Compass,83253,94061,-11.5
Jeep Grand Cherokee,240696,212273,13.4
Jeep Patriot,10735,121926,-91.2
Jeep Renegade,103434,106606,-3.0
Jeep Wrangler,190522,191774,-0.7
Kia Cadenza,7249,4738,53.0
Kia Forte,117596,103292,13.8
Kia K900,455,834,-45.4
Kia Niro,27237,0,0.0
Kia Optima,107493,124203,-13.5
Kia Rio,16760,28700,-41.6
Kia Sedona,23815,44264,-46.2
Kia Sorento,99684,114733,-13.1
Kia Soul,115712,145768,-20.6
Kia Sportage,72824,81066,-10.2
Kia Stinger,843,0,0.0
Land Rover Discovery / LR4,6398,10772,-40.6
Land Rover Discovery Sport,14187,14243,-0.4
Land Rover Range Rover,16869,16155,4.4
Land Rover Range Rover Evoque,11979,11076,8.2
Land Rover Range Rover Sport,19153,21612,-11.4
Land Rover Range Rover Velar,6153,0,0.0
Lexus CT,4690,8903,-47.3
Lexus ES,51398,58299,-11.8
Lexus GS,7773,14878,-47.8
Lexus GX,27190,25148,8.1
Lexus IS,26482,37289,-29.0
Lexus LC,2487,0,0.0
Lexus LFA,3,6,-50.0
Lexus LS,4094,5514,-25.8
Lexus LX,6004,5707,5.2
Lexus NX,59341,54884,8.1
Lexus RC,7363,11165,-34.1
Lexus RX,108307,109435,-1.0
Lincoln Continental,12012,5261,128.3
Lincoln MKC,27048,25562,5.8
Lincoln MKS,153,4951,-96.9
Lincoln MKT,3005,4028,-25.4
Lincoln MKX,31031,30967,0.2
Lincoln MKZ,27387,30534,-10.3
Lincoln Navigator,10523,10421,1.0
Maserati Ghibli,5531,7100,-22.1
Maserati GranTurismo,1018,1249,-18.5
Maserati Levante,5448,1917,184.2
Maserati Quattroporte,1700,2268,-25.0
Mazda 3,75018,95567,-21.5
Mazda 5,10,375,-97.3
Mazda 6,33402,45520,-26.6
Mazda CX-3,16355,18558,-11.9
Mazda CX-5,127563,112235,13.7
Mazda CX-9,25828,16051,60.9
Mazda MX-5 Miata,11294,9465,19.3
Mercedes-AMG GT,1608,1227,31.1
Mercedes-Benz B-Class,744,632,17.7
Mercedes-Benz C-Class,77447,77167,0.4
Mercedes-Benz CLA-Class,20669,25792,-19.9
Mercedes-Benz E / CLS-Class,51312,50896,0.8
Mercedes-Benz G-Class,4188,3950,6.0
Mercedes-Benz GLA-Class,24104,24545,-1.8
Mercedes-Benz GLC-Class,48643,47872,1.6
Mercedes-Benz GLE-Class,54595,51791,5.4
Mercedes-Benz GLS-Class,32248,30442,5.9
Mercedes-Benz Metris,7579,5984,26.7
Mercedes-Benz S-Class,15888,18803,-15.5
Mercedes-Benz SL-Class,2940,3722,-21.0
Mercedes-Benz SLC-Class,2860,3397,-15.8
Mercedes-Benz Sprinter,27415,28320,-3.2
Mini Cooper,32232,39239,-17.9
Mini Countryman,14864,12706,17.0
Mini Paceman,9,84,-89.3
Mitsubishi Lancer,12725,14304,-11.0
Mitsubishi Mirage,22386,22226,0.7
Mitsubishi Outlander,35310,26576,32.9
Mitsubishi Outlander PHEV,99,0,0.0
Mitsubishi Outlander Sport,33160,33067,0.3
Mitsubishi i MiEV,6,94,-93.6
Nissan 370Z,4614,5913,-22.0
Nissan Altima,254996,307380,-17.0
Nissan Armada,35667,14035,154.1
Nissan Frontier,74360,86926,-14.5
Nissan GT-R,578,698,-17.2
Nissan Juke,10157,19577,-48.1
Nissan Leaf,11230,14006,-19.8
Nissan Maxima,67627,62670,7.9
Nissan Murano,76732,86953,-11.8
Nissan NV,17858,17873,-0.1
Nissan NV200,18602,18523,0.4
Nissan Pathfinder,81065,81701,-0.8
Nissan Quest,4950,11115,-55.5
Nissan Rogue,403465,329904,22.3
Nissan Sentra,218451,214709,1.7
Nissan Titan,52924,21880,141.9
Nissan Versa,106772,132214,-19.2
Nissan Xterra,1,38,-97.4
Porsche 911,8970,8901,0.8
Porsche Boxster,2287,2670,-14.3
Porsche Cayenne,13203,15383,-14.2
Porsche Cayman,2800,3590,-22.0
Porsche Macan,21429,19332,10.8
Porsche Panamera,6431,4403,46.1
Ram P/U,500723,489418,2.3
Ram ProMaster,40483,40440,0.1
Ram ProMaster City,15584,15972,-2.4
Smart Fortwo,3071,6211,-50.6
Subaru BRZ,4131,4141,-0.2
Subaru Crosstrek,110138,95677,15.1
Subaru Forester,177563,178593,-0.6
Subaru Impreza,117401,88517,32.6
Subaru Legacy,49837,65306,-23.7
Subaru Outback,188886,182898,3.3
Tesla Model 3,2320,0,0.0
Tesla Model S †,28800,26400,9.1
Tesla Model X †,24000,14400,66.7
Toyota 4Runner,128296,111970,14.6
Toyota 86/Scion FR-S,6846,7457,-8.2
Toyota Avalon,32583,48080,-32.2
Toyota C-HR,25755,0,0.0
Toyota Camry,387081,388618,-0.4
Toyota Corolla,329196,378210,-13.0
Toyota FJ Cruiser,4,9,-55.6
Toyota Highlander,215775,191379,12.7
Toyota Land Cruiser,3100,3705,-16.3
Toyota Mirai,1838,1034,77.8
Toyota Prius,108662,136632,-20.5
Toyota RAV4,407594,352154,15.7
Toyota Sequoia,12156,12771,-4.8
Toyota Sienna,111489,127791,-12.8
Toyota Tacoma,198124,191631,3.4
Toyota Tundra,116285,115489,0.7
Toyota Venza,14,589,-97.6
Toyota Yaris,44380,38855,14.2
Volkswagen Atlas,27119,0,0.0
Volkswagen Beetle,15166,15667,-3.2
Volkswagen CC,1355,3237,-58.1
Volkswagen Eos,1,387,-99.7
Volkswagen Golf,68978,61687,11.8
Volkswagen Jetta,115807,121107,-4.4
Volkswagen Passat,60722,73002,-16.8
Volkswagen Tiguan,46983,43638,7.7
Volkswagen Touareg,3545,4223,-16.1
Volvo S60,16825,20921,-19.6
Volvo S80,7,644,-98.9
Volvo S90,11090,2756,302.4
Volvo XC60,22516,20452,10.1
Volvo XC90,30996,35526,-12.8
