Vehicle,2017 Year End,2016 Year End,% Change 2017
Acura ILX,11757,14597,-19.5
Acura MDX,54886,55495,-1.1
Acura NSX,581,269,116.0
Acura RDX,51295,52361,-2.0
Acura RLX,1237,1478,-16.3
Acura TLX,34846,37153,-6.2
Alfa Romeo 4C,407,480,-15.2
Alfa Romeo Giulia,8903,36,24630.6
Alfa Romeo Stelvio,2721,0,0.0
Audi A3,20733,27258,-23.9
Audi A3 e-tron,2877,4280,-32.8
Audi A4,37674,36987,1.9
Audi A5,21301,8354,155.0
Audi A6,16304,18686,-12.7
Audi A7,4810,6558,-26.7
Audi A8,3127,4149,-24.6
Audi Q3,20633,20048,2.9
Audi Q5,57640,49550,16.3
Audi Q7,38346,30563,25.5
Audi R8,772,736,4.9
Audi TT,2294,3044,-24.6
BMW 2-Series,11737,15519,-24.4
BMW 3-Series,59449,70458,-15.6
BMW 4-Series,39634,35763,10.8
BMW 5-Series,40658,32408,25.5
BMW 6-Series,3355,3947,-15.0
BMW 7-Series,9276,12918,-28.2
BMW X1,30826,27812,10.8
BMW X3,40691,44196,-7.9
BMW X4,5198,4989,4.2
BMW X5,50815,47641,6.7
BMW X6,6780,7117,-4.7
BMW Z4,502,1187,-57.7
BMW i3,6276,7625,-17.7
BMW i8,488,1594,-69.4
Bentley Bentayga,1152,884,30.3
Bentley Continental GT,898,1144,-21.5
Bentley Flying Spur,257,400,-35.8
Bentley Mulsanne,98,153,-35.9
Buick Cascada,5595,7153,-21.8
Buick Enclave,48564,52028,-6.7
Buick Encore,88035,78565,12.1
Buick Envision,41040,14193,189.2
Buick LaCrosse,20161,27582,-26.9
Buick Regal,11559,19833,-41.7
Buick Verano,4277,30277,-85.9
Cadillac ATS,13100,21505,-39.1
Cadillac CT6,10542,9169,15.0
Cadillac CTS,10344,15911,-35.0
Cadillac ELR,17,534,-96.8
Cadillac Escalade,37694,39092,-3.6
Cadillac SRX,156,22139,-99.3
Cadillac XT5,68312,39485,73.0
Cadillac XTS,16275,22171,-26.6
Chevrolet Bolt,23297,579,0.0
Chevrolet Camaro,67940,72705,-6.6
Chevrolet Caprice PPV,693,1021,-32.1
Chevrolet City Express,8348,7019,18.9
Chevrolet Colorado,112996,108725,3.9
Chevrolet Corvette,25079,29995,-16.4
Chevrolet Cruze,184751,188876,-2.2
Chevrolet Equinox,290458,242195,19.9
Chevrolet Express,69164,68007,1.7
Chevrolet Impala,75877,97006,-21.8
Chevrolet Malibu,185857,227881,-18.4
Chevrolet SS,4055,3013,34.6
Chevrolet Silverado,585864,574876,1.9
Chevrolet Sonic,30290,55255,-45.2
Chevrolet Spark,22589,35511,-36.4
Chevrolet Suburban,56516,60082,-5.9
Chevrolet Tahoe,98961,103306,-4.2
Chevrolet Traverse,123506,116701,5.8
Chevrolet Trax,79289,79016,0.3
Chevrolet Volt,20349,24739,-17.7
Chrysler 200,18457,57294,-67.8
Chrysler 300,51237,53241,-3.8
Chrysler Pacifica,118274,62366,89.6
Chrysler Town & Country,577,59071,-99.0
Dodge Avenger,14,45,-68.9
Dodge Challenger,64537,64433,0.2
Dodge Charger,88351,95437,-7.4
Dodge Dart,10082,43402,-76.8
Dodge Durango,68761,68474,0.4
Dodge Grand Caravan,125196,127678,-1.9
Dodge Journey,89470,106759,-16.2
Dodge Viper,585,630,-7.1
Fiat 124 Spider,4478,2475,80.9
Fiat 500,12685,15437,-17.8
Fiat 500L,1664,3118,-46.6
Fiat 500X,7665,11712,-34.6
Ford C-Max,18390,19834,-7.3
Ford E-Series,53304,54245,-1.7
Ford Edge,142603,134588,6.0
Ford Escape,308296,307069,0.4
Ford Expedition,51883,59835,-13.3
Ford Explorer,271131,248507,9.1
Ford F-Series,896764,820799,9.3
Ford Fiesta,46249,48807,-5.2
Ford Flex,22389,22668,-1.2
Ford Focus,158385,168789,-6.2
Ford Fusion,209623,265840,-21.1
Ford GT,89,0,0.0
Ford Mustang,81866,105932,-22.7
Ford Taurus,41236,44098,-6.5
Ford Transit,127360,143244,-11.1
Ford Transit Connect,34473,43232,-20.3
GMC Acadia,111276,88466,25.8
GMC Canyon,32106,37449,-14.3
GMC Savana,29679,20607,44.0
GMC Sierra,217943,221680,-1.7
GMC Terrain,85441,87925,-2.8
GMC Yukon,49183,53447,-8.0
GMC Yukon XL,35059,37054,-5.4
Genesis G80,16196,6166,162.7
Genesis G90,4398,782,462.4
Honda Accord,322655,345225,-6.5
Honda CR-V,377895,357335,5.8
Honda CR-Z,705,2338,-69.8
Honda Civic,377286,366927,2.8
Honda Clarity FCV,2455,8,0.0
Honda Crosstour,5,726,-99.3
Honda Fit,49454,56630,-12.7
Honda HR-V,94034,82041,14.6
Honda Insight,3,67,-95.5
Honda Odyssey,100307,120846,-17.0
