Vehicle,2018 Year End,2017 Year End,% Change 2018
Acura ILX,11273,11757,-4.12
Acura MDX,51512,54886,-6.15
Acura NSX,170,581,-70.74
Acura RDX,63580,51295,23.95
Acura RLX,1931,1237,56.1
Acura TLX,30468,34846,-12.56
Alfa Romeo 4C,238,406,-41.38
Alfa Romeo Giulia,11519,8904,29.37
Alfa Romeo Stelvio,12043,2721,342.59
Audi A3,18305,23610,-22.47
Audi A4,34311,34434,-0.36
Audi A5,25972,21301,21.93
Audi A6,10561,16304,-35.22
Audi A7,3852,4810,-19.92
Audi A8,1599,3127,-48.86
Audi Q3,16828,20633,-18.44
Audi Q5,69978,57640,21.41
Audi Q7,37417,38346,-2.42
Audi Q8,2029,0,0.0
Audi R8,927,772,20.08
Audi TT,1289,2294,-43.81
BMW 2-Series,9208,11737,-21.55
BMW 3-Series,44578,59449,-25.01
BMW 4-Series,31379,39634,-20.83
BMW 5-Series,43937,40658,8.06
BMW 6-Series,3762,3355,12.13
BMW 7-Series,8271,9276,-10.83
BMW 8-Series,223,0,0.0
BMW X1,29057,30826,-5.74
BMW X2,16154,0,0.0
BMW X3,61351,40691,50.77
BMW X4,4323,5198,-16.83
BMW X5,45013,50815,-11.42
BMW X6,6862,6780,1.21
BMW i3,6120,6276,-2.49
BMW i8,772,488,58.2
Buick Cascada,4628,5595,-17.28
Buick Enclave,49648,48564,2.23
Buick Encore,93071,88035,5.72
Buick Envision,30153,41040,-26.53
Buick LaCrosse,15527,20161,-22.98
Buick Regal,14117,11559,22.13
Cadillac ATS,10860,13100,-17.1
Cadillac CT6,9669,10542,-8.28
Cadillac CTS,11220,10344,8.47
Cadillac Escalade,36032,22994,56.7
Cadillac XT4,7785,0,0.0
Cadillac XT5,60566,68312,-11.34
Cadillac XTS,17729,16275,8.93
Chevrolet Blazer,27,0,0.0
Chevrolet Bolt,18020,23297,-22.65
Chevrolet Camaro,50963,67940,-24.99
Chevrolet Colorado,134842,112996,19.33
Chevrolet Corvette,18789,25079,-25.08
Chevrolet Cruze,142618,184751,-22.81
Chevrolet Equinox,332621,290458,14.52
Chevrolet Express,66963,69164,-3.18
Chevrolet Impala,56557,75877,-25.46
Chevrolet Malibu,144542,185857,-22.23
Chevrolet Silverado,585582,585864,-0.05
Chevrolet Sonic,20613,30290,-31.95
Chevrolet Spark,23603,22589,4.49
Chevrolet Suburban,60633,56516,7.28
Chevrolet Tahoe,104152,98961,5.25
Chevrolet Traverse,146264,123506,18.43
Chevrolet Trax,89917,79289,13.4
Chevrolet Volt,18306,20349,-10.04
Chrysler 200,1043,18457,-94.35
Chrysler 300,46593,51237,-9.06
Chrysler Pacifica,118322,118274,0.04
Dodge Challenger,66716,64537,3.38
Dodge Charger,80226,88351,-9.2
Dodge Dart,389,10082,-96.14
Dodge Durango,65947,68761,-4.09
