Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star,Sales,% Change,Change
The Other Guys,2009 nissan versa,1,nissan versa,nissan versa,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,2,2,18,1,99705.0,0.2026270716232842,Positive
The Expendables,2001 nissan xterra,3,nissan xterra,nissan xterra,25,"$103,068,524",Lionsgate,2010,1,1,2,25,3,20523.0,0.2472196900638104,Positive
Salt,2008 pontiac g5,1,pontiac g5,pontiac g5,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,2,2,19,1,87.0,-0.992962303834331,Negative
Due Date,2006 pontiac g6,2,pontiac g6,pontiac g6,26,"$98,935,039",Warner Bros.,2010,0,7,7,26,2,479.0,-0.9945050532860699,Negative
Takers,2008 pontiac g8,1,pontiac g8,pontiac g8,60,"$57,744,720",Screen Gems,2010,0,1,1,60,1,274.0,-0.9881677246620892,Negative
Salt,1997 pontiac grand prix,1,pontiac grand prix,pontiac grand prix,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,3,3,19,1,7.0,-0.9735849056603774,Negative
Takers,2006 pontiac solstice,2,pontiac solstice,pontiac solstice,60,"$57,744,720",Screen Gems,2010,0,2,2,60,2,157.0,-0.9721729883020206,Negative
The Town,2009 pontiac vibe,1,pontiac vibe,pontiac vibe,32,"$92,155,037",Warner Bros.,2010,0,2,2,32,1,97.0,-0.9971337391407127,Negative
Love & Other Drugs,porsche 911 carrera cabrio [993],4,porsche 911,porsche 911,98,"$31,099,481",Twentieth Century Fox,2010,4,3,7,98,4,5737.0,-0.1611346688112297,Negative
Dinner for Schmucks,2005 porsche boxster [987],4,porsche boxster,porsche boxster,44,"$73,026,337",DreamWorks,2010,2,1,3,44,4,2177.0,0.14038763750654792,Positive
Death at a Funeral,1999 saab 9-3,3,saab 9-3,saab 9-3,77,"$42,739,347",Screen Gems,2010,1,5,6,77,3,4533.0,-0.16488577745025793,Negative
