Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
The Avengers,The Avengers,2012,PG-13,04 May 2012,143 min,"Action, Adventure, Sci-Fi",Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",USA,Nominated for 1 Oscar. Another 38 wins & 79 nominations.,91%,69,8.0,"1,268,647",tt0848228,2012
The Dark Knight Rises,The Dark Knight Rises,2012,PG-13,20 Jul 2012,164 min,"Action, Adventure",Christopher Nolan,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","UK, USA",Nominated for 1 BAFTA Film Award. Another 38 wins & 102 nominations.,87%,78,8.4,"1,530,169",tt1345836,2012
The Hunger Games,The Hunger Games,2012,PG-13,23 Mar 2012,142 min,"Action, Adventure, Sci-Fi, Thriller",Gary Ross,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields",USA,Nominated for 1 Golden Globe. Another 33 wins & 47 nominations.,84%,68,7.2,"848,396",tt1392170,2012
Skyfall,Skyfall,2012,PG-13,09 Nov 2012,143 min,"Action, Adventure, Thriller",Sam Mendes,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes","UK, USA, Turkey",Won 2 Oscars. Another 65 wins & 122 nominations.,92%,81,7.8,"633,423",tt1074638,2012
The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,16 Nov 2012,115 min,"Adventure, Drama, Fantasy, Romance",Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",USA,21 wins & 16 nominations.,49%,52,5.5,"232,894",tt1673434,2012
The Amazing Spider-Man,The Amazing Spider-Man,2012,PG-13,03 Jul 2012,136 min,"Action, Adventure, Fantasy, Sci-Fi",Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary",USA,2 wins & 31 nominations.,72%,66,6.9,"561,478",tt0948470,2012
Brave,Brave,2012,PG,22 Jun 2012,93 min,"Animation, Adventure, Comedy, Family, Fantasy","Mark Andrews, Brenda Chapman, Steve Purcell(co-director)","Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters","USA, UK",Won 1 Oscar. Another 19 wins & 48 nominations.,78%,69,7.1,"376,214",tt1217209,2012
The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,PG-13,14 Dec 2012,169 min,"Adventure, Fantasy",Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott","New Zealand, USA",Nominated for 3 Oscars. Another 11 wins & 72 nominations.,64%,58,7.8,"761,054",tt0903624,2012
Ted,Ted,2012,R,29 Jun 2012,106 min,Comedy,Seth MacFarlane,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale",USA,Nominated for 1 Oscar. Another 13 wins & 27 nominations.,69%,62,6.9,"572,511",tt1637725,2012
Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,2012,PG,08 Jun 2012,93 min,"Animation, Adventure, Comedy, Family","Eric Darnell, Tom McGrath, Conrad Vernon","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",USA,3 wins & 20 nominations.,78%,60,6.8,"164,972",tt1277953,2012
