Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
The Lorax,The Lorax,2012,PG,02 Mar 2012,86 min,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical","Chris Renaud, Kyle Balda(co-director)","Danny DeVito, Ed Helms, Zac Efron, Taylor Swift","USA, France, Japan",4 wins & 8 nominations.,83%,46,6.4,"99,430",tt1482459,2012
Men in Black 3,Men in Black 3,2012,PG-13,25 May 2012,106 min,"Action, Adventure, Comedy, Sci-Fi",Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement","USA, United Arab Emirates",1 win & 13 nominations.,68%,58,6.8,"336,923",tt1409024,2012
Wreck-It Ralph,Wreck-It Ralph,2012,PG,02 Nov 2012,101 min,"Animation, Adventure, Comedy, Family, Fantasy",Rich Moore,"John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch",USA,Nominated for 1 Oscar. Another 33 wins & 41 nominations.,87%,72,7.7,"383,096",tt1772341,2012
Ice Age: Continental Drift,Ice Age: Continental Drift,2012,PG,13 Jul 2012,88 min,"Animation, Adventure, Comedy, Family, Fantasy","Steve Martino, Mike Thurmeier","Aziz Ansari, Joy Behar, Christopher Campbell, Alain Chabat","USA, Australia, UK",2 wins & 11 nominations.,37%,49,6.5,"193,233",tt1667889,2012
Snow White and the Huntsman,Snow White and the Huntsman,2012,PG-13,01 Jun 2012,127 min,"Action, Adventure, Drama, Fantasy",Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin","USA, UK",Nominated for 2 Oscars. Another 13 wins & 31 nominations.,49%,57,6.1,"274,335",tt1735898,2012
Hotel Transylvania,Hotel Transylvania,2012,PG,28 Sep 2012,91 min,"Animation, Comedy, Family, Fantasy",Genndy Tartakovsky,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James","USA, South Korea, Canada",Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,45%,47,7.1,"226,329",tt0837562,2012
Taken 2,Taken 2,2012,PG-13,05 Oct 2012,92 min,"Action, Thriller",Olivier Megaton,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser","France, USA, Turkey, UK",1 win & 3 nominations.,22%,45,6.3,"290,256",tt1397280,2012
21 Jump Street,21 Jump Street,2012,R,16 Mar 2012,109 min,"Action, Comedy, Crime","Phil Lord, Christopher Miller","Jonah Hill, Channing Tatum, Brie Larson, Dave Franco",USA,11 wins & 21 nominations.,84%,69,7.2,"513,589",tt1232829,2012
Lincoln,Lincoln,2012,PG-13,16 Nov 2012,150 min,"Biography, Drama, History, War",Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","USA, India",Won 2 Oscars. Another 106 wins & 252 nominations.,89%,86,7.3,"246,590",tt0443272,2012
Prometheus,Prometheus,2012,R,08 Jun 2012,124 min,"Adventure, Mystery, Sci-Fi",Ridley Scott,"Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba","USA, UK",Nominated for 1 Oscar. Another 6 wins & 46 nominations.,73%,64,7.0,"571,076",tt1446714,2012
Safe House,Safe House,2012,R,10 Feb 2012,115 min,"Action, Thriller",Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson","South Africa, USA, Japan",1 win & 7 nominations.,53%,52,6.7,"207,772",tt1599348,2012
The Vow,The Vow,2012,PG-13,10 Feb 2012,104 min,"Drama, Romance",Michael Sucsy,"Rachel McAdams, Channing Tatum, Jessica Lange, Sam Neill","USA, Canada",3 wins & 14 nominations.,31%,43,6.8,"184,844",tt1606389,2012
Magic Mike,Magic Mike,2012,R,29 Jun 2012,110 min,"Comedy, Drama",Steven Soderbergh,"Matthew McConaughey, Channing Tatum, Olivia Munn, Alex Pettyfer",USA,9 wins & 14 nominations.,79%,72,6.1,"132,107",tt1915581,2012
The Bourne Legacy,The Bourne Legacy,2012,PG-13,10 Aug 2012,135 min,"Action, Adventure, Thriller",Tony Gilroy,"Jeremy Renner, Scott Glenn, Stacy Keach, Edward Norton","USA, Japan",1 win & 11 nominations.,55%,61,6.6,"286,657",tt1194173,2012
Argo,Argo,2012,R,12 Oct 2012,120 min,"Biography, Drama, Thriller",Ben Affleck,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman","USA, UK",Won 3 Oscars. Another 91 wins & 155 nominations.,96%,86,7.7,"576,498",tt1024648,2012
Journey 2: The Mysterious Island,Journey 2: The Mysterious Island,2012,PG,10 Feb 2012,94 min,"Action, Adventure, Family, Fantasy, Sci-Fi",Brad Peyton,"Dwayne Johnson, Michael Caine, Josh Hutcherson, Luis Guzmán",USA,7 wins & 4 nominations.,45%,41,5.8,"94,292",tt1397514,2012
Flight,Flight,2012,R,02 Nov 2012,138 min,"Drama, Thriller",Robert Zemeckis,"Nadine Velazquez, Denzel Washington, Carter Cabassa, Adam C. Edwards","USA, United Arab Emirates",Nominated for 2 Oscars. Another 15 wins & 43 nominations.,77%,76,7.3,"328,196",tt1907668,2012
Think Like a Man,Think Like a Man,2012,PG-13,20 Apr 2012,122 min,"Comedy, Romance",Tim Story,"Michael Ealy, Jerry Ferrara, Meagan Good, Regina Hall",USA,3 wins & 14 nominations.,54%,51,6.5,"44,383",tt1621045,2012
Rise of the Guardians,Rise of the Guardians,2012,PG,21 Nov 2012,97 min,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",Peter Ramsey,"Chris Pine, Alec Baldwin, Jude Law, Isla Fisher",USA,Nominated for 1 Golden Globe. Another 14 wins & 31 nominations.,75%,58,7.3,"158,248",tt1446192,2012
Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,2011,PG-13,21 Dec 2011,132 min,"Action, Adventure, Thriller",Brad Bird,"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner",USA,5 wins & 30 nominations.,93%,73,7.4,"459,417",tt1229238,2012
The Campaign,The Campaign,2012,R,10 Aug 2012,85 min,Comedy,Jay Roach,"Will Ferrell, Zach Galifianakis, Jason Sudeikis, Dylan McDermott",USA,2 wins & 4 nominations.,66%,50,6.1,"124,962",tt1790886,2012
Life of Pi,Life of Pi,2012,PG,21 Nov 2012,127 min,"Adventure, Drama, Fantasy",Ang Lee,"Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur","USA, Taiwan, UK, Mexico, Canada, France, India",Won 4 Oscars. Another 77 wins & 134 nominations.,86%,79,7.9,"584,966",tt0454876,2012
The Expendables 2,The Expendables 2,2012,R,17 Aug 2012,103 min,"Action, Adventure, Thriller",Simon West,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren","USA, Germany, Bulgaria, China",4 wins & 5 nominations.,67%,51,6.6,"293,108",tt1764651,2012
Wrath of the Titans,Wrath of the Titans,2012,PG-13,30 Mar 2012,99 min,"Action, Adventure, Fantasy",Jonathan Liebesman,"Sam Worthington, Liam Neeson, Ralph Fiennes, Edgar Ramírez","USA, Spain",2 wins & 3 nominations.,26%,37,5.7,"182,174",tt1646987,2012
Dark Shadows,Dark Shadows,2012,PG-13,11 May 2012,113 min,"Comedy, Fantasy, Horror",Tim Burton,"Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter, Eva Green","USA, Australia, UK",2 wins & 13 nominations.,35%,55,6.2,"248,886",tt1077368,2012
John Carter,John Carter,2012,PG-13,09 Mar 2012,132 min,"Action, Adventure, Sci-Fi",Andrew Stanton,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe",USA,2 wins & 8 nominations.,52%,51,6.6,"255,985",tt0401729,2012
Les Misérables,Les Misérables,2012,PG-13,25 Dec 2012,158 min,"Drama, History, Musical, Romance, War",Tom Hooper,"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried","UK, USA",Won 3 Oscars. Another 82 wins & 176 nominations.,70%,63,7.6,"310,661",tt1707386,2012
Act of Valor,Act of Valor,2012,R,24 Feb 2012,110 min,"Action, Adventure, Thriller, War","Mike McCoy, Scott Waugh","Rorke Denver, Dave, Sonny, Weimy",USA,Nominated for 1 Golden Globe. Another 1 win & 6 nominations.,27%,40,6.5,"66,644",tt1591479,2012
Django Unchained,Django Unchained,2012,R,25 Dec 2012,165 min,"Drama, Western",Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",USA,Won 2 Oscars. Another 55 wins & 158 nominations.,87%,81,8.4,"1,369,882",tt1853728,2012
Contraband,Contraband,2012,R,13 Jan 2012,109 min,"Action, Crime, Drama, Thriller",Baltasar Kormákur,"Robert Wahlberg, Caleb Landry Jones, Jason Mitchell, Paul LeBlanc","USA, UK, France",1 win.,51%,51,6.5,"117,492",tt1524137,2012
Looper,Looper,2012,R,28 Sep 2012,113 min,"Action, Drama, Sci-Fi, Thriller",Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano","USA, China",18 wins & 47 nominations.,93%,84,7.4,"537,035",tt1276104,2012
Madea's Witness Protection,Madea's Witness Protection,2012,PG-13,29 Jun 2012,114 min,"Comedy, Crime, Drama",Tyler Perry,"Tyler Perry, Eugene Levy, Denise Richards, Doris Roberts",USA,1 win & 5 nominations.,19%,42,4.9,"10,143",tt2215285,2012
Battleship,Battleship,2012,PG-13,18 May 2012,131 min,"Action, Adventure, Sci-Fi, Thriller",Peter Berg,"Taylor Kitsch, Alexander Skarsgård, Rihanna, Brooklyn Decker","USA, Japan, Hong Kong",4 wins & 16 nominations.,34%,41,5.8,"237,593",tt1440129,2012
Mirror Mirror,Mirror Mirror,2012,PG,30 Mar 2012,106 min,"Adventure, Comedy, Drama, Family, Fantasy",Tarsem Singh,"Julia Roberts, Lily Collins, Armie Hammer, Nathan Lane","USA, Canada",Nominated for 1 Oscar. Another 2 wins & 8 nominations.,50%,46,5.6,"84,532",tt1667353,2012
Chronicle,Chronicle,2012,PG-13,03 Feb 2012,84 min,"Drama, Sci-Fi, Thriller",Josh Trank,"Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly",USA,2 wins & 7 nominations.,85%,69,7.0,"240,425",tt1706593,2012
Pitch Perfect,Pitch Perfect,2012,PG-13,05 Oct 2012,112 min,"Comedy, Music, Romance",Jason Moore,"Anna Kendrick, Skylar Astin, Ben Platt, Brittany Snow",USA,7 wins & 20 nominations.,81%,66,7.1,"278,696",tt1981677,2012
Hope Springs,Hope Springs,2012,PG-13,08 Aug 2012,100 min,"Comedy, Drama, Romance",David Frankel,"Meryl Streep, Tommy Lee Jones, Steve Carell, Jean Smart","USA, Canada",Nominated for 1 Golden Globe. Another 2 wins & 4 nominations.,75%,65,6.3,"40,936",tt1535438,2012
Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,2011,PG-13,16 Dec 2011,129 min,"Action, Adventure, Mystery",Guy Ritchie,"Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams","USA, UK",3 wins & 11 nominations.,59%,48,7.5,"422,876",tt1515091,2012
Underworld: Awakening,Underworld: Awakening,2012,R,20 Jan 2012,88 min,"Action, Fantasy, Horror, Sci-Fi","Måns Mårlind, Björn Stein","Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James","USA, Canada",1 win.,26%,39,6.4,"146,619",tt1496025,2012
The Lucky One,The Lucky One,2012,PG-13,20 Apr 2012,101 min,"Drama, Mystery, Romance, War",Scott Hicks,"Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart",USA,5 wins & 7 nominations.,20%,39,6.5,"102,048",tt1327194,2012
The Dictator,The Dictator,2012,R,16 May 2012,83 min,Comedy,Larry Charles,"Sacha Baron Cohen, Sayed Badreya, Rocky Citron, Liam Campora",USA,1 win & 1 nomination.,57%,58,6.4,"280,272",tt1645170,2012
Total Recall,Total Recall,1990,R,01 Jun 1990,113 min,"Action, Sci-Fi, Thriller",Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox","USA, Mexico",Nominated for 2 Oscars. Another 7 wins & 14 nominations.,82%,57,7.5,"304,603",tt0100802,2012
American Reunion,American Reunion,2012,R,06 Apr 2012,113 min,Comedy,"Jon Hurwitz, Hayden Schlossberg","Jason Biggs, Alyson Hannigan, Chris Klein, Thomas Ian Nicholas",USA,1 win & 4 nominations.,45%,49,6.7,"203,597",tt1605630,2012
ParaNorman,ParaNorman,2012,PG,17 Aug 2012,92 min,"Animation, Adventure, Comedy, Family, Fantasy, Mystery","Chris Butler, Sam Fell","Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick, Casey Affleck",USA,Nominated for 1 Oscar. Another 19 wins & 45 nominations.,89%,72,7.0,"94,820",tt1623288,2012
This Means War,This Means War,2012,PG-13,17 Feb 2012,103 min,"Action, Comedy, Romance",McG,"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger",USA,1 win & 6 nominations.,26%,31,6.3,"176,918",tt1596350,2012
Project X,Project X,2012,R,02 Mar 2012,88 min,Comedy,Nima Nourizadeh,"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame",USA,5 nominations.,28%,48,6.6,"189,620",tt1636826,2012
The Woman in Black,The Woman in Black,2012,PG-13,03 Feb 2012,95 min,"Drama, Fantasy, Horror, Thriller",James Watkins,"Emma Shorey, Molly Harmon, Ellisa Walker-Reid, Sophie Stuckey","UK, Canada, USA, Sweden",5 wins & 14 nominations.,67%,62,6.4,"174,865",tt1596365,2012
Paranormal Activity 4,Paranormal Activity 4,2012,R,19 Oct 2012,88 min,"Horror, Mystery","Henry Joost, Ariel Schulman","Katie Featherston, Kathryn Newton, Matt Shively, Aiden Lovekamp",USA,2 wins.,23%,40,4.6,"62,609",tt2109184,2012
The Devil Inside,The Devil Inside,2012,R,06 Jan 2012,83 min,Horror,William Brent Bell,"Fernanda Andrade, Simon Quarterman, Evan Helmuth, Ionut Grama",USA,2 wins & 3 nominations.,6%,18,4.2,"34,888",tt1560985,2012
The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,2011,R,21 Dec 2011,158 min,"Crime, Drama, Mystery, Thriller",David Fincher,"Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård","USA, Sweden, Norway",Won 1 Oscar. Another 26 wins & 91 nominations.,87%,71,7.8,"426,757",tt1568346,2012
The Odd Life of Timothy Green,The Odd Life of Timothy Green,2012,PG,15 Aug 2012,105 min,"Comedy, Drama, Family, Fantasy",Peter Hedges,"Jennifer Garner, Joel Edgerton, CJ Adams, Odeya Rush",USA,1 win & 8 nominations.,36%,47,6.6,"45,130",tt1462769,2012
Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,2011,PG-13,17 Feb 2012,96 min,"Action, Fantasy, Thriller","Mark Neveldine, Brian Taylor","Nicolas Cage, Violante Placido, Ciarán Hinds, Idris Elba","USA, United Arab Emirates",4 nominations.,18%,34,4.3,"111,581",tt1071875,2012
The Grey,The Grey,2011,R,27 Jan 2012,117 min,"Action, Adventure, Drama, Thriller",Joe Carnahan,"Liam Neeson, Frank Grillo, Dermot Mulroney, Dallas Roberts",USA,2 wins & 8 nominations.,79%,64,6.8,"241,356",tt1601913,2012
Red Tails,Red Tails,2012,PG-13,20 Jan 2012,125 min,"Action, Drama, History, War",Anthony Hemingway,"Terrence Howard, Cuba Gooding Jr., Nate Parker, David Oyelowo",USA,2 wins & 9 nominations.,40%,46,5.9,"33,659",tt0485985,2012
The Possession,The Possession,2012,PG-13,31 Aug 2012,92 min,"Horror, Mystery, Thriller",Ole Bornedal,"Jeffrey Dean Morgan, Kyra Sedgwick, Natasha Calis, Madison Davenport","USA, Canada",6 nominations.,39%,45,5.9,"57,150",tt0431021,2012
Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid: Dog Days,2012,PG,03 Aug 2012,94 min,"Comedy, Family",David Bowers,"Zachary Gordon, Steve Zahn, Robert Capron, Devon Bostick","USA, Canada",2 wins & 7 nominations.,52%,54,6.3,"22,434",tt2023453,2012
Sinister,Sinister,2012,R,12 Oct 2012,110 min,"Horror, Mystery, Thriller",Scott Derrickson,"Ethan Hawke, Juliet Rylance, Fred Thompson, James Ransone","USA, UK, Canada",3 wins & 13 nominations.,63%,53,6.8,"222,875",tt1922777,2012
Jack Reacher,Jack Reacher,2012,PG-13,21 Dec 2012,130 min,"Action, Thriller",Christopher McQuarrie,"Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo",USA,1 win & 6 nominations.,64%,50,7.0,"311,416",tt0790724,2012
Savages,Savages,2012,R,06 Jul 2012,131 min,"Crime, Thriller",Oliver Stone,"Blake Lively, Taylor Kitsch, Aaron Taylor-Johnson, Jana Banker",USA,7 nominations.,50%,59,6.5,"123,878",tt1615065,2012
The Best Exotic Marigold Hotel,The Best Exotic Marigold Hotel,2011,PG-13,25 May 2012,124 min,"Comedy, Drama, Romance",John Madden,"Judi Dench, Tom Wilkinson, Patrick Pearson, Hugh Dickson","UK, USA, United Arab Emirates",Nominated for 2 Golden Globes. Another 4 wins & 20 nominations.,78%,62,7.3,"90,504",tt1412386,2012
Moonrise Kingdom,Moonrise Kingdom,2012,PG-13,29 Jun 2012,94 min,"Comedy, Drama, Romance",Wes Anderson,"Bruce Willis, Edward Norton, Bill Murray, Frances McDormand",USA,Nominated for 1 Oscar. Another 37 wins & 120 nominations.,94%,84,7.8,"320,684",tt1748122,2012
Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,2011,G,16 Dec 2011,87 min,"Animation, Adventure, Comedy, Family, Fantasy, Music",Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long",USA,2 wins & 1 nomination.,12%,24,4.3,"31,787",tt1615918,2012
The Three Stooges,The Three Stooges,2012,PG,13 Apr 2012,92 min,"Comedy, Family","Bobby Farrelly, Peter Farrelly","Sean Hayes, Will Sasso, Chris Diamantopoulos, Jane Lynch",USA,4 nominations.,51%,56,5.1,"30,061",tt0383010,2012
The Descendants,The Descendants,2011,R,09 Dec 2011,115 min,"Comedy, Drama",Alexander Payne,"George Clooney, Shailene Woodley, Amara Miller, Nick Krause",USA,Won 1 Oscar. Another 64 wins & 147 nominations.,88%,84,7.3,"233,480",tt1033575,2012
Here Comes the Boom,Here Comes the Boom,2012,PG,12 Oct 2012,105 min,"Action, Comedy, Sport",Frank Coraci,"Kevin James, Salma Hayek, Henry Winkler, Greg Germann",USA,3 nominations.,41%,40,6.4,"86,440",tt1648179,2012
War Horse,War Horse,2011,PG-13,25 Dec 2011,146 min,"Action, Adventure, Drama, History, War",Steven Spielberg,"Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup","USA, India",Nominated for 6 Oscars. Another 15 wins & 71 nominations.,74%,72,7.2,"147,807",tt1568911,2012
Red Dawn,Red Dawn,2012,PG-13,21 Nov 2012,93 min,"Action, Drama",Dan Bradley,"Chris Hemsworth, Josh Peck, Josh Hutcherson, Adrianne Palicki",USA,1 win & 4 nominations.,15%,31,5.4,"73,550",tt1234719,2012
Resident Evil: Retribution,Resident Evil: Retribution,2012,R,14 Sep 2012,95 min,"Action, Horror, Sci-Fi, Thriller",Paul W.S. Anderson,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer","Germany, Canada, USA, France, UK",2 wins & 6 nominations.,28%,39,5.4,"133,595",tt1855325,2012
The Cabin in the Woods,The Cabin in the Woods,2011,R,13 Apr 2012,95 min,Horror,Drew Goddard,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz",USA,20 wins & 34 nominations.,92%,72,7.0,"378,949",tt1259521,2012
What to Expect When You're Expecting,What to Expect When You're Expecting,2012,PG-13,18 May 2012,110 min,"Comedy, Drama, Romance",Kirk Jones,"Cameron Diaz, Jennifer Lopez, Elizabeth Banks, Chace Crawford",USA,12 nominations.,23%,41,5.7,"70,231",tt1586265,2012
End of Watch,End of Watch,2012,R,21 Sep 2012,109 min,"Action, Crime, Drama, Thriller",David Ayer,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick",USA,3 wins & 10 nominations.,85%,68,7.6,"229,549",tt1855199,2012
The Artist,The Artist,2011,PG-13,20 Jan 2012,100 min,"Comedy, Drama, Romance",Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell","France, Belgium, USA",Won 5 Oscars. Another 156 wins & 204 nominations.,95%,89,7.9,"231,810",tt1655442,2012
This Is 40,This Is 40,2012,R,21 Dec 2012,134 min,"Comedy, Romance",Judd Apatow,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow",USA,2 wins & 11 nominations.,51%,59,6.2,"128,622",tt1758830,2012
We Bought a Zoo,We Bought a Zoo,2011,PG,23 Dec 2011,124 min,"Comedy, Drama, Family",Cameron Crowe,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Colin Ford",USA,1 win & 8 nominations.,64%,58,7.1,"135,700",tt1389137,2012
Rock of Ages,Rock of Ages,2012,PG-13,15 Jun 2012,123 min,"Comedy, Drama, Musical, Romance",Adam Shankman,"Julianne Hough, Dakota Sage Grant, Matthew Rush Sullivan, Diego Boneta",USA,2 wins & 8 nominations.,43%,47,5.9,"74,130",tt1336608,2012
Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,2012,R,22 Jun 2012,105 min,"Action, Fantasy, Horror",Timur Bekmambetov,"Benjamin Walker, Dominic Cooper, Anthony Mackie, Mary Elizabeth Winstead","USA, Russia",1 nomination.,33%,42,5.9,"149,117",tt1611224,2012
Lawless,Lawless,2012,R,29 Aug 2012,116 min,"Crime, Drama",John Hillcoat,"Shia LaBeouf, Tom Hardy, Jason Clarke, Guy Pearce",USA,1 win & 8 nominations.,66%,58,7.3,"229,574",tt1212450,2012
That's My Boy,That's My Boy,2012,R,15 Jun 2012,116 min,Comedy,Sean Anders,"Adam Sandler, Andy Samberg, Leighton Meester, Vanilla Ice",USA,5 wins & 10 nominations.,31/100,31,5.5,"92,149",tt1232200,2012
Trouble with the Curve,Trouble with the Curve,2012,PG-13,21 Sep 2012,111 min,"Drama, Sport",Robert Lorenz,"Clint Eastwood, Chelcie Ross, Raymond Anthony Thomas, Ed Lauter",USA,2 wins & 1 nomination.,51%,58,6.8,"60,570",tt2083383,2012
The Watch,The Watch,2012,R,27 Jul 2012,102 min,"Comedy, Sci-Fi",Akiva Schaffer,"Ben Stiller, Vince Vaughn, Jonah Hill, Richard Ayoade",USA,2 nominations.,16%,36,5.7,"121,693",tt1298649,2012
Step Up Revolution,Step Up Revolution,2012,PG-13,27 Jul 2012,99 min,"Drama, Music, Romance",Scott Speer,"Cleopatra Coleman, Ryan Guzman, Misha Gabriel Hamilton, Michael 'Xeno' Langebeck",USA,1 nomination.,41%,43,6.4,"54,034",tt1800741,2012
Good Deeds,Good Deeds,2012,PG-13,24 Feb 2012,110 min,"Comedy, Drama, Romance",Tyler Perry,"Tyler Perry, Thandie Newton, Gabrielle Union, Eddie Cibrian",USA,5 nominations.,36%,43,5.6,"7,455",tt1885265,2012
Frankenweenie,Frankenweenie,2012,PG,05 Oct 2012,87 min,"Animation, Comedy, Family, Horror, Sci-Fi",Tim Burton,"Catherine O'Hara, Martin Short, Martin Landau, Charlie Tahan",USA,Nominated for 1 Oscar. Another 11 wins & 49 nominations.,87%,74,6.9,"98,959",tt1142977,2012
Parental Guidance,Parental Guidance,2012,PG,25 Dec 2012,105 min,"Comedy, Family",Andy Fickman,"Billy Crystal, Bette Midler, Marisa Tomei, Tom Everett Scott",USA,1 win & 4 nominations.,18%,36,6.0,"24,888",tt1047540,2012
2016: Obama's America,2016: Obama's America,2012,PG,24 Aug 2012,87 min,Documentary,"Dinesh D'Souza, John Sullivan","Jay Bastian, Joe Biden, Cait Brasel, Gene Burris Jr.",USA,1 nomination.,26%,26,5.0,"10,452",tt2247692,2012
