Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
Guardians of the Galaxy,Guardians of the Galaxy,2014,PG-13,01 Aug 2014,121 min,"Action, Adventure, Comedy, Sci-Fi",James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",USA,Nominated for 2 Oscars. Another 52 wins & 100 nominations.,92%,76,8.0,"1,051,396",tt2015381,2014
The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,2014,PG-13,21 Nov 2014,123 min,"Action, Adventure, Sci-Fi, Thriller",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson","USA, Canada, France",Nominated for 1 Golden Globe. Another 21 wins & 31 nominations.,68%,64,6.6,"416,708",tt1951265,2014
Captain America: The Winter Soldier,Captain America: The Winter Soldier,2014,PG-13,04 Apr 2014,136 min,"Action, Adventure, Sci-Fi, Thriller","Anthony Russo, Joe Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",USA,Nominated for 1 Oscar. Another 5 wins & 50 nominations.,90%,70,7.7,"743,106",tt1843866,2014
The Lego Movie,The Lego Movie,2014,PG,07 Feb 2014,100 min,"Animation, Action, Adventure, Comedy, Family, Fantasy","Christopher Miller, Phil Lord","Will Arnett, Elizabeth Banks, Craig Berry, Alison Brie","USA, Denmark, Australia",Nominated for 1 Oscar. Another 72 wins & 66 nominations.,96%,83,7.7,"325,426",tt1490017,2014
Transformers: Age of Extinction,Transformers: Age of Extinction,2014,PG-13,27 Jun 2014,165 min,"Action, Adventure, Sci-Fi",Michael Bay,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz","USA, China, Hong Kong",5 wins & 23 nominations.,17%,32,5.6,"299,048",tt2109248,2014
Maleficent,Maleficent,2014,PG,30 May 2014,97 min,"Action, Adventure, Family, Fantasy, Romance",Robert Stromberg,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville","USA, UK",Nominated for 1 Oscar. Another 12 wins & 42 nominations.,54%,56,7.0,"346,442",tt1587310,2014
X-Men: Days of Future Past,X-Men: Days of Future Past,2014,PG-13,23 May 2014,132 min,"Action, Adventure, Sci-Fi, Thriller",Bryan Singer,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence","USA, UK, Canada",Nominated for 1 Oscar. Another 16 wins & 47 nominations.,90%,75,7.9,"664,680",tt1877832,2014
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,2014,PG-13,11 Jul 2014,130 min,"Action, Adventure, Drama, Sci-Fi",Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell","USA, UK, Canada",Nominated for 1 Oscar. Another 17 wins & 47 nominations.,90%,79,7.6,"413,532",tt2103281,2014
Big Hero 6,Big Hero 6,2014,PG,07 Nov 2014,102 min,"Animation, Action, Adventure, Family, Sci-Fi","Don Hall, Chris Williams","Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller","USA, Japan",Won 1 Oscar. Another 16 wins & 58 nominations.,89%,74,7.8,"413,764",tt2245084,2014
The Amazing Spider-Man 2,The Amazing Spider-Man 2,2014,PG-13,02 May 2014,142 min,"Action, Adventure, Fantasy, Sci-Fi",Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan",USA,4 wins & 30 nominations.,51%,53,6.6,"419,275",tt1872181,2014
