Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
Iron Man 3,Iron Man 3,2013,PG-13,03 May 2013,130 min,"Action, Adventure, Sci-Fi",Shane Black,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",USA,Nominated for 1 Oscar. Another 20 wins & 63 nominations.,79%,62,7.1,"761,837",tt1300854,2013
The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,2013,PG-13,22 Nov 2013,146 min,"Action, Adventure, Mystery, Sci-Fi, Thriller",Francis Lawrence,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair",USA,Nominated for 1 Golden Globe. Another 22 wins & 67 nominations.,90%,76,7.5,"616,718",tt1951264,2013
Despicable Me 2,Despicable Me 2,2013,PG,03 Jul 2013,98 min,"Animation, Adventure, Comedy, Crime, Family, Fantasy, Sci-Fi","Pierre Coffin, Chris Renaud","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","USA, France, Japan",Nominated for 2 Oscars. Another 12 wins & 64 nominations.,75%,62,7.3,"371,840",tt1690953,2013
Man of Steel,Man of Steel,2013,PG-13,14 Jun 2013,143 min,"Action, Adventure, Sci-Fi",Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane","USA, UK",7 wins & 46 nominations.,56%,55,7.0,"700,133",tt0770828,2013
Monsters University,Monsters University,2013,G,21 Jun 2013,104 min,"Animation, Adventure, Comedy, Family, Fantasy",Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",USA,Nominated for 1 BAFTA Film Award. Another 9 wins & 57 nominations.,80%,65,7.3,"325,207",tt1453405,2013
Frozen,Frozen,2013,PG,27 Nov 2013,102 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","USA, Norway",Won 2 Oscars. Another 79 wins & 60 nominations.,90%,75,7.4,"575,988",tt2294629,2013
Gravity,Gravity,2013,PG-13,04 Oct 2013,91 min,"Drama, Sci-Fi, Thriller",Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen","UK, USA, Mexico",Won 7 Oscars. Another 230 wins & 186 nominations.,95%,96,7.7,"772,918",tt1454468,2013
Fast & Furious 6,Fast & Furious 6,2013,PG-13,24 May 2013,130 min,"Action, Adventure, Thriller",Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster","USA, Japan, Spain, UK",10 wins & 22 nominations.,70%,61,7.0,"370,226",tt1905041,2013
Oz the Great and Powerful,Oz the Great and Powerful,2013,PG,08 Mar 2013,130 min,"Adventure, Family, Fantasy",Sam Raimi,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams",USA,6 wins & 32 nominations.,57%,44,6.3,"199,596",tt1623205,2013
Star Trek Into Darkness,Star Trek Into Darkness,2013,PG-13,16 May 2013,132 min,"Action, Adventure, Sci-Fi",J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban",USA,Nominated for 1 Oscar. Another 8 wins & 58 nominations.,84%,72,7.7,"464,620",tt1408101,2013
Thor: The Dark World,Thor: The Dark World,2013,PG-13,08 Nov 2013,112 min,"Action, Adventure, Fantasy",Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",USA,4 wins & 21 nominations.,66%,54,6.9,"602,642",tt1981115,2013
