Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
Finding Dory,Finding Dory,2016,PG,17 Jun 2016,97 min,"Animation, Adventure, Comedy, Family","Andrew Stanton, Angus MacLane(co-director)","Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson",USA,Nominated for 1 BAFTA Film Award. Another 17 wins & 45 nominations.,94%,77,7.3,"243,130",tt2277860,2016
Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,2016,PG-13,16 Dec 2016,133 min,"Action, Adventure, Sci-Fi",Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",USA,Nominated for 2 Oscars. Another 24 wins & 80 nominations.,84%,65,7.8,"560,630",tt3748528,2016
Captain America: Civil War,Captain America: Civil War,2016,PG-13,06 May 2016,147 min,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",USA,16 wins & 72 nominations.,90%,75,7.8,"671,375",tt3498820,2016
The Secret Life of Pets,The Secret Life of Pets,2016,PG,08 Jul 2016,87 min,"Animation, Adventure, Comedy, Family","Chris Renaud, Yarrow Cheney(co-director)","Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate","USA, France, Japan",4 wins & 15 nominations.,72%,61,6.5,"184,103",tt2709768,2016
The Jungle Book,The Jungle Book,2016,PG,15 Apr 2016,106 min,"Adventure, Drama, Family, Fantasy",Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba","UK, USA",Won 1 Oscar. Another 32 wins & 54 nominations.,94%,77,7.4,"260,353",tt3040964,2016
Deadpool,Deadpool,2016,R,12 Feb 2016,108 min,"Action, Adventure, Comedy, Sci-Fi",Tim Miller,"Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer",USA,Nominated for 2 Golden Globes. Another 28 wins & 76 nominations.,85%,65,8.0,"910,586",tt1431045,2016
Zootopia,Zootopia,2016,PG,04 Mar 2016,108 min,"Animation, Adventure, Comedy, Crime, Family, Mystery","Byron Howard, Rich Moore, Jared Bush(co-director)","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",USA,Won 1 Oscar. Another 46 wins & 71 nominations.,98%,78,8.0,"437,819",tt2948356,2016
Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016,PG-13,25 Mar 2016,152 min,"Action, Adventure, Sci-Fi",Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",USA,14 wins & 33 nominations.,28%,44,6.4,"629,924",tt2975590,2016
Suicide Squad,Suicide Squad,2016,PG-13,05 Aug 2016,123 min,"Action, Adventure, Fantasy, Sci-Fi",David Ayer,"Will Smith, Jaime FitzSimons, Ike Barinholtz, Margot Robbie",USA,Won 1 Oscar. Another 16 wins & 40 nominations.,26%,40,6.0,"609,481",tt1386697,2016
Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens,2015,PG-13,18 Dec 2015,138 min,"Action, Adventure, Sci-Fi",J.J. Abrams,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",USA,Nominated for 5 Oscars. Another 62 wins & 130 nominations.,93%,80,7.9,"865,307",tt2488496,2016
Doctor Strange,Doctor Strange,2016,PG-13,04 Nov 2016,115 min,"Action, Adventure, Fantasy, Sci-Fi",Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",USA,Nominated for 1 Oscar. Another 19 wins & 66 nominations.,89%,72,7.5,"605,825",tt1211837,2016
Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,2016,PG-13,18 Nov 2016,132 min,"Adventure, Family, Fantasy",David Yates,"Eddie Redmayne, Sam Redford, Scott Goldman, Tim Bentinck","UK, USA",Won 1 Oscar. Another 14 wins & 54 nominations.,74%,66,7.3,"413,954",tt3183660,2016
Moana,Moana,2016,PG,23 Nov 2016,107 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",USA,Nominated for 2 Oscars. Another 20 wins & 88 nominations.,95%,81,7.6,"277,353",tt3521164,2016
The Revenant,The Revenant,2015,R,08 Jan 2016,156 min,"Action, Adventure, Drama, History, Western",Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter","USA, Hong Kong, Taiwan",Won 3 Oscars. Another 87 wins & 187 nominations.,78%,76,8.0,"713,543",tt1663202,2016
Jason Bourne,Jason Bourne,2016,PG-13,29 Jul 2016,123 min,"Action, Thriller",Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel","USA, China, Spain",3 wins & 20 nominations.,54%,58,6.6,"209,915",tt4196776,2016
Star Trek Beyond,Star Trek Beyond,2016,PG-13,22 Jul 2016,122 min,"Action, Adventure, Sci-Fi, Thriller",Justin Lin,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana","USA, China, United Arab Emirates, Canada",Nominated for 1 Oscar. Another 3 wins & 28 nominations.,86%,68,7.1,"229,720",tt2660888,2016
X-Men: Apocalypse,X-Men: Apocalypse,2016,PG-13,27 May 2016,144 min,"Action, Adventure, Sci-Fi",Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",USA,1 win & 19 nominations.,47%,52,6.9,"396,772",tt3385516,2016
Sing,Sing,2016,PG,21 Dec 2016,108 min,"Animation, Comedy, Family, Musical","Garth Jennings, Christophe Lourdelet(co-director)","Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson","USA, Japan, France",Nominated for 2 Golden Globes. Another 3 wins & 23 nominations.,72%,59,7.1,"135,409",tt3470600,2016
Trolls,Trolls,2016,PG,04 Nov 2016,92 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Mike Mitchell, Walt Dohrn(co-director)","Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse",USA,Nominated for 1 Oscar. Another 4 wins & 35 nominations.,75%,55,6.5,"73,053",tt1679335,2016
Kung Fu Panda 3,Kung Fu Panda 3,2016,PG,29 Jan 2016,95 min,"Animation, Action, Adventure, Comedy, Family, Fantasy","Alessandro Carloni, Jennifer Yuh Nelson","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie","USA, China",1 win & 10 nominations.,87%,66,7.1,"136,054",tt2267968,2016
Ghostbusters,Ghostbusters,1984,PG,08 Jun 1984,105 min,"Action, Comedy, Fantasy, Sci-Fi",Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",USA,Nominated for 2 Oscars. Another 6 wins & 6 nominations.,97%,71,7.8,"357,697",tt0087332,2016
