Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
Central Intelligence,Central Intelligence,2016,PG-13,17 Jun 2016,107 min,"Action, Comedy, Crime",Rawson Marshall Thurber,"Dwayne Johnson, Kevin Hart, Amy Ryan, Danielle Nicolet","USA, China",2 wins & 8 nominations.,71%,52,6.3,"160,795",tt1489889,2016
The Legend of Tarzan,The Legend of Tarzan,2016,PG-13,01 Jul 2016,110 min,"Action, Adventure, Drama, Fantasy, Romance",David Yates,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz","UK, Canada, USA, Australia",2 wins & 4 nominations.,36%,44,6.2,"164,281",tt0918940,2016
Sully,Sully,2016,PG-13,09 Sep 2016,96 min,"Biography, Drama",Clint Eastwood,"Tom Hanks, Aaron Eckhart, Valerie Mahaffey, Delphi Harrington",USA,Nominated for 1 Oscar. Another 14 wins & 35 nominations.,85%,74,7.4,"239,884",tt3263904,2016
Bad Moms,Bad Moms,2016,R,29 Jul 2016,100 min,Comedy,"Jon Lucas, Scott Moore","Mila Kunis, Kathryn Hahn, Kristen Bell, Christina Applegate",USA,3 wins & 5 nominations.,58%,60,6.2,"115,273",tt4651520,2016
The Angry Birds Movie,The Angry Birds Movie,2016,PG,20 May 2016,97 min,"Animation, Action, Adventure, Comedy, Family","Clay Kaytis, Fergal Reilly","Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph","Finland, USA, UK, Canada",2 wins & 8 nominations.,43%,43,6.3,"81,151",tt1985949,2016
Independence Day: Resurgence,Independence Day: Resurgence,2016,PG-13,24 Jun 2016,120 min,"Action, Adventure, Sci-Fi",Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Jessie T. Usher, Bill Pullman",USA,3 wins & 17 nominations.,30%,32,5.2,"167,965",tt1628841,2016
The Conjuring 2,The Conjuring 2,2016,R,10 Jun 2016,134 min,"Horror, Mystery, Thriller",James Wan,"Patrick Wilson, Vera Farmiga, Madison Wolfe, Frances O'Connor","Canada, USA, UK",4 wins & 13 nominations.,80%,65,7.3,"226,713",tt3065204,2016
Sausage Party,Sausage Party,2016,R,12 Aug 2016,89 min,"Animation, Adventure, Comedy, Fantasy","Greg Tiernan, Conrad Vernon","Alistair Abell, Iris Apatow, Sugar Lyn Beard, Michael Cera","USA, Canada",1 win & 26 nominations.,82%,66,6.1,"177,235",tt1700841,2016
The Magnificent Seven,The Magnificent Seven,2016,PG-13,23 Sep 2016,132 min,"Action, Adventure, Western",Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio","USA, Australia",5 wins & 12 nominations.,64%,54,6.9,"186,477",tt2404435,2016
Arrival,Arrival,2016,PG-13,11 Nov 2016,116 min,"Drama, Sci-Fi",Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg","USA, Canada",Won 1 Oscar. Another 63 wins & 261 nominations.,94%,81,7.9,"600,107",tt2543164,2016
Ride Along 2,Ride Along 2,2016,PG-13,15 Jan 2016,102 min,"Action, Comedy, Crime",Tim Story,"Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt",USA,1 win & 7 nominations.,14%,32,5.9,"53,773",tt2869728,2016
Don't Breathe,Don't Breathe,2016,R,26 Aug 2016,88 min,"Crime, Horror, Thriller",Fede Alvarez,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto","USA, Hungary",7 wins & 21 nominations.,88%,71,7.1,"223,676",tt4160708,2016
Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,2016,PG-13,30 Sep 2016,127 min,"Adventure, Drama, Family, Fantasy, Thriller",Tim Burton,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench","USA, UK, Belgium, Canada",2 wins & 12 nominations.,64%,57,6.7,"156,921",tt1935859,2016
The Accountant,The Accountant,2016,R,14 Oct 2016,128 min,"Action, Crime, Drama, Thriller",Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal",USA,3 wins & 5 nominations.,51%,51,7.3,"262,996",tt2140479,2016
Daddy's Home,Daddy's Home,2015,PG-13,25 Dec 2015,96 min,"Comedy, Family",Sean Anders,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church",USA,1 win & 4 nominations.,30%,42,6.2,"109,469",tt1528854,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,03 Jun 2016,112 min,"Action, Adventure, Comedy, Sci-Fi",Dave Green,"Megan Fox, Will Arnett, Laura Linney, Stephen Amell","USA, Hong Kong, China, Canada, Denmark, Germany, UK",10 nominations.,38%,40,6.0,"85,087",tt3949660,2016
The Purge: Election Year,The Purge: Election Year,2016,R,01 Jul 2016,108 min,"Action, Horror, Sci-Fi, Thriller",James DeMonaco,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria","USA, Japan",6 nominations.,56%,55,6.0,"90,775",tt4094724,2016
Alice Through the Looking Glass,Alice Through the Looking Glass,2016,PG,27 May 2016,113 min,"Adventure, Family, Fantasy",James Bobin,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway","USA, UK",4 wins & 20 nominations.,29%,34,6.2,"95,143",tt2567026,2016
Pete's Dragon,Pete's Dragon,2016,PG,12 Aug 2016,102 min,"Action, Adventure, Comedy, Drama, Family, Fantasy",David Lowery,"Bryce Dallas Howard, Robert Redford, Oakes Fegley, Oona Laurence","USA, New Zealand",3 wins & 7 nominations.,88%,71,6.7,"54,490",tt2788732,2016
The Girl on the Train,The Girl on the Train,2016,R,07 Oct 2016,112 min,"Crime, Drama, Mystery, Thriller",Tate Taylor,"Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux","USA, India",Nominated for 1 BAFTA Film Award. Another 4 wins & 12 nominations.,44%,48,6.5,"171,001",tt3631112,2016
Boo! A Madea Halloween,Boo! A Madea Halloween,2016,PG-13,21 Oct 2016,103 min,"Comedy, Drama, Horror",Tyler Perry,"Tyler Perry, Cassi Davis, Patrice Lovely, Bella Thorne","Hong Kong, USA",6 nominations.,19%,30,4.6,"7,765",tt5325452,2016
Storks,Storks,2016,PG,23 Sep 2016,87 min,"Animation, Adventure, Comedy, Family, Fantasy","Nicholas Stoller, Doug Sweetland","Andy Samberg, Katie Crown, Kelsey Grammer, Jennifer Aniston",USA,5 wins & 4 nominations.,65%,56,6.8,"56,626",tt4624424,2016
10 Cloverfield Lane,10 Cloverfield Lane,2016,PG-13,11 Mar 2016,103 min,"Action, Drama, Horror, Mystery, Sci-Fi, Thriller",Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",USA,15 wins & 48 nominations.,90%,76,7.2,"293,036",tt1179933,2016
Lights Out,Lights Out,2016,PG-13,22 Jul 2016,81 min,"Drama, Horror, Mystery, Thriller",David F. Sandberg,"Teresa Palmer, Gabriel Bateman, Alexander DiPersia, Billy Burke",USA,3 wins & 9 nominations.,76%,58,6.3,"116,099",tt4786282,2016
Allegiant,Allegiant,2016,PG-13,18 Mar 2016,120 min,"Action, Adventure, Mystery, Sci-Fi, Thriller",Robert Schwentke,"Shailene Woodley, Theo James, Naomi Watts, Octavia Spencer",USA,3 wins & 12 nominations.,11%,33,5.7,"110,338",tt3410834,2016
Now You See Me 2,Now You See Me 2,2016,PG-13,10 Jun 2016,129 min,"Action, Adventure, Comedy, Crime, Mystery, Thriller",Jon M. Chu,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco","USA, Mexico, France, Hong Kong",5 nominations.,33%,46,6.5,"251,608",tt3110958,2016
Hacksaw Ridge,Hacksaw Ridge,2016,R,04 Nov 2016,139 min,"Biography, Drama, History, War",Mel Gibson,"Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson","Australia, USA",Won 2 Oscars. Another 51 wins & 115 nominations.,84%,71,8.1,"442,554",tt2119532,2016
Ice Age: Collision Course,Ice Age: Collision Course,2016,PG,22 Jul 2016,94 min,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","Mike Thurmeier, Galen T. Chu(co-director)","Stephanie Beatriz, Robert Cardone, Neil deGrasse Tyson, Adam Devine","USA, UK, Australia",2 wins.,18%,34,5.7,"57,782",tt3416828,2016
The Boss,The Boss,2016,R,08 Apr 2016,99 min,Comedy,Ben Falcone,"Melissa McCarthy, Kristen Bell, Peter Dinklage, Ella Anderson",USA,3 nominations.,21%,40,5.4,"42,949",tt2702724,2016
London Has Fallen,London Has Fallen,2016,R,04 Mar 2016,99 min,"Action, Thriller",Babak Najafi,"Alon Aboutboul, Waleed Zuaiter, Adel Bencherif, Mehdi Dehbi","UK, Bulgaria, USA",1 win & 2 nominations.,28%,28,5.9,"146,610",tt3300542,2016
Miracles from Heaven,Miracles from Heaven,2016,PG,16 Mar 2016,109 min,"Biography, Drama, Family",Patricia Riggen,"Jennifer Garner, Kylie Rogers, Martin Henderson, Brighton Sharbino",USA,2 wins & 5 nominations.,45%,44,7.1,"22,268",tt4257926,2016
Deepwater Horizon,Deepwater Horizon,2016,PG-13,30 Sep 2016,107 min,"Action, Drama, History, Thriller",Peter Berg,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont","USA, Hong Kong, China",Nominated for 2 Oscars. Another 3 wins & 13 nominations.,83%,68,7.1,"153,331",tt1860357,2016
My Big Fat Greek Wedding 2,My Big Fat Greek Wedding 2,2016,PG-13,25 Mar 2016,94 min,"Comedy, Romance",Kirk Jones,"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan","USA, Canada",3 nominations.,27%,37,6.0,"28,484",tt3760922,2016
Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,2016,PG-13,21 Oct 2016,118 min,"Action, Thriller",Edward Zwick,"Tom Cruise, Cobie Smulders, Aldis Hodge, Danika Yarosh","China, USA",1 win.,38%,47,6.1,"140,332",tt3393786,2016
Me Before You,Me Before You,2016,PG-13,03 Jun 2016,106 min,"Drama, Romance",Thea Sharrock,"Sam Claflin, Vanessa Kirby, Emilia Clarke, Eileen Dunwoodie","UK, USA",6 wins & 6 nominations.,54%,51,7.4,"212,290",tt2674426,2016
The BFG,The BFG,2016,PG,01 Jul 2016,117 min,"Adventure, Family, Fantasy",Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement","USA, India, UK",4 wins & 26 nominations.,74%,66,6.4,"78,341",tt3691740,2016
Neighbors 2: Sorority Rising,Neighbors 2: Sorority Rising,2016,R,20 May 2016,92 min,Comedy,Nicholas Stoller,"Seth Rogen, Zac Efron, Rose Byrne, Chloë Grace Moretz","USA, China",3 wins & 5 nominations.,64%,58,5.7,"114,543",tt4438848,2016
Passengers,Passengers,2016,PG-13,21 Dec 2016,116 min,"Drama, Romance, Sci-Fi, Thriller",Morten Tyldum,"Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne","USA, Australia",Nominated for 2 Oscars. Another 1 win & 10 nominations.,30%,41,7.0,"353,291",tt1355644,2016
The Shallows,The Shallows,2016,PG-13,24 Jun 2016,86 min,"Action, Drama, Horror, Thriller",Jaume Collet-Serra,"Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Joseph Salas",USA,1 win & 15 nominations.,78%,59,6.3,"120,760",tt4052882,2016
Barbershop: The Next Cut,Barbershop: The Next Cut,2016,PG-13,15 Apr 2016,111 min,"Comedy, Drama",Malcolm D. Lee,"Ice Cube, Cedric the Entertainer, Regina Hall, Sean Patrick Thomas",USA,1 win & 3 nominations.,90%,67,5.9,"14,410",tt3628584,2016
13 Hours,13 Hours,2016,R,15 Jan 2016,144 min,"Action, Drama, History, Thriller, War",Michael Bay,"John Krasinski, James Badge Dale, Pablo Schreiber, David Denman","USA, Malta, Morocco",Nominated for 1 Oscar. Another 4 nominations.,51%,48,7.3,"121,233",tt4172430,2016
Office Christmas Party,Office Christmas Party,2016,R,09 Dec 2016,105 min,Comedy,"Josh Gordon, Will Speck","Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston",USA,1 win & 1 nomination.,41%,42,5.9,"71,281",tt1711525,2016
The Huntsman: Winter's War,The Huntsman: Winter's War,2016,PG-13,22 Apr 2016,114 min,"Action, Adventure, Drama, Fantasy",Cedric Nicolas-Troyan,"Chris Hemsworth, Charlize Theron, Jessica Chastain, Emily Blunt","USA, China",16 nominations.,19%,35,6.1,"98,791",tt2381991,2016
Kubo and the Two Strings,Kubo and the Two Strings,2016,PG,19 Aug 2016,101 min,"Animation, Action, Adventure, Family, Fantasy",Travis Knight,"Art Parkinson, Charlize Theron, Brenda Vaccaro, Cary-Hiroyuki Tagawa","USA, Japan",Nominated for 2 Oscars. Another 33 wins & 64 nominations.,97%,84,7.8,"118,916",tt4302938,2016
Warcraft,Warcraft,2016,PG-13,10 Jun 2016,123 min,"Action, Adventure, Fantasy",Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper","China, USA, Canada, Japan",2 wins & 3 nominations.,28%,32,6.8,"242,842",tt0803096,2016
How to Be Single,How to Be Single,2016,R,12 Feb 2016,110 min,"Comedy, Drama, Romance",Christian Ditter,"Dakota Johnson, Rebel Wilson, Leslie Mann, Damon Wayans Jr.",USA,3 nominations.,47%,51,6.1,"81,626",tt1292566,2016
The Big Short,The Big Short,2015,R,23 Dec 2015,130 min,"Biography, Comedy, Drama, History",Adam McKay,"Ryan Gosling, Rudy Eisenzopf, Casey Groves, Charlie Talbert",USA,Won 1 Oscar. Another 36 wins & 81 nominations.,88%,81,7.8,"370,267",tt1596363,2016
Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates,2016,R,08 Jul 2016,98 min,"Comedy, Romance",Jake Szymanski,"Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza",USA,4 nominations.,37%,51,6.0,"83,226",tt2823054,2016
War Dogs,War Dogs,2016,R,19 Aug 2016,114 min,"Biography, Comedy, Crime, Drama, War",Todd Phillips,"Miles Teller, Steve Lantz, Gregg Weiner, David Packouz","USA, Cambodia, Romania",Nominated for 1 Golden Globe. Another 2 nominations.,61%,57,7.1,"182,311",tt2005151,2016
Almost Christmas,Almost Christmas,2016,PG-13,11 Nov 2016,111 min,"Comedy, Drama",David E. Talbert,"Danny Glover, Gabrielle Union, Mo'Nique, Kimberly Elise","USA, China",3 nominations.,49%,55,6.1,"6,210",tt4649416,2016
Money Monster,Money Monster,2016,R,13 May 2016,98 min,"Crime, Drama, Mystery, Thriller",Jodie Foster,"George Clooney, Julia Roberts, Jack O'Connell, Dominic West",USA,2 nominations.,58%,55,6.5,"95,132",tt2241351,2016
The Hateful Eight,The Hateful Eight,2015,R,30 Dec 2015,168 min,"Crime, Drama, Mystery, Thriller, Western",Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",USA,Won 1 Oscar. Another 41 wins & 116 nominations.,74%,68,7.8,"523,923",tt3460252,2016
Allied,Allied,2016,R,23 Nov 2016,124 min,"Action, Drama, Romance, Thriller, War",Robert Zemeckis,"Brad Pitt, Vincent Ebrahim, Xavier de Guillebon, Marion Cotillard","UK, USA",Nominated for 1 Oscar. Another 1 win & 10 nominations.,61%,60,7.1,"142,965",tt3640424,2016
Nerve,Nerve,2016,PG-13,27 Jul 2016,96 min,"Adventure, Crime, Drama, Mystery, Thriller","Henry Joost, Ariel Schulman","Emma Roberts, Dave Franco, Emily Meade, Miles Heizer",USA,5 nominations.,66%,58,6.5,"116,833",tt3531824,2016
Sisters,Sisters,2015,R,18 Dec 2015,118 min,Comedy,Jason Moore,"Amy Poehler, Tina Fey, Maya Rudolph, Ike Barinholtz",USA,4 nominations.,60%,58,6.0,"63,078",tt1850457,2016
Risen,Risen,2016,PG-13,19 Feb 2016,107 min,"Action, Drama, History, Mystery",Kevin Reynolds,"Joseph Fiennes, Tom Felton, Peter Firth, Cliff Curtis",USA,3 nominations.,53%,51,6.3,"25,424",tt3231054,2016
Assassin's Creed,Assassin's Creed,2016,PG-13,21 Dec 2016,115 min,"Action, Adventure, Sci-Fi",Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson","USA, France, UK, Hong Kong, Taiwan, Malta, Spain, Canada",2 wins & 1 nomination.,18%,36,5.7,"187,088",tt2094766,2016
The Nice Guys,The Nice Guys,2016,R,20 May 2016,116 min,"Action, Comedy, Crime, Thriller",Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer",USA,9 wins & 34 nominations.,91%,70,7.4,"282,479",tt3799694,2016
The Boy,The Boy,2016,PG-13,22 Jan 2016,97 min,"Horror, Mystery, Thriller",William Brent Bell,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton","USA, Canada, China",6 nominations.,29%,42,6.0,"80,872",tt3882082,2016
Dirty Grandpa,Dirty Grandpa,2016,R,22 Jan 2016,102 min,Comedy,Dan Mazer,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza","USA, UK",2 wins & 11 nominations.,11%,21,5.9,"114,589",tt1860213,2016
Ouija: Origin of Evil,Ouija: Origin of Evil,2016,PG-13,21 Oct 2016,99 min,"Drama, Horror, Mystery, Thriller",Mike Flanagan,"Annalise Basso, Elizabeth Reaser, Lulu Wilson, Henry Thomas",USA,2 wins & 7 nominations.,82%,65,6.1,"54,308",tt4361050,2016
The 5th Wave,The 5th Wave,2016,PG-13,22 Jan 2016,112 min,"Action, Adventure, Sci-Fi, Thriller",J Blakeson,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders","USA, UK",1 nomination.,15%,33,5.2,"101,333",tt2304933,2016
Inferno,Inferno,2016,PG-13,28 Oct 2016,121 min,"Action, Adventure, Crime, Drama, Mystery, Thriller",Ron Howard,"Tom Hanks, Felicity Jones, Omar Sy, Irrfan Khan","USA, Hungary",4 wins & 1 nomination.,23%,42,6.2,"161,525",tt3062096,2016
Mother's Day,Mother's Day,2016,PG-13,29 Apr 2016,118 min,"Comedy, Drama, Romance",Garry Marshall,"Jennifer Aniston, Timothy Olyphant, Shay Mitchell, Caleb Brown",USA,1 win & 6 nominations.,8%,18,5.7,"32,988",tt4824302,2016
Gods of Egypt,Gods of Egypt,2016,PG-13,26 Feb 2016,127 min,"Action, Adventure, Fantasy",Alex Proyas,"Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau","USA, Australia, China, Hong Kong",2 wins & 14 nominations.,15%,25,5.4,"107,274",tt2404233,2016
La La Land,La La Land,2016,PG-13,25 Dec 2016,128 min,"Comedy, Drama, Music, Musical, Romance",Damien Chazelle,"Ryan Gosling, Emma Stone, Amiee Conn, Terry Walters","USA, Hong Kong",Won 6 Oscars. Another 235 wins & 287 nominations.,91%,94,8.0,"511,972",tt3783958,2016
Why Him?,Why Him?,2016,R,23 Dec 2016,111 min,Comedy,John Hamburg,"Zoey Deutch, James Franco, Tangie Ambrose, Cedric the Entertainer","USA, Cambodia",1 win.,39%,39,6.2,"102,438",tt4501244,2016
"Hail, Caesar!","Hail, Caesar!",2016,PG-13,05 Feb 2016,106 min,"Comedy, Drama, Music, Mystery","Ethan Coen, Joel Coen","Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes","USA, UK, Japan",Nominated for 1 Oscar. Another 13 wins & 43 nominations.,85%,72,6.3,"124,913",tt0475290,2016
Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks: The Road Chip,2015,PG,18 Dec 2015,92 min,"Animation, Adventure, Comedy, Family, Fantasy, Music",Walt Becker,"Jason Lee, Justin Long, Matthew Gray Gubler, Jesse McCartney",USA,1 win & 4 nominations.,15%,33,5.0,"17,143",tt2974918,2016
When the Bough Breaks,When the Bough Breaks,2016,PG-13,09 Sep 2016,107 min,"Drama, Thriller",Jon Cassar,"Morris Chestnut, Regina Hall, Romany Malco, Michael Kenneth Williams",USA,1 nomination.,12%,28,5.2,"6,094",tt1389139,2016
Zoolander 2,Zoolander 2,2016,PG-13,12 Feb 2016,101 min,"Action, Adventure, Comedy, Mystery, Romance",Ben Stiller,"Justin Bieber, Jon Daly, Penélope Cruz, Ben Stiller","USA, Italy",7 wins & 17 nominations.,22%,34,4.7,"65,277",tt1608290,2016
Joy,Joy,2015,PG-13,25 Dec 2015,124 min,"Biography, Drama",David O. Russell,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez",USA,Nominated for 1 Oscar. Another 8 wins & 22 nominations.,60%,56,6.6,"128,988",tt2446980,2016
