Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
The Karate Kid,The Karate Kid,1984,PG,22 Jun 1984,126 min,"Action, Drama, Family, Sport",John G. Avildsen,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove",USA,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,89%,60,7.3,"200,337",tt0087538,2010
Clash of the Titans,Clash of the Titans,2010,PG-13,02 Apr 2010,106 min,"Action, Adventure, Fantasy",Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng","USA, UK, Australia",4 wins & 14 nominations.,27%,39,5.8,"271,577",tt0800320,2010
Grown Ups,Grown Ups,2010,PG-13,25 Jun 2010,102 min,Comedy,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade",USA,3 wins & 4 nominations.,11%,30,5.9,"229,669",tt1375670,2010
Tangled,Tangled,2010,PG,24 Nov 2010,100 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman","USA, Germany",Nominated for 1 Oscar. Another 10 wins & 40 nominations.,89%,71,7.7,"408,777",tt0398286,2010
Megamind,Megamind,2010,PG,05 Nov 2010,95 min,"Animation, Action, Comedy, Family, Sci-Fi",Tom McGrath,"Will Ferrell, Brad Pitt, Tina Fey, Jonah Hill",USA,2 wins & 16 nominations.,73%,63,7.2,"230,517",tt1001526,2010
The Last Airbender,The Last Airbender,2010,PG,01 Jul 2010,103 min,"Action, Adventure, Family, Fantasy",M. Night Shyamalan,"Noah Ringer, Dev Patel, Nicola Peltz, Jackson Rathbone",USA,8 wins & 12 nominations.,5%,20,4.0,"153,516",tt0938283,2010
Shutter Island,Shutter Island,2010,R,19 Feb 2010,138 min,"Mystery, Thriller",Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow",USA,11 wins & 66 nominations.,68%,63,8.2,"1,145,135",tt1130884,2010
The Other Guys,The Other Guys,2010,PG-13,06 Aug 2010,107 min,"Action, Comedy, Crime",Adam McKay,"Will Ferrell, Derek Jeter, Mark Wahlberg, Eva Mendes",USA,3 wins & 15 nominations.,78%,64,6.7,"244,753",tt1386588,2010
Salt,Salt,2010,PG-13,23 Jul 2010,100 min,"Action, Thriller",Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",USA,Nominated for 1 Oscar. Another 4 wins & 15 nominations.,62%,65,6.4,"296,807",tt0944835,2010
TRON: Legacy,TRON: Legacy,2010,PG,17 Dec 2010,125 min,"Action, Adventure, Sci-Fi",Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",USA,Nominated for 1 Oscar. Another 10 wins & 49 nominations.,51%,49,6.8,"314,854",tt1104001,2010
Jackass 3D,Jackass 3D,2010,R,15 Oct 2010,94 min,"Documentary, Action, Comedy",Jeff Tremaine,"Johnny Knoxville, Bam Margera, Ryan Dunn, Steve-O",USA,1 win & 4 nominations.,65%,56,7.0,"56,931",tt1116184,2010
Valentine's Day,Valentine's Day,2010,PG-13,12 Feb 2010,125 min,"Comedy, Romance",Garry Marshall,"Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper",USA,7 wins & 12 nominations.,18%,34,5.7,"114,729",tt0817230,2010
Sherlock Holmes,Sherlock Holmes,2009,PG-13,25 Dec 2009,128 min,"Action, Adventure, Mystery",Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong","USA, Germany, UK, Australia",Nominated for 2 Oscars. Another 10 wins & 29 nominations.,69%,57,7.6,"586,498",tt0988045,2010
Robin Hood,Robin Hood,2010,PG-13,14 May 2010,140 min,"Action, Adventure, Drama, History",Ridley Scott,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt","USA, UK",1 win & 14 nominations.,43%,53,6.6,"254,273",tt0955308,2010
The Expendables,The Expendables,2010,R,13 Aug 2010,103 min,"Action, Adventure, Thriller",Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren","USA, Bulgaria, Spain, Germany",3 wins & 5 nominations.,42%,45,6.5,"327,094",tt1320253,2010
Due Date,Due Date,2010,R,05 Nov 2010,95 min,"Comedy, Drama",Todd Phillips,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx",USA,7 nominations.,40%,51,6.5,"324,978",tt1231583,2010
Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks: The Squeakquel,2009,PG,23 Dec 2009,88 min,"Animation, Adventure, Comedy, Family, Fantasy, Music",Betty Thomas,"Zachary Levi, David Cross, Jason Lee, Justin Long",USA,3 wins.,20%,41,4.5,"44,162",tt1231580,2010
Date Night,Date Night,2010,PG-13,09 Apr 2010,88 min,"Comedy, Crime, Romance, Thriller",Shawn Levy,"Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson",USA,4 wins & 8 nominations.,66%,56,6.3,"153,254",tt1279935,2010
Sex and the City 2,Sex and the City 2,2010,R,27 May 2010,146 min,"Comedy, Drama, Romance",Michael Patrick King,"Sarah Jessica Parker, Kristin Davis, Cynthia Nixon, Kim Cattrall",USA,8 wins & 9 nominations.,16%,27,4.5,"74,817",tt1261945,2010
The Book of Eli,The Book of Eli,2010,R,15 Jan 2010,118 min,"Action, Adventure, Drama, Thriller","Albert Hughes, Allen Hughes","Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson",USA,3 wins & 16 nominations.,46%,53,6.9,"295,866",tt1037705,2010
The Social Network,The Social Network,2010,PG-13,01 Oct 2010,120 min,"Biography, Drama",David Fincher,"Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons",USA,Won 3 Oscars. Another 168 wins & 186 nominations.,96%,95,7.7,"630,681",tt1285016,2010
The Town,The Town,2010,R,17 Sep 2010,125 min,"Crime, Drama, Thriller",Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",USA,Nominated for 1 Oscar. Another 9 wins & 45 nominations.,92%,74,7.5,"355,750",tt0840361,2010
Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,PG-13,28 May 2010,116 min,"Action, Adventure, Fantasy",Mike Newell,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina",USA,1 win & 11 nominations.,37%,50,6.6,"272,924",tt0473075,2010
RED,RED,2010,PG-13,15 Oct 2010,111 min,"Action, Comedy, Crime, Thriller",Robert Schwentke,"Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Jefferson Brown","USA, China",Nominated for 1 Golden Globe. Another 4 wins & 18 nominations.,72%,60,7.0,"290,548",tt1245526,2010
Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson,2017–,TV-G,01 Jun 2017,N/A,Adventure,N/A,"Riley Wake, Sammy Carroll, Jessica Jose-Nickerson, Hayley Manor",USA,N/A,NaN,N/A,6.7,38,tt7062794,2010
Paranormal Activity 2,Paranormal Activity 2,2010,R,22 Oct 2010,91 min,"Horror, Mystery",Tod Williams,"David Bierend, Brian Boland, Molly Ephraim, Katie Featherston",USA,1 win & 2 nominations.,58%,53,5.6,"98,956",tt1536044,2010
Little Fockers,Little Fockers,2010,PG-13,22 Dec 2010,98 min,"Comedy, Romance",Paul Weitz,"Robert De Niro, Ben Stiller, Owen Wilson, Dustin Hoffman",USA,3 wins & 5 nominations.,9%,27,5.5,"106,946",tt0970866,2010
Eat Pray Love,Eat Pray Love,2010,PG-13,13 Aug 2010,133 min,"Biography, Drama, Romance",Ryan Murphy,"Julia Roberts, I. Gusti Ayu Puspawati, Hadi Subiyanto, Billy Crudup",USA,2 wins & 2 nominations.,36%,50,5.8,"89,657",tt0879870,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,PG,10 Dec 2010,113 min,"Adventure, Family, Fantasy",Michael Apted,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter","USA, UK",Nominated for 1 Golden Globe. Another 2 wins & 17 nominations.,50%,53,6.3,"142,721",tt0980970,2010
Dear John,Dear John,2010,PG-13,05 Feb 2010,108 min,"Drama, Romance, War",Lasse Hallström,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas",USA,4 wins & 8 nominations.,28%,43,6.3,"139,602",tt0989757,2010
Unstoppable,Unstoppable,2010,PG-13,12 Nov 2010,98 min,"Action, Thriller",Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee",USA,Nominated for 1 Oscar. Another 1 win & 13 nominations.,87%,69,6.8,"185,686",tt0477080,2010
The A-Team,The A-Team,2010,PG-13,11 Jun 2010,117 min,"Action, Adventure, Thriller",Joe Carnahan,"Liam Neeson, Bradley Cooper, Jessica Biel, Quinton 'Rampage' Jackson","USA, UK",2 wins & 4 nominations.,49%,47,6.7,"246,614",tt0429493,2010
Dinner for Schmucks,Dinner for Schmucks,2010,PG-13,30 Jul 2010,114 min,Comedy,Jay Roach,"Steve Carell, Paul Rudd, Zach Galifianakis, Jemaine Clement",USA,1 nomination.,42%,56,5.9,"101,490",tt0427152,2010
It's Complicated,It's Complicated,2009,R,25 Dec 2009,120 min,"Comedy, Drama, Romance",Nancy Meyers,"Meryl Streep, Steve Martin, Alec Baldwin, John Krasinski","USA, Japan",Nominated for 3 Golden Globes. Another 8 wins & 12 nominations.,58%,57,6.5,"86,905",tt1230414,2010
True Grit,True Grit,2010,PG-13,22 Dec 2010,110 min,"Drama, Western","Ethan Coen, Joel Coen","Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",USA,Nominated for 10 Oscars. Another 37 wins & 159 nominations.,95%,80,7.6,"313,101",tt1403865,2010
The Bounty Hunter,The Bounty Hunter,2010,PG-13,19 Mar 2010,110 min,"Action, Comedy, Romance",Andy Tennant,"Gerard Butler, Jennifer Aniston, Gio Perez, Joel Marsh Garland",USA,4 wins & 5 nominations.,12%,22,5.6,"121,685",tt1038919,2010
Diary of a Wimpy Kid,Diary of a Wimpy Kid,2010,PG,19 Mar 2010,120 min,"Comedy, Drama, Family",Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachael Harris, Steve Zahn","USA, UK",5 wins & 9 nominations.,54%,56,6.2,"43,385",tt1196141,2010
The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,PG,14 Jul 2010,109 min,"Action, Adventure, Family, Fantasy",Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer",USA,1 win & 1 nomination.,40%,46,6.1,"153,918",tt0963966,2010
A Nightmare on Elm Street,A Nightmare on Elm Street,1984,R,16 Nov 1984,91 min,Horror,Wes Craven,"John Saxon, Ronee Blakley, Heather Langenkamp, Amanda Wyss",USA,3 wins & 5 nominations.,94%,76,7.5,"208,521",tt0087800,2010
The Last Song,The Last Song,2010,PG,31 Mar 2010,107 min,"Drama, Music, Romance",Julie Anne Robinson,"Miley Cyrus, Greg Kinnear, Bobby Coleman, Liam Hemsworth",USA,4 wins & 10 nominations.,21%,33,6.0,"81,942",tt1294226,2010
The Wolfman,The Wolfman,2010,R,12 Feb 2010,103 min,"Drama, Fantasy, Horror, Thriller",Joe Johnston,"Simon Merrells, Gemma Whelan, Emily Blunt, Benicio Del Toro",USA,Won 1 Oscar. Another 3 wins & 8 nominations.,34%,43,5.8,"102,817",tt0780653,2010
Get Him to the Greek,Get Him to the Greek,2010,R,04 Jun 2010,109 min,"Adventure, Comedy, Music",Nicholas Stoller,"Russell Brand, Rose Byrne, Tyler McKinney, Zoe Salmon",USA,14 nominations.,72%,65,6.4,"170,114",tt1226229,2010
Resident Evil: Afterlife,Resident Evil: Afterlife,2010,R,10 Sep 2010,96 min,"Action, Adventure, Horror, Sci-Fi",Paul W.S. Anderson,"Milla Jovovich, Ali Larter, Kim Coates, Shawn Roberts","Germany, France, Canada, UK, China, USA",2 wins & 8 nominations.,22%,37,5.8,"162,696",tt1220634,2010
Why Did I Get Married Too?,Why Did I Get Married Too?,2010,PG-13,02 Apr 2010,121 min,"Comedy, Drama, Romance",Tyler Perry,"Tyler Perry, Janet Jackson, Jill Scott, Sharon Leal",USA,1 win & 5 nominations.,27%,43,4.7,"9,126",tt1391137,2010
Tooth Fairy,Tooth Fairy,2010,PG,22 Jan 2010,101 min,"Comedy, Family, Fantasy, Sport",Michael Lembeck,"Dwayne Johnson, Ashley Judd, Stephen Merchant, Ryan Sheckler","USA, Canada",1 win & 4 nominations.,17%,36,5.0,"42,652",tt0808510,2010
The Blind Side,The Blind Side,2009,PG-13,20 Nov 2009,129 min,"Biography, Drama, Sport",John Lee Hancock,"Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head",USA,Won 1 Oscar. Another 8 wins & 30 nominations.,66%,53,7.6,"295,846",tt0878804,2010
Secretariat,Secretariat,2010,PG,08 Oct 2010,123 min,"Biography, Drama, Family, History, Sport",Randall Wallace,"Diane Lane, John Malkovich, Dylan Walsh, Margo Martindale",USA,3 wins & 6 nominations.,63%,61,7.2,"26,649",tt1028576,2010
Easy A,Easy A,2010,PG-13,17 Sep 2010,92 min,"Comedy, Drama, Romance",Will Gluck,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd",USA,Nominated for 1 Golden Globe. Another 9 wins & 20 nominations.,85%,72,7.0,"361,830",tt1282140,2010
Takers,Takers,2010,PG-13,27 Aug 2010,107 min,"Action, Crime, Thriller",John Luessenhop,"Chris Brown, Hayden Christensen, Matt Dillon, Michael Ealy",USA,2 wins & 6 nominations.,28%,45,6.2,"58,340",tt1135084,2010
Yogi Bear,Yogi Bear,2010,PG,17 Dec 2010,80 min,"Animation, Adventure, Comedy, Family",Eric Brevig,"Dan Aykroyd, Justin Timberlake, Anna Faris, Tom Cavanagh","USA, New Zealand",2 wins & 2 nominations.,12%,35,4.6,"20,590",tt1302067,2010
Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,2010,PG,24 Sep 2010,97 min,"Animation, Action, Adventure, Family, Fantasy, Mystery, Thriller, War",Zack Snyder,"Emily Barclay, Abbie Cornish, Essie Davis, Adrienne DeFaria","USA, Australia",4 wins & 23 nominations.,52%,53,6.9,"78,148",tt1219342,2010
Letters to Juliet,Letters to Juliet,2010,PG,14 May 2010,105 min,"Adventure, Comedy, Drama, Romance",Gary Winick,"Amanda Seyfried, Marcia DeBonis, Gael García Bernal, Giordano Formenti",USA,6 nominations.,42%,50,6.5,"92,851",tt0892318,2010
Life as We Know It,Life as We Know It,2010,PG-13,08 Oct 2010,114 min,"Comedy, Drama, Romance",Greg Berlanti,"Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett",USA,2 nominations.,29%,39,6.5,"123,582",tt1055292,2010
Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,2010,PG-13,24 Sep 2010,133 min,Drama,Oliver Stone,"Richard Stratton, Harry Kerrigan, Michael Douglas, Carey Mulligan",USA,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,55%,59,6.2,"98,882",tt1027718,2010
Predators,Predators,2010,R,09 Jul 2010,107 min,"Action, Adventure, Sci-Fi, Thriller",Nimród Antal,"Adrien Brody, Topher Grace, Alice Braga, Walton Goggins",USA,2 wins & 4 nominations.,65%,51,6.4,"212,872",tt1424381,2010
Hot Tub Time Machine,Hot Tub Time Machine,2010,R,26 Mar 2010,101 min,"Comedy, Sci-Fi",Steve Pink,"John Cusack, Clark Duke, Craig Robinson, Rob Corddry",USA,5 nominations.,63%,63,6.4,"162,740",tt1231587,2010
Up in the Air,Up in the Air,2009,R,23 Dec 2009,109 min,"Comedy, Drama, Romance",Jason Reitman,"George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman",USA,Nominated for 6 Oscars. Another 75 wins & 164 nominations.,90%,83,7.4,"319,945",tt1193138,2010
The Tourist,The Tourist,2010,PG-13,10 Dec 2010,103 min,"Action, Romance, Thriller",Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton","USA, France, Italy, UK",Nominated for 3 Golden Globes. Another 4 wins & 1 nomination.,20%,37,6.0,"225,959",tt1243957,2010
Kick-Ass,Kick-Ass,2010,R,16 Apr 2010,117 min,"Action, Comedy, Crime",Matthew Vaughn,"Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss","UK, USA, China",19 wins & 61 nominations.,76%,66,7.6,"527,472",tt1250777,2010
Killers,Killers,2010,PG-13,04 Jun 2010,100 min,"Action, Comedy, Romance, Thriller",Robert Luketic,"Ashton Kutcher, Katherine Heigl, Tom Selleck, Catherine O'Hara",USA,2 wins & 3 nominations.,10%,21,5.5,"87,900",tt1103153,2010
Saw: The Final Chapter,Saw: The Final Chapter,2010,R,29 Oct 2010,90 min,"Crime, Horror, Mystery",Kevin Greutert,"Tobin Bell, Costas Mandylor, Betsy Russell, Cary Elwes","Canada, USA",3 nominations.,10%,24,5.6,"90,990",tt1477076,2010
Cop Out,Cop Out,2010,R,26 Feb 2010,107 min,"Action, Comedy, Crime, Thriller",Kevin Smith,"Bruce Willis, Tracy Morgan, Juan Carlos Hernández, Cory Fernandez",USA,1 nomination.,19%,31,5.6,"85,421",tt1385867,2010
The Lovely Bones,The Lovely Bones,2009,PG-13,15 Jan 2010,135 min,"Drama, Fantasy, Thriller",Peter Jackson,"Mark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci","USA, UK, New Zealand",Nominated for 1 Oscar. Another 10 wins & 45 nominations.,32%,42,6.7,"158,658",tt0380510,2010
Cats & Dogs: The Revenge of Kitty Galore,Cats,2019,PG,20 Dec 2019,110 min,"Comedy, Drama, Family, Fantasy, Musical",Tom Hooper,"Robbie Fairchild, Mette Towley, Daniela Norman, Jaih Betote","UK, USA",Nominated for 1 Golden Globe. Another 11 wins & 6 nominations.,32/100,32,2.7,"43,199",tt5697572,2010
Edge of Darkness,Edge of Darkness,2010,R,29 Jan 2010,117 min,"Action, Crime, Drama, Mystery, Thriller",Martin Campbell,"Mel Gibson, Ray Winstone, Danny Huston, Bojana Novakovic","UK, USA",1 nomination.,55%,55,6.6,"89,948",tt1226273,2010
Death at a Funeral,Death at a Funeral,2007,R,07 Sep 2007,90 min,Comedy,Frank Oz,"Matthew Macfadyen, Keeley Hawes, Andy Nyman, Ewen Bremner","USA, Germany, UK, Netherlands",3 wins & 2 nominations.,67/100,67,7.4,"110,349",tt0795368,2010
Step Up 3D,Step Up 3D,2010,PG-13,06 Aug 2010,107 min,"Drama, Music, Romance",Jon M. Chu,"Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner",USA,2 nominations.,47%,45,6.2,"55,900",tt1193631,2010
The Last Exorcism,The Last Exorcism,2010,PG-13,27 Aug 2010,87 min,"Horror, Mystery, Thriller",Daniel Stamm,"Patrick Fabian, Ashley Bell, Iris Bahr, Louis Herthum","France, USA",7 wins & 10 nominations.,72%,63,5.6,"48,036",tt1320244,2010
Black Swan,Black Swan,2010,R,17 Dec 2010,108 min,"Drama, Thriller",Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",USA,Won 1 Oscar. Another 97 wins & 277 nominations.,85%,79,8.0,"702,201",tt0947798,2010
Legion,Legion,2010,R,22 Jan 2010,100 min,"Action, Fantasy, Horror",Scott Stewart,"Paul Bettany, Lucas Black, Tyrese Gibson, Adrianne Palicki",USA,N/A,19%,32,5.3,"100,126",tt1038686,2010
The Crazies,The Crazies,2010,R,26 Feb 2010,101 min,"Adventure, Fantasy, Horror, Mystery, Thriller",Breck Eisner,"Timothy Olyphant, Radha Mitchell, Joe Anderson, Danielle Panabaker","USA, United Arab Emirates",11 nominations.,70%,56,6.5,"111,886",tt0455407,2010
The Fighter,The Fighter,2010,R,17 Dec 2010,116 min,"Biography, Drama, Sport",David O. Russell,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo",USA,Won 2 Oscars. Another 71 wins & 124 nominations.,90%,79,7.8,"342,968",tt0964517,2010
Crazy Heart,Crazy Heart,2009,R,05 Feb 2010,112 min,"Drama, Music, Romance",Scott Cooper,"Jeff Bridges, James Keane, Anna Felix, Paul Herman",USA,Won 2 Oscars. Another 37 wins & 33 nominations.,90%,83,7.2,"84,618",tt1263670,2010
For Colored Girls,For Colored Girls,2010,R,05 Nov 2010,133 min,Drama,Tyler Perry,"Kimberly Elise, Janet Jackson, Loretta Devine, Thandie Newton",USA,14 wins & 17 nominations.,32%,50,6.1,"7,267",tt1405500,2010
The Back-up Plan,The Back-up Plan,2010,PG-13,23 Apr 2010,104 min,"Comedy, Romance",Alan Poul,"Jennifer Lopez, Alex O'Loughlin, Michaela Watkins, Eric Christian Olsen",USA,2 nominations.,18%,34,5.4,"48,418",tt1212436,2010
Burlesque,Burlesque,2010,PG-13,24 Nov 2010,119 min,"Drama, Music, Musical, Romance",Steve Antin,"Cher, Christina Aguilera, Eric Dane, Cam Gigandet",USA,Won 1 Golden Globe. Another 5 wins & 19 nominations.,36%,47,6.4,"79,193",tt1126591,2010
Vampires Suck,Vampires Suck,2010,PG-13,18 Aug 2010,82 min,"Comedy, Family, Horror","Jason Friedberg, Aaron Seltzer","Jenn Proske, Matt Lanter, Diedrich Bader, Chris Riggi",USA,7 nominations.,4%,18,3.4,"46,734",tt1666186,2010
The American,The American,2010,R,01 Sep 2010,105 min,"Crime, Drama, Thriller",Anton Corbijn,"George Clooney, Irina Björklund, Lars Hjelm, Björn Granath","USA, UK",4 nominations.,66%,61,6.3,"91,999",tt1440728,2010
Green Zone,Green Zone,2010,R,12 Mar 2010,115 min,"Action, Drama, Thriller, War",Paul Greengrass,"Igal Naor, Said Faraj, Faycal Attougui, Aymen Hamdouchi","UK, France, Spain, USA",6 nominations.,53%,63,6.8,"130,201",tt0947810,2010
Marmaduke,Marmaduke,2010,PG,04 Jun 2010,87 min,"Comedy, Family",Tom Dey,"Owen Wilson, Emma Stone, George Lopez, Christopher Mintz-Plasse",USA,3 nominations.,9%,30,4.3,"14,432",tt1392197,2010
Devil,Devil,2010,PG-13,17 Sep 2010,80 min,"Horror, Mystery, Thriller",John Erick Dowdle,"Chris Messina, Logan Marshall-Green, Jenny O'Hara, Bojana Novakovic",USA,2 nominations.,50%,44,6.2,"135,092",tt1314655,2010
Hereafter,Hereafter,2010,PG-13,22 Oct 2010,129 min,"Drama, Fantasy, Romance",Clint Eastwood,"Cécile de France, Thierry Neuvic, Cyndi Mayo, Lisa Griffiths",USA,Nominated for 1 Oscar. Another 4 wins & 14 nominations.,47%,56,6.4,"90,572",tt1212419,2010
When in Rome,When in Rome,2010,PG-13,29 Jan 2010,91 min,"Comedy, Romance",Mark Steven Johnson,"Kristen Bell, Josh Duhamel, Anjelica Huston, Danny DeVito",USA,3 nominations.,17%,25,5.6,"60,116",tt1185416,2010
She's Out of My League,She's Out of My League,2010,R,12 Mar 2010,104 min,"Comedy, Romance",Jim Field Smith,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel",USA,1 nomination.,58%,46,6.4,"127,583",tt0815236,2010
Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,PG-13,13 Aug 2010,112 min,"Action, Comedy, Fantasy, Romance",Edgar Wright,"Michael Cera, Kieran Culkin, Anna Kendrick, Alison Pill","USA, UK, Canada, Japan",17 wins & 64 nominations.,82%,69,7.5,"382,590",tt0446029,2010
Charlie St. Cloud,Charlie St. Cloud,2010,PG-13,30 Jul 2010,99 min,"Drama, Fantasy, Romance",Burr Steers,"Zac Efron, Charlie Tahan, Amanda Crew, Augustus Prew","USA, Canada",4 nominations.,28%,37,6.4,"58,979",tt1438254,2010
Love & Other Drugs,Love,2015,TV-MA,30 Oct 2015,135 min,"Drama, Romance",Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin, Ugo Fox","France, Belgium",2 wins & 1 nomination.,40%,51,6.1,"49,470",tt3774694,2010
Morning Glory,Morning Glory,2010,PG-13,10 Nov 2010,107 min,"Comedy, Drama, Romance",Roger Michell,"Rachel McAdams, Noah Bean, Jack Davidson, Vanessa Aspillaga",USA,1 win & 3 nominations.,55%,57,6.5,"74,905",tt1126618,2010
