Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
Avatar,Avatar,2009,PG-13,18 Dec 2009,162 min,"Action, Adventure, Fantasy, Sci-Fi",James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",USA,Won 3 Oscars. Another 86 wins & 130 nominations.,82%,83,7.8,"1,124,863",tt0499549,2010
Toy Story 3,Toy Story 3,2010,G,18 Jun 2010,103 min,"Animation, Adventure, Comedy, Family, Fantasy",Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",USA,Won 2 Oscars. Another 59 wins & 95 nominations.,98%,92,8.2,"762,420",tt0435761,2010
Alice in Wonderland,Alice in Wonderland,2010,PG,05 Mar 2010,108 min,"Adventure, Family, Fantasy",Tim Burton,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway","USA, UK",Won 2 Oscars. Another 33 wins & 63 nominations.,51%,53,6.4,"386,342",tt1014759,2010
Iron Man 2,Iron Man 2,2010,PG-13,07 May 2010,124 min,"Action, Adventure, Sci-Fi",Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson",USA,Nominated for 1 Oscar. Another 7 wins & 43 nominations.,72%,57,7.0,"730,088",tt1228705,2010
The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,2010,PG-13,30 Jun 2010,124 min,"Action, Adventure, Drama, Fantasy, Romance, Thriller",David Slade,"Xavier Samuel, Kristen Stewart, Robert Pattinson, Billy Burke",USA,22 wins & 34 nominations.,48%,58,5.0,"229,743",tt1325004,2010
Inception,Inception,2010,PG-13,16 Jul 2010,148 min,"Action, Adventure, Sci-Fi, Thriller",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy","USA, UK",Won 4 Oscars. Another 151 wins & 219 nominations.,87%,74,8.8,"2,086,135",tt1375666,2010
Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,19 Nov 2010,146 min,"Adventure, Family, Fantasy, Mystery",David Yates,"Bill Nighy, Emma Watson, Richard Griffiths, Harry Melling",UK,Nominated for 2 Oscars. Another 15 wins & 53 nominations.,77%,65,7.7,"483,526",tt0926084,2010
Despicable Me,Despicable Me,2010,PG,09 Jul 2010,95 min,"Animation, Comedy, Crime, Family, Fantasy","Pierre Coffin, Chris Renaud","Steve Carell, Jason Segel, Russell Brand, Julie Andrews","USA, France, Japan",Nominated for 1 Golden Globe. Another 3 wins & 40 nominations.,81%,72,7.6,"503,633",tt1323594,2010
Shrek Forever After,Shrek Forever After,2010,PG,21 May 2010,93 min,"Animation, Adventure, Comedy, Family, Fantasy, Romance",Mike Mitchell,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas","USA, Japan",1 win & 13 nominations.,58%,58,6.3,"186,482",tt0892791,2010
How to Train Your Dragon,How to Train Your Dragon,2010,PG,26 Mar 2010,98 min,"Animation, Action, Adventure, Family, Fantasy","Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera",USA,Nominated for 2 Oscars. Another 25 wins & 61 nominations.,99%,75,8.1,"671,696",tt0892769,2010
