Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
Star Wars: Episode VIII - The Last Jedi,Star Wars: Episode VIII - The Last Jedi,2017,PG-13,15 Dec 2017,152 min,"Action, Adventure, Fantasy, Sci-Fi",Rian Johnson,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",USA,Nominated for 4 Oscars. Another 26 wins & 98 nominations.,90%,84,7.0,"570,478",tt2527336,2017
Beauty and the Beast,Beauty and the Beast,1991,G,22 Nov 1991,84 min,"Animation, Family, Fantasy, Musical, Romance","Gary Trousdale, Kirk Wise","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury",USA,Won 2 Oscars. Another 26 wins & 32 nominations.,94%,95,8.0,"418,912",tt0101414,2017
Wonder Woman,Wonder Woman,2017,PG-13,02 Jun 2017,141 min,"Action, Adventure, Fantasy, Sci-Fi, War",Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright","USA, UK",25 wins & 71 nominations.,93%,76,7.4,"575,048",tt0451279,2017
Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,2017,PG-13,05 May 2017,136 min,"Action, Adventure, Comedy, Sci-Fi",James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",USA,Nominated for 1 Oscar. Another 15 wins & 57 nominations.,85%,67,7.6,"578,093",tt3896198,2017
Spider-Man: Homecoming,Spider-Man: Homecoming,2017,PG-13,07 Jul 2017,133 min,"Action, Adventure, Sci-Fi",Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei",USA,7 wins & 10 nominations.,92%,73,7.4,"520,353",tt2250912,2017
It,It,2017,R,08 Sep 2017,135 min,Horror,Andy Muschietti,"Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard","USA, Canada",9 wins & 49 nominations.,86%,69,7.3,"463,607",tt1396484,2017
Thor: Ragnarok,Thor: Ragnarok,2017,PG-13,03 Nov 2017,130 min,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba","USA, Australia",6 wins & 50 nominations.,93%,74,7.9,"596,684",tt3501632,2017
Despicable Me 3,Despicable Me 3,2017,PG,30 Jun 2017,89 min,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","Kyle Balda, Pierre Coffin, Eric Guillon(co-director)","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove","USA, France, Japan",33 nominations.,58%,49,6.3,"115,417",tt3469046,2017
Logan,Logan,2017,R,03 Mar 2017,137 min,"Action, Drama, Sci-Fi, Thriller",James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",USA,Nominated for 1 Oscar. Another 26 wins & 74 nominations.,93%,77,8.1,"654,851",tt3315342,2017
The Fate of the Furious,The Fate of the Furious,2017,PG-13,14 Apr 2017,136 min,"Action, Adventure, Crime, Thriller",F. Gary Gray,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez","China, USA, Japan",2 wins & 12 nominations.,67%,56,6.7,"206,663",tt4630562,2017
