Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
Portrait of a Lady on Fire,Portrait of a Lady on Fire,2019,R,14 Feb 2020,122 min,"Drama, Romance",Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino",France,Nominated for 1 Golden Globe. Another 49 wins & 151 nominations.,95/100,95,8.1,"66,991",tt8613070,2020
Bill & Ted Face the Music,Bill,2015,PG,18 Sep 2015,94 min,"Comedy, Family, History",Richard Bracewell,"Mathew Baynton, Simon Farnaby, Martha Howe-Douglas, Jim Howick",UK,N/A,89%,60,6.5,"2,080",tt2978576,2020
2020 Oscar Nominated Short Films,2020 Oscar Nominated Short Films: Live Action,2020,Not Rated,31 Jan 2020,104 min,"Drama, Reality-TV",N/A,N/A,N/A,N/A,NaN,N/A,7.5,80,tt11696978,2020
Queen & Slim,Queen,2013,Not Rated,07 Mar 2014,146 min,"Adventure, Comedy, Drama",Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho",India,22 wins & 18 nominations.,90%,N/A,8.2,"60,975",tt3322420,2020
The Empty Man,The Empty Man,2020,R,23 Oct 2020,137 min,"Crime, Drama, Horror, Mystery, Thriller",David Prior,"James Badge Dale, Marin Ireland, Sasha Frolova, Samantha Logan","USA, South Africa, UK",1 nomination.,NaN,N/A,5.7,"5,150",tt5867314,2020
My Boyfriend's Meds,My Boyfriend's Meds,2020,R,21 Feb 2020,100 min,Comedy,Diego Kaplan,"Marco Antonio Aguirre, Jason Alexander, Pamela Almanza, Luis Arrieta",Mexico,3 nominations.,NaN,N/A,4.4,347,tt8976664,2020
The Last Full Measure,The Last Full Measure,2019,R,24 Jan 2020,116 min,"Drama, War",Todd Robinson,"Sebastian Stan, Alison Sudol, Asher Miles Fallica, LisaGay Hamilton",USA,1 nomination.,60%,51,6.8,"8,277",tt0783640,2020
Words on Bathroom Walls,Words on Bathroom Walls,2020,PG-13,21 Aug 2020,110 min,"Drama, Romance",Thor Freudenthal,"Charlie Plummer, Andy Garcia, Taylor Russell, AnnaSophia Robb",USA,N/A,61/100,61,7.0,"3,207",tt8045906,2020
Fatale,Fatale,2020,R,18 Dec 2020,102 min,Thriller,Deon Taylor,"Hilary Swank, Michael Ealy, Mike Colter, Damaris Lewis",USA,N/A,42/100,42,5.3,"4,039",tt8829830,2020
Ip Man 4: The Finale,Ip Man 4: The Finale,2019,Not Rated,20 Dec 2019,107 min,"Action, Biography, Drama, History",Wilson Yip,"Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan, Vanness Wu","Hong Kong, China",12 wins & 10 nominations.,84%,62,7.0,"25,250",tt2076298,2020
Half Brothers,Half Brothers,2020,PG-13,04 Dec 2020,96 min,"Comedy, Drama",Luke Greenfield,"Luis Gerardo Méndez, José Zúñiga, Vincent Spano, Connor Del Rio","Mexico, USA",N/A,30/100,30,6.0,943,tt10515926,2020
The Personal History of David Copperfield,The Personal History of David Copperfield,2019,PG,28 Aug 2020,119 min,"Comedy, Drama",Armando Iannucci,"Fisayo Akinade, Nikki Amuka-Bird, Albie Atkinson, Aneurin Barnard","UK, USA",Nominated for 1 Golden Globe. Another 15 wins & 29 nominations.,77/100,77,6.4,"14,283",tt6439020,2020
The Wretched,The Wretched,2019,Not Rated,01 May 2020,95 min,"Horror, Mystery","Brett Pierce, Drew T. Pierce","John-Paul Howard, Piper Curda, Jamison Jones, Azie Tesfai",USA,4 wins & 4 nominations.,75%,61,5.8,"11,353",tt8305806,2020
The Lodge,The Lodge,2019,R,16 Jan 2020,108 min,"Drama, Horror, Thriller","Severin Fiala, Veronika Franz","Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage","UK, USA, Canada",2 wins & 11 nominations.,74%,64,6.1,"33,594",tt7347846,2020
