Vehicle,2015 Year End,2014 Year End,% Change 2015
Dodge Durango,64186,64398,-0.3
Dodge Grand Caravan,97141,134152,-27.6
Dodge Journey,105400,93572,12.6
Dodge Viper,676,760,-11.1
Fiat 500,25084,33708,-25.6
Fiat 500L,7863,12413,-36.7
Fiat 500X,9463,0,0.0
Ford C-Max,21768,27595,-21.1
Ford E-Series,50788,103263,-50.8
Ford Edge,124120,108864,14.0
Ford Escape,306492,306212,0.1
Ford Expedition,41443,44632,-7.1
Ford Explorer,249251,209994,18.7
Ford Explorer *,224309,189339,18.5
Ford Explorer Police Interceptor *,24942,20655,20.8
Ford F-Series,780354,753851,3.5
Ford Fiesta,64458,63192,2.0
Ford Flex,19570,23822,-17.8
Ford Focus,202478,219634,-7.8
Ford Fusion,300170,306860,-2.2
Ford Mustang,122349,82635,48.1
Ford Taurus,48816,62629,-22.1
Ford Taurus *,39051,52395,-25.5
Ford Taurus Police Interceptor *,9765,10234,-4.6
Ford Transit,117577,20448,475.0
Ford Transit Connect,52221,43210,20.9
GMC Acadia,96393,83972,14.8
GMC Canyon,30077,3070,880.0
GMC Savana,21992,26641,-17.5
GMC Sierra,224139,211833,5.8
GMC Terrain,112030,105016,6.7
GMC Yukon,42732,41569,2.8
GMC Yukon XL,31334,29752,5.3
Honda Accord,355557,388374,-8.5
Honda CR-V,345647,335019,3.2
Honda CR-Z,3073,3562,-13.7
Honda Civic,335384,325981,2.9
Honda Crosstour,9104,11802,-22.9
Honda FCX,2,2,0.0
Honda Fit,52724,59340,-11.1
Honda HR-V,41969,0,0.0
Honda Insight,1458,3965,-63.2
Honda Odyssey,127736,122738,4.1
Honda Pilot,136212,108857,25.1
Honda Ridgeline,520,13389,-96.1
Hyundai Accent,61486,63309,-2.9
Hyundai Azera,5539,7232,-23.4
Hyundai Elantra,241706,222023,8.9
Hyundai Equus,2332,3415,-31.7
Hyundai Genesis ³,31374,29992,4.6
Hyundai Santa Fe,118134,107906,9.5
Hyundai Sonata,213303,216936,-1.7
Hyundai Tucson,63591,47306,34.4
Hyundai Veloster,24245,27598,-12.1
Hyundai Veracruz,0,1,-100.0
Infiniti Q40,8605,15590,-44.8
Infiniti Q50,43874,36899,18.9
Infiniti Q60,3949,7740,-49.0
Infiniti Q70,8449,5034,67.8
Infiniti QX50,5468,2727,101.0
Infiniti QX60,41770,31192,33.9
Infiniti QX70,5737,5213,10.1
Infiniti QX80,15646,12935,21.0
Jaguar F-Type,4629,4112,12.6
Jaguar XF,5933,5880,0.9
Jaguar XJ,3611,4329,-16.6
Jaguar XK,293,1452,-79.8
Jeep Cherokee,220260,178508,23.4
Jeep Compass,66698,61264,8.9
Jeep Grand Cherokee,195958,183786,6.6
Jeep Patriot,118464,93462,26.8
Jeep Renegade,60946,0,0.0
Jeep Wrangler,202702,175328,15.6
Kia Cadenza,7343,9267,-20.8
Kia Forte,78919,69336,13.8
Kia K900,2524,1330,89.8
Kia Optima,159414,159020,0.2
Kia Rio,23742,35933,-33.9
Kia Sedona,36755,14567,152.0
Kia Sorento,116249,102520,13.4
Kia Soul,147133,145316,1.3
Kia Sportage,53739,42945,25.1
Land Rover Discovery Sport,7611,0,0.0
Land Rover LR2,77,3619,-97.9
Land Rover LR4,9031,4679,93.0
Land Rover Range Rover,17821,12830,38.9
Land Rover Range Rover Evoque,14583,12440,17.2
Land Rover Range Rover Sport,21459,17897,19.9
Lexus CT200h,14657,17673,-17.1
Lexus ES,64969,72508,-10.4
Lexus GS,23117,22198,4.1
Lexus GX460,25212,22685,11.1
Lexus IS,46430,51358,-9.6
Lexus LFA,9,17,-47.1
Lexus LS,7165,8559,-16.3
Lexus LX570,3884,4052,-4.1
Lexus NX,43764,2927,1395.0
Lexus RC,14784,1922,669.0
Lexus RX,100610,107490,-6.4
Lincoln MKC,24590,13077,88.0
Lincoln MKS,6877,8160,-15.7
Lincoln MKT,4696,4800,-2.2
Lincoln MKX,22199,23995,-7.5
Lincoln MKZ,30901,34009,-9.1
Lincoln Navigator,11964,10433,14.7
Mazda 2,297,13615,-97.8
Mazda 3,107885,104985,2.8
Mazda 5,8609,11613,-25.9
Mazda 6,57897,53224,8.8
Mazda CX-3,6406,0,0.0
Mazda CX-5,111450,99122,12.4
Mazda CX-9,18048,18497,-2.4
Mazda MX-5 Miata,8591,4745,81.1
Mercedes-AMG GT,1277,0,0.0
Mercedes-Benz B-Class,1906,776,146.0
Mercedes-Benz C-Class,86080,75065,14.7
Mercedes-Benz CL-Class,54,221,-75.6
Mercedes-Benz CLA-Class,29643,27365,8.3
Mercedes-Benz CLK-Class,0,2,-100.0
Mercedes-Benz CLS-Class,6152,6981,-11.9
Mercedes-Benz E-Class,49736,66401,-25.1
Mercedes-Benz G-Class,3616,3090,17.0
Mercedes-Benz GL-Class,27707,26597,4.2
Mercedes-Benz GLA-Class,25593,6884,272.0
Mercedes-Benz GLC-Class,4569,0,0.0
Mercedes-Benz GLE-Class,20663,0,0.0
Mercedes-Benz GLK-Class,23333,35000,-33.3
Mercedes-Benz M-Class,32550,46726,-30.3
Mercedes-Benz R-Class,4,8,-50.0
Mercedes-Benz S-Class,21934,25276,-13.2
Mercedes-Benz SL-Class,4060,5030,-19.3
Mercedes-Benz SLK-Class,4182,4737,-11.7
Mercedes-Benz SLS AMG,29,232,-87.5
Mercedes-Benz Sprinter/Metris,29889,25745,16.1
Mini Cooper,40120,31385,27.8
Mini Cooper 2-Door *,19778,21495,-8.0
Mini Cooper 4-Door *,15189,1348,1027.0
Mini Cooper Clubman *,492,2613,-81.2
Mini Cooper Convertible *,3098,3536,-12.4
Mini Cooper Coupe *,460,956,-51.9
Mini Cooper Roadster *,1103,1437,-23.2
Mini Countryman,16686,22645,-26.3
Mini Paceman,1708,2082,-18.0
Mitsubishi Galant,0,122,-100.0
Mitsubishi Lancer,17691,16495,7.3
Mitsubishi Mirage,21515,16708,28.8
Mitsubishi Outlander,19055,13068,45.8
Mitsubishi Outlander Sport,36966,31054,19.0
Mitsubishi i MiEV,115,196,-41.3
Nissan 370Z,7391,7199,2.7
Nissan Altima,333398,335644,-0.7
Nissan Armada,12737,12593,1.1
Nissan Cube,943,3785,-75.1
Nissan Frontier,62817,74323,-15.5
Nissan GT-R,1105,1436,-23.1
Nissan Juke,27121,38184,-29.0
Nissan Leaf,17269,30200,-42.8
Nissan Maxima,40359,50401,-19.9
Nissan Murano,62907,47301,33.0
Nissan NV,16958,14890,13.9
Nissan NV200,17317,13385,29.4
Nissan Pathfinder,82041,79111,3.7
Nissan Quest,11018,9833,12.1
Nissan Rogue,287190,199199,44.2
Nissan Sentra,203509,183268,11.0
Nissan Titan,12140,12527,-3.1
Nissan Versa,144528,139781,3.4
Nissan Xterra,10672,16505,-35.3
Porsche 911,9898,10433,-5.1
Porsche 918 Spyder,203,96,111.0
Porsche Boxster,3102,3875,-19.9
Porsche Cayenne,16474,16205,1.7
Porsche Cayman,3561,3417,4.2
Porsche Macan,13533,7241,86.9
Porsche Panamera,4985,5740,-13.2
Ram Cargo Van,3222,11311,-71.5
Ram P/U,451116,439789,2.6
Ram ProMaster,28345,18039,57.1
Ram ProMaster City,11124,0,0.0
Scion FR-S,10507,14062,-25.3
Scion iA,7605,0,0.0
Scion iM,5097,0,0.0
Scion iQ,482,2040,-76.4
Scion tC,16459,17947,-8.3
Scion xB,15223,16583,-8.2
Scion xD,794,7377,-89.2
Smart Fortwo,7484,10453,-28.4
Subaru BRZ,5296,7504,-29.4
Subaru Forester,175192,159953,9.5
Subaru Impreza,100519,83488,20.4
Subaru Impreza *,66785,57996,15.2
Subaru Impreza WRX/STI,33734,25492,32.3
Subaru Legacy,60447,52270,15.6
Subaru Outback,152294,138790,9.7
Subaru Tribeca,0,732,-100.0
Subaru XV Crosstrek,88927,70956,25.3
Toyota 4Runner,97034,76906,26.2
Toyota Avalon,60063,67183,-10.6
Toyota Camry,429355,428606,0.2
Toyota Corolla,363332,339498,7.0
Toyota FJ Cruiser,229,14718,-98.4
Toyota Highlander,158915,146127,8.8
Toyota Land Cruiser,2687,3158,-14.9
Toyota Mirai,72,0,0.0
Toyota Prius *,113829,122776,-7.3
Toyota Prius C ²,38469,40570,-5.2
Toyota Prius Plug-In *,4191,13264,-68.4
Toyota Prius V ²,28290,30762,-8.0
Toyota Prius ²,118020,136040,-13.2
Toyota RAV4,315412,267698,17.8
Toyota Sequoia,12583,11806,6.6
Toyota Sienna,137497,124502,10.4
Toyota Tacoma,179562,155041,15.8
Toyota Tundra,118880,118493,0.3
Toyota Venza,21351,29991,-28.8
Toyota Yaris,16779,13274,26.4
Volkswagen Beetle,22667,29182,-22.3
Volkswagen Beetle Convertible *,9642,11768,-18.1
Volkswagen Beetle Coupe *,13025,17414,-25.2
Volkswagen CC,6276,9995,-37.2
Volkswagen Eos,2993,3411,-12.3
Volkswagen Golf,65308,33675,93.9
Volkswagen Golf *,19257,15941,20.8
Volkswagen Golf GTI *,23669,17362,36.3
Volkswagen Golf R *,4141,15,27507.0
Volkswagen Golf SportWagen *,14009,0,0.0
Volkswagen Jetta,131109,160873,-18.5
Volkswagen Jetta Sedan *,128438,141354,-9.1
Volkswagen Jetta SportWagen *,2671,19519,-86.3
Volkswagen Passat,78207,96649,-19.1
Volkswagen Routan,0,1103,-100.0
Volkswagen Tiguan,35843,25121,42.7
Volkswagen Touareg,7037,6961,1.1
Volkswagen e-Golf *,4232,357,1085.0
Volvo C30,0,66,-100.0
Volvo C70,7,779,-99.1
Volvo S60,16706,20457,-18.3
Volvo S60 Cross Country,287,0,0.0
Volvo S80,1887,1753,7.6
Volvo V60,4362,4990,-12.6
Volvo V60 Cross Country,2769,0,0.0
Volvo XC60,26134,19276,35.6
Volvo XC70,5118,5093,0.5
Volvo XC90,12777,3952,223.0
