Vehicle,2015 Year End,2014 Year End,% Change 2015
Acura ILX,18531,17854,3.8
Acura MDX,58208,65603,-11.3
Acura RDX,51026,44865,13.7
Acura RLX,2195,3413,-35.7
Acura TL,88,10616,-99.2
Acura TLX,47080,19127,146.0
Acura TSX,35,6287,-99.4
Acura ZDX,2,78,-97.4
Alfa Romeo 4C,663,91,629.0
Audi A3,35984,22250,61.7
Audi A4,31831,38679,-17.7
Audi A4 Allroad *,2818,4686,-39.9
Audi A4 Sedan *,29013,33993,-14.7
Audi A5,12934,16620,-22.2
Audi A6,22850,23941,-4.6
Audi A7,7721,8133,-5.1
Audi A8,4990,5904,-15.5
Audi Q3,13229,3654,262.0
Audi Q5,52006,42420,22.6
Audi Q7,18995,18517,2.6
Audi R8,495,735,-32.7
Audi TT,1167,1158,0.8
BMW 2-Series,13020,7345,77.3
BMW 3-Series ³,94527,100970,-6.2
BMW 4-Series ³,46082,41442,11.2
BMW 5-Series,44162,52704,-16.2
BMW 6-Series,8146,8647,-5.8
BMW 7-Series,9292,9744,-4.6
BMW X1,14420,22808,-36.8
BMW X3,31924,33824,-5.6
BMW X4,6429,2709,137.0
BMW X5,54997,47031,16.9
BMW X6,7906,3896,103.0
BMW Z4,1829,2151,-15.0
BMW i3,11024,6092,81.0
BMW i8,2265,555,308.0
Buick Enclave,62081,62300,-0.4
Buick Encore,67549,48892,38.2
Buick LaCrosse,42035,51468,-18.3
Buick Regal,19504,22560,-13.5
Buick Verano,31886,43743,-27.1
Cadillac ATS,26873,29890,-10.1
Cadillac CTS,19485,31115,-37.4
Cadillac ELR,1024,1310,-21.8
Cadillac Escalade,35923,30522,17.7
Cadillac SRX,68850,53578,28.5
Cadillac XTS,23112,24335,-5.0
Chevrolet Avalanche,8,92,-91.3
Chevrolet Camaro,77502,86297,-10.2
Chevrolet Caprice PPV,1845,3727,-50.5
Chevrolet Captiva Sport,55,35368,-99.8
Chevrolet City Express,10283,530,1840.0
Chevrolet Colorado,84430,8003,955.0
Chevrolet Corvette,33329,34839,-4.3
Chevrolet Cruze,226602,273060,-17.0
Chevrolet Equinox,277589,242242,14.6
Chevrolet Express,63382,79352,-20.1
Chevrolet Impala,116825,140280,-16.7
Chevrolet Malibu,194854,188519,3.4
Chevrolet SS,2895,2479,16.8
Chevrolet Silverado,600544,529755,13.4
Chevrolet Sonic,64775,93518,-30.7
Chevrolet Spark,32853,39159,-16.1
Chevrolet Suburban,50866,55009,-7.5
Chevrolet Tahoe,88342,97726,-9.6
Chevrolet Traverse,119945,103943,15.4
Chevrolet Trax,63030,739,8429.0
Chevrolet Volt,15393,18805,-18.1
Chrysler 200,177889,117363,51.6
Chrysler 300,53109,53382,-0.5
Chrysler Town & Country,93848,138040,-32.0
Dodge Avenger,1268,51705,-97.5
Dodge Challenger,66365,51611,28.6
Dodge Charger,94725,94099,0.7
Dodge Dart,87392,83858,4.2
