Vehicle,2013 Year End,2012 Year End,% Change 2013
Acura ILX,20430,12251,66.8
Acura MDX,53040,50854,4.3
Acura RDX,44750,29520,51.6
Acura RLX/RL ‡,5053,379,1233.0
Acura TL,24318,33572,-27.6
Acura TSX,17484,28865,-39.4
Acura TSX Sedan *,15508,24631,-37.0
Acura TSX SportWagon *,1976,4234,-53.3
Acura ZDX,361,775,-53.4
Audi A3,857,7205,-88.1
Audi A4,42130,38530,9.3
Audi A4 Allroad *,5386,4367,23.3
Audi A4 Sedan/Avant *,36744,34163,7.6
Audi A5,18664,17270,8.1
Audi A6,22428,18998,18.1
Audi A7,8483,8598,-1.3
Audi A8,6300,6002,5.0
Audi Q5,40355,28671,40.8
Audi Q7,15978,11008,45.1
Audi R8,813,802,1.4
Audi TT,2053,2226,-7.8
BMW 1-Series,7220,7689,-6.1
BMW 3-Series & 4-Series ³,119521,99602,20.0
BMW 5-Series,56863,56798,0.1
BMW 6-Series,9762,8208,18.9
BMW 7-Series,10932,11098,-1.5
BMW X1,26512,8947,196.0
BMW X3,30623,35173,-12.9
BMW X5,39818,44445,-10.4
BMW X6,5549,6749,-17.8
BMW Z4,2480,2751,-9.9
Buick Enclave,60534,56703,6.8
Buick Encore,31956,0,0.0
Buick LaCrosse,48798,57076,-14.5
Buick Lucerne,9,971,-99.1
Buick Regal,18685,24616,-24.1
Buick Verano,45527,41042,10.9
Cadillac ATS,38319,7008,447.0
Cadillac CTS,32343,46979,-31.2
Cadillac DTS,19,465,-95.9
Cadillac ELR,6,0,0.0
Cadillac Escalade,22514,22632,-0.5
Cadillac Escalade *,12592,12615,-0.2
Cadillac Escalade ESV *,7950,8083,-1.6
Cadillac Escalade EXT *,1972,1934,2.0
Cadillac SRX,56776,57485,-1.2
Cadillac STS,7,164,-95.7
Cadillac XTS,32559,15049,116.0
Chevrolet Avalanche,16526,23995,-31.1
Chevrolet Aveo,2,67,-97.0
Chevrolet Camaro,80567,84391,-4.5
Chevrolet Caprice PPV,3899,3734,4.4
Chevrolet Captiva Sport,47600,36935,28.9
Chevrolet Cobalt,0,11,-100.0
Chevrolet Colorado,3412,36840,-90.7
Chevrolet Corvette,17291,14132,22.4
Chevrolet Cruze,248224,237758,4.4
Chevrolet Equinox,238192,218621,9.0
Chevrolet HHR,3,21,-85.7
Chevrolet Impala,156797,169351,-7.4
Chevrolet Malibu,200594,210951,-4.9
Chevrolet SS,418,0,0.0
Chevrolet Silverado,480414,418312,14.8
Chevrolet Sonic,85646,81247,5.4
Chevrolet Spark,34130,12385,176.0
Chevrolet Suburban,51260,48116,6.5
Chevrolet Tahoe,83502,68904,21.2
Chevrolet Traverse,96467,85606,12.7
Chevrolet Volt,23094,23461,-1.6
Chrysler 200,122480,125476,-2.4
Chrysler 300,57724,70747,-18.4
Chrysler Town & Country,122288,111744,9.4
Dodge (SRT) Viper ¹,591,20,2855.0
Dodge Avenger,93842,96889,-3.1
Dodge Caliber,45,10176,-99.6
Dodge Challenger,51462,43119,19.3
Dodge Charger,98336,82592,19.1
Dodge Dakota,0,490,-100.0
Dodge Dart,83388,25304,230.0
Dodge Durango,60727,42589,42.6
Dodge Grand Caravan,124019,141468,-12.3
Dodge Journey,83933,79563,5.5
Dodge Nitro,0,3269,-100.0
Dodge Ram ¹,355673,293363,21.2
Fiat 500,35834,43772,-18.1
Fiat 500L,7402,0,0.0
Ford C-Max,35210,13309,165.0
Ford Crown Victoria,0,4429,-100.0
Ford Edge,129109,127969,0.9
Ford Escape,295993,261008,13.4
Ford Expedition,38350,38062,0.8
Ford Explorer,192397,164207,17.2
Ford Explorer *,178311,158344,12.6
Ford Explorer Police Interceptor *,14086,5863,140.0
Ford F-Series,763402,645316,18.3
Ford Fiesta,71073,56775,25.2
Ford Flex,25953,28224,-8.0
Ford Focus,234570,245922,-4.6
Ford Fusion,295280,241263,22.4
Ford Mustang,77186,82995,-7.0
Ford Ranger,0,19366,-100.0
Ford Taurus,79960,74375,7.5
Ford Taurus *,69063,66066,4.5
Ford Taurus Police Interceptor *,10897,8309,31.1
GMC Acadia,89793,78280,14.7
GMC Canyon,929,8735,-89.4
GMC Sierra,184389,157185,17.3
GMC Terrain,99525,97786,1.8
GMC Yukon,28302,27818,1.7
GMC Yukon XL,31258,23427,33.4
Honda Accord,366678,331872,10.5
Honda CR-V,303904,281652,7.9
Honda CR-Z,4550,4192,8.5
Honda Civic,336180,317909,5.7
Honda Crosstour,16847,20848,-19.2
Honda Element,2,3,-33.3
Honda FCX,10,5,100.0
Honda Fit,53513,49346,8.4
Honda Insight,4802,5846,-17.9
Honda Odyssey,128987,125980,2.4
Honda Pilot,126678,114848,10.3
Honda Ridgeline,17723,14068,26.0
Honda S2000,2,0,0.0
Hyundai Accent,60458,61004,-0.9
Hyundai Azera,11221,8431,33.1
Hyundai Elantra,247912,202034,22.7
Hyundai Equus,3578,3972,-9.9
Hyundai Genesis,32330,33973,-4.8
Hyundai Santa Fe,88844,71016,25.1
Hyundai Sonata,203648,230605,-11.7
Hyundai Tucson,41906,48878,-14.3
Hyundai Veloster,30711,34862,-11.9
Hyundai Veracruz,175,8232,-97.9
Infiniti EX/QX50,2164,3495,-38.1
Infiniti FX/QX70,6380,10424,-38.8
Infiniti G Coupe/Convertible & Q60 *,9806,13016,-24.7
Infiniti G Sedan *,30256,46828,-35.4
Infiniti G37/Q60 †,40062,59844,-33.1
Infiniti JX/QX60,31602,21674,45.8
Infiniti M,5283,9130,-42.1
Infiniti Q50 †,17816,0,0.0
Infiniti QX56/QX80,13148,15310,-14.1
Jaguar F-Type,2250,0,0.0
Jaguar XF,7922,5526,43.4
Jaguar XJ,5434,4852,12.0
Jaguar XK,1346,1633,-17.6
Jeep Cherokee,25786,0,0.0
Jeep Compass,52993,40235,31.7
Jeep Grand Cherokee,174275,154734,12.6
Jeep Liberty,6101,75483,-91.9
Jeep Patriot,75797,62010,22.2
Jeep Wrangler,155502,141669,9.8
Kia Cadenza,8626,0,0.0
Kia Forte,66146,75681,-12.6
Kia Optima,155893,152399,2.3
Kia Rio,40742,40275,1.2
Kia Sedona,7079,17512,-59.6
Kia Sorento,105649,119597,-11.7
Kia Soul,118079,115778,2.0
Kia Sportage,32965,36357,-9.3
Land Rover LR2,3315,3113,6.5
Land Rover LR4,7093,7316,-3.0
Land Rover Range Rover,12221,7843,55.8
Land Rover Range Rover Evoque,11405,8901,28.1
Land Rover Range Rover Sport,15976,16491,-3.1
Lexus CT200h,15071,17673,-14.7
Lexus ES,72581,56158,29.2
Lexus GS,19742,22160,-10.9
Lexus GX460,12136,11039,9.9
Lexus HS250h,5,649,-99.2
Lexus IS,35017,27708,26.4
Lexus LFA,23,46,-50.0
Lexus LS,10727,8345,28.5
Lexus LX570,4625,5005,-7.6
Lexus RX,103920,95381,9.0
Lexus SC430,0,2,-100.0
Lincoln MKS,10793,12524,-13.8
Lincoln MKT,6014,7094,-15.2
Lincoln MKX,23913,25107,-4.8
Lincoln MKZ,32361,28053,15.4
Lincoln Navigator,8613,8371,2.9
Lincoln Town Car,0,1001,-100.0
Mazda 2,11757,19315,-39.1
Mazda 3,104713,123361,-15.1
Mazda 5,13884,14640,-5.2
Mazda 6,43638,33756,29.3
Mazda CX-5,79544,43319,83.6
Mazda CX-7,1,11326,-99.99
Mazda CX-9,24628,24442,0.8
Mazda MX-5 Miata,5780,6305,-8.3
Mazda RX-8,1,79,-98.7
Mazda Tribute,1,501,-99.8
Mercedes-Benz B-Class,20,29,-31.0
Mercedes-Benz C-Class,88251,81697,8.0
Mercedes-Benz CL-Class,476,723,-34.2
Mercedes-Benz CLA-Class,14113,0,0.0
Mercedes-Benz CLK-Class,0,1,-100.0
Mercedes-Benz CLS-Class,8032,8065,-0.4
Mercedes-Benz E-Class,69803,65171,7.1
Mercedes-Benz G-Class,2494,1330,87.5
Mercedes-Benz GL-Class,29912,26042,14.9
Mercedes-Benz GLK-Class,32553,29364,10.9
Mercedes-Benz M-Class,41326,38101,8.5
Mercedes-Benz R-Class,30,1473,-98.0
Mercedes-Benz S-Class,13303,11794,12.8
Mercedes-Benz SL-Class,7007,4899,43.0
Mercedes-Benz SLK-Class,4757,4595,3.5
Mercedes-Benz SLS AMG,451,800,-43.6
Mini Clubman *,5155,5769,-10.6
Mini Convertible *,4460,4813,-7.3
Mini Cooper,41915,45111,-7.1
Mini Countryman,21325,21012,1.5
Mini Coupe *,2540,2880,-11.8
Mini Hardtop *,26954,29278,-7.9
Mini Paceman,3262,0,0.0
Mini Roadster *,2806,2371,18.3
Mitsubishi Eclipse,109,1173,-90.7
Mitsubishi Eclipse *,40,712,-94.4
