Model,US,US LY,US vs LY,YTD,YTD LY,YTD vs LY
Cadillac SRX,1,124,-99.20,156,22139,-99.30
Lincoln MKS,0,215,-100.00,153,4951,-96.90
Mitsubishi Outlander PHEV,99,0,0.00,99,0,0.00
Bentley Mulsanne,9,12,-25.00,98,153,-35.90
Ford GT,9,0,0.00,89,0,0.00
Hyundai Equus,0,8,-100.00,20,1361,-98.50
Cadillac ELR,0,3,-100.00,17,534,-96.80
Toyota Venza,0,1,-100.00,14,589,-97.60
Dodge Avenger,2,0,0.00,14,45,-68.90
Mazda 5,0,2,-100.00,10,375,-97.30
Mini Paceman,0,1,-100.00,9,84,-89.30
Volvo S80,1,13,-92.30,7,644,-98.90
Mitsubishi i MiEV,0,3,-100.00,6,94,-93.60
Honda Crosstour,0,0,0.00,5,726,-99.30
Toyota FJ Cruiser,0,0,0.00,4,9,-55.60
Honda Insight,0,1,0.00,3,67,-95.50
Lexus LFA,0,0,0.00,3,6,-50.00
Volkswagen Eos,0,0,0.00,1,387,-99.70
Nissan Xterra,0,0,0.00,1,38,-97.40
Model,US,US LY,US vs LY,YTD,YTD LY,YTD vs LY
,"∑ = 1,604,836","∑ = 1,688,750",,"∑ = 17,208,748","∑ = 17,532,643",
,"Average 5,421.7","Average 5,705.2",Average -7.89,"Average 58,137.7","Average 59,231.9",Average 81.28
,Minimum 0,Minimum 0,Minimum 0.00,Minimum 1,Minimum 0,Minimum 0.00
,"Maximum 89,385","Maximum 87,512",Maximum 0.00,"Maximum 896,764","Maximum 820,799",Maximum 0.00
