Vehicle,2012 Year End,2011 Year End,% Change 2012
Acura ILX,12251,0,0.0
Acura ILX,11279,0,0.0
Acura ILX Hybrid,972,0,0.0
Acura MDX,50854,43271,17.5
Acura RDX,29520,15196,94.3
Acura RL,379,1096,65.4
Acura TL,33572,31237,7.5
Acura TSX,28865,30935,6.7
Acura TSX Sedan,24631,27725,11.2
Acura TSX Sport Wagon,4234,3210,31.9
Acura ZDX,775,1564,50.4
Audi A3,7205,6561,9.8
Audi A4,38530,35234,0.5
Audi A4 Allroad,3115,0,0.0
Audi A4 Avant,1252,3505,64.3
Audi A4 Sedan,34163,31729,7.7
Audi A5,17270,15385,12.3
Audi A6,18998,11124,70.8
Audi A7,8598,6270,37.1
Audi A8,6002,5700,5.3
Audi Q5,28671,24908,15.1
Audi Q7,11008,8998,22.3
Audi R8,802,1145,30.0
Audi TT,2226,2236,0.4
BMW 1-Series,7689,8832,12.9
BMW 3-Series,99602,94371,5.5
BMW 5-Series,56798,51491,10.3
BMW 6-Series,8208,3903,110.0
BMW 7-Series,11098,11299,1.8
BMW X1,8947,0,0.0
BMW X3,35173,27793,26.6
BMW X5,44445,40547,9.6
BMW X6,6749,6192,9.0
BMW Z4,2751,3479,20.9
Buick Enclave,56703,58392,2.9
Buick LaCrosse,57076,58474,2.4
Buick Lucerne,971,20358,95.2
Buick Regal,24616,40144,38.7
Buick Verano,41042,265,15388.0
Cadillac ATS,7008,0,0.0
Cadillac CTS,46979,55042,14.6
Cadillac DTS,465,11589,96.0
Cadillac Escalade,22632,25503,11.3
Cadillac Escalade,12615,15079,16.3
Cadillac Escalade ESV,8083,8388,3.6
Cadillac Escalade EXT,1934,2036,5.0
Cadillac SRX,57485,56905,1.0
Cadillac STS,164,3338,95.1
Cadillac XTS,15049,0,0.0
Chevrolet Avalanche,23995,20088,19.4
Chevrolet Aveo,67,28601,99.8
Chevrolet Camaro,84391,88249,4.4
Chevrolet Caprice PPV,3734,880,324.0
Chevrolet Captiva Sport,36935,7038,425.0
Chevrolet Cobalt,11,856,98.7
Chevrolet Colorado,36840,31026,18.7
Chevrolet Corvette,14132,13164,7.4
Chevrolet Cruze,237758,231732,2.6
Chevrolet Equinox,218621,193274,13.1
Chevrolet HHR,21,37012,99.9
Chevrolet Impala,169351,171434,1.2
Chevrolet Malibu,210951,204808,3.0
Chevrolet Silverado,418312,415130,0.8
Chevrolet Sonic,81247,15778,415.0
Chevrolet Sonic/Aveo,81314,44379,83.2
Chevrolet Spark,12385,0,0.0
Chevrolet Suburban,48116,49427,2.7
Chevrolet Tahoe,68904,80527,14.4
Chevrolet Traverse,85606,107131,20.1
Chevrolet Volt,23461,7671,206.0
Chrysler 200,125476,89413,40.3
Chrysler 200,125476,87033,44.2
Chrysler 300,70747,36285,95.0
Chrysler Sebring,0,2380,100.0
Chrysler Town & Country,111744,94320,18.5
Dodge Avenger,96890,64023,51.3
Dodge Caliber,10176,35049,71.0
Dodge Challenger,43119,39543,9.1
Dodge Charger,82592,70089,17.8
Dodge Dakota,490,12156,96.0
Dodge Dart,25303,0,0.0
Dodge Durango,42589,51697,17.6
Dodge Grand Caravan,141468,110862,27.6
Dodge Journey,79563,55155,44.3
Dodge Nitro,3269,24434,86.6
Dodge Ram,293363,244762,19.9
Dodge Viper,20,197,89.8
Fiat 500,43772,19769,121.0
Ford C-Max,13309,0,0.0
Ford Crown Victoria,4429,46725,90.5
Ford Edge,127969,121702,5.1
Ford Escape,261008,254293,2.6
Ford Expedition,38062,40499,6.0
Ford Explorer,164207,135704,21.0
Ford Explorer,158344,135704,16.7
Ford Explorer Police Interceptor,5863,0,0.0
Ford F-Series,645316,584917,10.3
Ford Fiesta,56775,68574,17.2
Ford Flex,28224,27428,2.9
Ford Focus,245922,175717,40.0
Ford Fusion,241263,248067,2.7
Ford Mustang,82995,70438,17.8
Ford Ranger,19366,70832,72.7
Ford Taurus,74375,63526,17.1
Ford Taurus,66066,63526,4.0
Ford Taurus Police Interceptor,8309,0,0.0
GMC Acadia,78280,79288,1.3
GMC Canyon,8735,9590,8.9
GMC Sierra,157185,149170,5.4
GMC Terrain,97786,83179,17.6
GMC Yukon,27818,34250,18.8
GMC Yukon XL,23427,25223,7.1
Honda Accord,331872,235625,40.8
Honda CR-V,281652,218373,29.0
Honda CR-Z,4192,11330,63.0
Honda Civic,317909,221235,43.7
Honda Civic,310753,216532,43.5
Honda Civic Hybrid,7156,4703,52.2
Honda Crosstour,20848,17974,16.0
Honda Element,3,11534,99.97
Honda FCX,5,2,150.0
Honda Fit,49346,59235,16.7
Honda Fit,49253,59235,16.9
Honda Fit EV,93,0,0.0
Honda Insight,5846,15549,62.4
Honda Odyssey,125980,107068,17.7
Honda Pilot,114848,116297,1.2
Honda Ridgeline,14068,9759,44.2
Hyundai Accent,61004,55601,9.7
Hyundai Azera,8431,1524,453.0
Hyundai Elantra,202034,186361,8.4
Hyundai Equus,3972,3193,24.4
Hyundai Genesis,33973,32998,3.0
