Vehicle,2014 Year End,2013 Year End,% Change 2014
Fiat 500,33708,35834,5.9
Fiat 500L,12413,7402,67.7
Ford C-Max,27595,35210,21.6
Ford E-Series,103263,125356,17.6
Ford Edge,108864,129109,15.7
Ford Escape,306212,295993,3.5
Ford Expedition,44632,38350,16.4
Ford Explorer,209994,192397,9.1
Ford Explorer *,189339,178311,6.2
Ford Explorer Police Interceptor *,20655,14086,46.6
Ford F-Series,753851,763402,1.3
Ford Fiesta,63192,71073,11.1
Ford Flex,23822,25953,8.2
Ford Focus,219634,234570,6.4
Ford Fusion,306860,295280,3.9
Ford Mustang,82635,77186,7.1
Ford Taurus,62629,79960,21.7
Ford Taurus *,52395,69063,24.1
Ford Taurus Poice Interceptor *,10234,10897,6.1
Ford Transit,20448,0,0.0
Ford Transit Connect,43210,39703,8.8
GMC Acadia,83972,89793,6.5
GMC Canyon,3070,929,230.0
GMC Savana,26641,16705,59.5
GMC Sierra,211833,184389,14.9
GMC Terrain,105016,99525,5.5
GMC Yukon,41569,28302,46.9
GMC Yukon XL,29752,31258,4.8
Honda Accord,388374,366678,5.9
Honda CR-V,335019,303904,10.2
Honda CR-Z,3562,4550,21.7
Honda Civic,325981,336180,3.0
Honda Crosstour,11802,16847,29.9
Honda Element,0,2,100.0
Honda FCX,2,10,80.0
Honda Fit,59340,53513,10.9
Honda Insight,3965,4802,17.4
Honda Odyssey,122738,128987,4.8
Honda Pilot,108857,126678,14.1
Honda Ridgeline,13389,17723,24.5
Honda S2000,0,2,100.0
Hyundai Accent,63309,60458,4.7
Hyundai Azera,7232,11221,35.5
Hyundai Elantra,222023,247912,10.4
Hyundai Equus,3415,3578,4.6
Hyundai Genesis ³,29992,32330,7.2
Hyundai Santa Fe,107906,88844,21.5
Hyundai Sonata,216936,203648,6.5
Hyundai Tucson,47306,41906,12.9
Hyundai Veloster,27598,30711,10.1
Hyundai Veracruz,1,175,99.4
Infiniti Q40/G Sedan,15590,30256,48.5
Infiniti Q50,36899,17816,107.0
Infiniti Q60,7740,9806,21.1
Infiniti Q70/M,5034,5283,4.7
Infiniti QX50/EX,2727,2164,26.0
Infiniti QX60/JX,31192,31602,1.3
Infiniti QX70/FX,5213,6380,18.3
Infiniti QX80/QX56,12935,13148,1.6
Jaguar F-Type,4112,2250,82.8
Jaguar XF,5880,7922,25.8
Jaguar XJ,4329,5434,20.3
Jaguar XK,1452,1346,7.9
Jeep Cherokee,178508,25786,592.0
Jeep Compass,61264,52993,15.6
Jeep Grand Cherokee,183786,174275,5.5
Jeep Liberty,0,6101,100.0
Jeep Patriot,93462,75797,23.3
Jeep Wrangler,175328,155502,12.8
Kia Cadenza,9267,8626,7.4
Kia Forte,69336,66146,4.8
Kia K900,1330,0,0.0
Kia Optima,159020,155893,2.0
Kia Rio,35933,40742,11.8
Kia Sedona,14567,7079,106.0
Kia Sorento,102520,105649,3.0
Kia Soul,145316,118079,23.1
Kia Sportage,42945,32965,30.3
Land Rover LR2,3619,3315,9.2
Land Rover LR4,4679,7093,34.0
Land Rover Range Rover,12830,12221,5.0
Land Rover Range Rover Evoque,12440,11405,9.1
Land Rover Range Rover Sport,17897,15976,12.0
Lexus CT200h,17673,15071,17.3
Lexus ES,72508,72581,0.1
Lexus GS,22198,19742,12.4
Lexus GX460,22685,12136,86.9
Lexus HS,0,5,100.0
Lexus IS,51358,35017,46.7
Lexus LFA,17,23,26.1
Lexus LS,8559,10727,20.2
Lexus LX570,4052,4625,12.4
Lexus NX,2927,0,0.0
Lexus RC,1922,0,0.0
Lexus RX,107490,103920,3.4
Lincoln MKC,13077,0,0.0
Lincoln MKS,8160,10793,24.4
Lincoln MKT,4800,6014,20.2
Lincoln MKX,23995,23913,0.3
Lincoln MKZ,34009,32361,5.1
Lincoln Navigator,10433,8613,21.1
Mazda 2,13615,11757,15.8
Mazda 3,104985,104713,0.3
Mazda 5,11613,13884,16.4
Mazda 6,53224,43637,22.0
Mazda CX-5,99122,79544,24.6
Mazda CX-9,18496,24628,24.9
Mazda MX-5 Miata,4745,5780,17.9
Mazda RX-8,1,1,0.0
Mazda Tribute,0,2,100.0
Mercedes-Benz B-Class,776,20,3780.0
Mercedes-Benz C-Class,75065,88251,14.9
Mercedes-Benz CL-Class,221,476,53.6
Mercedes-Benz CLA-Class,27365,14113,93.9
Mercedes-Benz CLK-Class,3,0,0.0
Mercedes-Benz CLS-Class,6981,8032,13.1
Mercedes-Benz E-Class,66400,69803,4.9
Mercedes-Benz G-Class,3090,2494,23.9
Mercedes-Benz GL-Class,26597,29912,11.1
Mercedes-Benz GLA-Class,6884,0,0.0
Mercedes-Benz GLK-Class,35000,32553,7.5
Mercedes-Benz M-Class,46726,41326,13.1
Mercedes-Benz R-Class,8,30,73.3
Mercedes-Benz S-Class,25276,13303,90.0
Mercedes-Benz SL-Class,5030,7007,28.2
Mercedes-Benz SLK-Class,4737,4757,0.4
Mercedes-Benz SLS AMG,232,451,48.6
Mercedes-Benz Sprinter,25745,21816,18.0
Mini Cooper,31385,41915,25.2
Mini Cooper Clubman *,2613,5155,49.3
Mini Cooper Convertible,3536,4460,20.7
Mini Cooper Coupe *,956,2540,62.4
Mini Cooper Hardtop *,22843,26954,15.3
Mini Cooper Roadster *,1437,2806,48.8
Mini Countryman,22645,21325,6.2
Mini Paceman,2082,3262,36.2
Mitsubishi Eclipse,0,109,100.0
Mitsubishi Endeavor,0,24,100.0
Mitsubishi Galant,122,1441,91.5
Mitsubishi Lancer,16495,19451,15.2
Mitsubishi Mirage,16708,2935,469.0
Mitsubishi Outlander,13068,12287,6.4
Mitsubishi Outlander Sport,31054,24951,24.5
Mitsubishi i-MiEV,196,1029,81.0
Nissan 370Z,7199,6561,9.7
Nissan Altima,335644,320723,4.7
Nissan Armada,12593,14383,12.4
Nissan Cube,3785,5461,30.7
Nissan Frontier,74323,62837,18.3
Nissan GT-R,1436,1236,16.2
Nissan Juke,38184,38157,0.1
Nissan Leaf,30200,22610,33.6
Nissan Maxima,50401,53896,6.5
Nissan Murano,47301,44684,5.9
Nissan NV,14890,12589,18.3
Nissan NV200,13385,4619,190.0
Nissan Pathfinder,79111,88632,10.7
Nissan Quest,9833,12874,23.6
Nissan Rogue,199199,162751,22.4
Nissan Sentra,183268,129143,41.9
Nissan Titan,12527,15691,20.2
Nissan Versa,139781,117352,19.1
Nissan Xterra,16505,17766,7.1
Porsche 911,10433,10442,0.1
Porsche 918 Spyder,96,0,0.0
Porsche Boxster,3875,4570,15.2
Porsche Cayenne,16205,18507,12.4
Porsche Cayman,3417,3383,1.0
Porsche Macan,7241,0,0.0
Porsche Panamera,5740,5421,5.9
Ram Cargo Van,11311,8900,27.1
Ram P/U,439789,355673,23.7
Ram ProMaster,18039,3270,452.0
Scion FR-S,14062,18327,23.3
Scion iQ,2040,4046,49.6
Scion tC,17947,19094,6.0
Scion xB,16583,17849,7.1
Scion xD,7377,9005,18.1
Smart Fortwo,10453,9264,12.8
Subaru BRZ,7504,8587,12.6
Subaru Forester,159953,123592,29.4
Subaru Impreza,83488,76825,8.7
Subaru Impreza *,57996,58856,1.5
Subaru Impreza WRX/STi *,25492,17969,41.9
Subaru Legacy,52270,42291,23.6
Subaru Outback,138790,118049,17.6
Subaru Tribeca,732,1598,54.2
Subaru XV Crosstrek,70956,53741,32.0
Suzuki Equator,0,448,100.0
Suzuki Grand Vitara,0,1037,100.0
Suzuki Kizashi,0,1602,100.0
Suzuki SX4,0,2859,100.0
Toyota 4Runner,76906,51625,49.0
Toyota Avalon,67183,70990,5.4
Toyota Camry,428606,408484,4.9
Toyota Corolla/Matrix,339498,302180,12.4
Toyota FJ Cruiser,14718,13131,12.1
Toyota Highlander,146127,127572,14.5
Toyota Land Cruiser,3158,3082,2.5
Toyota Prius C ²,40570,41979,3.4
Toyota Prius Plug-In *,13264,12088,9.7
Toyota Prius Sedan *,122776,145172,15.4
Toyota Prius V ²,30762,34989,12.1
Toyota Prius ²,136040,157260,13.5
Toyota RAV4,267698,218249,22.7
Toyota Sequoia,11806,13811,14.5
Toyota Sienna,124502,121117,2.8
Toyota Tacoma,155041,159485,2.8
Toyota Tundra,118493,112732,5.1
Toyota Venza,29991,35846,16.3
Toyota Yaris,13274,21342,37.8
Volkswagen Beetle,29182,43134,32.3
Volkswagen Beetle Convertible *,11768,18050,34.8
Volkswagen Beetle Coupe *,17414,25084,30.6
Volkswagen CC,9995,15672,36.2
Volkswagen Eos,3411,4178,18.4
Volkswagen Golf,33675,30931,8.9
Volkswagen Golf *,15941,16023,0.5
Volkswagen Golf GTI *,17362,13310,30.4
Volkswagen Golf R *,15,1598,99.1
Volkswagen Jetta,160873,163793,1.8
Volkswagen Jetta Sedan *,141354,141259,0.1
Volkswagen Jetta SportWagen *,19519,22534,13.4
Volkswagen Passat,96649,109652,11.9
Volkswagen Routan,1103,2109,47.7
Volkswagen Tiguan,25121,30002,16.3
Volkswagen Touareg,6961,8233,15.5
Volkswagen e-Golf *,357,0,0.0
Volvo C30,66,1361,95.2
Volvo C70,779,3234,75.9
Volvo S60,20457,23210,11.9
Volvo S80,1753,1935,9.4
Volvo V60,4990,0,0.0
Volvo XC60,19276,19766,2.5
Volvo XC70,5093,4882,4.3
Volvo XC90,3952,6845,42.3
