Vehicle,2014 Year End,2013 Year End,% Change 2014
Acura ILX,17854,20430,12.6
Acura MDX,65603,53040,23.7
Acura RDX,44865,44750,0.3
Acura RLX/RL ³,3413,5053,32.5
Acura TL,10616,24318,56.3
Acura TLX,19127,0,0.0
Acura TSX,6287,17484,64.0
Acura TSX Sedan *,5647,15508,63.6
Acura TSX SportWagon *,640,1976,67.6
Acura ZDX,78,361,78.4
Alfa Romeo 4C,91,0,0.0
Audi A3,22250,857,2496.0
Audi A4,38679,42130,8.2
Audi A4 Allroad *,4686,5386,13.0
Audi A4 Sedan/Avant *,33993,36744,7.5
Audi A5,16620,18664,11.0
Audi A6,23941,22428,6.7
Audi A7,8133,8483,4.1
Audi A8,5904,6300,6.3
Audi Q3,3654,0,0.0
Audi Q5,42420,40355,5.1
Audi Q7,18517,15978,15.9
Audi R8,735,813,9.6
Audi TT,1158,2053,43.6
BMW 1-Series & 2-Series ³,7345,7220,1.7
BMW 3-Series & 4-Series ³,142232,119521,19.0
BMW 5-Series,52704,56863,7.3
BMW 6-Series,8647,9762,11.4
BMW 7-Series,9744,10932,10.9
BMW X1,22808,26512,14.0
BMW X3,33824,30623,10.5
BMW X4,2709,0,0.0
BMW X5,47031,39818,18.1
BMW X6,3896,5549,29.8
BMW Z4,2151,2480,13.3
BMW i3,6092,0,0.0
BMW i8,555,0,0.0
Buick Enclave,62300,60534,2.9
Buick Encore,48892,31956,53.0
Buick LaCrosse,51468,48798,5.5
Buick Lucerne,0,9,100.0
Buick Regal,22560,18685,20.7
Buick Verano,43743,45527,3.9
Cadillac ATS,29890,38319,22.0
Cadillac CTS,31115,32343,3.8
Cadillac DTS,0,19,100.0
Cadillac ELR,1310,6,21733.0
Cadillac Escalade,30522,22514,35.6
Cadillac Escalade *,19482,12592,54.7
Cadillac Escalade ESV *,10987,7950,38.2
Cadillac Escalade EXT *,53,1972,97.3
Cadillac SRX,53578,56776,5.6
Cadillac STS,0,7,100.0
Cadillac XTS,24335,32559,25.3
Chevrolet Avalanche,92,16526,99.4
Chevrolet Aveo,0,2,100.0
Chevrolet Camaro,86297,80567,7.1
Chevrolet Caprice PPV,3727,3899,4.4
Chevrolet Captiva Sport,35368,47600,25.7
Chevrolet City Express,530,0,0.0
Chevrolet Colorado,8003,3412,135.0
Chevrolet Corvette,34839,17291,101.0
Chevrolet Cruze,273060,248224,10.0
Chevrolet Equinox,242242,238192,1.7
Chevrolet Express,79352,79087,0.3
Chevrolet HHR,0,3,100.0
Chevrolet Impala,140280,156797,10.5
Chevrolet Malibu,188519,200594,6.0
Chevrolet SS,2479,418,493.0
Chevrolet Silverado,529755,480414,10.3
Chevrolet Sonic,93518,85646,9.2
Chevrolet Spark,39159,34130,14.7
Chevrolet Suburban,55009,51260,7.3
Chevrolet Tahoe,97726,83502,17.0
Chevrolet Traverse,103943,96467,7.8
Chevrolet Trax,739,0,0.0
Chevrolet Volt,18805,23094,18.6
Chrysler 200,117363,122480,4.2
Chrysler 300,53382,57724,7.5
Chrysler Town & Country,138040,122288,12.9
Dodge Avenger,51705,93842,44.9
Dodge Caliber,0,45,100.0
Dodge Challenger,51611,51462,0.3
Dodge Charger,94099,98336,4.3
Dodge Dart,83858,83388,0.6
Dodge Durango,64398,60727,6.0
Dodge Grand Caravan,134152,124019,8.2
Dodge Journey,93572,83933,11.5
Dodge Viper,760,591,28.6
